POA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA4131,27,0,0,0,0,28,23,0,0,0,0,25,26,0,0,0,0,29,40,3,0,0,0,38,43,0,5,0,0,50,137,12,7,0,0,163,223,11,3,0,0,247,221,3,0,0,0,225,51,0,3,0,0,57,36,0,0,0,0,36,19,0,0,0,0,19,22,0,0,0,0,24,870,40,27,0,3,935
POA4132,86,0,0,0,0,86,58,3,0,0,0,58,39,0,0,0,0,45,94,0,0,0,0,98,144,4,0,0,0,146,514,8,0,0,0,521,805,8,0,4,0,815,534,0,0,3,0,543,86,0,0,0,0,88,41,0,0,0,0,39,22,0,0,0,0,22,103,0,0,0,0,105,2522,25,0,15,0,2565
POA4133,72,3,0,0,3,76,34,0,0,0,0,32,19,3,0,0,0,28,58,5,0,0,0,66,68,14,4,0,0,90,250,25,4,0,0,284,412,18,4,0,3,439,549,8,0,0,0,558,161,0,0,0,0,161,90,0,0,0,0,90,50,0,0,0,0,50,75,3,0,0,0,78,1857,82,13,0,9,1963
POA4151,56,4,24,0,0,78,21,3,7,0,0,35,15,3,7,0,0,27,29,0,15,0,0,43,32,7,38,0,0,78,97,17,79,0,0,199,112,23,147,0,0,279,205,32,148,0,0,391,164,15,46,0,0,221,235,8,20,0,0,264,216,3,6,0,0,226,63,3,18,0,0,78,1248,117,555,0,4,1924
POA4152,274,20,3,0,3,304,78,12,0,0,0,91,62,12,4,0,0,77,91,17,8,0,0,112,144,35,5,0,0,188,427,102,22,0,0,555,502,147,37,0,0,694,964,253,63,0,3,1279,712,109,12,0,0,838,814,50,12,0,4,876,470,16,0,0,0,488,195,22,3,0,0,221,4735,802,171,0,13,5728
POA4153,29,0,0,0,0,29,8,0,0,0,0,9,13,0,0,0,0,16,20,3,0,0,0,19,17,0,0,0,0,21,63,7,0,0,0,69,76,11,0,0,0,89,146,6,0,0,0,154,96,0,0,0,0,94,73,0,0,0,0,73,59,0,0,0,0,54,25,0,0,0,0,29,621,31,0,0,0,649
POA4154,63,0,0,0,0,65,17,0,0,0,0,18,4,0,0,0,0,8,38,0,0,0,0,38,44,3,0,0,0,42,121,3,0,0,0,126,157,16,0,0,0,169,326,23,0,3,0,351,297,11,0,0,0,304,372,3,0,0,0,374,193,0,0,0,0,195,62,6,0,0,0,70,1681,69,0,5,0,1755
POA4155,19,0,0,0,0,19,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,14,0,0,0,0,14,14,0,0,0,0,14,18,0,0,0,0,17,14,0,0,0,0,14,20,0,0,0,0,25,54,0,0,0,0,54,7,0,0,0,0,7,169,0,0,3,0,174
POA4156,21,0,0,0,0,21,9,0,0,0,0,9,4,0,0,0,0,4,11,0,0,0,0,6,17,0,0,0,0,17,39,0,0,0,0,39,51,9,0,0,0,57,74,8,0,0,0,82,75,6,0,0,0,75,79,0,0,0,0,79,56,0,0,0,0,53,25,0,0,0,0,25,451,18,0,0,0,467
POA4157,116,6,0,0,0,127,37,9,0,0,0,46,41,4,0,0,0,45,85,10,0,0,0,97,105,22,0,0,0,131,285,50,0,0,0,340,434,85,0,0,0,524,740,36,0,0,0,778,395,0,0,0,0,394,194,6,0,0,0,205,112,0,0,0,0,112,98,8,0,0,3,108,2643,237,0,3,5,2896
POA4158,12,0,0,0,0,17,4,3,0,0,0,10,6,0,0,0,0,4,11,8,0,0,0,17,14,16,0,0,0,30,31,38,0,0,0,71,63,50,0,0,0,113,104,22,0,0,0,122,67,3,0,0,0,66,38,3,0,0,0,44,14,0,0,0,0,14,9,4,0,0,0,6,377,141,3,0,0,526
POA4159,91,6,0,0,0,99,32,3,0,0,0,31,29,4,3,0,0,33,52,0,3,0,0,63,70,0,3,0,0,74,216,3,7,0,0,226,267,21,15,0,0,298,540,20,3,0,0,561,279,3,0,0,0,286,189,0,0,0,0,189,80,0,0,0,0,81,87,0,0,0,0,86,1928,58,42,0,0,2022
POA4160,122,3,3,0,3,135,43,0,0,0,0,48,46,0,3,0,0,47,68,0,0,0,0,72,107,8,3,0,3,118,268,17,7,0,6,290,292,15,7,0,5,323,590,18,8,0,0,616,339,7,3,0,0,348,318,3,0,0,0,328,155,4,0,0,0,156,92,0,0,0,0,94,2443,71,38,0,22,2577
POA4161,90,0,0,0,0,95,51,4,0,0,0,50,45,3,0,0,0,43,79,0,0,0,0,75,115,3,0,0,0,123,310,14,0,0,0,321,507,6,0,0,0,519,902,3,0,0,0,907,272,0,0,0,0,278,122,0,0,0,0,127,38,0,0,0,0,38,111,0,0,0,0,113,2651,37,3,0,0,2691
POA4163,79,16,8,0,0,103,27,5,4,0,0,36,23,5,3,0,0,30,39,14,7,0,0,56,38,9,16,0,0,56,113,41,19,0,0,177,149,37,25,0,0,219,288,28,16,0,0,335,188,5,8,0,0,204,140,5,4,0,0,145,117,4,3,0,0,127,64,4,7,0,0,72,1270,175,119,0,3,1565
POA4164,87,0,0,0,0,85,31,0,0,0,0,31,36,0,0,0,0,40,45,0,0,0,0,45,63,0,0,0,0,63,206,5,0,0,0,211,241,5,0,0,0,247,551,8,0,0,0,555,406,0,0,0,0,407,282,3,0,0,0,284,144,0,0,0,0,146,88,0,0,0,0,88,2179,25,4,0,3,2208
POA4165,194,5,5,0,0,206,86,3,0,0,0,89,62,0,0,0,0,62,111,8,0,0,0,122,157,3,0,0,0,158,471,12,0,0,0,486,738,15,6,0,0,755,1548,17,11,0,0,1575,957,4,0,0,0,964,599,4,0,0,0,600,184,0,0,0,0,186,193,0,7,0,0,201,5303,77,31,0,3,5416
POA4169,39,3,29,0,0,69,6,0,9,0,0,20,13,0,4,0,0,21,4,3,14,0,0,21,11,4,23,0,0,44,31,5,88,0,0,126,43,8,100,0,0,155,81,5,163,0,0,258,66,8,58,0,0,132,85,3,70,0,0,164,89,3,56,0,0,149,35,3,20,0,0,57,512,48,636,0,0,1202
POA4170,109,18,12,0,0,131,38,4,3,0,0,47,32,10,3,0,0,42,54,5,5,0,0,67,64,10,4,0,0,81,178,31,38,0,0,254,231,83,83,3,0,399,430,132,118,0,0,682,421,72,24,0,0,518,496,45,18,0,0,566,359,16,3,0,3,380,83,13,8,0,0,112,2498,440,326,7,10,3278
POA4171,82,15,9,0,0,100,17,3,0,0,0,21,12,0,3,0,0,16,14,10,4,0,0,25,34,6,6,0,0,46,92,15,29,0,0,140,95,25,45,0,0,162,180,50,93,0,0,314,157,24,46,0,0,229,286,45,30,0,0,367,376,38,25,0,0,436,63,10,8,0,0,83,1409,236,295,0,3,1942
POA4172,22,0,0,0,0,26,9,0,0,0,0,8,3,0,0,0,0,3,14,0,0,0,0,15,16,3,0,0,0,16,59,4,0,0,0,65,77,8,0,0,0,87,125,24,3,0,3,157,74,16,0,0,0,89,96,9,0,0,0,100,27,3,0,0,0,25,20,0,0,0,0,20,532,74,4,0,3,609
POA4173,46,7,0,0,0,53,16,0,0,0,0,17,16,3,0,0,0,19,31,8,0,0,0,34,43,7,0,0,0,55,117,33,0,0,0,150,178,55,0,0,0,232,332,31,3,0,0,372,154,7,0,0,3,158,73,0,0,0,0,75,34,0,0,0,0,33,39,5,0,0,0,45,1085,149,8,0,4,1243
POA4174,9,0,0,0,0,11,11,0,0,0,0,11,4,0,0,0,0,6,6,3,0,0,0,14,12,3,0,0,0,17,45,5,0,0,0,56,64,14,0,0,0,74,119,3,0,0,0,117,51,0,0,0,0,50,35,0,0,0,0,35,11,0,0,0,0,14,22,0,0,0,0,25,393,30,0,0,0,418
POA4178,117,10,3,0,0,129,52,6,0,0,0,56,43,5,4,0,0,53,62,9,3,0,0,73,104,10,11,0,0,119,293,45,7,0,3,349,394,66,11,0,0,472,832,57,17,0,3,900,466,4,11,0,0,486,290,3,0,0,0,291,153,3,0,0,0,158,98,5,0,0,0,106,2904,212,64,0,10,3189
POA4179,123,3,0,0,0,129,46,3,0,0,0,57,43,6,0,0,0,46,71,6,0,0,0,79,74,13,0,0,0,84,231,18,6,3,0,251,309,38,9,3,0,361,617,42,6,0,0,668,385,20,3,0,0,410,326,10,4,0,0,345,140,3,0,0,0,140,98,3,3,0,0,101,2451,170,31,12,3,2671
POA4183,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,9,23,4,0,0,3,27,30,3,0,0,0,35,30,3,0,0,0,32,13,0,0,0,0,16,12,0,0,0,0,12,5,0,0,0,0,5,11,0,0,3,0,15,145,5,3,3,7,159
POA4184,81,0,0,0,0,81,62,0,0,0,0,62,49,0,0,0,0,51,92,0,0,0,0,94,83,0,0,0,0,88,185,0,0,0,0,185,89,0,0,0,0,89,52,0,0,0,0,52,20,0,0,0,0,20,10,0,0,0,0,10,6,0,0,0,0,6,46,0,0,0,0,46,781,0,0,0,0,786
POA4205,34,0,0,0,0,39,9,0,0,0,0,5,19,0,0,0,0,18,23,0,0,0,0,23,35,3,0,0,0,39,105,6,0,0,0,112,161,3,0,0,0,164,114,3,0,0,0,116,18,0,0,0,0,18,14,0,0,0,0,14,3,0,0,0,0,3,30,0,0,0,0,30,560,15,3,0,0,574
