POA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA4020,4,61,706,2607,1681,444,86,114,5708,7,59,327,61,7,0,0,12,479,3,64,136,180,15,0,0,14,416,11,122,464,248,25,0,0,30,894,12,194,421,143,18,6,0,26,822,9,35,226,194,5,0,0,11,480,33,83,504,497,6,0,3,21,1148,0,0,0,0,0,0,0,0,0,48,308,1157,834,36,6,3,56,2448,12,27,32,13,4,0,0,0,95,0,4,11,15,3,0,0,3,35,80,526,2368,3712,1750,446,88,208,9183
POA4021,0,12,174,1673,821,137,16,49,2885,0,8,199,45,0,0,0,12,263,0,3,49,316,0,0,0,13,382,0,6,249,360,3,0,0,28,650,3,22,19,0,0,0,0,4,53,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,26,0,0,0,0,0,66,0,0,4,0,0,0,0,0,7,0,0,4,0,0,0,0,4,8,8,47,451,2045,821,137,16,81,3611
POA4022,0,0,42,580,970,99,16,35,1743,0,0,88,292,18,0,0,7,411,0,0,0,0,6,0,0,0,6,0,0,88,292,22,0,0,7,419,0,3,181,79,0,0,0,18,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,179,79,0,0,0,18,287,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,310,959,999,99,16,53,2456
POA4025,0,7,11,12,6,0,0,8,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,18,12,6,5,0,4,57
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4030,3,40,396,1316,923,395,85,57,3211,0,18,31,10,3,0,0,3,70,6,9,78,161,11,0,0,4,264,6,31,112,175,12,0,0,7,332,15,357,586,112,6,3,8,23,1116,18,147,851,84,3,0,0,20,1126,16,74,551,41,0,0,0,15,695,0,3,0,0,0,0,0,0,4,54,574,1982,240,13,3,10,65,2935,0,0,0,0,3,0,0,0,10,0,7,9,4,3,0,0,5,31,60,639,2497,1732,957,395,98,134,6515
POA4031,7,30,422,1466,828,348,55,45,3199,0,9,46,11,3,0,0,3,72,3,62,151,219,12,0,0,16,458,3,70,195,229,10,0,0,21,533,4,191,309,107,5,0,0,13,630,0,46,639,93,3,0,0,18,798,0,17,87,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,256,1034,201,9,0,0,33,1534,0,0,0,0,0,0,0,0,4,0,0,4,13,7,0,0,0,20,17,349,1652,1909,850,353,57,91,5285
POA4032,4,20,255,1891,828,202,37,113,3347,0,0,94,56,0,0,0,11,166,0,60,183,486,5,0,0,54,788,0,62,278,537,5,0,0,67,951,4,160,335,61,0,0,0,30,591,0,44,387,42,3,0,0,13,487,9,217,655,135,0,3,0,38,1055,0,0,0,0,0,0,0,0,0,18,423,1369,234,7,3,0,78,2130,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,3,13,25,507,1904,2667,839,208,43,254,6452
POA4034,9,63,606,5935,4482,1009,193,228,12527,7,267,580,323,7,0,0,64,1256,3,14,317,913,133,3,0,22,1403,9,277,904,1236,134,4,0,88,2659,15,147,499,161,6,0,0,33,854,0,6,147,10,0,0,0,3,164,4,50,173,29,0,0,0,9,266,0,0,0,0,0,0,0,0,4,19,208,813,194,8,0,0,48,1285,39,94,16,0,0,0,0,12,171,8,13,9,12,13,5,0,6,70,80,648,2353,7383,4639,1021,200,384,16711
POA4035,0,20,157,1840,3971,1051,156,74,7265,0,3,93,194,5,0,3,11,307,0,0,37,199,14,0,0,4,261,0,5,126,399,12,0,3,16,565,0,36,131,21,0,0,0,5,193,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,0,7,52,0,0,0,0,0,0,0,0,0,0,76,136,24,0,0,0,20,253,0,0,0,3,3,0,0,0,3,0,0,0,3,3,0,0,0,10,3,99,417,2261,3993,1053,159,107,8093
