POA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
POA4000,0,0,10,28,4,3,0,0,0,45,0,0,3,0,0,0,0,0,0,11,0,0,0,5,0,3,0,0,0,10,11,16,242,604,39,30,7,3,0,947,23,16,153,341,68,73,24,13,8,708,225,258,1944,3536,687,614,310,119,42,7734,0,0,3,4,0,0,0,0,0,8,260,286,1189,2271,781,706,382,157,48,6070,0,0,0,4,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,19,44,3,5,3,0,0,87,0,0,7,33,0,0,0,0,0,41,8,28,495,409,54,38,23,6,0,1064,0,0,0,0,4,0,0,0,0,4,0,0,0,6,0,0,0,0,0,4,0,5,104,180,93,84,67,17,3,555,0,0,3,18,3,3,0,0,0,27,0,7,32,85,9,3,0,0,0,135,0,0,22,28,7,3,11,3,0,83
POA4005,0,0,0,5,3,14,6,5,0,34,0,0,3,10,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,11,4,15,37,226,35,25,12,14,5,370,34,36,113,498,141,129,118,86,148,1296,327,403,981,4052,1096,959,670,326,293,9101,0,0,0,0,0,0,0,0,0,0,531,645,1254,4635,1363,1166,726,256,113,10686,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,3,0,3,0,14,0,0,0,0,0,0,0,0,0,3,0,7,7,96,7,15,6,0,0,141,0,0,0,14,0,0,0,0,0,12,0,0,18,68,25,31,18,24,4,200,0,0,0,4,0,0,3,0,0,14,0,0,0,3,0,0,0,0,0,6,3,10,42,316,159,113,72,24,11,749,0,0,0,15,3,4,0,0,0,30,4,3,6,53,7,13,0,3,0,87,0,0,0,47,13,11,9,3,7,90
POA4006,0,5,3,22,0,11,0,0,3,52,0,0,0,3,0,0,0,0,0,7,0,0,0,8,3,0,0,0,0,14,4,10,82,347,18,9,10,4,3,486,19,25,186,472,79,70,51,21,6,937,180,185,1484,3495,513,474,310,115,82,6847,0,0,3,3,0,0,0,0,0,5,257,189,1493,3343,682,572,351,133,66,7077,0,3,4,35,0,0,0,0,0,38,0,0,0,14,0,0,3,0,0,18,0,0,0,0,3,0,0,0,0,4,3,0,5,62,13,3,0,0,0,91,0,0,3,8,0,0,0,0,0,17,4,5,131,188,18,25,9,7,0,385,0,0,0,3,3,0,0,0,0,8,0,0,0,10,0,0,0,0,0,12,3,10,60,217,66,50,37,7,6,456,0,0,0,20,3,0,0,0,0,26,0,3,15,61,3,3,3,0,0,79,0,0,10,26,9,3,4,0,0,56
POA4007,0,0,0,10,7,0,0,0,0,21,0,0,0,6,5,0,0,0,0,10,0,0,0,4,0,0,3,0,0,17,8,3,20,122,29,17,6,4,0,210,21,27,58,206,103,71,42,30,37,595,264,584,931,2103,990,778,512,281,137,6579,0,0,0,4,0,0,0,0,0,4,462,921,1249,2322,1216,1023,699,379,123,8387,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,4,17,6,4,0,0,0,41,0,0,0,0,8,0,0,0,0,7,0,10,34,74,25,12,9,4,0,166,0,0,0,3,0,0,0,0,3,9,0,0,0,3,0,0,3,0,0,8,4,48,49,126,123,62,67,15,4,504,0,0,0,14,8,11,3,0,0,33,0,0,0,13,3,0,0,0,0,24,0,0,0,11,9,8,7,6,0,39
POA4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,3,0,5,0,0,0,9,7,8,23,40,23,24,14,3,7,137,0,0,0,0,0,0,0,0,0,0,12,12,23,51,42,29,21,11,7,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,8,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,3,0,0,0,0,36,4,3,16,54,5,8,3,4,4,95,56,61,180,521,127,97,53,45,47,1192,0,0,0,0,0,0,0,0,0,0,96,114,238,632,159,132,73,44,51,1539,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,30,17,9,8,6,4,82,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,14
POA4011,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,8,20,92,23,21,5,3,5,185,15,56,56,152,78,63,44,17,21,509,374,882,1074,2490,1112,868,594,291,173,7869,0,0,3,0,0,0,0,0,0,3,722,1370,1495,2960,1520,1157,795,399,185,10599,0,0,0,12,3,0,0,0,0,15,0,0,0,4,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,6,0,4,3,28,11,10,3,0,0,54,0,0,0,3,0,0,0,0,0,6,0,4,11,45,13,12,0,3,3,97,0,0,0,6,3,0,0,3,0,12,0,0,0,3,0,0,0,0,0,11,13,42,40,123,135,78,66,18,13,524,0,3,3,18,6,13,0,0,0,50,0,3,3,19,3,0,0,0,0,28,0,0,0,7,5,11,19,4,3,46
POA4012,0,4,0,13,6,5,0,3,0,35,0,0,0,6,0,3,0,0,0,7,0,0,0,10,0,0,0,0,0,15,5,11,22,180,35,19,12,10,0,291,18,32,74,214,77,56,38,38,79,626,670,1067,1366,4191,1392,1109,631,401,312,11143,0,0,0,3,0,0,0,0,0,9,1261,1855,1938,5089,1888,1507,840,462,294,15128,0,0,3,15,0,3,0,0,0,21,0,0,0,6,3,0,0,0,0,7,0,0,3,3,0,4,0,0,0,13,3,3,5,33,9,3,0,0,0,59,0,0,0,3,3,0,0,0,0,10,3,12,21,68,25,15,7,3,3,148,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,3,0,0,0,10,3,37,65,246,129,100,77,25,8,696,0,8,14,46,26,20,8,6,0,134,0,0,0,26,8,3,0,0,0,41,0,0,8,29,11,12,9,3,3,71
POA4013,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,7,3,3,22,10,3,7,0,0,49,6,16,19,50,26,11,4,6,0,137,146,231,302,835,315,237,137,59,33,2298,0,0,0,0,0,0,0,0,0,3,268,379,450,1093,409,335,193,74,38,3245,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,42,20,27,15,7,4,131,0,0,0,8,9,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,15
POA4014,0,0,0,14,7,5,5,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,5,8,55,19,12,8,0,0,102,17,27,34,97,34,52,36,42,120,462,409,707,651,1956,742,643,407,289,258,6064,0,0,0,0,0,0,0,0,0,0,783,1243,1027,2542,1025,920,578,356,165,8629,0,7,11,0,0,0,0,0,0,14,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,15,7,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,20,26,10,13,4,0,0,77,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,23,124,68,37,29,19,7,329,0,4,4,31,13,15,4,0,0,70,0,0,3,3,0,0,0,0,0,16,0,3,3,15,7,3,11,0,0,43
POA4017,0,5,0,16,5,0,0,0,0,29,0,0,0,8,11,0,7,3,3,29,0,0,3,19,3,6,3,0,0,32,3,16,29,149,68,32,30,15,6,354,37,100,109,228,156,95,97,99,42,960,1109,2383,2038,5039,2818,2264,1739,954,519,18865,0,0,0,4,0,0,0,0,0,7,2110,4173,3403,6754,3801,3253,2313,1127,556,27485,0,3,4,3,0,0,0,0,0,11,0,0,0,10,6,0,0,0,0,16,0,0,0,3,0,0,0,0,0,9,0,4,11,39,14,12,3,0,0,82,0,0,0,5,0,3,0,0,0,14,5,7,8,42,24,14,10,9,4,108,0,0,0,3,0,0,3,7,0,19,0,0,3,0,0,3,0,3,0,12,10,115,67,335,355,236,291,158,63,1633,0,3,3,63,30,27,28,8,0,170,0,3,0,14,12,5,3,0,3,44,3,0,3,40,23,25,38,17,8,158
POA4018,0,0,4,11,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,3,13,3,0,0,0,0,25,0,11,20,96,31,25,15,8,3,205,17,17,27,104,49,24,30,21,11,300,435,607,676,2169,770,636,516,444,235,6477,0,0,5,18,0,7,0,0,0,27,860,893,886,1789,696,635,540,471,248,7017,0,0,0,7,0,0,0,0,0,9,0,0,0,5,5,6,0,3,0,23,0,0,0,0,0,3,0,0,0,3,0,0,4,4,0,3,0,0,0,15,0,0,0,0,0,6,0,0,0,7,0,14,11,79,35,15,15,10,3,181,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,8,0,23,18,64,64,48,60,47,30,360,0,3,3,63,25,27,16,0,3,135,0,0,0,3,0,0,3,0,0,9,0,0,3,5,3,4,11,9,7,49
POA4019,0,3,0,7,3,0,0,0,0,16,0,0,0,8,0,4,0,0,0,15,0,0,0,0,3,9,0,0,0,10,0,6,6,44,35,24,15,16,0,157,31,51,55,151,94,91,90,54,29,644,533,1123,904,2525,1550,1496,1216,655,313,10312,0,0,0,0,0,0,0,0,0,3,986,1988,1600,3498,2060,1983,1518,758,319,14712,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,3,5,20,7,3,5,3,0,49,0,0,0,4,4,0,3,0,0,6,0,0,3,15,4,14,4,5,0,42,0,0,0,0,0,3,3,5,0,13,0,0,0,0,3,0,4,3,0,13,7,41,52,146,218,224,248,134,56,1126,0,0,8,17,13,4,5,0,0,56,0,6,0,13,9,7,3,4,0,34,3,3,3,15,19,16,24,7,5,93
POA4020,0,0,3,7,3,0,3,0,0,17,0,0,0,10,4,6,9,10,3,32,0,0,0,3,3,0,0,0,0,10,4,13,13,66,54,41,38,23,14,256,36,63,54,190,117,134,152,109,62,916,467,1053,1053,2284,1747,1840,1702,978,479,11602,0,0,0,5,0,0,0,0,0,6,794,1876,1750,2965,2113,2201,1858,1028,455,15044,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,10,12,6,6,4,0,49,0,0,0,6,3,0,0,0,0,8,0,4,8,24,19,7,3,0,3,72,0,0,0,0,5,3,6,5,0,29,0,0,0,5,0,3,11,4,0,23,0,73,65,192,265,307,354,228,78,1563,0,0,0,16,9,9,13,3,0,54,0,0,0,4,5,9,7,8,0,29,0,0,0,19,16,29,29,22,5,127
POA4021,0,0,0,0,7,0,3,0,0,12,0,0,0,0,3,0,3,0,0,7,0,0,0,3,0,0,0,0,0,5,0,3,8,26,13,11,9,7,4,88,7,22,23,64,30,38,58,56,73,375,298,643,580,1235,632,647,598,372,206,5209,0,0,0,0,0,0,0,0,0,0,555,1111,947,1662,732,799,706,344,144,6988,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,9,0,0,0,0,0,4,0,0,0,9,0,0,3,16,6,3,3,0,0,32,0,0,0,0,3,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,0,17,31,72,101,80,96,70,30,501,0,0,0,14,10,7,0,0,0,37,0,0,0,0,0,0,4,0,0,7,0,0,0,4,6,8,15,10,3,44
POA4022,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,6,0,0,0,5,3,0,4,0,0,12,0,3,12,16,15,12,4,7,3,68,13,17,25,45,25,28,31,26,45,249,198,467,460,834,448,378,407,374,270,3846,0,0,0,0,0,0,0,0,0,0,399,817,736,1082,564,447,481,397,258,5186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,18,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,17,22,35,55,42,83,91,30,368,0,0,0,17,3,9,3,0,0,34,0,0,0,7,0,0,5,0,0,16,0,0,0,8,0,0,5,3,4,21
POA4025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,19,4,6,0,0,0,40,9,3,25,66,17,22,12,3,0,155,0,0,0,0,0,0,0,0,0,0,5,6,21,46,25,24,16,13,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,13,0,0,7,3,3,44,7,0,12,20,5,0,7,3,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4030,0,0,0,10,3,9,3,0,0,23,0,0,0,3,3,0,0,0,0,4,0,0,0,3,4,0,0,0,0,9,3,8,30,128,19,10,4,6,0,225,21,25,80,184,46,45,20,30,28,484,458,780,1359,3140,1020,677,409,235,162,8233,0,0,0,4,0,0,0,0,0,5,835,1347,1909,3903,1476,961,509,211,122,11276,0,0,0,25,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,6,11,42,8,3,0,0,0,67,0,3,0,3,0,5,0,0,0,9,0,5,52,68,9,13,5,3,0,162,0,0,0,0,0,3,0,0,3,6,0,3,0,3,0,0,0,0,0,15,5,40,55,194,107,65,45,12,14,541,0,3,7,20,5,4,0,0,0,45,0,3,3,14,6,4,3,0,0,31,0,3,4,24,5,3,0,3,0,49
POA4031,0,0,3,8,0,0,0,0,0,14,0,0,0,3,0,3,0,0,0,7,0,0,0,7,0,0,0,0,0,3,0,9,19,84,24,9,12,4,3,161,21,36,64,157,44,43,14,23,11,410,429,783,928,2495,932,607,342,237,179,6932,0,0,0,4,0,0,0,0,0,5,832,1458,1407,3224,1379,883,447,257,177,10059,0,0,3,11,0,0,0,0,0,21,0,0,0,5,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,3,0,0,0,43,0,0,0,0,0,0,0,3,0,7,0,8,25,31,14,4,3,0,0,90,0,0,0,0,0,3,0,3,0,9,0,0,0,4,0,0,0,0,0,9,4,18,29,111,99,40,32,22,8,361,0,0,3,11,4,4,3,3,0,34,0,0,0,8,3,0,0,0,0,19,0,0,4,6,6,4,9,0,8,36
POA4032,0,0,0,14,3,3,3,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,7,3,3,0,0,0,0,13,3,7,41,116,32,24,14,9,5,251,28,33,46,143,44,48,41,96,222,717,407,710,1098,2514,900,812,719,677,501,8338,0,0,0,7,3,0,0,3,0,15,762,1116,1428,2744,1085,976,815,756,345,10035,0,0,4,10,3,3,0,0,0,18,0,0,0,4,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,9,0,0,0,27,0,0,0,9,0,3,0,0,0,12,3,9,72,125,31,13,9,7,3,272,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,4,0,0,3,12,10,48,17,79,50,47,53,43,18,380,0,0,4,25,15,6,6,0,0,68,0,0,0,8,0,5,0,6,0,21,0,0,4,8,0,4,10,3,3,35
POA4034,0,0,3,27,15,20,3,0,0,63,0,0,0,6,4,5,4,4,3,24,0,0,4,13,13,4,3,0,0,45,3,24,34,233,104,73,51,29,16,571,54,86,119,284,121,132,114,119,113,1146,1371,2397,2616,6325,2810,2580,2175,1608,891,22772,0,0,9,8,3,9,5,0,0,29,2560,4072,3988,7637,3370,3210,2645,1880,934,30294,0,11,12,12,0,3,0,0,0,37,0,0,3,7,8,3,0,3,3,21,0,0,0,3,4,0,0,0,0,8,0,0,4,37,11,5,12,4,0,86,0,0,0,5,3,0,3,0,0,12,4,17,62,178,90,72,37,24,15,493,0,0,0,4,7,6,3,11,0,36,0,6,0,6,0,0,5,3,3,31,10,74,62,266,233,184,234,134,63,1251,4,4,24,152,73,85,33,6,3,389,3,3,3,19,12,12,3,5,0,62,0,3,3,27,18,14,42,27,15,144
POA4035,0,0,0,8,9,11,5,0,0,31,0,7,0,3,0,7,3,0,0,17,0,0,8,9,12,7,0,3,0,38,0,20,14,58,38,33,17,15,9,209,11,47,35,87,59,62,58,49,44,448,604,1750,1605,2786,2064,1588,1103,615,322,12440,0,0,0,6,0,0,0,0,0,7,1167,3105,2798,3754,2706,2109,1446,687,302,18071,0,0,0,4,6,3,0,0,0,23,0,0,0,3,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,5,20,12,5,9,0,0,59,0,0,0,0,3,0,0,0,0,7,3,0,19,74,30,23,10,12,0,175,0,0,0,0,0,0,3,0,0,9,0,3,0,6,0,3,3,3,0,21,10,108,108,204,284,195,136,70,30,1148,0,3,10,67,22,30,15,11,0,153,0,0,3,5,3,3,0,3,3,24,0,10,4,18,21,14,19,8,9,98
POA4036,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,26,11,3,4,0,0,49,11,15,14,44,17,9,13,11,8,136,247,420,372,1016,424,370,274,126,60,3305,0,0,0,5,0,0,0,0,0,6,457,753,619,1416,581,518,385,155,72,4952,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,8,0,0,3,3,0,0,0,0,0,4,0,4,0,5,7,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,49,38,35,42,18,5,221,0,3,0,20,11,9,3,0,0,44,0,0,0,3,0,0,0,0,0,4,0,0,0,0,4,5,8,0,0,22
POA4037,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,3,0,0,0,13,0,0,3,0,7,0,0,0,0,11,0,4,5,29,13,8,6,3,0,67,6,18,14,31,25,12,11,4,0,117,241,729,556,1070,710,393,248,67,14,4023,0,0,0,0,0,0,0,0,0,0,475,1286,976,1526,926,567,340,84,12,6192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,22,0,0,0,3,0,0,0,0,0,7,0,3,0,3,3,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,44,43,83,141,70,40,16,4,443,0,0,0,8,11,9,4,0,0,32,0,0,0,0,0,3,0,0,0,8,0,0,3,8,10,0,4,0,0,27
POA4051,0,0,4,20,3,0,4,0,0,37,0,3,0,3,3,3,3,0,0,14,0,0,0,8,0,4,3,0,0,17,4,19,36,167,29,25,22,7,5,316,30,43,120,227,104,61,49,45,58,730,884,1636,2140,4572,1908,1149,735,460,291,13783,0,0,0,6,0,0,0,0,0,4,1618,2951,3728,6321,2779,1677,1002,512,263,20848,3,0,0,8,0,0,0,0,0,13,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,16,14,51,21,10,3,3,0,117,0,0,0,5,3,0,0,0,0,12,0,11,61,74,24,18,3,4,0,184,0,0,0,4,3,4,0,3,0,11,0,0,0,6,0,0,0,0,0,12,14,82,103,262,209,116,78,37,20,917,0,0,3,18,5,3,3,4,3,35,0,4,0,32,9,7,0,0,0,52,0,3,11,29,11,9,19,4,0,82
POA4053,0,3,0,16,16,7,6,0,3,54,0,0,0,8,7,3,0,3,0,22,0,4,0,7,5,4,3,0,0,29,3,17,47,211,74,53,30,17,15,477,49,74,115,287,108,99,93,59,38,916,1485,2629,2859,7046,2866,2357,1835,1061,607,22740,0,0,11,10,3,0,0,0,0,28,2879,4708,4621,9878,4018,3181,2486,1393,662,33825,0,0,3,9,3,0,0,0,0,20,0,0,0,7,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,3,9,16,46,24,9,5,0,0,111,0,0,3,4,6,3,0,0,0,19,0,10,61,152,37,33,15,18,9,336,0,0,0,3,10,0,0,4,3,27,0,8,4,3,4,3,0,0,0,17,20,105,92,380,284,170,178,84,38,1353,0,3,6,48,19,10,4,6,0,104,0,10,0,29,9,3,6,0,4,69,3,8,8,30,29,23,36,6,14,154
