POA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
POA4064,0,0,35,21,4,3,0,0,0,66,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,18,71,44,23,15,14,3,202,0,0,0,0,0,0,0,3,0,8,0,0,0,16,0,0,0,0,0,23,0,0,0,14,0,0,3,0,0,19,0,0,0,0,0,0,0,5,0,5,0,3,4,4,0,3,0,0,0,12,3,0,3,28,4,0,0,0,0,39,0,0,3,0,3,0,0,0,0,10,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,5,0,0,34,0,0,3,5,3,0,5,19,9,51,0,0,0,18,3,0,0,0,0,30,0,0,4,14,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,5,14,4,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
POA4065,0,0,5,13,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,15,59,53,24,17,14,3,225,0,0,0,0,4,0,0,0,0,3,0,0,0,9,3,3,0,0,0,17,0,0,4,10,0,3,3,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,11,0,0,3,3,0,0,3,0,0,9,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,3,0,0,0,23,0,0,0,3,0,0,0,4,3,14,0,0,0,3,3,3,0,0,0,8,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,10,0,0,0,17,0,0,0,0,0,0,0,0,0,0
POA4066,0,4,285,156,18,12,0,4,3,486,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,36,64,47,38,36,15,6,257,0,0,4,12,0,3,0,0,0,20,0,0,8,10,3,0,0,0,0,23,0,0,4,18,9,0,3,0,0,36,0,0,0,0,0,0,0,0,0,5,0,0,30,24,3,4,0,0,0,67,3,7,25,97,4,3,0,0,0,147,0,3,22,17,4,0,0,0,0,49,0,0,3,30,5,0,0,0,0,41,0,0,3,5,0,0,0,0,0,10,0,0,0,17,6,3,3,0,0,30,0,0,6,9,4,3,3,6,0,23,0,0,12,22,14,0,8,0,0,47,0,0,9,33,4,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,3,24,35,11,6,4,3,0,87,0,0,0,0,0,0,0,0,0,0
POA4067,7,8,399,251,18,6,3,0,0,695,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,4,14,29,19,13,16,14,8,4,115,0,0,0,4,0,3,0,0,0,12,0,0,9,5,0,0,0,0,0,18,0,3,0,9,3,0,9,0,3,25,0,0,0,0,0,0,0,0,0,0,0,6,35,13,8,6,0,0,0,72,4,3,28,54,3,4,3,0,0,92,4,18,77,67,4,0,0,0,0,179,0,3,0,25,3,3,0,0,0,31,0,0,0,7,0,0,0,0,0,9,0,0,4,0,4,0,0,0,0,8,0,0,0,8,3,0,0,0,0,14,4,6,13,18,7,0,4,0,0,49,0,5,12,24,4,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,6,311,55,6,9,13,0,0,398,0,0,0,0,0,0,0,0,0,0
POA4068,0,13,333,268,44,23,13,5,3,697,0,0,0,3,4,0,0,0,0,5,0,0,0,3,0,0,0,0,0,12,10,19,58,100,65,50,49,13,8,372,0,0,0,9,3,3,0,0,0,21,0,4,5,16,3,0,9,0,0,32,0,0,8,22,14,3,13,5,0,68,0,0,0,0,4,0,0,4,0,6,0,5,55,30,20,16,7,0,0,126,16,29,27,179,30,14,5,3,3,308,3,14,13,55,6,3,4,0,0,108,0,3,4,60,11,3,3,0,0,97,0,3,0,3,0,0,0,0,0,11,0,0,0,14,4,3,0,0,3,26,0,0,0,13,3,0,0,6,0,17,3,7,22,47,19,3,3,0,0,106,3,8,29,64,28,3,4,0,0,139,0,0,0,4,3,0,0,0,0,5,0,10,43,66,16,13,6,3,0,160,0,0,0,0,0,0,0,0,0,0
POA4069,5,25,30,139,41,26,16,9,0,296,0,0,0,0,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,11,110,94,164,227,155,130,81,43,1007,0,0,0,6,3,0,0,0,0,13,0,8,8,12,14,4,0,0,0,44,0,12,3,25,19,15,28,12,5,124,0,0,3,0,3,0,0,0,3,15,0,9,8,24,11,12,9,5,3,84,0,17,27,90,43,23,25,12,3,244,0,8,8,19,9,9,3,4,0,61,0,3,3,30,12,3,11,0,3,65,0,0,0,0,0,0,0,0,0,0,0,11,4,20,26,6,10,0,5,79,0,0,0,3,5,4,7,0,0,21,0,5,15,25,33,13,5,6,3,94,0,15,23,55,26,0,7,0,0,124,0,0,0,0,0,0,0,0,0,6,0,13,8,50,31,34,26,9,0,172,0,0,0,0,0,0,3,0,0,3
POA4070,0,10,13,22,6,3,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,50,101,110,49,69,31,10,469,0,0,0,5,4,4,0,0,0,13,0,0,0,8,0,0,0,0,0,10,0,0,0,4,6,5,8,6,0,29,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,0,0,0,18,0,4,7,43,20,14,6,5,0,98,0,0,0,3,0,0,3,0,0,14,0,0,0,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,10,9,0,3,3,0,28,0,0,0,3,0,0,3,0,3,8,0,0,4,3,8,3,0,0,0,19,0,3,8,13,3,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,4,0,0,21,0,0,0,0,0,0,0,0,0,0
POA4072,0,0,22,8,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,37,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,29,0,0,11,4,0,0,0,0,0,12,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
POA4073,0,0,16,45,18,9,9,3,7,102,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,11,5,41,41,44,26,23,15,213,0,0,0,11,8,7,0,0,0,42,0,0,0,0,0,0,0,0,0,5,0,0,3,11,7,8,12,3,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,3,0,0,32,0,5,10,39,24,9,11,5,0,105,0,0,3,7,8,3,4,0,0,20,0,4,4,29,16,3,3,0,0,54,0,0,0,3,3,0,0,0,0,4,0,3,0,0,3,3,0,0,0,12,0,0,0,0,0,0,3,3,3,9,0,0,0,6,0,3,3,0,0,12,0,8,3,13,12,3,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,6,24,10,13,8,3,0,67,0,0,0,0,0,0,0,0,0,0
POA4074,0,3,37,90,58,29,26,15,7,265,0,0,0,0,3,0,0,0,0,12,0,3,0,0,0,0,6,0,0,13,0,34,30,83,97,106,94,50,17,510,0,3,7,39,23,17,12,3,0,112,0,0,0,8,0,0,0,0,0,13,0,0,0,14,4,13,23,8,3,72,0,0,0,0,0,0,0,0,0,3,0,3,10,12,13,19,9,4,0,73,0,9,15,64,32,21,9,0,0,152,0,0,3,9,4,9,4,6,0,39,0,7,3,37,18,4,3,3,0,79,0,0,0,4,0,0,3,0,0,14,0,3,0,14,4,10,3,0,0,33,0,0,0,0,3,7,0,9,5,26,3,9,4,29,10,4,7,0,0,68,0,6,10,32,16,7,5,0,0,73,0,0,0,3,5,5,3,3,0,22,0,5,9,29,28,25,27,3,0,130,0,0,0,3,0,0,5,0,3,6
