POA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA4363,0,0,0,85,34,4,120,306,59,488
POA4364,0,0,0,32,16,3,46,109,8,167
POA4365,7,0,7,59,20,0,78,308,48,437
POA4370,367,64,440,2733,1033,135,3908,9624,1261,14791
POA4371,12,3,14,104,26,3,139,399,54,588
POA4372,5,0,5,23,14,0,33,84,15,130
POA4373,41,6,48,129,51,0,182,602,82,867
POA4374,4,0,5,43,12,0,56,218,39,313
POA4375,3,0,3,29,9,0,36,129,11,178
POA4376,7,0,6,35,13,0,50,185,35,271
POA4377,7,0,6,80,31,0,111,322,19,453
POA4378,6,0,4,85,32,6,115,274,25,413
POA4380,205,36,249,1057,404,45,1501,4411,611,6522
POA4381,6,0,6,86,31,5,119,336,37,486
POA4382,3,0,3,74,37,3,117,270,39,428
POA4383,8,0,8,80,35,6,113,339,57,508
POA4384,0,0,0,15,3,0,12,25,7,49
POA4385,38,6,40,155,62,6,222,683,115,1025
POA4387,18,8,28,166,63,5,238,678,137,1056
POA4388,3,0,3,76,18,0,94,194,38,317
POA4390,107,24,135,1173,361,25,1557,3102,666,5329
POA4400,11,0,14,338,105,18,459,915,92,1473
POA4401,110,6,115,875,342,36,1254,2874,367,4500
POA4402,3,0,3,23,21,0,45,178,24,244
POA4403,7,3,11,121,61,3,181,365,69,616
POA4404,4,3,4,97,29,3,126,252,29,411
POA4405,226,42,266,2482,733,89,3300,6703,1115,11124
POA4406,16,0,16,248,73,8,331,678,144,1150
POA4407,0,0,0,70,34,4,110,278,45,439
POA4408,13,6,13,98,30,3,128,317,57,505
POA4410,36,12,41,127,55,11,189,665,101,951
POA4411,3,0,3,49,11,0,61,118,28,208
POA4412,0,0,0,32,3,5,42,101,9,152
POA4413,119,38,155,1369,435,49,1851,3341,926,6117
POA4415,34,15,53,300,89,6,397,929,227,1547
POA4416,4,0,4,96,19,7,113,229,55,397
POA4417,13,7,18,107,18,4,128,349,50,528
POA4418,0,0,0,14,3,0,15,68,5,93
POA4419,8,3,11,139,34,6,179,487,147,817
POA4420,34,3,33,188,57,6,251,623,85,948
POA4421,18,12,30,254,106,13,370,1147,547,2073
POA4422,0,0,3,83,13,0,103,233,36,365
POA4423,0,0,0,47,11,0,58,87,14,153
POA4424,3,0,0,58,12,0,69,90,16,171
POA4425,4,0,4,37,11,0,53,93,24,163
POA4426,0,0,0,20,4,0,24,82,4,102
POA4427,5,0,5,41,17,0,63,158,76,294
POA4428,8,0,8,108,34,3,147,327,48,517
POA4454,5,0,11,104,46,5,148,343,86,579
POA4455,123,26,151,1461,416,44,1918,3844,806,6564
POA4461,0,0,0,3,4,0,7,32,4,50
POA4462,4,0,4,16,4,0,16,66,10,92
POA4465,25,0,22,191,59,0,251,656,81,991
POA4467,3,3,3,27,5,0,33,106,19,160
POA4468,5,0,5,35,9,0,42,160,18,215
POA4470,60,21,79,544,185,23,756,1749,307,2809
POA4472,33,3,35,194,69,8,267,814,103,1185
POA4474,3,0,3,16,4,0,21,50,4,77
POA4475,0,0,0,0,0,0,0,0,0,0
POA4477,12,0,12,74,25,0,96,236,37,371
POA4478,5,0,5,67,27,0,95,260,23,383
POA4479,0,0,0,3,0,0,3,13,0,11
POA4480,9,0,9,122,33,5,162,386,54,599
POA4481,0,0,0,15,3,0,24,72,6,103
POA4482,0,0,0,19,5,0,23,97,3,131
POA4486,8,0,12,88,22,3,109,387,84,585
POA4487,31,7,42,509,138,31,674,1509,215,2399
POA4488,3,0,6,46,18,3,61,116,27,202
POA4489,0,0,0,10,0,0,8,62,13,89
POA4490,18,7,26,163,75,8,257,765,116,1132
POA4491,0,0,0,11,5,0,20,58,7,81
POA4492,7,0,7,47,11,3,64,168,18,246
POA4493,0,0,0,0,0,0,0,13,5,23
POA4494,0,0,0,36,4,5,38,56,7,103
POA4496,0,0,0,52,3,0,53,126,17,197
POA4497,3,0,6,55,17,5,73,149,30,256
POA4498,0,0,0,43,13,0,59,87,14,166
POA4500,277,112,393,8207,2882,354,11445,19783,1724,32951
POA4501,65,50,118,914,339,49,1304,2921,383,4607
POA4502,47,11,62,1673,605,78,2358,4019,371,6747
POA4503,445,151,605,8430,2690,424,11546,19797,2310,33647
POA4504,72,6,79,4113,1130,206,5452,7482,667,13600
POA4505,266,68,344,3432,1498,142,5077,10331,1093,16505
POA4506,129,65,202,3812,1349,214,5373,10151,1270,16787
POA4507,617,254,876,1695,1163,68,2925,11743,1522,16183
POA4508,196,186,386,3151,1204,194,4556,9394,1608,15562
POA4509,299,28,328,7060,1499,336,8894,11718,1272,21875
POA4510,587,432,1031,7604,2770,434,10807,23542,3743,38091
POA4511,117,39,153,1245,518,72,1839,4954,669,7462
POA4512,27,7,38,585,204,23,813,1668,303,2778
POA4514,91,26,115,974,377,45,1393,3273,1537,6204
POA4515,67,7,73,580,253,16,854,2086,334,3279
POA4516,28,4,30,728,293,32,1059,1877,232,3170
POA4517,6,7,12,109,45,5,157,398,79,626
POA4518,53,12,62,855,287,37,1183,2628,298,4111
POA4519,163,19,180,1405,513,75,1991,4236,503,6730
POA4520,78,13,91,2574,876,99,3547,6127,669,10344
POA4521,37,5,45,823,311,38,1176,2185,371,3735
POA4550,35,8,45,683,262,19,965,2217,298,3484
POA4551,1625,305,1951,9094,3477,425,13001,30372,3161,46536
POA4552,199,20,221,1031,617,65,1718,5078,474,7270
POA4553,48,9,54,1114,362,55,1531,2807,296,4636
POA4554,16,0,22,361,124,11,494,906,122,1525
POA4555,149,21,171,1212,395,47,1653,3522,343,5514
POA4556,1192,233,1429,7245,2242,317,9803,23134,2354,35294
POA4557,185,31,220,3367,1088,121,4574,9547,1281,15400
POA4558,489,185,684,2228,1083,78,3391,11779,1699,16869
POA4559,91,27,117,1182,371,36,1591,3019,413,5021
POA4560,719,161,891,5063,1886,233,7182,16755,2001,25933
POA4561,56,9,68,1239,439,45,1730,3690,394,5812
POA4562,64,9,74,1475,411,53,1935,4023,469,6427
POA4563,148,13,164,1309,486,72,1859,4611,501,6975
POA4564,113,19,134,1686,625,67,2381,5845,568,8802
POA4565,358,238,593,2024,791,81,2905,8087,1212,12207
POA4566,236,46,291,1008,459,47,1516,4959,574,7049
POA4567,192,17,213,1672,570,64,2299,6246,760,9304
POA4568,24,11,38,577,220,26,818,1871,239,2924
POA4569,22,3,25,256,69,17,340,831,123,1296
POA4570,614,268,887,6213,2243,266,8718,22163,3540,34427
POA4571,0,0,0,108,38,4,154,414,92,659
POA4572,136,74,214,461,257,14,730,2375,443,3546
POA4573,452,84,538,5045,1369,188,6601,12529,1556,20684
POA4574,23,0,20,173,78,7,256,732,96,1078
POA4575,581,81,667,3824,1372,138,5327,12851,1369,19546
POA4580,91,28,121,435,193,18,638,3177,477,4292
POA4581,11,4,14,154,71,3,226,831,267,1327
POA4600,13,0,13,133,35,10,175,518,48,742
POA4601,6,0,6,172,44,10,219,615,113,947
POA4605,93,6,106,605,250,26,883,2427,354,3667
POA4606,67,16,85,325,132,14,466,1323,214,2007
POA4608,12,7,12,113,68,11,191,469,95,753
POA4610,282,49,335,2311,806,120,3236,7534,998,11774
POA4611,0,0,0,25,3,0,31,51,6,92
POA4612,3,0,3,22,9,3,35,159,25,216
POA4613,18,3,18,110,38,0,143,487,88,720
POA4614,24,11,31,121,46,9,172,665,141,984
POA4615,105,21,125,860,302,39,1198,3930,719,5839
POA4620,4,5,4,26,17,5,51,248,43,345
POA4621,52,9,62,218,79,7,306,1029,175,1505
POA4625,45,13,63,372,118,6,497,1452,341,2286
POA4626,33,13,50,292,111,11,411,1116,264,1793
POA4627,19,3,23,119,48,7,175,399,121,687
POA4630,70,13,87,319,133,10,463,1243,264,1972
POA4650,698,142,852,4496,1787,201,6479,18364,3234,28085
POA4655,1250,312,1571,8027,2702,367,11100,33582,4688,49374
POA4659,74,28,97,414,176,15,607,3053,541,4193
POA4660,102,31,133,773,333,34,1140,4342,671,6159
POA4662,11,0,11,99,35,6,144,380,98,626
POA4670,1690,414,2126,11324,4241,491,16059,43162,5988,65207
POA4671,75,25,102,743,249,19,1009,3362,683,5055
POA4673,3,0,3,96,22,0,121,382,38,540
POA4674,12,3,12,143,52,9,207,909,145,1254
POA4676,0,0,0,17,6,0,23,95,18,135
POA4677,13,0,15,527,150,24,700,1891,319,2907
POA4678,9,0,9,103,36,3,148,525,56,725
POA4680,384,67,461,10419,2817,476,13711,24152,3662,41525
POA4694,0,0,0,26,8,3,35,97,19,153
POA4695,13,0,13,165,68,10,244,540,89,871
POA4697,0,0,0,25,7,0,39,65,13,114
POA4699,11,0,11,73,30,5,112,188,37,339
POA4700,470,107,581,2403,988,123,3513,9139,1655,14311
POA4701,566,238,810,6926,2875,342,10147,20808,3031,33985
POA4702,205,27,237,4935,1588,210,6731,12647,2903,22285
POA4703,390,99,500,3494,1360,158,5008,11387,1911,18308
POA4704,0,0,0,13,8,0,22,79,11,113
POA4705,0,0,0,66,8,3,70,165,43,286
POA4706,0,0,0,17,0,0,16,57,11,83
POA4707,3,0,3,25,11,0,36,174,14,223
POA4709,0,0,0,282,34,13,320,307,130,767
POA4710,62,85,150,721,309,41,1065,2290,485,3838
POA4711,11,0,7,320,136,15,480,890,127,1494
POA4712,0,3,4,37,10,4,48,139,30,220
POA4713,0,0,0,88,55,0,152,429,58,637
POA4714,65,14,71,294,164,17,478,1712,302,2485
POA4715,89,10,106,1259,366,58,1684,3253,518,5449
POA4716,14,3,11,154,61,0,217,421,59,692
POA4717,3,0,4,988,181,44,1212,1823,504,3535
POA4718,4,6,13,459,123,18,599,955,252,1801
POA4719,9,5,13,180,45,10,229,491,100,818
POA4720,49,12,64,2932,739,115,3791,5345,1462,10596
POA4721,46,8,54,668,166,21,852,1549,421,2825
POA4722,25,8,34,313,81,13,405,821,196,1431
POA4723,3,3,4,249,93,13,353,535,172,1058
POA4724,8,0,8,92,29,0,118,309,36,472
POA4725,26,10,36,197,79,10,286,815,126,1231
POA4726,0,0,3,84,21,5,105,175,26,309
POA4727,4,3,6,42,13,0,57,125,22,202
POA4728,0,3,3,37,3,0,38,98,19,150
POA4730,61,9,69,470,144,11,630,1705,290,2625
POA4731,3,0,0,32,12,0,46,119,21,180
POA4732,0,0,0,16,3,0,15,84,9,115
POA4733,3,0,3,25,6,0,35,100,21,153
POA4735,16,7,28,129,55,8,188,526,86,810
POA4736,3,0,3,13,7,0,17,70,8,89
POA4737,93,14,113,1259,500,58,1823,3810,861,6490
POA4738,3,0,9,159,62,0,225,610,129,962
POA4739,5,0,5,49,14,4,67,195,26,290
POA4740,1157,164,1335,13441,4507,612,18557,39318,6084,63968
POA4741,47,17,58,1065,399,35,1501,3431,881,5813
POA4742,0,0,0,190,44,6,241,472,223,937
POA4743,0,0,0,159,15,7,172,214,78,467
POA4744,3,3,8,2032,310,80,2420,2903,906,6237
POA4745,0,0,4,579,103,16,700,963,544,2198
POA4746,0,0,0,470,79,18,569,614,218,1393
POA4750,16,4,15,1171,279,55,1511,2412,345,4265
POA4751,31,8,38,812,303,35,1146,2043,363,3557
POA4753,15,6,16,957,227,48,1236,1589,294,3115
POA4754,41,0,45,385,122,10,522,1028,207,1759
POA4756,3,0,3,79,39,3,123,325,48,494
POA4757,0,0,0,41,23,6,71,161,44,274
POA4798,8,4,11,107,44,3,152,332,61,545
POA4799,4,0,4,148,55,5,203,533,123,853
POA4800,113,50,166,1500,493,72,2062,4524,897,7484
POA4801,0,0,0,16,0,0,15,232,11,256
POA4802,30,6,36,1501,371,67,1935,4829,1227,7995
POA4803,0,0,0,113,36,6,156,911,658,1722
POA4804,22,6,32,237,74,4,318,889,223,1423
POA4805,158,53,210,1444,501,78,2029,5612,1197,8834
POA4806,82,46,129,528,260,13,802,2034,350,3184
POA4807,246,63,313,1599,690,39,2324,5827,912,9067
POA4808,17,3,22,172,75,6,261,605,51,916
POA4809,3,3,3,166,42,0,209,542,82,833
POA4810,355,87,450,2659,1090,117,3871,12578,2383,18832
POA4811,80,20,105,2053,747,83,2878,6129,1743,10753
POA4812,432,58,497,2872,1044,95,4013,10166,1251,15429
POA4814,509,81,600,7150,2675,360,10183,23714,3289,37186
POA4815,179,35,215,3505,1269,177,4946,9583,1499,16030
POA4816,43,5,52,1323,650,68,2037,4741,584,7356
POA4817,260,28,299,5443,2024,288,7756,14204,1639,23595
POA4818,70,7,79,5922,1442,249,7614,11761,1710,21082
POA4819,25,9,33,227,104,19,352,1438,284,2069
POA4820,156,35,196,1545,568,61,2176,5193,1084,8454
POA4821,26,0,24,188,59,0,249,714,126,1088
POA4822,8,0,8,119,37,0,156,413,70,638
POA4823,5,0,9,154,42,5,207,503,73,781
POA4824,13,8,20,422,110,13,548,1274,389,2213
POA4825,61,20,84,3295,973,167,4436,8170,1986,14596
POA4828,0,0,0,13,11,3,24,96,38,166
POA4829,0,0,0,41,14,0,60,237,84,379
POA4830,0,0,5,309,117,9,435,586,105,1117
POA4849,52,4,58,106,57,4,176,898,147,1220
POA4850,342,74,414,1371,611,48,2030,6213,965,9214
POA4852,33,9,43,523,153,29,703,1906,441,3046
POA4854,76,23,99,761,305,15,1083,2869,509,4462
POA4855,11,0,9,108,40,3,148,388,90,624
POA4856,5,3,10,92,43,0,136,373,77,580
POA4858,19,0,22,236,81,13,333,755,94,1181
POA4859,8,6,8,54,18,0,74,279,35,397
POA4860,297,37,337,1485,613,44,2142,5903,1083,9124
POA4861,37,8,46,192,88,4,289,791,124,1206
POA4865,102,16,123,1420,460,79,1966,3685,559,6202
POA4868,244,43,288,3638,1346,157,5140,10499,1594,17238
POA4869,69,7,84,3558,1010,197,4762,7839,1279,13874
POA4870,867,267,1155,10828,3150,531,14510,35757,7332,57601
POA4871,99,31,127,1404,704,85,2187,5415,1063,8660
POA4872,46,7,57,515,188,22,730,2037,475,3239
POA4873,72,34,101,875,323,41,1238,3274,732,5242
POA4874,0,0,4,991,245,58,1294,2141,382,3822
POA4875,21,3,23,1229,401,88,1718,2985,856,5560
POA4876,6,0,6,504,233,40,777,888,129,1791
POA4877,16,42,56,616,191,25,840,2846,757,4442
POA4878,97,21,125,2095,666,87,2847,7027,1208,11084
POA4879,114,19,132,3328,959,158,4441,9888,1328,15652
POA4880,237,47,283,1713,706,108,2525,6196,2188,10906
POA4881,31,3,38,627,274,65,967,2228,445,3645
POA4882,41,11,56,403,182,23,615,1375,194,2185
POA4883,232,61,292,1183,447,50,1682,4513,685,6873
POA4884,44,8,57,288,114,9,414,973,124,1504
POA4885,87,9,99,544,265,33,847,2020,259,3128
POA4886,13,5,14,101,47,4,153,486,64,703
POA4887,40,3,43,208,99,15,316,1148,213,1674
POA4888,26,13,32,328,126,29,476,1561,492,2532
POA4890,3,0,5,145,69,5,217,591,144,954
POA4891,4,0,4,46,10,3,54,348,71,477
POA4892,11,0,15,749,679,179,1601,2069,387,4064
POA4895,27,9,38,562,321,58,945,1973,588,3505
