POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA4674,0,0,3,6,13,16,40,23,3,107,0,0,0,0,0,0,4,0,0,6,3,4,7,14,22,30,36,8,0,128,29,32,60,132,261,356,246,77,12,1215
POA4676,0,0,0,0,0,6,3,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,3,0,0,17,0,0,5,18,30,41,25,13,0,136
POA4677,0,0,3,3,9,23,76,36,4,155,0,0,0,0,0,0,0,0,0,0,30,7,28,53,80,62,46,30,0,338,90,87,273,474,652,635,451,131,15,2809
POA4678,0,0,0,0,3,8,35,11,3,58,0,0,0,0,0,0,0,0,0,0,0,3,0,6,10,14,22,8,3,72,9,30,53,86,159,154,155,50,9,702
POA4680,7,9,46,81,148,235,580,457,158,1717,3,9,18,19,19,15,10,5,6,101,238,285,652,626,686,541,310,198,86,3633,1663,3416,7998,7936,7864,5868,3115,1412,461,39733
POA4694,0,0,0,0,0,3,5,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,3,0,0,15,12,5,19,28,39,18,17,3,0,139
POA4695,0,0,3,0,3,11,29,19,11,77,0,0,0,0,0,0,0,0,0,3,0,11,4,14,18,18,9,10,0,88,24,48,112,145,168,171,123,36,13,847
POA4697,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,3,7,15,13,30,20,14,6,0,113
POA4699,0,0,0,0,4,5,19,9,4,38,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,0,3,9,0,28,4,3,38,73,58,70,41,18,11,318
POA4700,9,5,27,27,66,84,309,370,165,1069,0,0,7,3,3,11,8,10,4,50,86,108,199,194,253,269,225,245,218,1801,612,1137,2213,1900,2362,2096,1470,1123,581,13485
POA4701,15,32,118,145,179,217,768,765,281,2514,0,19,41,37,34,26,16,14,3,201,195,242,460,404,473,419,363,369,263,3173,1618,3006,6035,5302,5509,4844,3484,2056,810,32663
POA4702,5,13,38,44,105,219,571,400,95,1493,3,0,3,3,17,9,16,12,4,71,142,232,528,499,491,407,303,183,51,2834,914,1713,3895,3569,4036,3708,2368,1074,237,21504
POA4703,7,3,12,18,48,122,353,321,159,1052,3,0,6,6,7,5,3,8,8,51,83,96,213,268,342,321,250,191,95,1865,675,1132,2281,2739,3268,3280,2380,1227,500,17479
