POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA4854,0,0,19,12,25,61,120,95,42,374,0,4,4,0,3,5,5,5,6,31,23,33,77,67,87,75,62,41,14,473,161,332,685,614,757,772,601,297,99,4312
POA4855,0,0,3,0,10,3,21,18,8,59,0,0,0,0,0,0,0,0,0,0,0,9,9,6,18,22,13,7,0,83,15,35,80,66,125,140,90,47,9,603
POA4856,0,0,0,8,8,8,20,15,6,57,0,0,0,0,0,0,0,3,0,3,0,3,18,6,7,15,20,5,0,76,17,25,75,75,112,129,83,39,10,561
POA4858,0,0,0,3,8,20,29,22,13,95,0,0,0,0,0,0,0,0,0,3,4,3,16,8,17,14,14,11,0,89,40,59,163,177,220,243,118,85,22,1125
POA4859,0,0,0,0,0,8,11,10,9,35,0,0,0,0,0,3,0,0,0,3,3,3,7,3,11,5,4,3,3,43,13,37,43,53,84,78,40,34,8,382
POA4860,3,10,22,34,42,119,228,254,167,881,0,3,7,5,16,22,12,17,9,92,64,72,197,133,162,198,163,115,30,1138,340,595,1341,1212,1499,1596,1151,726,337,8800
POA4861,0,0,0,0,9,9,35,40,25,120,0,0,0,0,3,0,0,3,3,10,3,7,12,19,21,16,10,16,11,111,23,67,106,187,208,238,162,110,46,1154
POA4865,3,3,4,7,21,48,102,87,53,335,0,0,0,4,3,6,4,9,3,28,48,32,60,95,90,82,77,41,17,543,283,445,855,1104,1159,997,658,313,123,5931
POA4868,8,10,17,35,53,105,263,179,80,744,0,6,20,21,37,24,13,15,3,143,109,128,234,263,307,235,209,135,84,1700,678,1268,2812,3119,3043,2709,1866,740,288,16512
POA4869,4,8,14,37,70,90,194,122,29,566,0,8,32,21,25,22,19,7,10,143,106,95,248,197,211,175,114,62,11,1214,711,1162,2803,2737,2411,1725,1132,398,84,13155
POA4870,24,41,139,163,204,295,563,527,327,2276,5,22,87,117,103,74,68,45,10,521,424,593,1399,1228,1247,1032,720,488,256,7392,2099,4322,10375,10450,10515,8346,5426,2593,1155,55269
POA4871,13,10,23,18,52,99,219,157,56,644,4,4,4,3,10,7,13,7,3,59,54,59,149,146,201,221,159,71,21,1081,369,603,1203,1173,1620,1647,1156,457,127,8356
POA4872,4,0,6,8,16,44,107,75,22,278,0,0,0,0,5,4,0,5,0,21,17,11,46,52,84,96,105,46,10,465,105,132,328,396,622,677,576,246,57,3133
POA4873,3,3,4,3,16,49,86,67,37,271,0,0,0,0,0,0,3,5,0,14,36,28,88,118,140,139,112,62,26,747,177,239,620,849,1025,1042,694,309,101,5059
POA4874,4,3,12,22,26,41,36,7,0,143,0,0,3,0,0,6,3,8,0,16,17,44,75,100,85,53,22,3,0,401,174,352,900,851,775,448,132,29,4,3664
POA4875,15,7,11,19,51,132,139,69,9,457,3,0,5,6,3,10,9,4,3,41,133,114,272,116,109,79,50,8,6,892,417,700,1307,979,813,702,297,95,23,5337
POA4876,4,4,12,6,10,31,39,10,6,117,0,0,0,0,0,0,0,0,0,0,16,5,25,27,17,12,3,0,0,107,144,239,415,309,278,195,86,13,6,1685
POA4877,0,0,4,6,11,8,19,14,0,72,0,0,4,0,0,0,0,0,0,3,22,50,156,113,91,140,91,73,38,779,102,273,894,710,757,825,544,223,56,4376
POA4878,4,0,5,11,27,41,98,54,31,282,0,0,3,4,5,4,6,7,3,33,49,77,174,192,231,214,152,72,33,1198,453,878,1791,1965,2048,1880,1185,419,123,10744
POA4879,0,0,14,15,23,49,111,72,20,303,0,0,11,4,9,4,7,3,0,38,80,71,201,214,233,225,186,58,12,1278,494,892,2363,2868,3121,2694,1877,598,132,15045
POA4880,4,12,18,31,58,128,314,337,122,1028,0,0,6,4,7,3,16,28,15,92,119,259,484,377,294,245,220,168,92,2252,412,874,1701,1619,1722,1596,1423,870,283,10509
POA4881,0,0,3,10,8,20,53,15,7,119,0,0,0,0,0,0,0,3,0,7,30,21,40,60,108,93,85,30,3,480,109,130,359,601,736,820,555,181,38,3519
POA4882,0,0,0,0,4,18,44,69,22,158,0,0,0,0,0,0,0,4,0,8,15,16,19,17,32,41,30,26,7,202,65,107,262,315,367,450,320,181,56,2110
POA4883,3,3,9,9,27,69,169,205,94,586,0,0,0,3,5,10,3,8,6,38,32,44,50,69,85,109,85,109,54,633,282,450,775,881,1047,1132,1056,711,292,6627
POA4884,0,0,3,6,8,3,25,25,13,74,0,3,0,3,0,0,0,0,0,7,4,0,9,15,23,25,18,22,10,123,26,42,151,206,261,305,285,120,57,1458
POA4885,0,0,3,4,7,16,73,61,15,181,0,3,0,0,0,0,0,0,0,7,6,14,25,25,51,54,68,53,40,337,94,126,290,355,555,660,571,264,99,3003
POA4886,0,0,0,0,0,6,17,14,7,43,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,20,15,5,3,68,20,23,49,90,137,162,133,43,14,678
POA4887,0,0,0,4,10,16,51,29,11,127,0,0,0,0,0,0,0,4,0,8,13,7,21,24,37,36,34,18,6,196,63,67,148,166,291,373,314,121,43,1591
POA4888,0,3,4,6,23,30,64,39,4,175,0,0,0,0,0,5,0,3,0,18,20,23,35,62,100,85,108,44,11,495,88,128,232,298,451,542,483,185,32,2436
POA4890,0,0,6,8,8,31,31,12,3,99,0,0,0,0,0,0,9,6,0,18,5,12,26,21,22,28,15,5,0,139,67,94,184,160,165,142,84,34,5,945
POA4891,0,0,0,0,6,5,27,7,0,45,0,0,0,0,0,0,0,0,0,7,3,5,10,8,6,13,10,6,0,59,6,29,39,58,96,101,110,36,4,477
POA4892,29,27,59,75,68,153,112,30,8,559,3,4,6,7,10,19,13,15,6,73,41,79,80,67,64,27,28,4,0,393,342,501,877,765,702,481,238,53,15,3972
POA4895,3,0,7,12,43,57,93,31,11,261,0,0,3,0,0,3,4,0,0,14,49,50,71,59,82,121,99,22,12,572,182,249,508,551,595,684,497,139,38,3433
