POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA4733,0,0,0,3,3,3,0,0,0,13,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,0,4,3,5,5,0,0,24,3,12,22,20,33,33,22,6,3,153
POA4735,0,9,11,11,15,24,6,0,0,78,0,8,9,10,4,13,8,0,0,52,0,4,3,7,12,3,3,0,0,31,0,0,7,0,4,0,0,0,0,14,0,0,5,9,7,0,0,0,0,19,0,0,0,3,3,4,3,0,0,15,3,3,10,8,12,19,26,10,13,108,49,46,110,95,132,148,130,70,28,810
POA4736,0,0,3,4,4,0,0,0,0,14,0,0,3,0,3,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,9,4,14,7,25,11,10,3,3,89
POA4737,5,25,66,97,86,84,41,3,7,420,0,18,78,57,70,44,23,0,0,289,0,19,59,70,69,60,4,0,0,290,0,4,47,52,56,54,7,0,0,218,0,12,84,146,116,87,11,0,0,452,0,0,18,24,42,30,8,0,0,128,90,49,126,130,152,153,124,92,22,933,504,417,926,1026,1119,1213,818,357,113,6490
POA4738,0,5,17,10,16,16,9,0,0,70,0,0,8,8,8,5,3,0,0,34,0,5,12,3,3,9,3,0,0,41,0,4,11,11,13,7,0,0,0,40,0,3,9,13,20,19,0,0,0,69,0,0,3,13,3,10,0,0,0,28,7,9,17,16,14,31,27,13,0,141,66,41,139,124,172,232,138,40,9,962
POA4739,0,0,5,4,3,0,0,0,0,15,0,0,3,4,9,4,0,0,0,23,0,0,0,5,3,0,3,0,0,16,0,0,0,3,0,3,0,0,0,3,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,5,0,3,3,0,3,8,3,4,0,22,15,6,30,35,66,70,37,21,5,290
POA4740,24,463,1256,1039,1166,871,266,69,19,5172,12,249,969,804,856,590,122,37,11,3647,3,134,848,817,886,612,112,18,5,3439,3,86,562,599,637,452,64,11,4,2420,0,79,934,1128,1093,647,81,22,6,3988,3,17,263,544,619,378,71,31,8,1943,441,501,1154,1057,1248,1028,667,542,298,6938,4994,5044,11339,10669,11589,9790,5929,3277,1335,63968
POA4741,3,19,65,83,112,91,15,3,3,388,0,18,41,69,95,51,17,3,0,295,0,5,39,57,81,61,15,3,0,254,0,9,32,59,61,32,10,4,0,213,0,4,75,100,99,59,9,7,0,363,0,0,13,47,67,23,8,5,0,171,74,57,137,155,188,146,85,56,19,914,464,302,692,930,1265,1085,685,333,58,5813
POA4742,0,7,14,15,16,11,8,0,0,70,0,0,7,4,12,8,0,0,0,37,0,6,17,11,18,13,0,0,0,64,0,3,13,12,12,7,0,0,0,48,0,3,26,27,24,13,5,0,0,102,0,0,13,10,12,8,3,0,0,40,8,24,69,50,41,33,15,0,0,245,27,75,225,204,171,151,64,17,0,937
POA4743,3,7,4,7,7,5,0,0,0,31,0,0,10,4,3,0,0,0,0,19,0,0,5,3,4,0,0,0,0,17,0,0,0,9,11,0,0,0,0,28,0,3,26,28,20,10,3,0,0,89,0,4,11,7,9,8,0,0,0,45,7,10,19,15,14,11,0,0,0,81,37,41,116,123,83,53,12,0,0,467
