POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA4809,0,0,14,9,15,12,5,0,0,63,0,3,10,12,13,9,0,0,0,54,0,0,12,9,16,14,0,0,0,57,0,0,3,4,4,4,0,0,0,15,0,0,4,3,4,6,0,0,0,18,0,0,0,6,3,3,0,0,0,8,9,3,9,13,11,9,24,0,3,81,57,46,98,114,157,182,124,47,3,833
POA4810,8,196,435,258,293,260,111,21,12,1599,3,118,418,236,264,188,53,10,7,1299,4,56,314,269,255,201,55,9,3,1174,0,16,195,185,206,133,23,3,0,761,0,12,206,297,335,198,48,11,3,1111,0,3,71,171,254,169,54,8,3,743,137,256,481,362,411,318,261,146,86,2450,1181,1840,3607,2930,3340,2838,1806,833,450,18832
POA4811,12,162,243,213,186,121,37,7,5,991,4,98,199,149,158,94,21,3,5,730,3,34,154,137,163,82,11,5,0,590,0,3,87,109,116,48,13,0,0,375,0,3,121,165,144,51,13,0,0,492,0,3,38,78,56,26,5,0,0,208,118,254,466,356,262,161,83,65,15,1780,904,1217,2074,1911,1800,1372,903,455,105,10753
POA4812,3,111,360,286,287,206,80,12,8,1352,0,40,275,220,216,143,32,8,4,937,0,15,192,237,232,141,22,3,0,834,0,5,89,144,140,81,19,0,3,486,0,9,79,149,190,96,14,10,0,541,0,4,18,81,72,40,15,3,0,229,106,100,210,174,221,186,159,115,63,1351,1216,1268,2622,2431,2597,2197,1543,1043,497,15429
POA4814,71,519,879,626,634,461,170,26,14,3395,22,318,696,595,467,354,69,20,7,2548,3,87,509,518,483,300,57,13,4,1980,0,15,227,382,318,247,39,9,0,1241,0,26,297,497,515,263,52,8,3,1660,3,9,68,183,199,150,37,9,7,660,388,664,619,445,419,337,307,200,78,3451,4020,5229,6563,5828,5536,4535,3189,1691,600,37186
POA4815,6,126,360,313,326,202,77,20,7,1428,3,67,250,233,224,137,52,4,0,963,0,14,140,204,193,107,16,8,0,687,0,6,63,113,128,68,5,0,0,383,0,5,80,143,144,64,9,0,0,454,6,0,15,43,41,22,8,0,0,134,176,148,244,221,248,201,166,94,28,1534,1590,1632,2849,2595,2705,2118,1573,750,215,16030
POA4816,3,23,73,105,109,104,54,10,0,481,0,12,44,80,90,60,23,4,0,299,0,3,52,62,76,61,10,3,0,273,0,0,30,35,52,33,11,0,0,163,0,0,45,66,75,54,5,0,0,239,0,0,15,16,26,30,17,7,0,111,59,51,61,90,123,102,125,43,3,654,554,471,938,1119,1354,1434,1098,342,52,7356
POA4817,10,199,604,520,491,352,94,13,3,2292,3,106,464,430,385,260,51,10,0,1711,0,32,313,422,429,214,22,0,0,1433,0,7,178,269,281,143,12,0,3,890,0,12,170,317,337,180,16,3,0,1041,0,9,37,90,85,58,7,0,3,295,182,156,302,280,304,273,202,130,115,1945,2322,2179,4181,4186,4112,3392,2103,825,299,23595
POA4818,14,245,725,496,395,281,70,10,0,2238,6,133,626,429,312,178,39,3,0,1732,0,57,454,363,289,155,26,6,4,1354,0,15,264,225,171,90,15,0,0,789,0,10,280,360,241,107,13,0,0,1023,3,4,57,101,79,41,9,0,0,293,165,176,423,323,292,242,171,64,6,1855,1700,2139,5218,4122,3279,2575,1529,441,79,21082
POA4819,0,3,17,25,28,38,22,4,0,136,0,0,3,14,20,29,4,0,0,72,0,0,7,15,20,27,3,0,0,64,0,0,3,8,7,18,7,3,0,43,0,3,6,11,21,19,11,3,0,68,0,0,3,5,7,7,6,3,0,32,17,16,32,31,44,78,41,18,6,285,77,69,195,236,344,565,390,148,33,2069
POA4820,8,50,113,96,132,101,44,10,4,557,5,19,90,89,88,73,9,3,0,379,0,9,62,99,103,66,18,5,0,352,0,3,36,45,62,43,10,3,0,201,0,10,53,102,86,62,12,3,0,325,0,0,17,30,34,32,3,9,3,125,97,64,141,170,177,166,144,101,31,1093,859,517,1075,1287,1388,1379,1130,618,196,8454
POA4821,0,6,18,20,14,15,6,0,3,93,4,0,7,8,16,13,7,0,0,54,0,0,8,3,12,5,3,0,0,28,0,3,4,7,3,3,0,0,0,29,0,0,10,12,16,14,3,0,0,49,0,0,0,5,4,3,3,0,0,13,7,14,26,11,21,22,29,11,0,135,60,94,171,132,182,182,178,67,24,1088
POA4822,0,0,26,9,5,14,3,3,0,62,0,4,13,10,3,5,0,0,0,40,0,0,5,0,5,5,0,0,0,24,0,0,3,0,4,0,8,0,0,18,0,0,0,4,4,6,0,0,0,16,0,0,0,4,3,3,0,0,0,9,7,4,13,13,11,12,8,7,0,71,34,63,140,81,110,107,63,36,8,638
POA4823,4,9,17,13,16,12,4,0,0,79,0,3,12,8,16,14,0,0,0,54,0,3,3,7,9,9,0,0,0,36,0,4,14,4,7,4,3,0,0,32,0,3,14,29,14,9,0,0,0,71,0,0,4,7,11,7,0,0,0,35,5,5,13,11,19,17,10,5,0,96,25,59,154,148,150,143,68,25,9,781
POA4824,6,16,52,36,30,31,6,0,0,172,3,13,47,16,27,20,5,0,0,139,0,6,42,39,46,17,3,0,0,152,0,4,43,28,25,20,3,0,0,136,0,13,78,68,51,35,3,0,0,245,0,0,20,23,16,18,12,4,0,82,29,27,81,66,60,69,38,27,8,405,133,175,507,379,380,362,193,58,20,2213
POA4825,20,162,307,196,229,131,41,8,0,1098,13,120,308,205,179,93,32,0,0,953,3,72,268,187,183,106,19,0,0,846,0,71,247,177,183,99,20,3,0,811,3,86,676,488,418,209,32,0,0,1915,5,6,106,155,146,69,19,0,0,502,178,191,510,324,396,269,143,45,19,2079,1160,1472,3654,2665,2589,1733,911,331,84,14596
POA4828,0,0,0,0,4,0,0,0,0,14,0,0,0,4,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,4,6,3,7,4,0,0,40,18,18,22,27,25,33,17,4,0,166
POA4829,0,3,9,9,4,8,4,0,0,38,0,0,3,5,3,0,0,0,0,15,0,0,6,4,3,9,0,0,0,20,0,0,0,3,3,3,0,0,0,14,0,0,3,0,3,3,0,0,0,12,0,0,3,4,0,0,0,0,0,11,11,9,10,11,12,23,5,0,0,84,23,34,80,62,60,79,27,9,0,379
POA4830,0,5,17,8,10,11,0,0,0,47,0,3,10,8,10,4,0,0,0,30,0,0,4,10,5,0,0,0,0,19,0,0,0,7,0,0,0,0,0,8,0,0,3,8,3,3,0,0,0,15,0,0,0,0,7,0,0,0,0,11,21,16,20,19,14,19,3,0,0,115,136,153,264,223,148,131,49,10,5,1117
POA4849,0,3,10,8,27,17,5,6,0,73,0,0,0,3,7,7,3,0,0,25,0,0,0,3,3,5,9,5,0,28,0,0,3,6,3,3,0,0,0,16,0,0,0,8,8,5,0,0,0,23,0,0,0,0,4,6,0,3,0,19,6,3,13,14,26,30,25,20,9,164,44,48,104,115,189,271,256,135,58,1220
POA4850,0,37,102,117,151,147,60,21,6,645,0,18,71,91,92,108,37,12,0,433,0,14,48,63,103,88,24,13,3,352,0,4,39,32,43,54,12,6,0,200,0,0,28,41,50,38,19,7,3,190,0,0,13,23,40,30,11,3,6,131,80,50,81,89,141,187,195,149,64,1034,647,457,838,1054,1528,1752,1516,1003,414,9214
POA4852,0,12,39,34,50,58,22,6,3,230,0,4,22,31,43,25,11,3,0,137,0,3,23,29,32,24,11,0,0,122,0,0,5,18,19,8,7,0,0,61,0,0,6,28,30,23,11,3,0,97,0,0,3,8,12,10,3,5,0,45,39,17,40,78,66,83,91,30,8,450,169,152,334,470,546,667,499,169,43,3046
POA4854,3,28,59,64,79,70,22,15,3,339,0,15,41,43,45,49,11,3,0,207,0,8,24,42,38,28,3,0,0,146,0,4,15,15,23,18,3,3,0,79,0,0,11,24,30,20,0,0,0,91,0,0,4,8,12,12,3,0,0,40,49,32,83,69,70,79,70,28,18,499,307,330,684,614,756,772,602,297,99,4462
POA4855,0,3,9,3,8,12,3,0,0,43,0,0,10,3,12,3,7,0,0,31,0,0,3,0,3,5,3,0,0,14,0,0,0,0,0,6,0,0,0,7,0,0,0,3,3,0,0,0,0,9,0,0,0,3,0,0,0,0,0,5,3,11,9,9,15,22,14,10,0,98,36,35,80,66,125,140,90,47,9,624
POA4856,0,0,3,6,19,9,7,4,0,46,0,0,4,5,7,7,0,0,0,30,0,0,0,3,7,7,0,0,0,20,0,0,0,0,7,4,0,0,0,13,0,0,0,9,4,0,0,0,0,8,0,0,0,0,0,4,3,0,0,5,3,0,11,5,9,14,16,4,4,67,33,25,75,75,112,129,83,39,10,580
POA4858,0,4,22,26,28,24,0,0,0,107,0,0,14,10,11,9,0,0,0,43,0,0,7,16,7,14,0,0,0,51,0,0,3,3,7,0,0,0,0,22,0,0,0,13,18,6,0,0,0,33,0,0,3,5,3,8,0,0,0,26,9,6,20,11,18,20,12,14,0,106,97,59,163,177,220,243,118,82,22,1181
POA4859,0,3,0,5,9,6,0,0,0,33,0,0,0,3,3,3,0,0,0,19,0,0,3,7,3,3,0,0,0,13,0,0,0,0,4,4,0,0,0,9,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,4,0,8,4,3,4,0,38,21,37,43,53,84,78,40,34,8,397
POA4860,0,35,134,121,140,144,45,17,8,649,3,16,59,77,83,88,21,13,3,364,0,3,56,54,81,58,11,3,0,279,0,3,18,46,42,38,15,3,3,174,0,6,28,36,75,53,17,3,4,215,0,0,16,13,22,20,5,6,3,84,92,61,176,140,150,185,149,82,26,1053,657,595,1344,1209,1503,1599,1157,728,337,9124
POA4861,0,4,7,23,18,26,11,0,0,90,0,3,3,13,15,10,4,0,0,49,0,0,7,10,10,8,0,0,0,35,0,0,0,10,11,11,0,0,0,31,0,0,3,10,6,10,0,0,0,27,0,0,0,5,4,4,3,0,0,19,13,7,9,15,22,29,22,20,7,141,75,67,106,187,208,239,162,110,46,1206
POA4865,3,29,104,138,149,103,31,11,3,572,0,20,84,108,92,60,9,7,0,379,0,8,63,84,96,62,7,3,6,323,0,7,36,57,70,35,7,0,0,211,0,0,41,46,72,39,8,3,0,217,0,0,12,26,18,15,3,3,0,85,89,45,52,97,89,93,85,51,36,640,547,450,853,1108,1159,1002,658,313,123,6202
POA4868,5,83,332,391,371,298,95,12,0,1591,0,39,224,273,228,154,42,3,0,966,0,11,170,213,225,150,30,3,3,802,0,3,90,138,144,104,26,3,3,514,0,6,81,160,176,121,26,3,0,574,0,0,32,52,59,44,16,9,0,207,156,148,265,281,306,243,198,117,72,1787,1397,1269,2814,3120,3043,2710,1866,740,288,17238
POA4869,13,73,376,376,325,176,41,9,3,1390,0,41,230,237,192,117,34,3,3,855,0,16,159,196,178,81,11,3,0,642,0,6,92,117,109,47,16,0,0,382,0,0,88,120,110,67,12,0,3,399,0,0,21,40,16,22,15,0,0,116,163,104,266,210,215,184,107,58,13,1311,1415,1163,2805,2736,2410,1727,1133,401,84,13874
POA4870,16,279,1136,1157,1113,827,234,72,29,4864,9,151,736,791,795,527,162,22,9,3208,0,69,561,722,787,455,118,11,11,2733,0,30,327,453,539,324,66,13,5,1762,3,15,440,652,723,396,81,26,9,2340,5,13,121,332,398,271,84,16,16,1266,574,654,1464,1246,1256,989,720,481,260,7636,4369,4329,10386,10461,10522,8352,5429,2596,1155,57601
POA4871,4,40,105,91,142,139,40,4,3,562,0,11,66,66,69,76,29,10,0,316,0,4,45,64,70,50,8,0,5,251,0,0,17,37,41,38,15,0,0,148,0,3,27,33,46,43,5,5,0,172,0,0,11,13,35,18,11,8,0,96,106,57,149,147,205,229,155,75,19,1151,662,605,1200,1178,1620,1651,1156,457,127,8660
POA4872,0,9,29,41,62,47,23,6,0,213,0,0,16,15,35,14,14,9,0,106,0,3,7,11,28,30,3,4,0,84,0,0,8,15,20,16,10,6,0,71,0,0,10,20,28,15,4,0,0,75,0,0,7,15,8,13,10,0,0,54,39,16,54,43,87,87,93,44,9,465,204,132,328,396,625,677,574,246,57,3239
POA4873,4,22,70,95,112,76,27,16,0,422,0,8,32,51,64,32,13,7,0,204,3,0,27,58,45,41,11,3,0,187,0,0,8,30,33,23,0,0,0,92,0,4,15,21,33,34,3,3,0,107,4,0,7,16,17,15,5,0,0,63,73,31,86,112,136,148,100,54,32,764,362,239,620,849,1026,1042,694,309,101,5242
POA4874,5,23,76,53,60,27,7,0,0,261,3,18,68,60,52,20,0,0,0,230,0,15,71,73,62,29,9,0,0,260,0,12,96,82,76,32,9,0,0,306,0,16,145,132,119,62,6,0,0,482,0,0,13,54,33,16,5,0,0,124,52,50,77,80,79,53,17,0,0,412,327,357,900,850,775,448,132,29,4,3822
POA4875,3,24,81,70,67,32,6,0,0,283,0,23,57,52,46,27,3,0,0,212,3,9,48,51,42,27,0,3,0,179,0,0,25,40,27,15,6,0,0,108,0,3,37,43,45,41,5,0,0,178,0,0,11,13,15,13,0,0,0,46,221,144,289,116,126,93,37,5,0,1033,636,700,1307,979,813,708,297,95,23,5560
POA4876,0,3,33,15,20,10,0,0,0,87,0,5,18,14,14,14,0,0,0,73,0,0,16,15,10,8,3,0,0,49,0,0,5,5,3,4,3,0,0,26,0,0,5,7,8,9,0,0,0,38,0,0,3,0,0,4,0,0,0,12,29,10,20,24,19,10,3,0,0,119,246,241,412,309,278,195,86,13,6,1791
POA4877,0,21,129,75,96,77,36,13,3,455,0,0,41,44,44,34,13,3,0,189,0,0,26,41,46,30,18,0,0,169,0,0,10,26,21,20,8,3,0,95,0,0,3,35,31,26,7,0,0,106,3,0,5,16,21,23,15,5,0,96,33,51,153,112,99,138,91,60,42,778,163,273,893,710,757,825,544,223,56,4442
POA4878,5,58,259,245,225,192,58,11,3,1055,0,29,165,168,160,123,34,4,0,683,0,12,118,124,176,116,25,5,0,581,0,5,58,88,87,64,16,3,5,325,0,7,58,90,152,81,14,3,0,403,0,0,23,40,72,62,13,3,0,209,83,76,179,205,237,220,150,63,27,1234,788,878,1793,1965,2052,1880,1185,419,125,11084
POA4879,4,64,300,351,393,266,105,33,5,1521,0,29,208,237,275,164,57,9,0,987,0,14,162,246,247,178,42,4,7,904,0,3,74,151,161,102,24,0,3,525,0,0,83,229,215,153,24,7,0,720,3,3,42,126,146,94,26,9,3,450,119,86,208,244,254,234,188,57,17,1398,1093,897,2363,2870,3122,2695,1877,599,132,15652
POA4880,0,41,137,154,186,130,49,13,3,725,0,16,102,95,114,78,26,11,0,436,0,3,56,82,122,48,21,4,0,341,0,3,12,54,53,33,10,3,0,165,0,4,40,52,64,40,3,0,0,197,0,4,20,17,22,25,11,5,0,106,180,257,474,368,279,238,195,152,39,2182,804,874,1706,1619,1722,1596,1423,870,283,10906
POA4881,0,5,32,50,72,60,24,0,0,250,0,5,24,44,56,44,5,0,0,180,0,0,15,33,60,45,0,0,0,152,0,0,0,21,27,16,5,0,0,80,0,0,10,39,47,34,3,3,0,132,0,0,10,8,9,14,5,0,0,46,51,26,37,52,91,83,69,21,4,434,226,130,359,604,736,822,555,181,38,3645
POA4882,0,3,37,36,28,52,13,6,0,175,0,5,19,25,30,21,4,0,0,104,0,3,13,30,27,22,5,3,0,98,0,0,8,18,17,13,3,0,0,62,0,0,8,15,28,18,3,0,0,71,0,0,6,6,10,12,3,5,0,43,29,9,18,18,30,34,31,23,9,200,130,107,262,315,367,450,320,181,56,2185
POA4883,0,26,81,107,111,79,43,20,6,476,0,9,53,69,67,60,20,3,3,293,0,3,41,66,68,41,14,8,0,239,0,0,24,31,28,37,9,0,0,134,0,4,34,37,34,38,11,3,0,163,0,0,9,12,16,26,9,3,3,82,66,41,56,71,88,115,107,98,68,709,528,450,781,881,1047,1128,1055,711,292,6873
POA4884,0,4,11,15,33,13,18,3,3,103,0,0,8,14,25,27,8,0,0,86,0,0,9,13,25,15,3,0,0,69,0,0,3,11,12,11,9,0,0,46,0,0,8,11,16,9,3,3,0,42,0,3,0,4,3,3,7,3,0,28,10,7,16,19,17,22,17,11,7,129,78,42,151,206,261,305,285,120,57,1504
POA4885,3,14,35,39,62,56,20,3,0,230,0,8,26,28,41,39,7,3,0,149,0,0,16,20,30,31,5,3,0,100,0,0,5,11,17,22,6,0,0,59,0,0,10,25,15,21,3,0,3,80,0,0,6,10,17,3,3,3,0,36,12,9,17,29,54,52,63,69,41,347,215,126,290,355,555,660,571,264,99,3128
POA4886,0,0,0,6,11,13,8,0,0,44,0,0,3,0,0,8,0,3,0,19,0,0,0,6,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,10,0,0,3,5,3,3,3,0,0,19,0,0,0,8,9,0,0,0,0,15,3,4,11,10,14,19,10,6,3,71,46,23,49,90,137,162,133,43,14,703
POA4887,0,3,22,17,20,21,3,7,4,92,0,0,10,9,12,15,3,0,0,48,0,0,3,8,18,7,3,0,0,38,0,0,3,6,9,7,0,0,0,31,0,0,3,4,3,3,7,0,0,22,0,0,0,3,4,8,3,0,0,15,38,9,17,28,39,40,37,27,14,244,144,67,148,173,288,373,314,121,43,1674
POA4888,0,3,12,20,26,22,15,0,0,95,0,0,5,8,14,18,3,3,0,49,0,0,9,10,12,16,0,0,0,49,0,0,0,5,13,11,0,0,0,39,0,0,6,9,17,5,0,0,0,40,0,0,0,9,3,8,0,0,0,17,30,25,47,54,88,102,93,37,12,492,183,128,231,299,450,542,483,185,32,2532
POA4890,3,12,16,21,17,11,4,0,0,86,0,3,13,9,9,14,3,0,0,51,0,0,14,11,15,4,0,0,0,49,0,0,8,10,6,8,3,0,0,36,0,0,6,9,10,7,0,0,0,33,0,3,0,5,0,4,4,0,0,20,19,12,26,23,26,23,16,10,3,148,83,94,184,160,165,142,84,34,5,954
POA4891,0,0,9,8,10,11,3,5,0,45,0,0,3,8,9,4,0,0,0,29,0,0,0,0,3,7,0,0,0,13,0,0,0,0,3,3,0,0,0,4,0,0,0,9,7,9,0,0,0,24,0,0,0,0,3,3,0,0,0,10,3,9,11,9,5,12,18,3,0,68,6,29,39,58,96,101,110,36,4,477
POA4892,0,18,36,36,33,24,7,3,0,150,0,10,38,17,16,13,4,0,0,101,0,3,19,19,21,24,3,0,0,87,0,3,10,11,18,14,3,0,0,53,0,0,18,17,7,8,9,0,0,57,0,0,4,3,3,6,3,0,0,20,113,102,109,81,69,44,28,9,0,550,430,500,875,767,703,481,236,53,15,4064
POA4895,0,12,32,54,55,38,24,0,0,211,0,9,25,32,25,29,10,0,0,126,0,0,15,27,31,21,6,3,0,111,0,0,9,17,14,17,0,0,0,57,0,0,19,20,17,25,0,0,0,75,0,0,3,0,8,5,0,0,0,19,72,52,67,75,72,128,113,26,5,618,246,249,508,551,595,684,494,135,38,3505
