POA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA4705,..,0,0,0,0,0,0,0,0,3,..,3,0,0,3,4,0,0,0,6,0,3,0,0,0,0,0,0,0,3,24,13,17,12,29,13,11,10,0,129,..,0,20,27,38,19,14,9,0,133,..,7,5,3,3,4,0,0,0,27,..,0,0,0,7,0,0,0,0,7,55,..,..,..,..,..,..,..,..,55,..,0,..,..,..,..,..,..,..,0,..,4,3,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,3,..,3,0,0,0,0,0,0,0,6,..,0,0,0,3,0,3,0,0,11,..,3,3,3,9,8,3,0,0,29,0,3,0,0,0,0,0,0,0,9,55,30,43,30,56,33,24,19,0,289
POA4706,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,8,0,4,3,3,5,5,0,0,30,..,0,3,7,3,6,7,0,0,23,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,13,..,..,..,..,..,..,..,..,13,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,9,7,7,0,0,23,0,7,0,3,0,0,0,0,0,11,17,7,7,8,14,13,10,3,0,73
POA4707,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,4,5,0,10,0,0,0,0,0,3,0,0,0,7,10,13,5,13,4,20,18,12,0,85,..,4,0,11,10,23,22,9,0,80,..,3,3,9,3,10,0,0,0,28,..,0,0,4,0,3,0,0,0,8,20,..,..,..,..,..,..,..,..,20,..,3,..,..,..,..,..,..,..,3,..,0,5,0,0,0,0,0,0,7,..,0,0,0,0,3,0,0,0,7,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,3,..,3,0,3,9,6,13,6,0,45,0,3,0,0,3,3,0,0,0,12,20,12,13,22,22,52,40,21,3,216
POA4709,..,0,0,0,0,0,0,0,0,0,..,3,3,0,0,0,0,0,0,4,3,5,3,0,0,0,0,0,0,16,156,33,97,77,45,24,3,0,0,428,..,3,119,140,75,42,3,0,0,382,..,7,40,15,11,7,0,0,0,85,..,0,0,4,5,0,0,0,0,9,328,..,..,..,..,..,..,..,..,328,..,25,..,..,..,..,..,..,..,25,..,18,7,0,0,0,0,0,0,29,..,0,0,0,0,0,0,0,0,3,..,0,5,0,0,0,0,0,0,5,..,0,3,3,3,0,0,0,0,15,..,3,7,4,8,10,3,0,0,32,11,10,10,3,4,3,0,0,0,36,332,66,179,173,110,64,9,0,0,934
POA4710,..,11,5,8,3,17,5,0,0,52,..,3,13,10,37,60,51,61,34,268,8,12,6,5,6,12,6,3,3,65,399,211,231,262,288,324,243,154,55,2160,..,6,154,233,272,373,325,154,24,1544,..,59,113,86,59,46,25,3,0,387,..,21,37,65,63,17,11,11,8,236,908,..,..,..,..,..,..,..,..,908,..,135,..,..,..,..,..,..,..,135,..,119,47,15,15,5,3,0,0,198,..,17,17,0,5,15,10,5,3,69,..,27,11,4,6,0,0,0,0,51,..,26,21,16,17,34,13,0,0,125,..,10,32,28,78,101,97,87,56,491,15,19,14,14,22,11,19,7,4,118,920,439,434,466,541,598,495,275,95,4265
POA4711,..,0,0,0,0,0,0,0,0,0,..,3,0,3,3,7,8,3,0,30,0,3,0,3,0,3,3,0,0,14,162,126,70,119,140,112,65,24,3,818,..,6,63,145,226,181,100,24,3,759,..,11,23,39,22,17,3,0,0,107,..,0,4,13,15,7,0,5,0,43,342,..,..,..,..,..,..,..,..,342,..,109,..,..,..,..,..,..,..,109,..,97,29,11,7,0,0,0,0,141,..,6,0,0,0,3,8,8,4,35,..,9,5,0,0,0,0,0,0,21,..,4,0,0,0,0,0,0,0,3,..,6,4,10,11,17,16,3,0,60,3,11,0,6,3,3,4,0,0,31,344,264,127,220,287,229,132,48,8,1658
POA4712,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,3,3,0,12,0,0,0,0,0,0,0,0,0,5,35,9,21,9,15,7,13,7,0,111,..,0,24,13,16,13,22,4,0,94,..,0,3,4,5,0,0,0,0,16,..,0,0,5,0,0,0,3,0,10,53,..,..,..,..,..,..,..,..,53,..,0,..,..,..,..,..,..,..,0,..,8,4,3,3,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,4,..,0,5,7,5,18,4,10,0,45,5,0,3,0,3,0,0,0,0,11,60,17,38,26,33,32,31,19,3,251
POA4713,..,4,0,0,3,0,0,0,0,3,..,3,0,0,5,3,5,0,0,22,4,3,0,4,0,3,0,0,0,11,159,93,63,54,58,29,18,0,0,470,..,6,11,14,13,10,3,0,0,47,..,5,36,19,28,7,0,3,0,106,..,17,23,37,22,5,5,0,0,112,314,..,..,..,..,..,..,..,..,314,..,20,..,..,..,..,..,..,..,20,..,55,15,9,3,0,0,0,0,84,..,49,15,11,14,12,9,0,0,114,..,0,3,0,3,0,0,0,0,7,..,4,0,0,3,0,0,0,0,6,..,4,4,11,19,16,6,0,0,55,3,3,12,8,0,3,0,0,0,26,318,168,114,104,102,58,26,4,0,896
POA4714,..,3,9,0,9,10,6,3,0,44,..,3,10,14,28,39,54,23,18,188,6,7,4,0,5,4,3,3,3,36,191,119,114,137,190,208,187,79,27,1251,..,9,33,89,150,222,190,77,7,774,..,27,40,45,48,22,30,7,0,215,..,12,39,39,41,26,16,15,8,186,409,..,..,..,..,..,..,..,..,409,..,89,..,..,..,..,..,..,..,89,..,78,50,27,17,11,3,0,0,172,..,15,9,7,12,13,15,18,4,84,..,11,3,4,5,0,0,0,0,31,..,7,14,12,21,26,15,8,0,105,..,9,17,26,67,123,126,48,30,453,11,17,14,7,15,8,8,4,4,93,419,255,209,256,372,453,408,180,54,2603
POA4715,..,22,16,8,9,4,5,0,0,60,..,12,28,16,33,54,39,56,29,259,10,16,9,3,11,10,11,3,0,78,763,377,454,459,420,315,208,127,42,3165,..,22,458,619,580,442,257,122,22,2520,..,119,175,103,64,32,12,8,0,517,..,7,45,62,44,20,15,17,9,220,1546,..,..,..,..,..,..,..,..,1546,..,225,..,..,..,..,..,..,..,225,..,209,49,25,19,6,0,0,0,318,..,32,11,3,4,9,14,13,3,92,..,33,25,18,5,8,3,3,0,90,..,78,67,29,17,16,7,0,0,212,..,26,70,68,88,108,70,69,33,543,20,30,27,14,19,23,24,7,0,161,1571,789,926,936,853,669,394,238,67,6442
