POA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA4000,..,724,738,83,27,21,10,4,0,1604,..,116,257,147,122,108,104,48,17,921,9,63,51,13,11,13,4,3,0,167,435,1541,2274,747,573,507,282,104,34,6497,..,63,952,693,533,578,299,106,19,3249,..,308,896,239,150,90,30,3,0,1708,..,8,24,65,96,57,14,6,7,268,786,..,..,..,..,..,..,..,..,786,..,258,..,..,..,..,..,..,..,258,..,90,90,28,9,3,0,0,0,223,..,233,138,17,18,14,10,8,3,434,..,239,250,29,7,7,0,0,0,524,..,1427,1651,215,80,41,29,10,0,3450,..,257,654,394,327,258,193,78,29,2190,11,122,106,28,36,31,17,7,0,356,793,3009,4762,1705,1248,1065,583,217,57,13444
POA4005,..,258,518,85,33,24,22,0,0,940,..,67,344,323,239,237,209,125,95,1642,15,38,85,44,24,22,20,9,3,268,639,861,2240,1221,920,800,538,240,142,7596,..,35,825,935,767,786,513,203,36,4103,..,263,1337,473,268,153,46,9,0,2539,..,0,24,79,110,64,25,15,26,345,1261,..,..,..,..,..,..,..,..,1261,..,328,..,..,..,..,..,..,..,328,..,128,96,37,37,12,4,0,0,315,..,92,103,22,14,20,11,8,10,285,..,49,105,16,12,4,0,0,0,186,..,473,1051,208,113,60,38,5,3,1952,..,120,647,632,482,447,361,188,116,2983,36,74,171,86,45,35,28,22,4,499,1292,1572,4349,2481,1839,1578,1031,456,199,14793
POA4006,..,481,482,79,15,14,4,3,0,1076,..,158,365,189,150,129,76,30,24,1126,7,58,73,24,12,10,6,5,3,210,322,1273,2138,770,424,386,235,78,44,5671,..,51,882,609,284,353,246,87,19,2533,..,461,1251,316,130,54,19,4,0,2231,..,3,23,56,56,31,10,7,14,205,636,..,..,..,..,..,..,..,..,636,..,159,..,..,..,..,..,..,..,159,..,76,45,17,9,15,0,0,0,166,..,142,101,26,13,12,11,5,3,315,..,119,152,27,11,0,0,0,0,302,..,886,1103,209,64,35,15,8,0,2325,..,294,864,517,402,272,154,56,31,2593,12,95,151,58,31,28,16,4,3,388,652,2294,4568,1820,1001,799,470,172,68,11845
POA4007,..,85,128,30,18,25,11,5,0,303,..,64,179,139,139,159,136,116,60,992,18,38,39,16,9,14,11,6,8,150,754,802,1061,809,861,691,451,252,101,5783,..,23,554,803,999,791,552,225,52,4001,..,187,561,225,147,83,31,9,0,1242,..,9,30,81,116,56,25,16,10,330,1486,..,..,..,..,..,..,..,..,1486,..,578,..,..,..,..,..,..,..,578,..,190,110,46,24,15,3,0,0,384,..,85,58,13,15,27,21,20,8,237,..,44,50,13,12,10,0,4,0,131,..,190,287,80,68,39,24,13,3,700,..,113,341,290,294,308,241,168,78,1833,26,75,66,36,22,28,22,9,10,280,1512,1484,2069,1586,1683,1358,914,454,164,11217
POA4008,..,0,0,0,3,0,0,0,0,6,..,0,0,3,3,3,3,0,4,14,0,0,0,0,0,0,0,0,0,3,8,16,21,13,17,14,14,3,7,110,..,0,12,6,11,11,11,9,0,58,..,0,15,10,7,6,4,0,0,39,..,0,0,0,10,0,0,0,0,13,23,..,..,..,..,..,..,..,..,23,..,11,..,..,..,..,..,..,..,11,..,8,3,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,3,3,15,4,3,0,0,28,..,0,4,4,8,8,14,0,4,39,0,3,0,0,0,0,3,0,0,10,26,23,39,21,52,37,35,8,7,245
POA4009,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,..,57,65,14,3,12,0,0,0,148,..,6,33,21,26,27,36,26,43,219,0,7,6,3,5,3,0,0,0,29,106,161,311,135,124,93,54,42,47,1072,..,8,152,143,101,68,26,21,12,522,..,47,178,45,27,22,3,0,0,327,..,0,3,12,22,11,0,3,0,49,229,..,..,..,..,..,..,..,..,229,..,54,..,..,..,..,..,..,..,54,..,35,10,3,5,0,0,0,0,49,..,12,17,0,0,0,6,0,3,47,..,14,29,3,0,0,3,0,0,51,..,99,129,31,17,21,3,0,0,299,..,16,78,55,49,46,55,46,46,386,0,11,15,12,9,4,5,0,0,57,229,301,616,303,227,180,105,72,59,2076
POA4011,..,115,148,42,22,33,11,7,0,379,..,44,140,150,118,180,197,138,88,1047,14,35,43,21,18,12,5,3,7,152,1140,947,1239,1052,1015,775,527,276,134,7106,..,19,811,1142,1159,805,535,225,59,4755,..,149,543,275,185,121,51,10,0,1338,..,4,28,105,181,106,35,17,23,498,2312,..,..,..,..,..,..,..,..,2312,..,775,..,..,..,..,..,..,..,775,..,305,154,53,38,22,5,0,0,580,..,121,78,26,20,28,26,22,8,334,..,52,78,13,12,6,6,0,0,178,..,209,349,95,75,63,22,15,3,837,..,74,294,282,270,320,310,194,106,1840,21,57,78,35,31,18,12,0,8,269,2332,1766,2411,2024,1974,1489,1008,488,214,13709
POA4012,..,187,251,57,44,33,11,7,0,588,..,55,220,207,204,263,227,167,130,1473,20,50,61,23,12,27,20,9,3,227,1684,1284,2232,1687,1315,1029,590,354,228,10412,..,70,1508,1895,1345,955,514,239,100,6623,..,372,1109,485,247,155,43,3,0,2417,..,18,63,231,227,125,57,53,60,831,3457,..,..,..,..,..,..,..,..,3457,..,779,..,..,..,..,..,..,..,779,..,388,225,75,88,65,14,0,0,850,..,189,168,38,53,56,58,25,21,609,..,135,119,24,19,10,4,3,0,318,..,347,580,134,96,79,33,12,0,1282,..,107,442,414,440,517,393,263,162,2728,46,82,122,48,46,44,29,7,9,444,3499,2490,4340,3345,2559,2005,1131,605,349,20330
POA4013,..,37,42,14,12,7,4,0,0,120,..,10,45,41,41,55,48,20,13,291,7,15,8,0,0,7,9,4,0,47,364,286,468,311,289,216,131,52,27,2151,..,14,317,348,274,204,109,42,17,1331,..,73,214,94,66,36,10,3,0,496,..,3,22,35,57,24,11,7,9,172,713,..,..,..,..,..,..,..,..,713,..,168,..,..,..,..,..,..,..,168,..,97,64,17,5,13,0,0,0,192,..,41,43,3,11,7,6,11,3,122,..,30,34,6,7,9,3,0,0,87,..,84,127,49,24,23,14,3,4,317,..,26,89,97,101,96,91,35,16,551,9,30,30,17,8,7,14,5,0,114,724,555,937,664,558,420,259,101,45,4269
POA4014,..,49,72,24,22,26,18,10,4,228,..,10,33,43,56,83,95,88,53,466,26,24,19,13,12,12,5,3,4,124,1078,625,853,986,704,575,369,240,106,5533,..,22,679,1160,839,646,416,217,54,4038,..,88,359,315,161,95,35,10,0,1064,..,8,48,112,131,87,32,22,18,461,2163,..,..,..,..,..,..,..,..,2163,..,460,..,..,..,..,..,..,..,460,..,320,177,74,36,30,0,0,0,636,..,80,56,31,25,38,30,26,16,300,..,85,62,20,22,12,12,0,0,218,..,141,165,79,66,64,40,12,3,569,..,26,83,105,124,165,172,123,71,860,41,51,51,38,21,18,16,7,4,245,2205,1290,1676,1931,1420,1156,741,417,169,11015
POA4017,..,52,74,48,64,79,42,10,0,364,..,39,70,129,208,338,444,347,189,1758,50,68,50,30,38,43,33,16,9,331,3343,1905,2034,2762,2642,2144,1623,806,339,17589,..,68,1674,3212,3148,2478,1842,717,156,13290,..,259,815,747,591,311,98,15,4,2853,..,40,136,434,441,250,134,113,73,1618,6767,..,..,..,..,..,..,..,..,6767,..,1761,..,..,..,..,..,..,..,1761,..,1218,584,224,182,89,16,0,0,2318,..,185,128,59,71,146,111,74,43,808,..,126,95,44,44,32,17,6,0,370,..,116,186,112,147,160,90,17,7,839,..,61,193,301,475,626,705,474,243,3084,110,122,100,71,81,75,46,31,8,649,6877,3955,3920,5210,5189,4173,3058,1456,539,34368
POA4018,..,62,49,12,23,21,4,4,0,187,..,9,82,108,107,164,199,204,98,962,8,25,23,6,13,6,9,8,3,109,1000,657,1166,889,725,608,473,387,137,6056,..,56,1065,1088,732,567,418,267,76,4263,..,149,388,142,105,81,29,12,0,906,..,11,77,142,149,74,32,25,16,524,2106,..,..,..,..,..,..,..,..,2106,..,457,..,..,..,..,..,..,..,457,..,287,174,40,31,19,3,0,0,556,..,99,78,32,36,57,20,27,16,364,..,58,72,15,16,5,3,0,0,169,..,117,128,41,47,40,16,10,3,405,..,23,154,176,180,228,273,253,119,1405,31,40,44,22,17,15,12,14,6,202,2134,1300,2175,1696,1312,1081,809,611,228,11346
POA4019,..,21,45,36,68,81,36,13,0,298,..,23,72,106,207,334,351,246,141,1486,30,30,32,25,39,29,22,24,6,230,1594,862,1057,1320,1467,1410,1134,606,232,9689,..,42,651,1146,1281,1302,1187,510,96,6208,..,159,412,409,340,221,93,17,0,1651,..,46,176,303,360,174,93,69,31,1252,3184,..,..,..,..,..,..,..,..,3184,..,648,..,..,..,..,..,..,..,648,..,624,302,148,96,46,5,0,0,1226,..,85,74,44,65,82,76,62,37,520,..,63,57,36,45,26,10,3,0,237,..,61,91,89,143,151,81,29,5,657,..,49,173,277,483,612,586,384,211,2780,61,77,63,58,63,54,37,31,8,458,3242,1864,1998,2500,2876,2664,2176,1104,390,18813
POA4020,..,32,37,23,64,59,40,21,5,280,..,24,66,99,210,338,523,392,224,1882,29,40,22,22,25,50,31,21,18,254,1414,993,871,1235,1633,1673,1539,865,347,10573,..,25,501,1171,1544,1826,1615,755,136,7581,..,166,357,346,377,214,116,28,4,1609,..,30,125,246,308,160,80,74,38,1067,2893,..,..,..,..,..,..,..,..,2893,..,865,..,..,..,..,..,..,..,865,..,627,291,135,112,55,10,0,0,1231,..,96,49,21,45,50,62,53,29,412,..,68,60,31,33,20,13,4,0,232,..,68,83,61,130,119,75,37,11,593,..,52,169,243,451,571,782,554,304,3125,51,66,57,59,60,72,55,33,20,466,2946,2075,1675,2319,3072,3091,2817,1533,543,20062
POA4021,..,23,25,12,14,22,10,6,0,118,..,8,20,33,58,104,146,147,79,587,16,27,6,16,8,19,14,13,6,127,909,561,541,637,600,603,538,329,137,4847,..,28,337,555,545,636,580,268,66,3016,..,73,227,208,133,76,34,4,0,762,..,33,118,146,156,72,56,31,25,641,1792,..,..,..,..,..,..,..,..,1792,..,392,..,..,..,..,..,..,..,392,..,367,172,87,44,34,9,0,0,714,..,60,43,24,31,40,40,24,14,259,..,55,25,16,14,17,4,3,0,124,..,37,74,34,42,46,20,16,3,276,..,19,43,80,121,168,225,185,98,933,29,50,27,32,17,25,18,16,12,217,1815,1120,1066,1185,1106,1101,986,539,212,9127
POA4022,..,14,15,7,3,14,8,0,0,67,..,3,13,15,27,58,95,123,54,389,10,23,12,4,5,8,6,3,0,66,642,435,385,399,428,351,361,294,95,3392,..,17,272,403,469,394,440,290,63,2340,..,63,155,96,78,37,25,9,0,465,..,16,64,99,108,58,20,20,10,396,1300,..,..,..,..,..,..,..,..,1300,..,325,..,..,..,..,..,..,..,325,..,289,113,27,26,17,7,0,0,469,..,45,18,9,14,17,20,10,6,144,..,35,17,12,4,3,0,0,0,68,..,25,29,16,15,21,18,5,0,133,..,14,25,39,60,87,137,151,72,577,24,45,20,14,11,4,8,3,0,134,1325,870,709,711,793,632,667,489,158,6361
POA4025,..,6,3,0,0,0,0,0,0,8,..,0,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,0,7,0,11,13,0,7,15,4,3,0,60,..,0,3,0,7,12,7,11,0,40,..,0,4,3,4,5,0,0,0,16,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,4,0,0,0,0,0,0,4,..,11,12,0,0,0,0,0,0,21,..,0,0,0,4,7,5,3,0,25,0,3,7,3,3,4,5,0,0,30,3,15,29,4,16,29,22,9,0,137
POA4029,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4030,..,351,272,52,37,22,11,9,6,756,..,55,182,152,147,149,127,97,41,949,15,43,37,23,16,14,15,8,0,168,1170,1277,1725,1185,941,624,368,194,77,7553,..,59,1027,1299,1041,646,340,115,32,4560,..,322,866,333,213,86,38,0,0,1872,..,10,44,125,166,85,29,21,17,489,2401,..,..,..,..,..,..,..,..,2401,..,643,..,..,..,..,..,..,..,643,..,254,150,49,31,18,6,0,0,505,..,170,137,31,23,29,26,17,13,439,..,115,157,33,12,10,7,3,0,330,..,672,695,152,81,62,39,16,6,1720,..,109,381,324,314,313,232,144,67,1886,37,71,91,50,45,24,19,11,0,343,2439,2424,3546,2390,1919,1277,737,320,142,15191
POA4031,..,109,129,24,14,20,18,8,0,326,..,33,131,113,121,163,131,93,102,887,31,22,30,23,11,9,13,10,7,146,1146,860,1210,1087,879,563,323,219,163,6452,..,51,814,1222,1023,570,274,165,45,4160,..,216,579,286,187,91,28,0,4,1392,..,7,49,133,152,55,18,19,32,468,2400,..,..,..,..,..,..,..,..,2400,..,607,..,..,..,..,..,..,..,607,..,276,105,41,28,28,8,0,0,493,..,98,99,28,25,29,32,17,17,338,..,84,85,22,12,4,0,3,0,212,..,218,300,82,53,43,30,13,0,733,..,63,241,236,253,287,207,144,119,1552,46,49,58,33,27,28,17,12,12,279,2450,1659,2333,2083,1760,1126,611,366,232,12628
POA4032,..,164,140,43,32,33,7,3,4,428,..,57,142,95,112,182,231,268,172,1256,14,49,32,12,8,13,19,10,3,167,1067,1048,1414,968,860,763,672,588,270,7651,..,49,1057,1062,841,730,583,539,152,5021,..,244,551,216,153,75,32,7,0,1266,..,24,69,160,196,106,46,56,29,676,2201,..,..,..,..,..,..,..,..,2201,..,601,..,..,..,..,..,..,..,601,..,340,223,72,87,37,3,0,0,766,..,140,120,35,36,54,56,26,14,484,..,97,85,25,16,9,6,0,0,238,..,312,334,102,69,65,19,6,4,919,..,93,278,228,233,340,341,342,229,2085,41,80,67,24,19,20,28,24,6,313,2246,1973,2789,1917,1654,1432,1120,1003,437,14567
POA4034,..,182,168,72,72,80,52,20,6,651,..,44,124,161,214,401,541,619,429,2529,56,71,67,36,42,39,28,21,11,375,3639,2513,3162,2894,2690,2433,2060,1484,669,21542,..,144,2628,3546,3014,2769,2387,1386,328,16211,..,455,1161,643,466,251,110,33,7,3121,..,60,231,440,576,303,149,122,97,1974,7372,..,..,..,..,..,..,..,..,7372,..,1931,..,..,..,..,..,..,..,1931,..,1245,790,279,233,99,23,0,0,2680,..,343,260,72,96,184,127,105,69,1263,..,237,239,66,32,35,22,6,3,642,..,447,547,197,179,181,117,50,13,1728,..,105,343,402,490,704,793,796,533,4171,125,195,141,91,68,78,49,33,15,787,7496,5150,6341,5747,5167,4608,3773,2525,1063,41875
POA4035,..,17,24,14,20,17,17,7,0,116,..,21,33,32,56,132,195,224,170,849,28,41,19,8,16,23,9,9,7,149,2295,1552,1085,1594,1994,1496,1045,555,242,11871,..,28,928,2253,2920,2317,1507,566,95,10608,..,105,336,277,291,107,59,7,0,1188,..,13,65,184,248,122,59,41,22,747,4637,..,..,..,..,..,..,..,..,4637,..,1816,..,..,..,..,..,..,..,1816,..,959,454,117,71,28,3,0,0,1628,..,91,57,20,23,49,64,59,31,394,..,86,54,24,15,3,6,0,0,189,..,39,76,31,45,33,26,16,0,269,..,46,59,79,123,200,274,266,203,1250,48,80,47,31,31,35,18,12,7,302,4682,3242,2077,3010,3770,2911,2010,966,351,23015
POA4036,..,14,13,3,12,13,3,3,0,61,..,3,24,20,29,42,45,28,15,206,17,10,11,3,3,11,4,3,0,63,643,359,498,472,412,349,258,110,41,3143,..,25,405,554,465,442,324,122,23,2359,..,66,216,137,91,28,18,0,0,559,..,7,40,78,89,41,31,16,10,310,1280,..,..,..,..,..,..,..,..,1280,..,265,..,..,..,..,..,..,..,265,..,245,121,59,33,7,0,0,0,471,..,37,33,20,26,35,22,10,4,178,..,30,22,10,13,3,0,0,0,78,..,45,50,21,23,21,18,5,0,168,..,7,42,41,68,84,76,48,22,391,23,21,25,9,9,11,11,6,4,122,1304,743,945,929,816,670,498,209,64,6178
POA4037,..,7,5,3,7,0,0,0,0,23,..,3,6,10,11,20,32,8,3,86,3,23,3,7,11,5,5,0,0,54,947,543,341,690,686,373,236,56,14,3883,..,9,344,994,1059,617,354,83,10,3465,..,36,123,128,111,47,12,0,0,462,..,6,13,62,85,27,7,3,3,209,1882,..,..,..,..,..,..,..,..,1882,..,635,..,..,..,..,..,..,..,635,..,320,98,30,11,0,0,0,0,463,..,35,29,3,9,21,27,11,7,137,..,18,20,13,4,5,0,0,0,58,..,16,18,8,13,4,6,0,0,71,..,7,11,13,31,38,41,20,4,164,11,38,14,13,11,5,5,3,0,99,1899,1128,667,1263,1335,764,454,120,28,7656
POA4051,..,430,311,76,39,30,23,10,0,921,..,65,210,206,196,246,268,198,177,1565,46,94,95,35,21,29,12,8,8,345,2412,1939,2197,2044,1783,1068,692,421,245,12799,..,89,1369,2378,2220,1188,627,309,74,8259,..,425,1054,473,327,146,60,5,0,2501,..,17,83,217,274,136,50,54,30,850,4811,..,..,..,..,..,..,..,..,4811,..,1251,..,..,..,..,..,..,..,1251,..,465,227,73,64,26,12,0,0,872,..,214,142,66,40,44,44,24,18,588,..,196,137,27,20,7,3,0,0,386,..,866,735,186,92,62,50,16,6,2006,..,141,431,387,417,435,466,268,225,2770,91,194,186,75,46,50,26,14,8,685,4905,3854,4359,3881,3492,2096,1323,701,360,24966
POA4053,..,310,269,73,55,62,36,11,4,807,..,79,214,215,258,430,452,355,258,2258,61,103,86,43,33,38,35,18,18,430,3977,2716,3362,3334,2754,2217,1709,970,469,21514,..,100,2505,3948,3146,2462,1987,991,216,15345,..,575,1566,879,570,248,100,19,3,3964,..,36,205,444,551,288,127,116,93,1862,8018,..,..,..,..,..,..,..,..,8018,..,2016,..,..,..,..,..,..,..,2016,..,1207,621,241,170,90,16,0,0,2355,..,263,197,71,76,112,131,74,51,976,..,215,183,58,34,25,12,0,0,529,..,558,595,179,135,133,92,23,9,1723,..,172,466,452,553,688,671,480,342,3822,132,196,202,106,81,65,60,32,22,894,8151,5343,6539,6374,5323,4110,3207,1742,729,41516
POA4054,..,31,37,10,13,10,10,5,0,116,..,14,31,48,77,110,167,170,117,725,24,29,30,14,14,10,17,12,4,142,1295,719,936,1028,902,692,651,364,172,6774,..,15,733,1204,1027,800,768,291,79,4925,..,103,413,295,147,72,35,8,0,1073,..,25,83,192,208,115,63,32,18,729,2691,..,..,..,..,..,..,..,..,2691,..,658,..,..,..,..,..,..,..,658,..,400,227,110,66,27,4,0,0,832,..,61,44,26,18,41,33,35,16,271,..,64,34,20,14,14,0,0,0,148,..,79,95,24,33,20,17,4,0,280,..,27,67,116,150,200,235,211,136,1152,46,55,45,24,16,22,28,15,3,258,2738,1491,1738,2013,1688,1313,1188,592,253,13026
POA4055,..,12,24,13,8,16,4,5,0,95,..,15,28,45,70,96,134,61,40,487,21,34,20,12,20,20,10,3,0,140,2228,1113,1128,1692,1488,1075,829,222,83,9840,..,33,1046,2307,2097,1539,1269,312,45,8661,..,128,459,349,259,99,34,5,0,1341,..,18,69,192,219,88,50,15,9,654,4529,..,..,..,..,..,..,..,..,4529,..,1286,..,..,..,..,..,..,..,1286,..,673,331,97,47,10,5,0,0,1162,..,89,62,18,35,54,50,34,27,364,..,62,41,15,12,13,3,3,0,144,..,32,62,43,22,40,20,8,0,223,..,26,76,128,143,167,208,87,49,877,50,62,40,28,28,39,19,3,4,267,4581,2402,2189,3168,2861,2041,1656,468,135,19506
POA4059,..,716,316,39,21,15,12,7,0,1121,..,97,148,118,84,86,81,43,27,693,19,78,41,12,5,13,3,7,0,174,828,1507,1422,845,588,362,222,107,48,5920,..,54,817,896,666,378,198,75,21,3111,..,282,652,264,110,55,37,3,0,1399,..,7,29,93,118,52,11,11,10,321,1689,..,..,..,..,..,..,..,..,1689,..,406,..,..,..,..,..,..,..,406,..,111,70,21,11,17,3,0,0,238,..,148,105,12,11,12,11,11,3,303,..,156,101,23,11,0,3,0,0,307,..,1419,726,86,59,35,21,8,0,2356,..,189,334,237,205,146,137,71,40,1350,31,130,77,29,23,14,11,6,4,323,1726,2895,2907,1665,1215,713,432,191,75,11808
POA4060,..,124,92,21,16,12,8,0,0,277,..,22,52,56,75,102,107,83,57,546,24,38,17,11,4,13,4,9,0,123,1298,909,688,939,1000,634,368,180,100,6118,..,20,422,1258,1389,834,428,176,51,4577,..,95,314,213,159,67,22,0,3,874,..,11,13,92,130,77,22,15,23,382,2660,..,..,..,..,..,..,..,..,2660,..,921,..,..,..,..,..,..,..,921,..,306,159,30,30,24,5,0,0,546,..,105,43,8,4,18,28,11,8,229,..,66,45,11,8,7,7,4,0,152,..,235,218,46,33,23,15,0,3,575,..,40,127,118,149,168,146,113,62,919,60,103,51,27,20,20,20,11,3,308,2721,1890,1390,1808,1924,1234,698,324,153,12131
POA4061,..,36,27,14,18,9,13,3,3,120,..,14,17,25,57,101,170,137,51,571,22,22,14,5,7,16,18,5,3,113,1628,995,677,1216,1233,1001,814,395,113,8072,..,15,528,1625,1732,1352,1110,476,75,6915,..,64,230,246,203,115,42,7,0,905,..,10,33,137,227,130,56,39,14,644,3406,..,..,..,..,..,..,..,..,3406,..,1168,..,..,..,..,..,..,..,1168,..,499,281,87,60,26,0,0,0,959,..,82,36,6,14,26,31,27,17,237,..,76,45,19,17,9,5,0,0,172,..,67,66,25,30,27,15,0,3,235,..,21,49,54,100,163,226,176,69,853,42,48,31,24,23,22,22,14,6,243,3442,2052,1298,2221,2412,1876,1507,735,183,15731
POA4064,..,325,314,49,17,7,9,6,0,734,..,39,111,108,81,99,82,53,24,603,22,39,47,12,3,6,4,0,5,146,725,906,1142,785,610,457,265,98,50,5040,..,11,406,801,717,521,312,61,19,2863,..,172,608,230,128,63,21,3,0,1220,..,4,16,59,84,46,16,13,13,256,1466,..,..,..,..,..,..,..,..,1466,..,397,..,..,..,..,..,..,..,397,..,146,99,21,23,17,0,0,0,302,..,108,64,9,4,23,5,9,5,240,..,78,111,16,10,0,0,0,0,211,..,659,668,109,33,29,23,10,0,1527,..,87,245,204,158,184,128,86,32,1123,31,72,92,45,25,14,13,0,3,285,1494,1723,2294,1497,1185,897,515,188,84,9884
