POA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
POA4014,0,0,0,3,3,3,4,4,0,0,3,5,0,0,0,25,0,0,0,3,0,3,13,18,3,3,5,7,3,3,4,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,24,14,11,0,4,7,0,0,0,0,70,0,9,3,3,0,5,8,8,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,9,0,0,0,11,16,26,39,110,15,3,24,8,19,10,15,301,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,3,0,0,3,11
POA4017,0,0,0,6,8,9,30,18,0,3,0,0,6,0,0,82,0,0,0,0,3,19,23,29,6,0,4,5,0,4,3,108,0,0,4,10,0,0,4,0,0,0,0,0,0,0,0,19,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,3,8,21,43,49,23,9,3,3,0,0,0,0,170,0,31,17,20,21,11,8,20,4,0,6,0,0,4,10,158,0,3,3,5,0,4,0,0,0,0,3,0,0,0,0,27,0,0,3,9,15,13,14,6,0,0,0,0,0,0,0,50,0,3,3,15,4,14,62,290,21,20,24,20,24,22,19,551,0,3,3,7,3,3,11,14,0,5,0,0,0,0,0,49,0,0,0,0,0,0,3,8,8,3,0,0,0,0,0,22,0,0,0,0,0,0,12,0,5,0,0,6,6,54,7,84,0,3,9,23,10,15,34,31
POA4018,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,15,0,0,4,4,8,38,42,41,10,5,13,0,9,4,0,181,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,11,50,37,13,0,3,5,5,0,0,0,135,0,14,3,10,4,3,9,4,0,0,0,0,0,0,0,49,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,12,33,18,7,0,0,3,0,3,0,0,87,0,0,0,12,10,31,116,462,61,45,59,92,55,42,36,1002,0,0,0,0,0,4,10,8,0,0,3,0,0,0,0,42,0,0,0,0,0,0,6,16,9,14,4,0,5,0,3,56,0,0,0,0,0,0,0,4,11,0,3,8,0,4,0,28,0,0,0,0,0,0,4,6
POA4019,0,0,3,5,3,3,8,18,0,0,0,4,3,0,0,49,0,3,6,0,0,10,3,16,0,0,0,0,0,0,0,42,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,16,23,3,0,0,0,0,0,0,3,56,0,14,11,7,14,0,14,11,0,0,0,4,0,0,3,93,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,3,0,0,0,3,0,0,0,0,19,0,3,3,4,0,0,4,16,0,0,0,13,4,0,7,52,0,4,3,0,0,0,0,8,0,0,0,3,0,0,0,19,0,0,0,0,0,3,4,0,4,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,5,13,6,5,12,7
POA4020,0,0,0,8,4,7,3,14,9,0,0,0,0,0,0,49,3,0,3,0,0,3,9,13,6,0,12,3,4,0,6,72,0,0,6,13,3,0,0,0,0,0,0,0,0,0,0,29,0,9,4,0,3,0,3,0,0,0,0,0,0,0,4,23,0,0,0,8,8,17,6,5,0,0,0,0,0,0,3,54,0,29,16,21,11,4,19,12,5,3,0,3,0,0,0,127,0,0,7,8,4,0,0,0,0,0,0,0,0,0,0,18,0,0,5,0,3,3,7,0,0,0,0,0,0,0,0,25,0,0,4,6,0,0,3,16,0,0,4,3,8,0,0,57,0,0,0,0,0,3,3,4,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15,5,16,10,30
POA4021,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,3,3,12,0,3,3,3,0,0,0,32,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,4,8,3,10,4,0,3,0,0,0,0,37,0,14,8,11,3,6,3,3,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,3,0,3,16,0,0,9,8,0,0,0,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,0
POA4022,0,0,0,3,0,4,3,0,3,0,0,0,0,0,0,15,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,12,5,0,0,0,0,0,0,0,34,0,6,0,3,3,0,0,3,3,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,35,8,0,3,0,3,0,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA4025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4030,0,0,0,5,7,7,9,22,6,9,8,3,3,0,0,67,0,0,0,0,0,17,18,33,7,7,14,22,16,8,9,162,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,15,0,0,0,0,4,14,10,8,4,0,0,0,0,4,0,45,0,3,0,5,3,7,9,9,4,3,0,3,3,0,4,49,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,4,10,7,13,8,0,3,6,0,0,0,55,0,0,0,17,5,11,32,168,20,24,49,64,55,29,11,478,0,0,0,0,0,0,14,10,0,0,0,0,4,0,0,30,0,0,3,0,0,0,9,22,9,9,0,10,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,26,0,4,3,3,3,12,3,16
POA4031,0,0,0,3,3,16,9,4,6,0,0,7,0,0,0,43,0,0,0,0,3,7,18,22,6,5,3,4,8,4,0,90,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,13,7,3,0,4,0,0,0,0,0,34,0,8,6,5,3,5,5,4,0,0,0,0,0,0,0,36,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,5,5,5,0,0,0,3,4,0,0,29,0,0,0,0,0,14,13,139,11,25,16,35,11,11,7,294,0,3,3,0,0,0,16,5,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,6,8,11,0,3,0,3,37,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,11,3,6,0,3,0,4,4,9
POA4032,0,0,0,3,0,0,3,7,0,3,3,0,0,0,0,27,0,3,3,3,3,17,43,55,7,12,14,35,33,19,16,272,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,5,4,5,21,11,8,0,0,0,0,0,0,0,68,0,8,4,0,3,3,3,6,0,0,0,0,0,0,3,35,0,3,4,3,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,3,12,12,7,3,3,7,0,3,0,0,46,0,0,3,12,3,13,52,330,44,34,51,49,51,41,28,709,0,0,0,3,0,10,13,9,3,3,0,5,0,0,3,42,0,0,0,0,4,0,7,28,19,18,10,12,9,0,3,100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,6,0,0,3,11
POA4034,0,0,3,13,4,8,22,11,3,3,3,0,0,0,3,86,3,3,5,9,32,90,107,105,17,18,14,22,23,26,13,493,0,3,8,17,0,4,3,0,0,0,0,0,0,0,0,36,0,0,7,4,3,0,3,0,0,7,3,0,0,3,0,31,0,0,4,8,29,129,112,54,10,3,11,11,3,4,17,389,0,56,15,19,8,14,15,9,0,0,0,0,0,0,3,144,0,14,16,12,0,3,3,0,0,3,0,0,0,0,3,55,0,0,3,16,27,53,45,8,5,0,3,10,8,0,7,179,0,3,5,42,17,81,184,755,39,63,106,191,139,56,48,1725,0,0,5,3,6,7,21,22,0,5,0,0,0,8,0,80,0,0,0,0,9,0,9,48,20,24,3,0,6,0,0,121,0,0,0,0,0,0,3,7,0,0,4,0,0,5,0,18,0,8,7,22,4,19,19,18
