POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA4817,2887,5664,76,393,399,1883,134,600,2134,8255,2738,11123,172,693,303,986,644,2000,1115,3676,3860,14803,30,151,139,498,64,245,615,1730,848,2623,59,194,147,318,369,802,579,1316,1430,3935,115,241,8282,24643
POA4818,2918,5640,48,267,301,1376,115,514,2433,9315,2895,11469,106,425,195,624,419,1282,722,2330,3616,13797,9,38,103,373,48,163,659,1802,812,2374,36,112,84,188,249,545,375,842,1186,3221,81,179,7803,22834
POA4819,336,645,0,0,16,58,3,7,75,265,90,330,3,6,10,29,28,93,45,134,130,458,3,12,5,14,0,5,45,113,57,145,3,9,10,15,31,55,41,81,92,222,11,19,568,1345
POA4820,1074,2105,22,106,115,528,54,214,550,2182,731,3033,28,101,51,138,197,566,270,812,1002,3843,4,29,41,159,20,88,224,644,296,919,12,31,33,71,142,316,188,417,487,1339,42,89,2606,7375
POA4821,174,343,3,4,14,41,5,9,76,301,92,361,3,7,9,20,18,48,22,74,121,436,0,0,3,12,3,8,15,53,20,74,0,0,6,9,16,25,22,37,40,109,8,21,344,901
POA4822,93,192,0,9,0,0,4,14,49,182,57,211,0,7,3,7,13,30,15,39,69,251,0,0,3,11,0,4,11,38,18,53,0,0,0,3,14,26,14,27,33,77,3,4,202,528
POA4823,78,152,3,11,6,13,3,13,49,194,63,231,0,7,4,3,22,58,24,73,88,301,0,0,0,0,0,0,10,28,10,28,0,0,0,3,7,11,6,10,17,37,0,0,181,492
POA4824,225,427,3,23,12,74,5,30,175,688,198,812,0,11,12,31,44,131,53,174,255,983,3,9,6,20,3,21,32,99,45,153,3,6,8,11,25,44,33,65,79,214,9,24,564,1648
POA4825,1586,3138,35,198,166,784,103,507,1368,5341,1669,6832,52,211,93,269,253,818,393,1300,2065,8127,14,63,46,191,53,234,402,1170,516,1658,24,84,47,90,235,517,298,689,817,2350,76,163,4537,13772
POA4828,8,21,0,3,0,3,0,8,3,22,6,35,0,0,0,0,0,3,0,3,11,36,0,0,0,3,3,17,8,30,10,44,0,0,0,0,0,0,0,0,12,51,0,0,33,100
POA4829,42,89,0,0,0,0,0,0,18,75,18,75,0,0,0,0,11,24,11,24,32,98,0,3,0,3,0,3,8,26,14,36,0,0,0,0,7,15,7,15,22,52,0,0,94,245
POA4830,61,129,3,21,9,67,33,220,116,543,163,853,0,0,4,6,17,59,21,64,186,918,3,13,7,24,7,55,64,210,78,300,0,0,0,0,11,38,11,38,91,340,7,22,350,1407
POA4849,213,412,0,0,3,14,3,14,49,181,54,206,3,9,5,18,19,56,24,88,80,289,0,0,3,3,0,4,18,59,21,68,5,12,0,3,19,36,22,50,43,117,5,13,341,835
POA4850,1505,2967,13,95,108,478,41,175,500,1984,663,2730,45,180,91,276,264,811,399,1272,1061,4001,3,23,15,59,17,65,132,368,174,517,12,29,22,49,170,357,199,433,371,947,31,69,2975,7981
POA4852,497,968,3,13,31,153,6,22,192,712,231,905,6,33,17,56,41,113,65,205,299,1110,6,18,10,23,5,15,75,204,98,265,4,10,7,8,36,79,44,93,139,354,9,14,941,2450
POA4854,637,1277,9,57,52,271,19,103,300,1194,385,1631,18,80,32,93,103,315,150,486,537,2119,3,30,10,33,10,35,84,245,107,338,5,24,8,23,90,199,103,249,213,586,20,42,1401,4018
POA4855,106,216,0,4,7,37,3,16,42,169,52,227,0,5,7,9,8,32,16,55,72,280,0,0,0,5,0,0,9,21,7,29,0,3,4,9,15,23,18,31,26,61,0,0,208,560
POA4856,101,202,0,0,4,15,3,13,40,156,43,183,3,22,3,8,9,36,17,67,65,248,3,9,3,13,0,0,7,26,12,47,0,3,0,3,10,26,11,29,27,80,7,11,204,547
POA4858,177,347,3,31,19,90,3,21,87,343,112,487,8,23,17,43,33,110,56,176,172,662,0,0,3,4,3,15,27,82,31,102,0,0,6,14,18,45,28,58,55,158,10,12,414,1183
POA4859,59,114,0,0,3,8,3,11,18,81,22,97,0,0,5,18,16,46,22,64,42,157,0,0,0,0,0,0,8,28,8,28,0,4,0,0,9,14,7,18,17,49,7,17,128,332
POA4860,1200,2392,30,152,99,449,44,205,561,2213,729,3021,41,177,60,182,209,681,314,1036,1044,4062,8,49,34,130,37,132,227,692,305,994,11,26,29,66,169,363,207,458,513,1455,55,119,2815,8020
POA4861,168,332,5,30,14,52,7,21,71,268,92,366,11,29,11,24,30,84,44,140,136,508,0,4,3,3,0,4,23,73,31,91,0,4,13,32,22,47,40,79,65,168,8,17,373,1019
POA4865,781,1533,24,134,95,461,42,175,531,2098,694,2874,31,132,55,174,185,577,268,886,957,3757,9,31,40,140,13,48,201,590,264,811,11,35,36,75,105,229,156,339,412,1155,22,49,2182,6487
POA4868,2171,4278,52,317,229,1088,93,440,1364,5295,1744,7140,83,330,151,483,402,1223,632,2029,2384,9174,17,75,86,321,44,193,563,1613,714,2199,43,125,95,217,345,740,483,1078,1200,3277,77,160,5827,16885
POA4869,1528,3014,52,341,223,1048,110,534,1342,5379,1732,7305,87,362,133,425,275,871,494,1659,2230,8960,21,127,99,387,71,283,554,1634,743,2428,39,150,62,125,250,562,349,835,1095,3266,63,136,4910,15377
POA4870,6256,12248,114,635,643,2934,191,914,4001,15167,4956,19643,204,847,522,1614,919,2801,1649,5266,6597,24916,37,184,216,785,146,553,1635,4379,2039,5902,95,286,350,749,985,2118,1431,3155,3464,9052,326,674,16647,46896
POA4871,1072,2118,29,212,90,438,82,456,521,2119,718,3225,32,153,46,141,199,667,284,962,1003,4187,9,64,28,132,41,188,231,715,315,1100,13,54,21,49,172,405,202,501,519,1605,54,138,2642,8045
POA4872,519,1010,8,33,29,148,21,80,188,735,246,995,12,37,33,98,79,230,122,365,363,1363,0,0,12,36,3,7,74,193,84,235,0,7,5,14,59,130,70,156,156,390,12,32,1054,2799
POA4873,725,1432,14,64,57,244,19,84,336,1298,422,1699,13,60,48,141,111,343,171,545,593,2245,3,18,17,45,13,38,148,408,176,510,4,14,25,50,76,162,111,235,287,744,16,36,1619,4457
POA4874,355,710,20,105,54,236,30,183,440,1795,543,2318,17,51,18,57,74,240,106,350,650,2671,7,24,4,9,20,76,90,260,116,380,3,8,3,13,50,130,57,154,173,534,24,61,1204,3978
POA4875,274,564,27,206,42,224,113,674,464,2071,646,3171,7,52,7,27,113,417,130,500,774,3671,10,52,19,77,48,228,329,1024,412,1381,3,11,11,20,106,271,114,299,522,1682,62,147,1637,6063
POA4876,88,183,19,126,20,131,26,156,190,901,251,1309,0,4,0,12,26,90,33,103,283,1415,13,94,9,25,24,95,119,394,166,611,3,14,6,13,29,86,43,111,207,722,23,72,605,2396
POA4877,658,1297,3,24,20,86,12,44,220,841,254,996,8,20,14,50,40,128,64,194,320,1189,0,3,10,25,6,13,78,193,92,231,0,6,11,25,42,83,60,114,152,342,14,35,1142,2864
POA4878,1457,2847,16,91,123,564,31,143,772,2894,942,3695,44,162,87,258,194,597,321,1021,1264,4715,6,29,28,97,27,93,301,786,366,1012,18,64,59,117,197,420,277,598,647,1605,58,127,3425,9302
POA4879,2463,4794,26,128,204,918,56,253,1297,4855,1581,6146,72,295,166,504,282,841,519,1636,2105,7782,10,32,54,188,31,103,409,1059,507,1389,29,71,118,239,218,458,360,770,864,2154,48,89,5473,14825
POA4880,1342,2674,32,169,141,624,43,199,641,2602,856,3591,48,197,73,230,246,743,361,1165,1215,4754,8,48,29,112,23,79,254,717,317,955,17,57,32,66,195,424,246,553,564,1505,53,112,3178,9041
POA4881,559,1081,8,54,47,203,13,62,246,947,312,1267,13,48,27,83,71,226,105,348,421,1617,0,16,16,46,7,33,101,276,127,376,0,9,7,20,61,143,73,170,207,538,21,54,1207,3292
POA4882,374,724,3,13,31,145,9,37,174,693,219,887,6,19,15,54,62,186,79,256,299,1140,0,3,8,25,3,10,46,124,53,156,3,6,4,3,26,58,36,71,87,224,6,15,767,2108
POA4883,1010,2001,19,94,65,319,38,168,403,1654,530,2232,27,101,41,138,138,428,208,667,736,2898,3,24,27,117,27,90,186,529,248,760,11,41,39,75,122,262,171,377,421,1137,45,93,2209,6128
POA4884,268,519,4,18,17,77,7,23,110,431,134,546,3,17,14,45,32,94,50,153,180,700,0,5,7,21,3,3,37,101,40,127,3,7,3,7,23,53,29,62,76,192,5,13,523,1417
POA4885,540,1040,6,43,46,215,14,68,179,712,245,1036,13,37,19,61,81,247,111,350,357,1384,3,17,13,52,13,30,65,188,96,291,3,7,11,27,45,93,63,131,161,423,10,19,1070,2865
POA4886,119,234,0,0,8,26,0,6,45,165,49,198,3,17,4,11,23,64,29,87,78,285,0,7,9,25,0,0,11,39,19,73,0,0,0,7,8,19,10,25,36,96,7,9,236,626
POA4887,254,492,5,45,12,63,5,24,78,303,98,428,5,24,11,27,27,84,38,134,138,562,0,0,5,26,6,12,40,111,51,150,3,4,8,17,40,87,51,103,102,259,11,20,507,1330
POA4888,354,689,9,34,28,149,15,60,111,453,156,700,9,23,16,48,53,151,70,219,224,918,5,15,10,28,7,30,62,176,83,252,3,13,10,25,41,77,51,116,140,369,13,27,726,2009
POA4890,102,210,3,13,3,9,12,64,60,245,77,336,0,0,0,3,18,55,15,62,95,393,3,26,3,11,15,55,48,169,69,252,0,0,0,0,24,60,24,65,96,316,7,13,298,932
POA4891,93,180,0,0,0,3,0,0,23,89,27,93,0,0,0,3,4,15,7,17,30,107,0,0,0,0,0,0,3,7,3,7,0,0,0,0,4,15,4,15,8,21,4,8,140,319
POA4892,280,624,14,109,15,71,71,438,304,1332,400,1951,4,20,6,11,59,221,65,258,464,2206,12,54,14,57,54,266,229,753,303,1128,4,10,3,6,105,307,110,321,416,1456,77,212,1239,4490
POA4895,371,728,9,55,28,120,27,120,220,902,277,1198,8,25,8,33,62,208,78,259,360,1457,0,6,7,22,23,86,102,323,125,433,0,0,9,23,74,173,82,191,208,629,33,77,973,2894
