POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA4054,1370,2715,19,113,165,760,35,165,977,3770,1196,4806,85,360,120,405,289,916,499,1677,1694,6481,8,30,48,167,22,76,290,772,361,1044,25,85,76,170,265,565,368,820,730,1863,59,130,3855,11193
POA4055,1968,3884,43,221,347,1558,64,286,1776,6948,2226,9011,186,773,284,983,485,1531,953,3285,3173,12300,3,21,59,206,17,69,272,696,351,994,22,67,85,198,194,427,300,691,654,1690,56,120,5854,17987
POA4059,1240,2443,0,4,90,411,11,53,774,2857,877,3329,31,120,92,327,82,250,205,691,1084,4020,0,5,25,82,7,27,131,317,162,423,4,20,76,166,79,172,159,357,324,780,114,231,2760,7477
POA4060,985,1942,18,87,207,955,20,73,1042,4143,1284,5258,121,481,217,767,203,635,542,1884,1821,7146,4,20,31,106,3,9,134,319,169,452,28,79,62,141,124,254,211,482,380,940,76,155,3263,10185
POA4061,1600,3153,29,169,279,1248,40,167,1304,5110,1651,6695,144,605,253,891,376,1172,772,2666,2428,9362,12,39,58,199,18,58,201,512,292,813,35,105,100,222,225,474,355,802,646,1615,49,109,4720,14233
POA4064,1115,2169,9,47,88,386,5,20,641,2447,740,2897,52,206,101,346,113,345,268,896,1006,3794,0,4,18,51,3,9,87,208,111,276,12,39,44,93,92,196,149,328,255,602,85,177,2457,6742
POA4065,771,1509,11,46,134,609,9,31,821,3242,971,3923,62,246,154,561,141,435,360,1237,1331,5165,0,3,35,95,3,12,110,243,148,361,20,68,34,79,75,166,134,315,282,674,47,92,2430,7436
POA4066,1793,3510,4,32,102,467,10,43,817,3068,939,3611,38,149,163,559,130,404,336,1118,1276,4731,0,0,16,49,0,6,101,238,114,292,15,35,81,177,121,238,216,451,334,742,199,422,3596,9404
POA4067,805,1569,0,7,66,290,5,21,470,1745,544,2059,22,98,92,308,65,201,178,613,719,2671,0,0,10,25,0,0,71,172,82,194,4,7,38,92,53,115,97,215,179,410,123,257,1826,4913
POA4068,2311,4543,11,75,256,1153,12,53,1383,5222,1666,6499,102,395,330,1113,306,930,742,2445,2409,8941,0,4,53,180,9,13,202,473,256,671,25,71,145,346,216,436,388,856,647,1533,219,450,5578,15467
POA4069,3161,6206,59,293,620,2758,78,318,2495,9901,3248,13270,319,1315,794,2753,738,2258,1850,6320,5094,19588,6,31,97,324,13,38,304,797,419,1193,59,183,188,438,295,639,539,1257,958,2448,90,184,9311,28431
POA4070,1092,2143,28,151,212,953,33,129,936,3715,1203,4949,96,383,231,802,256,812,579,1997,1780,6947,5,28,45,143,24,77,149,378,217,634,26,90,59,144,111,249,201,479,418,1115,21,62,3317,10267
POA4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,3
POA4073,792,1565,18,105,163,743,10,45,777,3006,973,3889,58,241,199,670,225,706,478,1619,1454,5509,3,15,14,60,4,14,95,253,126,337,13,43,29,78,88,195,135,310,256,653,27,56,2528,7779
POA4074,2419,4818,42,235,336,1527,80,355,1748,6788,2209,8908,205,862,387,1320,652,2004,1240,4194,3453,13096,10,28,66,219,23,61,296,748,393,1058,52,164,112,256,309,661,469,1087,864,2144,92,199,6828,20261
POA4075,2085,4142,39,200,356,1661,43,198,1821,7042,2252,9102,139,566,289,1002,372,1163,800,2730,3051,11828,10,29,67,246,23,66,272,716,367,1052,40,131,117,247,286,597,439,971,807,2023,119,257,6064,18250
POA4076,383,767,13,75,48,254,21,84,320,1206,401,1627,40,178,30,120,82,278,151,572,551,2200,4,13,15,57,9,40,69,191,98,304,8,29,19,45,108,247,138,321,230,619,57,115,1217,3696
POA4077,1932,3989,117,760,350,1799,146,716,1808,7189,2419,10463,170,736,219,753,503,1656,888,3137,3308,13602,35,173,156,628,106,403,757,2189,1051,3399,103,358,182,422,619,1402,899,2188,1949,5585,207,471,7402,23643
POA4078,2009,4010,72,458,366,1721,132,618,1941,7430,2502,10223,178,744,331,1124,547,1756,1056,3625,3559,13849,20,103,115,437,48,179,489,1372,678,2088,78,254,145,335,390,876,612,1466,1295,3556,104,214,6959,21636
POA4101,2340,4600,11,41,210,935,22,98,932,3378,1172,4459,70,262,219,739,212,646,503,1650,1671,6107,3,16,71,244,5,21,242,570,324,856,22,66,151,306,175,369,345,742,668,1594,172,356,4852,12659
POA4102,721,1418,9,30,52,252,9,31,330,1224,395,1539,21,86,55,185,48,146,120,419,516,1956,3,8,10,43,7,25,79,187,105,263,4,13,28,54,80,185,114,250,218,517,76,158,1527,4045
POA4103,1440,2852,13,80,96,433,22,89,757,2773,884,3367,54,226,114,381,151,483,314,1081,1199,4449,4,17,16,63,8,19,157,368,189,466,22,61,69,143,178,376,268,584,450,1051,147,314,3243,8673
POA4104,671,1330,8,45,80,374,4,15,341,1272,428,1702,44,166,81,292,81,241,204,699,632,2405,0,0,11,40,0,0,76,167,85,212,7,17,31,67,60,118,93,205,185,415,56,117,1550,4271
POA4105,1352,2688,15,96,109,519,20,91,951,3558,1096,4260,60,239,140,495,187,579,385,1316,1476,5573,6,29,29,86,4,22,169,407,209,544,17,55,55,132,178,377,252,570,458,1112,94,201,3387,9581
POA4106,126,266,4,15,13,59,6,28,81,309,100,412,4,22,13,36,12,45,29,102,129,511,0,0,6,25,0,4,31,88,35,118,0,4,8,15,26,55,37,77,75,198,12,27,344,1004
POA4107,536,1070,3,28,61,268,6,45,485,1833,560,2177,23,108,39,133,92,288,159,524,714,2703,3,21,10,47,10,27,97,224,114,323,9,22,24,52,126,273,149,346,267,672,43,86,1557,4538
POA4108,532,1081,6,40,49,233,11,45,328,1260,392,1579,23,97,59,208,95,327,178,629,572,2208,3,13,16,61,6,28,70,205,100,307,10,32,40,83,108,239,157,356,259,665,41,95,1401,4050
POA4109,3346,6718,76,500,375,1725,86,392,2101,8008,2641,10622,205,861,423,1441,871,2774,1500,5070,4139,15696,14,83,88,351,51,178,420,1103,576,1719,58,194,196,492,572,1265,830,1952,1404,3675,266,589,9160,26677
POA4110,832,1680,28,188,126,624,50,227,705,2704,904,3737,56,241,90,321,225,719,370,1288,1269,5025,10,58,39,135,16,79,234,674,304,955,26,87,67,156,226,503,315,738,621,1692,68,146,2791,8550
POA4111,87,172,0,0,4,19,0,5,57,204,62,232,0,11,14,34,10,36,28,79,86,311,0,0,0,5,0,4,8,26,11,34,0,5,4,4,10,19,14,24,24,58,3,9,199,548
POA4112,621,1261,34,219,153,763,23,83,663,2680,868,3753,83,327,116,400,167,550,362,1283,1233,5032,9,37,29,134,6,27,97,269,142,471,11,43,36,88,82,183,126,309,263,781,21,45,2141,7116
POA4113,2694,5484,36,196,352,1624,61,309,2217,8304,2668,10442,200,839,353,1224,607,1925,1158,3991,3826,14428,15,85,61,217,29,99,390,1041,487,1434,49,164,167,400,380,839,607,1403,1089,2837,198,445,7813,23192
POA4114,1720,3533,125,817,306,1737,155,755,1434,6002,2016,9308,116,546,120,408,482,1603,720,2561,2736,11872,66,333,153,659,106,407,885,2646,1204,4044,62,228,139,317,634,1432,834,1968,2043,6016,194,417,6693,21836
POA4115,1638,3305,43,251,255,1191,88,425,1576,6116,1969,7988,158,648,246,840,498,1600,899,3096,2869,11077,10,35,40,146,33,111,280,768,359,1065,42,129,69,149,253,564,356,842,719,1903,69,151,5290,16438
POA4116,2175,4379,61,359,323,1518,91,422,2197,8406,2673,10701,218,915,374,1305,590,1930,1180,4149,3853,14855,14,82,63,228,30,98,329,878,439,1284,55,186,98,227,312,711,462,1126,902,2407,127,272,7060,21913
POA4117,105,210,4,31,17,67,3,28,128,516,150,640,3,22,6,27,29,95,47,143,194,788,0,7,0,12,3,15,29,88,40,119,5,11,3,6,11,32,17,42,59,158,3,12,361,1167
POA4118,2502,5049,87,546,335,1645,172,811,2068,8275,2664,11282,217,930,268,890,806,2628,1287,4446,3956,15726,32,144,114,427,83,318,671,1903,900,2799,63,216,118,278,525,1136,712,1623,1605,4421,131,269,8191,25465
POA4119,537,1087,16,102,75,345,21,104,582,2243,692,2791,37,177,74,252,103,325,216,744,909,3540,3,22,22,69,9,38,87,250,122,373,13,43,25,51,74,153,112,252,235,629,34,71,1712,5328
POA4120,989,1975,4,38,63,294,11,37,553,2002,633,2372,27,117,65,217,73,237,166,571,795,2943,3,15,9,16,0,3,92,208,104,240,8,21,37,83,86,175,129,284,236,522,89,171,2105,5612
POA4121,2245,4480,39,197,303,1380,38,180,2058,7991,2441,9750,165,669,305,1069,379,1203,852,2942,3292,12692,7,47,65,223,37,132,318,825,425,1224,37,124,103,229,359,743,500,1101,926,2328,141,297,6602,19794
POA4122,4055,8077,78,416,564,2638,96,421,2928,11262,3663,14733,273,1154,501,1739,809,2582,1585,5475,5246,20208,26,125,136,471,61,215,593,1561,815,2371,78,258,207,466,723,1560,1009,2277,1818,4650,245,525,11370,33465
POA4123,1853,3733,33,182,211,1013,63,282,1485,5732,1785,7215,118,479,199,655,440,1376,752,2517,2539,9728,5,34,42,152,22,78,275,762,352,1030,39,128,76,182,269,601,390,903,741,1934,58,128,5187,15521
POA4124,1606,3234,72,410,273,1294,133,601,1423,5662,1893,7972,131,578,179,601,519,1680,831,2864,2726,10837,19,84,63,241,57,206,390,1126,523,1656,40,129,44,108,251,557,337,791,858,2447,61,125,5255,16637
POA4125,827,1663,27,163,72,363,50,240,347,1381,498,2152,55,229,78,255,286,929,414,1410,914,3561,8,29,19,66,10,24,73,215,107,337,7,30,16,40,79,176,106,249,205,585,16,33,1965,5841
POA4127,2407,4837,64,403,280,1364,120,559,1601,6354,2068,8673,159,668,198,679,608,1973,964,3315,3026,11989,28,124,124,515,61,236,586,1639,806,2516,59,187,124,291,492,1083,678,1552,1479,4068,101,209,7011,21097
POA4128,1662,3321,54,316,195,890,87,382,1137,4421,1474,6012,135,545,183,604,499,1569,811,2720,2284,8734,9,41,33,126,27,109,232,624,309,893,35,121,57,137,262,584,359,841,664,1739,58,120,4675,13919
POA4129,556,1115,12,77,71,337,33,161,497,1984,620,2560,35,155,36,132,156,497,228,780,847,3345,6,26,22,86,7,26,136,379,165,517,21,58,22,53,103,217,137,335,305,847,25,51,1732,5358
POA4130,867,1735,26,143,101,446,36,169,550,2249,715,3008,91,378,123,412,292,929,505,1714,1215,4729,4,6,23,85,3,18,103,269,135,381,13,42,29,69,120,254,159,362,299,740,23,49,2407,7257
POA4131,720,1454,29,177,97,526,54,271,612,2461,797,3423,45,189,62,194,213,693,312,1075,1107,4499,17,74,53,210,36,148,278,761,386,1195,27,100,50,109,216,472,295,682,676,1875,57,121,2564,7951
POA4132,1487,3013,105,667,333,1804,186,950,1635,6925,2259,10350,118,516,126,419,498,1623,737,2555,2999,12900,54,264,116,453,103,412,816,2474,1086,3601,47,166,98,217,415,945,562,1332,1653,4928,114,237,6247,21078
POA4133,1574,3155,62,399,173,867,80,389,1126,4494,1442,6147,94,421,110,359,345,1109,547,1887,1997,8033,16,61,48,186,48,187,444,1231,555,1673,41,135,56,128,268,594,369,857,926,2535,79,171,4574,13887
POA4151,1772,3485,10,46,162,734,20,90,1050,3940,1235,4807,71,282,178,635,166,527,417,1450,1653,6256,0,6,17,63,6,19,187,432,218,516,17,59,62,139,150,307,227,506,447,1024,127,269,3994,11030
POA4152,4319,8615,58,345,584,2667,86,374,3154,12066,3887,15451,333,1418,653,2288,969,3118,1955,6816,5837,22263,14,67,126,432,36,126,568,1463,746,2079,86,277,193,444,623,1355,903,2074,1646,4154,227,476,12027,35512
POA4153,409,806,9,68,72,314,12,46,325,1268,419,1695,50,208,70,250,110,340,233,800,648,2490,3,18,7,24,8,27,57,157,72,220,3,17,20,38,64,139,86,199,162,416,24,52,1242,3766
POA4154,767,1514,23,136,193,888,31,149,1218,4803,1475,5977,85,344,130,454,192,585,406,1381,1883,7359,6,40,21,72,10,33,165,410,193,549,11,36,40,84,92,205,140,330,334,884,26,55,3008,9814
POA4155,137,274,3,12,24,123,3,6,86,379,122,521,20,99,26,88,47,162,96,353,217,870,0,0,7,13,4,12,9,19,16,40,0,3,4,3,14,30,17,42,30,82,3,9,386,1236
POA4156,253,512,12,76,73,327,12,48,246,970,338,1416,46,203,69,234,89,273,211,713,547,2128,3,6,10,29,3,13,23,61,34,109,4,13,7,22,18,37,32,73,62,185,4,8,866,2827
POA4157,1975,3959,49,258,205,939,74,337,1216,4770,1543,6305,128,542,193,660,562,1795,882,3000,2429,9301,9,42,43,153,23,92,332,875,411,1157,44,131,71,167,334,728,448,1027,862,2186,63,132,5331,15586
POA4158,427,843,3,13,23,108,3,27,236,896,268,1038,17,80,26,87,71,211,115,380,382,1423,3,19,16,45,7,21,97,246,117,326,5,28,22,45,91,188,112,256,233,583,18,30,1055,2878
POA4159,1540,3077,42,244,178,828,70,295,923,3651,1210,5026,127,534,156,528,405,1268,682,2332,1897,7355,9,25,35,107,22,62,198,544,251,740,32,104,60,141,195,430,286,675,540,1413,46,100,4019,11945
POA4160,1971,3891,33,185,273,1208,72,311,1167,4571,1541,6270,182,726,281,943,478,1485,934,3157,2471,9432,11,41,46,155,23,79,288,738,366,1013,37,108,101,229,240,516,374,850,742,1866,70,157,5260,15342
POA4161,1588,3177,34,175,185,874,67,292,1076,4153,1358,5492,109,456,149,484,480,1534,743,2476,2097,7967,11,60,60,220,37,131,300,860,410,1276,35,121,66,156,325,733,434,1004,844,2287,54,118,4583,13546
POA4163,1869,3710,16,100,151,687,45,198,641,2441,856,3424,92,376,201,668,344,1074,631,2120,1486,5545,6,29,46,169,23,78,268,689,345,961,23,65,87,176,268,563,372,806,717,1768,45,103,4118,11118
POA4164,1487,2963,49,248,251,1138,50,230,1051,4148,1400,5772,131,521,214,745,389,1222,725,2489,2123,8257,11,54,45,150,23,67,204,557,284,828,29,80,57,125,136,295,218,496,497,1327,50,101,4159,12644
POA4165,4120,8185,105,572,522,2381,137,633,2613,10132,3383,13718,260,1054,395,1330,839,2633,1494,5012,4880,18729,16,74,100,366,48,160,585,1593,748,2191,66,209,112,250,449,971,630,1429,1374,3623,73,152,10447,30691
POA4169,1841,3617,3,32,60,268,6,29,464,1631,535,1961,22,89,96,316,114,352,234,763,768,2724,0,3,13,32,4,24,100,222,117,277,11,33,49,100,106,224,167,361,287,636,113,228,3005,7207
POA4170,2400,4725,21,102,226,1034,35,163,1880,7054,2166,8347,107,434,227,772,275,855,609,2069,2770,10419,5,26,52,168,16,51,326,798,395,1040,37,107,109,233,278,593,421,934,819,1976,164,336,6151,17454
POA4171,1540,2997,16,87,212,943,19,99,1218,4546,1467,5668,89,359,219,778,196,619,507,1759,1975,7426,0,6,24,75,9,23,215,499,243,601,14,35,89,201,145,308,252,548,497,1149,83,167,4090,11744
POA4172,384,761,8,25,55,241,8,27,327,1251,394,1550,22,103,46,143,61,180,131,428,521,1975,6,22,10,27,10,28,68,172,91,255,12,29,23,53,89,182,117,266,210,516,26,53,1143,3301
POA4173,853,1697,3,31,75,346,30,122,582,2195,691,2695,53,237,68,235,182,604,314,1072,1003,3771,4,28,23,83,13,50,150,375,194,541,17,61,37,85,157,341,213,490,411,1031,33,71,2299,6564
POA4174,198,401,8,30,29,146,3,12,196,724,233,905,6,29,17,49,57,189,80,266,316,1177,0,3,3,21,3,12,56,157,65,185,3,6,5,18,53,105,64,133,125,315,17,26,653,1918
POA4178,2406,4774,38,201,285,1293,94,396,1679,6306,2087,8192,128,524,253,851,525,1636,907,3019,2992,11212,19,71,83,269,56,187,466,1193,620,1720,58,185,118,247,451,981,629,1406,1246,3130,118,240,6767,19357
POA4179,1917,3796,25,136,238,1081,71,310,1373,5223,1707,6759,115,488,238,798,415,1303,768,2587,2474,9338,10,34,61,217,30,90,350,902,442,1248,35,110,92,194,296,628,425,932,864,2175,94,205,5346,15512
POA4183,255,494,0,4,11,44,5,14,90,359,103,429,5,26,10,33,29,95,47,157,147,582,0,0,4,26,4,12,49,131,59,171,4,5,7,15,47,97,53,119,114,288,9,14,521,1371
POA4184,1081,2142,6,48,29,122,16,77,149,580,201,818,16,61,21,69,91,289,131,417,328,1235,3,14,19,77,6,30,183,485,213,601,3,7,34,68,131,267,167,342,380,943,32,71,1826,4388
POA4205,549,1119,10,48,26,141,28,140,223,872,296,1204,15,72,38,123,113,368,171,572,460,1773,3,10,15,58,11,45,124,358,156,474,3,4,17,37,97,200,119,243,276,721,25,42,1314,3655
POA4207,5150,10374,102,587,532,2575,249,1184,3319,13306,4211,17643,243,1016,358,1182,1261,4006,1856,6205,6069,23849,34,164,211,767,144,525,1521,4335,1908,5787,112,381,193,424,980,2133,1287,2943,3199,8734,242,512,14660,43471
POA4208,1767,3518,58,348,294,1406,88,434,1736,6863,2178,9053,114,485,179,618,389,1240,682,2348,2864,11398,12,82,68,261,30,117,312,911,432,1378,23,85,62,142,189,428,273,655,700,2031,49,107,5387,17054
POA4209,3634,7272,119,692,663,3172,279,1253,4469,17625,5533,22743,246,1011,372,1256,758,2386,1374,4656,6900,27398,30,160,192,694,102,384,1319,3736,1648,4973,96,313,150,328,517,1153,768,1795,2414,6765,147,320,13094,41759
POA4210,1722,3446,51,301,270,1193,100,428,1538,6003,1953,7924,141,593,215,710,418,1346,776,2644,2730,10571,13,62,56,206,39,141,369,963,473,1368,41,128,74,169,246,527,363,830,830,2200,49,111,5339,16326
POA4211,5866,11725,123,689,675,3137,302,1370,4099,15849,5204,21048,366,1542,581,1936,1410,4472,2349,7948,7554,28999,42,183,211,750,136,457,1229,3310,1616,4706,105,319,265,587,950,2068,1326,2976,2939,7676,173,363,16531,48764
POA4212,3468,6869,53,298,324,1476,112,527,1658,6311,2147,8610,189,767,389,1287,688,2160,1260,4216,3413,12823,14,64,80,286,27,95,346,890,473,1335,50,146,134,309,320,700,505,1160,970,2493,62,134,7921,22322
POA4213,2687,5351,55,313,405,1858,134,625,2118,8387,2720,11181,226,941,327,1086,745,2379,1297,4410,4013,15586,24,97,94,341,36,130,495,1302,654,1871,46,152,123,293,398,857,568,1303,1220,3175,72,150,7995,24264
POA4214,3520,7055,69,386,441,2023,128,595,2207,8504,2848,11500,283,1176,445,1523,875,2805,1610,5500,4458,17002,28,134,116,400,68,234,593,1625,807,2392,71,225,195,436,671,1463,936,2124,1745,4516,128,273,9849,28848
POA4215,5120,10164,28,161,262,1182,75,350,2105,7632,2472,9326,116,480,277,879,540,1648,933,3005,3405,12327,18,101,146,510,66,233,1068,2638,1301,3479,76,230,261,558,1062,2262,1405,3051,2704,6526,292,598,11522,29617
POA4216,5268,10441,34,173,249,1092,87,383,1815,6737,2181,8390,157,642,301,951,676,2078,1134,3673,3322,12063,12,48,93,313,49,173,670,1741,822,2271,57,185,174,380,682,1431,914,1993,1738,4264,156,321,10477,27084
POA4217,4906,9684,33,177,271,1193,73,281,1627,6020,1998,7674,119,482,343,1112,527,1609,980,3203,2986,10874,5,30,93,304,37,115,483,1200,623,1654,50,142,186,402,524,1074,757,1624,1381,3276,199,408,9468,24246
POA4218,3715,7391,23,109,259,1116,70,320,1608,6012,1962,7568,113,455,274,906,510,1586,896,2938,2856,10505,8,29,72,229,36,109,480,1173,590,1532,45,130,158,331,479,1002,682,1461,1270,2996,171,352,8010,21242
POA4220,3524,6968,38,224,227,1025,75,349,1868,7038,2213,8644,114,460,246,818,546,1649,900,2924,3113,11563,9,38,83,281,35,110,510,1251,634,1678,47,139,150,327,548,1164,744,1627,1375,3310,146,290,8158,22130
POA4221,2746,5417,60,339,278,1248,92,410,1607,6187,2042,8185,140,593,219,711,541,1701,907,3005,2947,11190,20,104,80,257,44,148,463,1195,610,1709,55,180,152,312,531,1146,739,1631,1342,3345,98,199,7136,20154
POA4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4223,1504,2974,29,156,165,751,48,198,846,3292,1087,4394,71,295,146,485,327,1008,539,1784,1627,6180,4,25,47,160,15,61,254,667,325,910,29,94,71,154,233,475,340,730,662,1638,55,118,3846,10919
POA4224,647,1284,7,45,40,165,12,62,361,1361,426,1641,33,121,42,128,120,362,189,614,612,2254,0,6,23,94,8,22,153,375,188,501,14,40,39,94,124,267,177,404,367,904,30,55,1656,4496
POA4225,973,1912,12,69,17,88,4,20,222,787,256,963,13,40,29,96,91,278,126,413,381,1379,3,10,11,39,8,26,106,255,129,337,4,14,34,59,122,242,157,315,282,654,35,71,1681,4013
POA4226,3365,6690,45,248,321,1423,108,456,1959,7420,2433,9558,202,828,412,1373,748,2335,1354,4532,3787,14093,23,103,116,397,48,152,592,1551,775,2209,67,197,216,487,508,1100,782,1785,1562,3986,123,258,8838,25030
POA4227,1811,3588,37,186,267,1208,68,286,1574,5998,1937,7684,105,433,236,783,370,1150,714,2363,2653,10045,19,73,102,364,41,146,465,1196,629,1774,58,173,143,319,346,758,551,1254,1180,3031,94,199,5741,16855
POA4228,512,1037,20,91,77,340,28,135,364,1437,479,2002,54,237,64,212,157,498,279,948,761,2948,8,28,4,24,3,15,52,140,73,201,3,20,11,29,49,106,70,157,138,362,7,20,1422,4368
POA4229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA4230,272,543,0,0,7,44,4,19,64,218,76,280,0,4,12,26,35,114,51,144,127,429,0,0,3,5,0,3,40,106,42,110,3,12,18,38,36,77,61,132,107,241,4,10,504,1224
POA4270,443,876,14,95,54,259,25,91,231,924,330,1372,32,126,40,148,107,340,181,613,511,1979,4,11,11,34,3,21,48,152,64,215,5,10,10,20,38,76,49,104,115,319,3,6,1081,3185
POA4271,382,754,4,22,28,128,10,43,172,677,210,867,10,29,24,89,46,139,76,257,290,1124,3,9,6,22,0,0,54,144,61,173,4,16,17,34,38,86,63,138,130,305,5,13,801,2195
POA4272,687,1359,4,40,46,230,14,57,256,1012,320,1332,18,67,49,156,80,246,141,466,466,1794,0,9,14,40,7,22,50,135,74,209,7,15,19,39,51,104,70,149,142,359,9,15,1302,3529
POA4275,378,748,6,46,52,226,11,51,201,784,274,1108,24,91,32,105,91,276,146,473,422,1582,0,8,9,27,3,11,59,168,75,217,0,8,15,33,45,84,61,127,131,343,3,10,931,2681
POA4280,1510,3043,54,327,272,1262,122,564,1191,4775,1636,6932,129,544,147,484,494,1577,770,2602,2407,9535,11,50,52,182,26,99,283,826,369,1159,23,68,45,103,175,405,245,576,613,1734,38,80,4567,14396
POA4285,2051,4100,53,323,251,1172,103,487,1201,4882,1608,6864,114,469,164,535,468,1474,747,2481,2354,9343,15,55,61,253,40,141,418,1184,534,1637,30,88,76,168,267,573,372,828,904,2460,66,146,5376,16050
POA4287,87,169,0,5,5,27,0,3,38,152,41,187,0,3,4,15,21,59,28,75,71,259,0,0,0,3,0,0,16,42,14,46,0,5,0,6,17,30,19,36,32,85,3,4,189,517
POA4300,4148,8314,164,1018,716,3473,303,1479,4636,18087,5825,24055,304,1304,450,1506,1001,3247,1764,6054,7588,30113,55,293,225,867,119,436,1253,3519,1650,5113,109,359,208,467,690,1502,1010,2328,2657,7443,230,486,14623,46358
POA4301,1857,3724,118,754,349,1851,148,760,1963,8151,2578,11519,124,556,162,544,443,1441,732,2543,3311,14064,46,266,154,652,86,321,878,2585,1164,3829,56,188,93,195,412,923,555,1308,1725,5134,128,286,7015,23208
POA4303,261,531,15,80,30,164,22,122,120,524,187,880,3,19,21,57,69,232,93,315,286,1194,4,30,21,100,16,81,139,442,188,656,7,20,13,37,106,220,123,281,316,937,31,69,890,2727
POA4304,1537,3104,44,276,139,658,57,243,894,3532,1129,4714,49,202,115,377,341,1117,509,1694,1637,6405,20,97,63,252,30,116,490,1350,609,1813,24,66,81,176,383,834,485,1077,1096,2890,100,214,4358,12609
POA4305,5469,10843,126,749,560,2673,234,1133,3831,15160,4757,19714,270,1131,444,1456,1221,3910,1938,6499,6694,26211,70,330,257,956,190,714,1681,4822,2193,6820,121,395,260,558,1144,2507,1526,3458,3717,10280,298,630,16181,47962
POA4306,3677,7316,104,593,513,2379,146,691,2471,9814,3243,13482,237,984,391,1302,898,2829,1520,5114,4762,18596,18,95,96,340,51,178,529,1465,698,2079,39,125,123,285,376,825,549,1232,1241,3312,76,162,9757,29380
POA4307,183,362,3,15,24,125,4,37,91,343,124,520,8,45,13,35,52,149,70,229,190,755,0,8,10,18,3,6,22,65,34,99,0,0,0,4,21,52,28,55,58,157,5,21,445,1286
POA4309,396,790,16,71,43,214,13,52,172,687,240,1025,17,62,12,39,62,191,92,290,324,1318,3,8,6,20,5,21,35,97,49,150,3,4,12,15,39,83,46,103,97,253,3,10,824,2370
POA4310,800,1584,16,91,64,285,31,126,296,1179,405,1677,23,90,40,128,134,434,201,660,603,2342,7,25,11,41,3,14,77,220,96,293,3,21,18,32,75,163,98,218,189,509,9,20,1603,4458
POA4311,1121,2238,21,119,106,532,47,229,563,2268,730,3147,42,168,60,185,227,723,325,1069,1056,4215,7,45,46,175,25,107,231,708,309,1028,10,35,26,57,158,355,193,455,502,1484,40,93,2725,8036
POA4312,434,846,0,3,29,118,13,48,106,433,149,608,11,40,17,64,34,109,64,211,208,818,0,0,3,8,4,20,47,132,54,154,0,9,10,17,31,58,43,85,90,238,10,23,746,1931
POA4313,331,665,3,35,20,76,0,11,105,446,130,568,7,32,18,50,39,123,61,206,194,777,0,0,14,39,0,0,45,128,50,168,0,3,7,16,39,75,45,95,96,258,8,16,630,1712
POA4340,602,1192,22,136,42,208,32,165,249,1007,352,1512,27,110,39,120,128,407,195,634,541,2154,9,27,25,82,11,46,120,349,161,502,12,49,23,57,70,157,108,254,270,759,26,51,1440,4150
POA4341,1616,3208,40,223,142,684,64,291,854,3453,1098,4652,60,247,88,282,290,891,432,1419,1535,6073,16,90,49,194,34,139,305,892,407,1315,32,111,48,113,211,458,292,682,702,1994,49,112,3902,11391
