POA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
POA4213,0,0,0,0,0,5,3,0,0,11,0,0,0,0,0,0,0,3,0,10,0,0,3,0,0,4,3,0,0,7,0,3,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,3,0,0,0,4,0,14,6,18,10,18,13,5,0,86,0,0,0,5,0,0,0,0,0,7,0,3,3,11,12,4,4,0,0,36,0,0,0,10,8,6,7,0,0,26,0,14,21,84,53,49,49,18,6,293,34,117,79,208,129,123,101,54,43,896,870,2364,1791,3284,2156,1757,1278,571,161,14228,0,0,0,0,0,0,0,0,0,0,788,1854,1309,2564,1347,1136,755,287,104,10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,3,3,0,17,10,0,3,0,0,42,0,0,0,5,4,0,0,0,0,10
POA4214,0,0,0,3,3,7,3,3,0,31,0,7,10,13,9,0,4,3,0,42,0,4,7,39,7,4,3,0,0,67,0,3,10,11,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,0,0,0,18,0,9,9,22,4,11,12,3,0,72,0,4,20,19,10,3,0,0,0,57,0,0,3,9,5,3,6,3,3,32,0,0,3,18,10,5,3,3,0,37,4,29,55,123,82,93,50,40,11,483,47,131,181,277,185,146,109,64,51,1204,955,2370,2980,4435,2552,2130,1605,798,297,18119,0,0,3,11,3,0,0,0,0,16,916,1763,1849,2620,1464,1275,1014,514,286,11705,0,0,4,15,3,0,0,0,0,28,0,0,4,20,18,9,3,0,0,55,0,0,3,3,6,0,0,0,0,13,0,3,4,19,4,5,3,0,0,37,0,0,0,6,3,0,7,0,0,17
POA4215,0,0,3,5,11,11,7,12,3,49,0,5,3,23,3,4,3,0,0,43,3,4,16,69,8,3,0,0,0,107,5,11,15,38,3,0,0,0,0,72,0,0,0,0,5,4,0,3,0,14,0,3,0,13,5,7,3,8,0,39,3,3,11,35,20,21,18,7,3,111,0,4,14,23,9,7,3,0,0,63,0,0,3,3,7,3,3,3,0,21,0,0,11,20,0,5,3,0,0,49,24,47,163,339,107,90,119,64,22,963,110,256,503,713,317,268,244,146,73,2626,1216,2114,3856,7350,2931,2543,2315,1322,521,24172,0,3,5,9,0,0,0,0,0,11,967,1449,2263,3251,1539,1552,1505,856,545,13926,0,0,3,24,4,0,0,0,0,35,0,0,17,41,25,35,15,6,0,138,0,0,0,10,4,0,0,0,0,20,3,0,21,47,11,7,0,0,3,90,0,0,0,7,8,4,0,4,0,25
POA4216,0,0,0,0,3,7,3,3,0,24,0,0,3,10,3,3,0,0,0,22,0,0,3,5,3,0,5,0,0,18,0,0,4,10,3,0,0,0,0,16,0,0,3,3,0,0,0,0,0,8,0,0,0,0,3,3,3,0,0,18,0,13,7,10,7,17,11,3,0,69,0,0,3,8,4,4,0,0,0,23,0,3,0,9,3,12,13,7,0,51,0,0,0,15,8,4,9,0,0,30,3,28,37,116,67,88,86,41,14,478,57,115,116,318,191,197,186,135,67,1377,890,1807,1829,4054,2311,2327,2582,1436,484,17732,0,0,0,4,0,0,0,0,0,3,710,1335,1281,2551,1436,1684,1679,931,449,12071,0,0,0,14,0,0,0,0,0,15,0,0,0,13,13,8,10,0,0,40,0,0,0,0,0,0,0,0,0,3,3,0,9,18,3,7,3,0,0,45,0,3,0,5,4,3,3,0,0,17
POA4217,0,0,0,4,8,4,10,3,0,26,0,0,0,4,5,6,5,3,0,25,0,7,17,64,9,10,3,0,0,111,4,8,17,44,9,3,0,0,0,82,0,0,0,4,5,5,0,0,0,15,0,0,0,7,11,0,0,3,0,30,3,6,19,28,11,21,13,5,5,110,0,3,0,18,7,8,4,0,0,48,0,0,3,5,7,6,5,0,0,27,0,0,0,7,4,3,6,0,0,21,19,38,210,573,85,91,90,50,11,1159,97,153,387,931,363,336,292,138,48,2748,788,1646,2764,6332,2655,2463,2373,1092,321,20438,0,0,0,0,0,0,0,0,0,0,593,1130,1521,2237,1444,1382,1225,577,235,10344,0,0,0,9,0,0,0,0,0,7,0,0,3,9,5,0,0,0,0,17,0,3,0,4,0,0,0,0,0,6,0,4,14,44,15,10,7,0,0,92,0,0,5,28,0,4,0,0,0,45
POA4218,0,0,0,0,0,5,6,3,0,21,0,0,0,4,0,0,0,0,0,4,0,0,7,17,9,4,8,0,0,47,3,3,6,12,4,3,0,0,0,38,0,0,0,0,3,5,4,0,0,10,0,0,0,3,5,7,0,0,0,18,3,7,14,25,21,8,11,0,3,87,0,0,0,5,7,0,0,0,0,18,0,3,0,7,7,0,3,6,0,28,0,0,6,7,3,3,0,0,0,16,4,19,72,294,56,58,39,36,14,596,55,100,147,449,225,191,151,92,32,1444,762,1507,1819,4832,2109,1815,1629,850,285,15606,0,0,0,0,0,0,0,0,0,0,642,1154,1404,2777,1229,1152,977,522,278,10137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,19,0,0,0,3,0,0,0,0,0,8,0,5,7,58,10,13,3,3,0,97,0,0,0,4,0,0,3,0,0,9
POA4220,0,0,0,0,3,4,5,7,0,16,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,7,0,0,3,0,3,3,0,0,0,10,0,11,3,21,5,14,10,3,3,61,0,0,0,3,3,3,0,0,0,10,0,3,0,7,11,3,11,3,3,42,0,0,0,8,5,7,0,0,0,20,3,15,27,181,44,40,34,31,12,391,41,90,117,339,167,131,129,72,38,1130,875,1656,1568,4500,1878,1713,1511,875,320,14892,0,0,0,0,0,0,0,0,0,0,862,1409,1280,3183,1351,1286,1111,614,377,11475,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,56,13,5,0,0,0,80,0,0,0,8,3,0,0,0,0,17
POA4221,0,0,0,3,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,6,0,0,0,0,0,13,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,6,11,13,12,16,6,7,0,70,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,3,0,0,14,0,0,0,0,0,3,0,0,0,6,0,9,17,75,13,31,20,15,8,183,50,85,76,258,103,116,111,53,26,865,806,1706,1520,3427,1711,1571,1293,681,278,13001,0,0,0,0,0,0,0,0,0,0,697,1339,1206,2625,1385,1294,989,574,299,10399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,3,36,5,10,0,0,0,56,0,0,0,4,0,0,0,0,0,8
POA4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4223,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,9,6,10,6,4,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,3,3,0,0,14,0,0,0,0,3,0,0,0,0,4,0,8,3,34,14,8,14,3,6,80,13,38,37,82,43,73,50,30,9,376,407,961,809,1421,950,924,741,343,148,6706,0,0,0,0,0,0,0,0,0,0,324,803,612,1254,763,744,501,309,155,5462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,0,0,0,25,0,0,0,0,0,0,0,0,0,3
