POA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA4115,157,123,276,710,633,1341,185,187,368,81,78,158,973,896,1861,385,388,769,183,188,371,87,92,181,653,668,1317,36,40,78,28,55,85,40,26,61,39,80,115,0,0,0,148,204,346,266,293,564,100,126,228,26,27,54,83,107,187,4,3,4,480,559,1040,31,32,59,32,43,71,0,0,0,61,70,134,384,356,739,2854,2868,5720
POA4116,213,190,401,864,844,1707,131,146,274,126,126,255,1115,1116,2238,590,549,1133,110,124,240,128,139,271,825,815,1646,68,72,137,69,110,174,36,29,69,55,113,165,3,3,3,230,322,549,559,603,1159,223,226,447,51,48,101,103,138,238,3,0,4,940,1015,1953,60,51,107,65,85,150,0,0,0,123,138,258,624,609,1231,4069,4202,8268
POA4117,14,14,24,71,48,113,4,12,15,15,11,25,83,68,155,36,25,63,3,0,7,5,4,13,47,33,78,0,4,3,0,0,3,0,0,0,0,9,9,0,0,0,11,11,18,6,9,19,3,3,5,0,0,3,4,3,4,0,0,0,13,18,34,0,3,3,3,7,10,0,0,0,3,7,12,39,44,89,207,204,413
POA4118,187,196,388,1185,1097,2281,215,206,422,143,129,277,1544,1435,2977,808,803,1612,175,154,337,130,115,245,1116,1079,2196,62,67,133,37,73,111,70,61,133,64,138,197,0,3,3,232,345,579,224,307,533,56,113,168,31,38,68,65,119,185,3,8,11,379,580,959,25,42,67,33,132,168,0,3,9,64,171,237,898,889,1787,4420,4695,9122
POA4119,53,51,108,202,199,397,40,44,85,59,69,130,301,313,617,121,117,238,33,31,69,43,45,92,201,198,396,20,26,42,13,22,28,11,11,18,11,32,43,0,0,0,50,86,130,114,75,193,46,41,90,16,11,22,27,35,68,0,0,0,208,168,376,4,16,17,5,16,30,0,3,3,16,36,46,162,172,333,987,1016,2008
POA4120,42,48,97,175,151,324,53,54,101,21,16,32,242,216,456,75,67,144,56,65,120,32,29,60,160,163,320,26,23,52,24,36,60,8,12,16,32,38,69,0,0,0,94,108,199,251,227,475,123,137,257,30,24,59,77,128,204,0,0,3,488,514,1002,15,23,39,21,36,62,0,0,0,37,62,99,294,273,564,1350,1387,2734
POA4121,185,201,385,783,773,1553,377,327,704,82,78,160,1239,1179,2414,389,343,731,327,289,609,120,139,257,830,771,1603,33,40,75,27,44,76,37,14,49,49,102,153,0,0,4,150,202,351,480,547,1028,150,165,320,50,50,101,192,265,455,3,4,10,874,1034,1909,16,27,44,51,51,101,0,0,0,65,82,148,630,653,1280,3978,4109,8094
POA4122,218,247,467,1224,1210,2434,395,429,823,147,134,273,1764,1770,3533,940,986,1927,327,290,619,202,162,370,1469,1443,2914,96,104,201,86,136,223,82,50,133,133,192,324,4,9,11,401,488,890,943,1232,2172,339,363,703,89,96,187,255,372,628,6,6,18,1638,2066,3700,78,95,173,82,141,222,3,0,3,159,235,400,1096,1241,2337,6751,7485,14236
POA4123,148,144,290,560,542,1104,143,158,299,124,122,246,830,814,1650,375,407,783,91,67,159,144,139,284,609,613,1229,36,31,67,14,52,67,28,23,54,59,79,133,0,0,0,138,180,319,194,230,419,76,83,158,25,29,46,83,146,229,0,3,3,374,484,858,29,25,57,29,70,96,0,0,0,52,95,151,389,427,822,2552,2759,5315
POA4124,169,135,298,849,768,1619,141,126,267,120,129,255,1110,1030,2142,518,513,1029,107,139,249,152,143,291,774,793,1569,31,28,61,10,39,50,42,29,72,34,118,154,0,0,0,116,217,340,109,155,262,25,55,77,13,34,49,37,106,140,0,0,0,189,338,530,13,34,47,29,67,95,0,0,3,44,104,149,553,496,1051,2959,3118,6071
POA4125,33,23,51,179,164,339,54,44,98,56,53,106,279,264,544,139,121,258,56,52,114,45,69,111,247,241,486,10,17,27,3,8,10,31,10,39,17,27,37,0,0,3,56,61,117,51,57,112,10,20,29,4,8,11,9,31,40,0,0,0,73,114,190,7,8,12,5,26,31,0,0,0,14,36,44,219,248,469,920,987,1908
POA4127,172,163,334,816,754,1569,186,189,372,233,218,453,1233,1163,2398,597,573,1170,121,97,220,254,230,482,971,895,1874,52,55,103,43,75,116,56,49,107,83,113,196,0,0,0,229,292,524,223,241,469,74,114,191,23,38,60,99,149,253,0,3,7,430,549,974,42,46,96,38,79,115,0,0,3,77,130,208,820,866,1688,3936,4057,7994
POA4128,114,108,221,445,436,879,155,125,276,134,144,274,734,704,1439,251,215,469,176,141,319,178,190,367,605,548,1149,29,35,60,18,28,43,49,36,85,51,62,112,0,0,3,150,160,313,135,183,314,47,74,123,24,25,49,49,117,164,0,0,3,257,400,653,15,17,38,32,55,84,0,0,0,48,74,119,443,468,906,2355,2454,4807
POA4129,54,42,95,260,236,487,49,45,90,47,42,90,351,323,672,124,128,257,38,33,70,52,48,105,211,216,429,12,12,23,3,11,10,19,4,20,20,34,51,0,0,0,49,60,108,45,46,83,6,21,30,9,8,20,16,29,46,0,0,0,71,104,182,7,10,12,9,19,26,0,0,0,15,25,36,144,157,297,890,927,1817
POA4130,43,52,87,214,168,381,108,98,211,119,106,232,444,376,819,62,81,145,108,111,221,108,124,232,282,317,597,15,17,33,3,10,15,35,14,43,21,28,49,0,0,0,82,72,150,93,124,222,16,23,41,10,13,29,31,54,87,0,0,0,147,223,373,0,7,7,14,31,42,0,0,0,16,36,51,208,206,420,1221,1277,2499
POA4131,92,60,146,391,303,695,57,42,95,71,67,140,516,411,929,288,240,529,33,34,70,49,60,109,370,340,715,26,34,57,30,49,83,26,23,48,19,43,62,0,0,0,107,145,251,71,104,170,42,61,96,8,20,21,24,48,74,0,0,0,139,224,370,24,21,46,12,39,53,0,0,0,29,62,93,545,568,1109,1799,1818,3623
POA4132,212,218,433,1268,1168,2434,163,173,335,120,149,271,1550,1493,3042,806,767,1573,121,104,224,93,110,207,1025,982,2001,50,84,134,40,101,143,38,46,77,60,105,169,0,5,5,194,337,531,119,185,305,38,82,122,10,24,39,48,77,122,0,0,5,215,371,587,33,54,85,51,123,176,4,0,4,92,174,266,1357,1393,2748,4640,4965,9607
POA4133,130,149,279,566,569,1137,83,77,159,125,144,267,774,791,1565,376,351,724,65,100,163,123,126,249,567,575,1137,34,51,89,22,46,70,29,42,69,39,89,124,3,8,8,127,232,357,75,137,211,30,60,98,22,22,42,40,71,108,0,0,0,171,294,463,14,28,45,27,76,102,0,3,3,43,109,153,665,724,1392,2483,2864,5350
POA4151,90,103,188,344,277,616,200,158,352,53,36,85,590,463,1055,113,96,202,217,208,425,127,81,208,450,386,839,29,25,52,30,53,82,20,19,41,33,50,83,0,0,0,107,149,261,337,385,721,156,175,328,29,46,74,150,187,331,3,6,4,677,794,1463,25,28,53,27,57,89,0,3,3,53,84,141,478,508,988,2443,2494,4940
POA4152,286,309,591,1069,965,2035,575,545,1119,254,243,493,1898,1750,3646,547,449,993,589,590,1174,363,380,748,1498,1414,2914,75,72,146,35,71,112,71,58,132,103,146,251,7,3,8,290,355,645,791,922,1716,226,227,452,103,140,245,261,403,659,3,7,8,1377,1701,3075,51,56,105,74,116,183,0,0,0,122,170,297,979,1032,2007,6449,6726,13174
POA4153,30,30,57,139,101,237,50,48,96,35,37,74,223,181,410,55,61,108,82,74,158,39,50,92,178,176,356,7,8,16,5,5,12,13,3,15,4,12,20,0,0,4,27,31,62,63,76,139,10,17,27,10,16,28,21,30,50,0,0,0,109,133,242,3,3,5,6,7,18,0,0,0,8,13,24,82,53,134,661,618,1284
POA4154,136,104,236,373,419,792,196,161,355,190,205,386,751,777,1528,153,118,264,187,114,299,182,191,369,518,422,933,10,14,24,3,13,21,14,6,23,23,42,68,0,0,0,56,81,131,127,135,267,17,45,63,10,21,33,52,73,129,0,0,0,211,274,488,3,11,16,22,31,50,0,0,0,23,43,66,218,189,402,1909,1882,3789
POA4155,7,5,12,20,28,46,21,8,28,25,32,64,67,69,137,3,11,22,25,15,40,23,40,62,53,68,125,0,5,5,0,0,0,3,4,3,0,7,3,0,0,0,5,7,12,29,28,54,5,0,8,3,5,6,4,10,13,0,0,0,38,49,85,0,5,4,0,3,9,0,0,0,3,7,10,49,47,92,222,257,478
POA4156,17,27,43,88,80,165,29,26,52,50,50,108,170,155,328,84,88,173,36,25,58,51,49,101,172,165,333,9,9,15,0,5,4,17,3,19,3,7,9,0,0,0,27,19,52,53,73,127,5,11,21,7,5,15,14,15,32,0,0,0,78,107,187,0,8,10,10,9,19,0,0,0,13,17,31,54,44,100,535,535,1071
POA4157,112,105,216,555,500,1054,170,157,327,113,109,216,836,758,1594,402,368,766,94,80,178,176,146,328,669,597,1269,32,36,69,17,24,43,51,42,85,49,84,128,0,0,4,138,183,326,161,198,353,32,58,94,20,28,41,52,113,166,0,0,4,262,393,659,11,17,30,21,70,86,0,0,0,29,86,121,361,356,716,2418,2482,4899
POA4158,23,29,53,122,101,218,29,22,50,23,13,31,166,139,304,58,45,101,13,13,33,25,23,46,95,83,180,0,3,5,3,8,12,5,10,18,9,15,22,0,0,0,21,38,62,19,26,49,10,7,13,0,8,10,14,17,36,0,0,0,49,60,104,3,3,3,6,12,20,0,0,0,10,17,25,106,109,215,468,478,945
POA4159,97,76,171,376,364,738,167,156,324,103,110,211,644,631,1271,267,266,536,103,89,196,138,131,268,515,485,999,22,22,46,8,17,29,31,26,61,27,48,76,0,0,0,89,119,212,127,174,300,27,51,77,17,27,45,56,89,139,0,0,0,221,340,563,8,8,14,11,31,45,0,0,0,18,38,58,390,470,862,1978,2161,4136
POA4160,138,103,246,455,435,890,153,171,321,195,217,410,798,822,1623,314,286,604,157,107,261,334,339,675,804,732,1536,39,18,60,4,22,30,53,37,94,35,73,105,0,0,0,136,153,285,211,259,471,30,44,73,35,30,70,69,117,189,0,3,5,352,459,809,12,13,27,22,59,78,0,0,0,30,72,102,325,328,651,2584,2665,5251
POA4161,90,102,192,586,529,1120,135,137,278,50,63,110,776,729,1502,411,379,789,85,68,155,88,82,163,580,525,1104,26,38,65,15,28,42,47,22,64,46,72,114,0,0,0,131,165,294,101,157,258,28,53,80,20,29,46,35,93,127,0,0,5,183,334,514,19,24,36,27,50,77,0,0,3,45,68,115,353,350,704,2163,2276,4433
POA4163,62,45,107,319,306,628,84,67,146,89,104,200,498,478,974,244,251,492,68,58,120,159,152,315,468,457,927,21,29,48,6,14,24,35,16,52,30,53,81,0,0,0,91,113,202,132,165,302,22,37,63,18,17,33,47,84,128,0,4,4,217,310,526,13,16,27,24,44,65,0,3,3,33,58,93,457,537,997,1822,2005,3825
POA4164,93,94,184,481,465,940,86,92,175,156,158,312,720,708,1435,278,279,557,154,164,317,212,206,418,643,647,1287,31,24,57,5,19,21,55,24,78,23,69,95,4,0,4,122,135,258,131,188,320,24,30,48,18,37,49,51,87,137,0,0,0,222,336,559,14,10,21,25,50,70,0,0,4,35,59,100,305,292,597,2138,2269,4412
POA4165,221,218,440,1183,1146,2332,295,276,568,372,364,733,1844,1786,3635,727,626,1354,235,266,505,444,396,841,1413,1285,2699,58,82,142,16,64,76,87,58,142,76,156,238,6,0,3,252,362,609,227,350,573,45,101,150,27,53,83,81,202,282,0,0,3,389,712,1092,32,23,59,79,135,209,4,0,4,109,158,267,900,968,1872,5126,5486,10611
POA4169,36,38,71,92,97,192,68,72,142,46,22,66,203,197,403,61,40,98,41,39,83,193,56,252,299,138,436,35,32,73,53,79,131,21,22,42,57,61,115,3,0,3,171,195,365,365,393,754,200,192,391,43,62,107,128,172,304,0,0,0,731,826,1558,85,93,178,68,84,155,0,0,0,154,177,332,604,590,1187,2198,2162,4354
POA4170,186,167,351,568,548,1116,280,289,567,123,110,230,971,941,1910,180,161,340,250,283,532,224,156,372,650,591,1246,40,42,77,28,73,100,31,33,69,77,108,180,0,0,3,172,256,427,362,421,780,122,182,307,57,77,133,203,311,517,0,0,0,756,989,1748,25,55,78,48,96,144,0,0,3,75,147,222,797,791,1588,3603,3889,7494
POA4171,107,103,214,362,390,760,175,224,398,110,104,215,650,721,1370,80,69,146,165,207,376,239,210,451,484,490,970,12,16,25,16,25,42,24,22,39,40,44,85,0,0,3,87,113,197,251,274,530,53,87,144,29,42,68,133,189,322,0,0,0,471,588,1066,11,14,21,18,57,74,0,0,3,31,68,105,520,486,1010,2359,2577,4931
POA4172,40,31,74,112,123,229,54,44,105,19,30,45,184,199,382,68,55,121,40,48,81,24,30,52,129,134,256,8,5,12,5,4,10,3,5,4,10,17,26,0,0,0,20,33,56,46,55,98,7,23,34,3,12,8,17,27,52,0,0,3,79,114,191,4,9,13,16,17,25,0,0,0,18,25,41,148,128,276,628,648,1275
POA4173,45,51,98,227,224,454,63,64,133,29,34,68,319,321,646,137,133,270,66,60,132,23,38,62,226,232,465,15,8,25,10,16,26,14,12,27,29,31,58,0,0,0,60,66,134,72,86,154,21,33,53,4,16,21,30,72,102,0,0,0,129,202,330,6,3,14,21,30,43,0,0,0,23,37,63,226,221,448,1041,1130,2174
POA4174,14,7,26,71,93,162,32,24,48,3,7,7,102,121,226,47,47,93,18,14,36,3,5,8,70,73,143,10,3,9,3,0,6,3,4,10,5,11,22,0,0,0,19,26,44,23,11,35,4,9,15,0,4,10,6,16,26,0,0,0,36,40,75,3,0,3,0,4,7,0,0,0,7,3,6,71,57,126,318,328,648
POA4178,187,154,340,710,667,1379,259,243,502,74,96,172,1044,1006,2051,383,393,775,297,146,444,103,151,255,782,691,1473,31,43,73,19,29,48,49,38,81,57,102,164,0,0,0,156,212,366,235,263,501,40,93,134,33,37,76,102,182,284,0,0,3,416,580,995,31,32,61,45,76,118,0,0,0,72,106,174,751,806,1564,3407,3557,6963
POA4179,146,117,263,587,571,1160,229,189,418,134,112,248,951,865,1815,258,234,499,233,155,389,169,265,430,666,658,1318,27,25,59,12,22,29,36,26,62,41,93,134,3,0,5,122,166,287,164,223,387,32,74,102,27,40,68,86,168,254,0,0,3,309,503,810,12,27,41,31,73,103,0,0,0,43,96,147,467,470,931,2702,2878,5575
POA4183,3,8,15,68,58,126,11,4,13,0,3,4,78,64,136,37,25,65,10,14,26,3,5,7,48,47,98,3,0,3,0,0,0,4,0,4,9,3,10,0,0,0,12,3,19,5,3,9,0,3,3,0,0,0,3,7,13,0,0,0,5,18,24,4,0,6,3,4,4,0,0,3,8,6,16,125,118,241,283,264,547
POA4184,24,20,43,159,153,310,0,10,7,17,5,23,177,173,344,130,90,217,0,0,0,20,26,42,147,120,263,7,16,25,3,17,24,0,5,9,12,25,38,0,0,0,27,61,92,3,8,14,10,21,31,7,0,3,13,25,36,0,3,3,35,58,88,7,13,20,15,15,31,0,0,0,15,34,48,281,253,532,697,713,1414
POA4205,20,31,56,117,133,257,12,12,23,39,35,69,167,179,350,84,84,163,19,23,48,23,22,38,123,126,249,10,10,15,3,15,23,13,9,20,10,13,25,0,0,0,33,46,81,26,18,44,12,16,26,0,5,5,13,24,37,0,0,0,55,60,119,0,8,14,5,11,21,0,0,0,9,21,29,191,214,411,612,682,1293
POA4207,375,370,740,1986,1926,3910,217,253,468,367,326,693,2565,2504,5070,1119,1032,2151,335,352,691,351,318,672,1810,1701,3511,77,136,213,35,164,200,131,110,241,125,242,365,10,5,14,376,659,1031,209,343,555,83,155,239,43,74,120,110,234,343,0,0,0,454,809,1258,66,122,186,77,205,282,0,3,7,142,330,474,1983,2081,4066,7697,8449,16149
POA4208,175,178,360,807,756,1564,99,123,219,280,272,558,1191,1151,2343,513,472,982,72,76,150,222,235,457,811,787,1590,29,30,61,9,33,43,32,31,63,44,100,145,0,0,0,117,194,315,108,139,250,34,76,107,19,23,39,57,116,174,0,0,4,219,349,570,21,21,44,33,74,107,3,0,3,54,100,154,661,604,1263,3228,3366,6590
POA4209,567,551,1115,2355,2246,4599,231,228,459,455,473,928,3043,2941,5981,1269,1224,2495,170,215,387,349,400,751,1792,1836,3626,77,120,201,53,155,204,124,107,229,125,288,411,3,0,6,380,672,1055,287,444,731,109,221,336,46,75,118,138,326,464,4,3,7,584,1073,1659,51,96,148,59,210,265,7,3,10,121,306,426,1783,1781,3560,8265,9161,17424
POA4210,159,176,338,679,665,1344,146,137,284,199,194,392,1029,997,2026,490,473,969,96,101,195,179,165,341,772,737,1509,25,35,58,12,26,43,44,40,80,39,104,139,0,0,4,122,202,325,116,185,299,28,84,107,12,39,52,49,120,173,0,3,3,202,427,631,16,31,44,20,73,95,0,0,0,39,102,138,618,678,1297,2942,3327,6263
POA4211,530,435,967,1990,1894,3883,429,413,849,403,418,823,2827,2728,5559,1323,1299,2616,285,270,556,395,447,842,2004,2014,4018,89,97,187,53,148,202,130,113,242,139,271,418,3,4,7,420,633,1054,411,522,936,135,236,371,58,102,159,145,370,517,3,8,10,759,1238,1999,53,82,130,91,222,312,6,8,12,144,303,453,1916,2101,4015,8601,9450,18054
POA4212,193,158,348,574,537,1110,149,162,312,346,341,691,1068,1043,2116,582,531,1115,97,105,210,337,329,666,1017,969,1987,31,47,76,16,38,53,71,50,122,60,97,152,4,3,9,184,229,411,237,288,521,51,84,134,27,35,55,61,157,216,0,3,8,367,572,937,23,27,50,29,77,113,0,0,0,57,101,159,1092,1166,2255,3976,4238,8215
POA4213,230,214,445,995,924,1915,119,104,222,409,390,796,1522,1414,2938,567,475,1038,179,163,343,460,442,903,1208,1072,2277,37,32,69,18,47,59,69,45,115,65,135,204,0,0,0,180,265,443,224,303,530,40,102,138,29,65,88,108,215,320,0,0,0,397,681,1084,34,34,65,39,103,148,0,0,0,79,143,214,958,985,1940,4577,4772,9342
POA4214,271,231,503,975,860,1834,251,253,507,258,277,538,1482,1394,2870,765,734,1497,221,182,411,324,284,605,1315,1198,2511,72,81,147,44,79,121,95,68,158,76,143,217,3,4,8,287,375,654,733,829,1556,238,245,483,68,63,133,109,206,311,4,3,11,1144,1343,2489,36,57,97,48,101,153,0,3,7,85,169,246,1211,1231,2444,5787,5940,11724
POA4215,225,235,458,940,877,1820,166,151,318,154,157,310,1264,1182,2450,658,639,1300,92,83,172,221,311,536,970,1032,2006,124,140,268,158,257,414,95,63,160,159,297,456,11,12,14,539,773,1308,1070,1379,2453,484,494,973,70,99,170,197,256,452,9,12,16,1833,2231,4063,110,155,271,114,195,308,0,4,4,224,355,576,2624,2531,5155,7688,8335,16022
POA4216,222,175,399,695,669,1366,250,225,471,192,194,394,1140,1093,2233,483,458,935,129,139,274,261,225,484,873,825,1694,39,76,118,31,93,121,54,51,104,80,139,221,4,0,5,214,360,571,339,409,744,127,145,267,32,54,93,87,159,238,0,5,5,584,765,1352,38,42,75,47,126,177,0,3,3,88,169,260,1384,1546,2933,4501,4938,9433
POA4217,176,163,334,479,437,915,183,178,361,293,293,584,954,902,1854,427,384,814,106,103,204,370,361,731,908,850,1753,88,98,186,134,201,330,71,61,130,148,182,336,0,3,5,433,546,981,538,623,1167,314,321,634,57,68,129,139,215,358,9,10,15,1059,1239,2294,166,202,368,197,278,469,6,0,6,364,477,839,2710,2623,5331,6603,6803,13409
POA4218,166,166,332,539,501,1042,150,186,334,260,212,473,943,905,1844,393,359,752,130,119,249,271,259,530,786,739,1522,36,54,91,61,93,149,56,36,88,103,116,222,0,0,4,252,303,554,289,392,681,137,174,311,48,50,95,115,213,323,5,3,8,587,827,1414,50,54,105,79,122,198,0,4,3,133,180,314,1389,1475,2872,4261,4590,8849
POA4220,186,207,392,687,672,1355,185,216,400,220,235,458,1089,1120,2215,379,384,766,183,163,341,195,180,374,755,728,1477,27,39,65,30,76,106,58,43,105,105,158,264,0,3,6,227,319,540,227,300,527,130,173,297,34,51,87,116,243,357,3,4,4,504,766,1273,25,45,70,67,118,189,0,0,0,94,164,260,1118,1196,2308,3978,4490,8470
POA4221,169,165,335,803,717,1516,142,137,279,165,142,306,1109,994,2108,624,540,1165,95,78,171,177,169,348,898,789,1679,26,35,55,27,46,78,77,34,110,83,84,165,0,0,0,202,199,403,170,239,406,73,116,188,17,52,69,75,168,244,3,0,3,339,584,921,18,25,45,58,83,137,4,0,0,75,105,186,841,924,1764,3635,3761,7394
POA4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4223,94,86,183,455,435,898,78,83,159,82,72,153,613,596,1214,403,300,702,31,34,67,84,97,183,519,439,959,16,8,27,9,21,33,32,21,52,36,63,98,0,0,0,94,119,211,95,144,236,18,56,75,8,25,38,20,81,102,0,0,0,142,305,450,7,19,30,19,49,68,0,0,0,32,67,91,375,430,811,1884,2035,3914
POA4224,33,54,86,177,144,327,41,34,76,24,20,45,240,205,439,137,111,248,20,15,27,29,35,55,183,152,336,9,8,13,10,12,18,21,3,28,24,43,63,0,0,3,57,69,126,35,59,94,31,37,69,7,15,24,22,44,61,0,0,0,93,156,253,5,10,19,4,28,32,0,0,0,12,40,50,304,343,650,926,1018,1942
POA4225,17,26,45,66,64,132,32,29,55,24,23,45,120,115,240,57,61,121,9,15,19,27,11,45,96,88,184,14,10,17,15,14,27,8,12,20,37,34,74,0,0,0,76,67,138,52,98,146,35,45,84,8,22,26,27,50,73,0,0,3,120,210,329,12,11,22,12,31,37,0,0,0,24,39,64,529,516,1049,984,1062,2048
POA4226,221,230,450,844,745,1584,152,157,309,277,263,539,1275,1167,2436,567,560,1123,165,164,330,360,344,702,1091,1072,2159,50,56,106,41,75,112,61,51,120,75,117,189,0,0,3,227,300,528,464,498,957,181,209,383,45,81,123,100,188,290,3,9,11,789,975,1766,33,49,89,48,104,154,0,0,0,84,156,238,1002,1179,2180,4681,5083,9766
POA4227,180,165,343,699,653,1352,99,110,212,222,268,495,1024,1032,2061,501,501,997,84,82,167,239,229,470,822,818,1638,27,47,71,13,48,61,48,29,79,58,110,170,0,0,0,143,237,377,374,476,846,133,153,289,33,51,82,95,162,258,9,0,6,642,848,1488,35,39,72,38,78,119,0,0,0,76,114,195,666,859,1525,3558,4068,7630
POA4228,43,22,64,151,144,291,33,25,53,74,74,154,255,236,499,85,101,185,27,27,59,88,84,172,201,206,411,8,0,8,3,3,7,13,7,19,4,10,19,0,0,0,25,24,52,54,42,92,14,18,29,7,8,18,10,28,42,0,0,0,84,98,187,3,0,6,3,27,28,0,0,0,13,29,39,173,154,331,797,768,1567
POA4229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,132,165,298,7,6,10,3,0,3,0,0,0,0,0,0,145,167,317,0,0,0,0,0,0,0,0,0,0,0,0,32,29,60,175,204,376
POA4230,11,3,13,27,23,50,10,4,11,10,12,16,41,43,81,20,15,38,3,5,11,0,9,10,26,32,60,0,5,4,3,3,9,7,3,9,4,7,18,0,0,0,19,18,35,14,19,27,7,5,17,5,4,10,8,8,14,0,0,0,29,30,65,0,0,0,3,10,12,0,0,0,7,10,15,58,73,128,190,204,397
POA4270,20,23,40,131,123,250,12,11,27,36,36,73,182,166,349,86,100,181,11,13,29,43,50,93,136,164,300,5,8,11,0,5,6,21,5,29,7,12,26,0,0,3,35,38,74,14,31,40,0,6,4,0,7,7,11,15,26,0,0,0,28,56,82,3,3,4,5,12,24,0,0,0,10,14,28,211,205,417,615,670,1286
POA4271,3,15,23,123,110,228,0,0,3,17,11,27,139,116,261,80,67,149,0,0,0,23,13,38,105,80,189,0,7,3,0,7,7,4,0,6,3,13,19,0,0,0,14,22,37,4,15,20,6,12,14,0,3,4,16,18,32,0,0,0,25,46,68,3,4,4,3,13,20,0,0,0,11,14,26,117,110,231,414,416,827
POA4272,24,20,40,150,161,309,0,0,3,20,23,41,170,184,356,140,119,254,3,3,3,25,24,48,166,141,308,0,3,3,8,10,15,11,3,14,11,14,21,0,0,0,28,26,54,27,31,57,8,16,17,0,3,3,14,33,44,0,0,0,46,79,130,6,3,9,3,14,19,0,0,0,6,20,23,219,235,453,672,700,1367
POA4275,21,20,41,135,119,257,7,7,14,7,8,23,150,136,289,86,117,200,0,0,3,18,13,34,101,130,234,0,9,9,4,0,6,3,11,15,7,18,28,4,0,4,21,40,58,14,22,40,7,8,11,0,3,3,11,23,36,0,0,0,35,54,90,0,0,0,0,11,12,0,0,0,3,8,11,182,135,314,518,530,1047
POA4280,129,103,233,677,637,1310,153,153,311,122,133,255,950,924,1874,468,457,924,161,164,323,126,90,215,750,711,1462,25,31,55,8,22,29,43,35,77,39,73,114,4,0,5,113,163,280,63,116,179,15,44,63,19,18,36,24,96,120,0,0,0,115,277,392,12,17,30,15,66,80,0,0,0,27,82,109,509,484,996,2601,2751,5351
