POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA4210,45,19,114,3630,4217,1835,1379,2741,1177,14970
POA4211,409,247,945,11099,13365,5761,4239,9962,3923,48354
POA4212,291,159,615,5364,6268,2821,1974,4670,2210,23299
POA4213,143,168,436,5278,6423,3036,2235,3980,1800,22762
POA4214,374,259,854,7360,7851,3419,2422,7198,2490,30744
POA4215,823,318,1510,10038,10229,3642,2606,12002,5187,43708
POA4216,549,273,1233,6944,8180,3691,2658,7562,3192,32226
POA4217,329,200,785,8540,8212,3102,2022,8948,5304,36129
POA4218,326,120,719,7032,6966,2747,1797,6075,2843,27460
POA4220,415,165,911,6498,7365,2872,1848,5180,2399,26158
POA4221,304,126,720,5313,5942,2618,1889,4441,1803,22006
POA4222,0,0,0,0,0,0,0,0,0,0
POA4223,182,45,365,2577,3204,1444,1013,2238,799,11278
POA4224,115,44,225,1277,1430,564,414,1189,637,5511
POA4225,163,68,323,1616,1681,630,393,1673,1086,7082
POA4226,370,400,982,6344,6914,2952,2103,6060,2268,26652
POA4227,64,182,311,4348,4669,1855,1317,3571,1371,17133
POA4228,83,25,140,909,1152,635,473,736,341,4250
POA4229,0,0,0,130,26,4,0,166,56,379
POA4230,21,9,49,385,387,140,87,370,124,1487
POA4270,8,4,23,615,943,410,328,498,371,3174
POA4271,20,15,54,451,731,341,283,325,241,2366
POA4272,45,27,123,718,1058,610,493,517,447,3843
POA4275,12,4,26,543,729,375,335,476,324,2782
POA4280,43,13,91,2777,3623,1684,1405,2481,918,12889
POA4285,210,47,355,3136,4130,2068,1750,3125,1685,15895
POA4287,6,3,10,78,153,85,78,113,195,697
POA4300,94,49,240,9853,11505,4712,3663,8252,3288,41274
POA4301,76,28,143,4531,5007,2157,1919,4931,1720,20267
POA4303,97,24,141,538,577,323,260,931,450,3082
POA4304,101,47,291,2845,3568,1605,1286,3229,1373,13902
POA4305,578,184,1176,10362,12851,5716,4905,10699,4176,48712
POA4306,88,44,244,6142,7907,3834,3187,4636,2406,28109
POA4307,8,6,10,245,358,197,156,193,108,1259
POA4309,13,3,33,404,626,326,332,408,277,2381
POA4310,92,33,202,829,1266,708,600,945,435,4782
POA4311,51,26,110,1431,2010,1025,1037,1758,1081,8335
POA4312,9,11,36,374,530,331,357,409,258,2261
POA4313,48,10,73,317,463,252,272,416,199,1921
POA4340,79,18,131,822,1046,612,504,887,513,4381
POA4341,139,39,241,2048,3010,1442,1439,2392,1193,11515
