POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA4000,196,128,45,33,42,24,21,486,28,14,4,8,11,9,0,70,32,14,7,0,3,6,4,60,52,52,26,25,41,17,9,225,0,0,0,0,0,0,0,0,309,206,76,65,95,56,33,842,16,17,13,18,22,14,13,108,4,3,6,0,3,3,4,20,6,4,0,3,5,0,0,15,8,8,5,7,7,7,4,51,0,0,0,0,0,0,0,3,43,35,29,25,33,26,21,204,347,241,102,90,131,82,50,1043
POA4005,123,61,22,8,11,16,10,260,71,29,21,7,12,3,3,148,74,50,28,9,14,18,4,197,229,205,103,46,67,51,27,738,3,0,0,0,3,0,0,7,501,344,173,76,106,92,41,1344,4,14,6,3,5,7,3,41,11,13,4,3,9,3,3,40,3,7,0,3,5,9,8,31,20,31,20,12,13,18,8,122,0,0,0,0,0,0,0,4,38,67,34,25,34,38,20,241,543,414,208,104,139,125,64,1584
POA4006,157,90,35,11,19,14,8,324,32,15,5,3,4,4,0,72,39,18,7,6,7,0,0,74,68,30,17,14,20,17,6,170,3,0,0,0,0,0,0,3,294,150,62,33,51,35,20,642,8,3,8,5,3,3,3,38,3,0,4,5,0,4,0,14,6,5,0,3,3,0,3,25,12,14,11,6,17,7,5,72,3,0,0,0,0,0,0,3,32,33,18,19,30,18,13,159,326,180,76,53,82,47,26,798
POA4007,113,93,43,35,36,26,11,352,44,32,26,12,29,18,5,168,51,43,21,19,25,13,7,176,222,241,185,113,149,107,48,1066,6,3,3,3,0,0,0,9,439,413,279,183,235,160,76,1779,21,11,13,12,11,10,3,70,9,6,7,7,4,7,4,43,7,13,4,6,6,4,4,35,16,32,24,8,36,13,8,137,0,0,0,0,0,0,0,0,45,64,37,27,55,36,13,288,486,478,316,209,294,195,95,2062
POA4008,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,4,0,0,19,0,0,0,0,0,0,0,0,9,3,0,3,4,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,8,10,0,3,5,9,0,34
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,16,13,8,3,7,7,0,56,12,4,3,3,3,0,0,30,11,7,0,0,0,0,0,24,56,49,15,10,5,4,3,148,0,0,0,0,0,0,0,0,97,72,30,15,16,13,8,253,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,3,0,0,3,0,6,7,0,21,0,0,0,0,0,0,0,0,3,4,3,3,14,3,4,38,100,77,31,22,32,17,12,287
POA4011,178,162,64,43,47,32,20,538,90,74,48,31,40,23,6,312,68,57,24,18,23,15,10,212,360,378,256,169,211,139,56,1573,3,0,0,0,0,0,0,7,694,673,397,254,323,206,95,2640,13,20,13,6,22,12,7,89,7,18,16,12,7,7,3,56,5,16,13,3,14,8,0,56,27,44,42,38,42,20,18,230,3,3,3,3,0,3,0,10,45,96,82,61,81,43,28,439,743,774,473,320,405,245,124,3083
POA4012,327,238,115,58,69,37,24,861,131,88,48,26,32,17,6,351,160,122,48,26,24,14,4,391,589,538,307,173,207,85,47,1941,3,0,4,0,0,0,0,8,1208,988,527,278,331,152,79,3562,19,31,28,12,24,12,9,132,21,29,17,16,20,9,4,111,12,23,17,3,19,3,9,85,62,66,46,42,64,26,20,327,8,9,0,0,0,0,0,18,119,152,103,78,122,57,39,674,1323,1140,635,361,454,210,117,4233
POA4013,70,40,21,8,12,5,3,164,39,17,6,6,8,3,3,81,36,24,14,9,9,0,0,89,120,117,56,50,56,19,11,429,0,3,0,0,0,0,0,3,263,201,90,73,85,35,11,758,5,8,0,0,3,0,3,21,3,4,4,0,0,0,0,9,3,0,0,0,3,0,0,13,13,19,16,3,13,0,4,78,3,0,0,0,0,0,0,3,30,30,19,6,23,4,6,126,292,233,113,77,110,40,20,881
POA4014,131,123,76,58,61,28,16,490,100,69,32,17,17,5,3,246,79,65,26,17,18,9,4,216,405,357,167,114,126,57,27,1252,3,0,0,0,0,0,0,10,718,615,299,207,222,93,47,2211,11,25,12,3,10,3,0,67,16,15,7,3,8,0,3,57,3,9,11,3,3,0,0,44,44,65,61,28,42,11,8,252,0,4,0,0,0,0,0,7,71,122,90,40,63,14,14,421,789,742,391,249,290,114,63,2625
POA4017,370,401,225,138,172,86,23,1418,206,240,112,64,75,26,9,735,219,223,93,68,87,37,18,743,1128,1143,681,377,530,211,106,4183,15,11,4,0,3,3,0,36,1941,2019,1112,654,866,364,155,7105,27,57,34,25,40,19,8,211,28,48,34,18,20,8,3,161,13,37,36,13,33,17,0,148,119,217,165,132,146,58,19,869,5,13,11,3,3,0,0,37,195,378,272,195,241,97,35,1420,2131,2395,1387,852,1109,464,189,8526
POA4018,420,284,142,75,114,68,32,1137,60,42,19,10,11,4,0,144,78,39,20,10,8,5,3,163,222,154,85,44,56,19,16,595,7,5,0,0,0,0,0,14,791,524,258,134,192,97,51,2047,24,16,27,15,18,8,0,109,20,23,11,7,10,3,3,70,12,13,9,7,10,0,0,51,55,73,41,26,39,14,7,260,3,4,3,3,0,0,0,12,113,124,98,53,75,30,14,513,903,654,359,192,265,124,64,2561
POA4019,95,149,77,48,52,18,8,447,86,87,50,28,35,4,4,296,89,80,34,22,28,3,4,265,481,475,234,157,209,55,19,1627,11,3,3,0,0,0,0,22,774,791,398,258,317,80,28,2651,12,34,17,20,26,8,0,117,21,40,33,18,18,3,0,130,17,30,25,17,3,3,0,98,161,235,157,99,113,28,14,804,17,7,4,3,3,0,0,32,219,352,235,155,163,39,16,1181,990,1147,632,410,485,120,47,3833
POA4020,108,159,90,58,84,36,16,552,85,97,68,30,50,14,8,354,75,83,49,25,38,10,3,282,363,442,264,170,233,76,30,1581,3,4,0,0,0,0,0,12,637,776,479,294,414,135,59,2782,10,30,30,31,37,8,3,147,26,26,14,16,29,6,3,108,11,23,19,12,20,8,3,92,117,152,96,82,100,31,16,608,11,9,0,3,0,0,0,21,177,243,162,134,183,49,28,973,811,1016,635,422,590,187,81,3758
POA4021,71,81,59,32,43,14,3,296,42,41,25,11,20,3,0,137,30,41,24,6,14,3,0,122,263,253,143,99,126,18,12,913,3,8,0,0,0,0,0,9,406,421,244,150,203,36,19,1475,19,15,22,12,21,0,0,82,22,22,15,5,12,0,0,79,12,16,10,7,8,3,0,54,110,147,82,51,74,9,11,477,3,3,3,0,0,0,0,17,158,197,138,80,107,15,12,706,562,620,382,225,310,52,30,2184
POA4022,44,82,48,38,45,7,5,261,21,25,14,13,20,7,0,100,22,21,15,3,11,3,0,82,189,198,100,63,86,38,6,685,3,0,4,0,0,0,0,8,291,320,177,112,153,62,15,1129,11,12,9,3,8,3,0,56,15,18,11,10,10,0,0,63,7,5,5,3,3,3,0,24,79,102,68,30,58,7,0,337,3,5,3,0,0,0,0,12,109,142,95,50,75,22,0,499,399,465,268,168,234,76,19,1628
POA4025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4030,200,135,67,37,33,25,8,506,87,77,30,18,37,18,7,279,94,88,37,29,37,16,11,303,419,439,247,124,163,92,42,1535,0,3,0,0,0,3,0,9,798,739,379,208,274,162,66,2629,4,10,14,11,14,13,4,65,10,18,7,6,8,10,3,60,6,7,3,5,11,3,3,47,40,46,42,28,38,20,7,222,8,8,3,0,4,0,0,17,67,86,71,53,75,43,19,411,869,827,450,256,348,203,88,3041
POA4031,155,95,48,38,33,28,11,406,75,75,33,23,31,16,12,268,74,65,30,23,17,10,0,220,465,455,262,171,192,69,53,1670,3,3,0,0,3,0,0,11,772,691,375,250,282,121,74,2573,11,9,15,10,20,4,3,68,12,21,9,7,14,3,0,56,9,9,11,10,6,5,0,50,32,66,48,34,43,18,7,248,0,3,0,0,0,0,0,4,67,107,74,63,82,33,10,436,841,800,455,311,363,158,84,3009
POA4032,295,222,94,59,100,57,28,858,63,47,26,11,13,4,4,167,72,49,24,6,17,4,3,182,286,299,157,89,119,52,17,1026,5,3,6,0,4,0,0,26,724,617,301,173,265,121,53,2251,15,12,15,17,29,19,6,108,19,25,18,10,8,6,3,78,8,4,4,10,10,5,3,45,54,72,59,41,54,12,5,298,4,5,3,3,0,0,0,21,101,122,93,73,100,46,17,548,823,737,400,244,361,167,70,2801
POA4034,686,610,338,217,316,129,64,2356,243,197,98,46,62,34,7,696,260,195,103,51,65,30,15,724,1117,992,531,323,445,220,72,3697,16,16,6,0,4,0,0,46,2323,2009,1078,639,896,419,158,7519,38,75,52,36,51,39,9,309,47,67,44,30,39,21,8,246,42,35,33,21,32,11,6,183,181,266,187,115,140,60,30,981,18,22,5,0,7,3,0,62,327,470,324,207,266,135,55,1784,2653,2478,1397,844,1160,549,220,9297
POA4035,193,254,180,107,167,101,61,1061,107,174,93,79,91,35,18,594,115,128,68,34,68,25,8,460,682,943,594,393,580,264,115,3563,3,8,4,0,3,3,0,21,1100,1504,938,609,913,426,201,5696,11,18,19,16,20,13,6,109,14,22,24,12,31,13,10,115,8,19,8,6,10,9,3,67,46,99,78,57,95,44,22,448,3,3,4,0,3,0,0,18,87,166,138,94,162,75,43,755,1187,1671,1078,706,1077,499,238,6452
POA4036,73,74,39,31,34,25,3,277,34,40,27,10,13,5,3,126,51,35,6,6,16,6,0,124,246,221,96,52,66,26,11,711,0,0,4,0,0,0,0,7,408,366,173,97,125,58,19,1255,3,8,6,4,8,8,0,40,8,11,5,0,4,0,0,35,0,3,4,3,5,0,3,21,40,54,40,24,19,3,9,190,0,3,3,0,0,0,0,5,49,79,64,37,38,11,6,295,457,451,238,134,168,75,24,1543
POA4037,59,93,65,37,69,43,11,376,57,78,52,24,28,18,5,250,46,54,39,19,33,5,8,211,291,397,261,166,209,91,34,1450,0,3,0,0,3,0,0,8,452,617,422,242,349,158,59,2301,0,0,0,0,3,0,0,11,3,10,4,6,6,0,0,25,3,8,7,0,0,3,0,24,19,38,29,13,31,8,7,154,0,0,0,0,4,0,0,5,31,50,44,23,45,12,7,215,487,671,463,265,391,171,69,2515
POA4051,196,181,95,53,50,32,17,621,173,171,84,57,65,31,10,585,185,163,80,36,55,24,13,563,962,961,572,324,404,210,87,3529,10,0,0,4,0,0,0,13,1519,1486,823,473,579,306,131,5317,18,23,22,22,22,15,0,123,17,26,14,13,20,14,0,108,6,32,11,5,17,10,3,86,73,96,76,56,73,39,14,419,3,4,0,0,3,0,0,6,113,180,113,95,134,75,24,746,1634,1666,939,568,712,381,157,6061
POA4053,367,342,197,122,168,96,46,1332,334,275,116,71,80,27,14,911,292,235,102,59,75,41,12,813,1640,1444,758,402,593,264,123,5221,8,3,0,0,0,0,0,17,2642,2294,1166,654,914,430,194,8292,20,58,51,27,45,24,14,235,35,48,39,39,37,9,10,218,28,45,21,10,28,10,3,140,165,298,200,150,191,84,33,1109,17,9,3,3,7,0,0,46,264,459,316,217,298,129,55,1745,2902,2759,1482,872,1216,555,247,10035
POA4054,88,95,52,38,48,21,5,349,112,79,35,25,34,8,3,303,84,65,29,18,24,11,6,239,525,486,230,164,214,80,24,1722,3,0,0,0,0,0,0,4,811,722,347,245,320,123,39,2615,9,17,18,5,12,3,4,73,21,33,13,11,10,0,0,88,13,15,14,7,14,8,3,72,83,137,84,65,68,36,9,483,3,5,3,0,0,0,0,17,133,210,133,85,103,47,21,737,950,933,477,331,423,172,59,3350
POA4055,159,172,108,56,85,54,23,656,136,166,92,55,71,38,11,562,133,143,66,36,64,32,17,482,864,959,540,339,430,188,80,3409,0,0,0,0,0,0,0,5,1294,1439,810,481,652,312,124,5110,3,5,15,17,10,9,0,59,8,23,18,16,11,4,0,87,0,11,0,4,9,3,3,41,66,129,98,70,92,37,12,512,6,8,3,0,0,0,0,14,86,179,129,112,127,54,15,707,1385,1619,936,589,784,365,136,5820
POA4059,226,190,68,36,29,9,8,561,53,47,21,17,16,4,0,167,64,51,28,12,18,13,0,178,220,205,157,82,87,58,32,852,0,0,0,0,0,0,0,0,561,492,269,148,158,87,42,1756,11,22,20,17,31,13,7,116,8,17,10,8,3,4,3,43,0,13,7,4,4,3,4,28,20,28,31,14,24,24,7,149,0,0,0,0,0,0,0,0,36,82,59,42,68,41,13,344,593,573,332,193,223,125,54,2101
POA4060,76,88,50,31,49,22,7,316,91,107,78,50,48,22,8,406,99,104,64,37,51,26,4,386,458,562,299,228,280,189,76,2082,4,3,0,0,0,0,0,9,722,866,499,347,421,253,90,3202,3,7,8,3,13,4,3,36,7,13,7,3,18,3,0,55,0,10,14,3,9,4,3,40,15,40,45,35,42,24,23,232,0,0,4,3,0,0,0,7,31,75,75,47,80,40,28,375,751,939,571,395,505,297,123,3581
POA4061,109,229,154,93,118,68,24,799,135,166,82,65,58,35,12,549,117,132,68,34,57,22,13,455,449,550,370,237,291,155,77,2140,0,6,4,3,0,0,0,10,816,1077,682,433,526,287,131,3953,16,16,9,15,24,14,3,100,6,27,22,15,24,4,6,109,4,17,12,11,9,7,7,66,36,70,65,49,62,32,22,335,6,0,0,0,3,0,0,12,64,126,112,94,128,63,39,626,878,1203,796,524,653,346,170,4577
POA4064,78,63,24,18,22,13,3,227,73,58,26,10,19,9,11,204,52,56,20,15,17,12,9,178,291,288,157,77,124,56,25,1026,0,0,0,0,0,0,0,0,500,467,231,125,181,88,47,1643,3,7,9,10,3,3,3,34,3,4,3,5,8,5,5,36,8,13,3,0,3,3,3,30,16,23,24,13,17,22,11,115,0,0,0,0,0,0,0,4,33,44,40,30,30,30,16,223,531,507,270,157,215,120,65,1859
POA4065,51,68,37,17,34,13,8,231,93,106,58,32,31,28,11,358,80,76,28,26,35,13,9,267,339,426,241,148,162,121,51,1488,0,0,0,0,0,0,0,3,565,676,364,218,259,177,78,2343,0,4,0,4,3,3,0,19,7,17,11,3,10,5,0,58,4,5,3,0,5,3,4,24,8,34,33,22,36,22,10,156,0,8,5,0,0,0,0,12,23,58,54,28,53,31,13,272,586,734,420,254,314,214,91,2609
POA4066,166,114,45,23,47,17,21,439,80,78,37,19,29,24,6,278,66,62,32,14,28,10,0,217,297,295,171,97,131,69,38,1099,0,0,0,0,3,0,0,4,617,555,290,157,227,126,70,2033,11,16,0,4,17,17,8,69,10,9,10,0,0,0,3,28,0,8,7,3,7,3,7,31,8,27,18,13,29,19,8,131,3,0,0,0,0,0,0,9,26,55,33,23,60,42,23,261,645,608,326,177,286,162,90,2296
POA4067,198,208,69,25,42,19,13,571,27,11,10,13,13,7,0,75,23,38,20,11,15,16,13,146,63,81,62,32,51,36,18,352,0,0,0,0,0,0,0,0,302,336,168,84,121,80,44,1142,10,33,12,6,10,7,4,77,3,3,0,0,3,0,3,14,0,8,3,3,0,4,0,19,0,8,9,11,10,11,10,50,0,0,0,0,0,0,0,0,12,51,25,21,26,23,15,167,318,384,191,99,149,109,60,1310
POA4068,418,402,193,108,153,89,37,1406,102,110,60,35,50,28,15,406,99,113,68,49,63,35,11,440,342,352,253,161,223,135,63,1527,0,4,4,0,0,0,0,7,968,976,579,348,485,293,131,3786,15,42,25,35,49,32,16,218,12,8,10,5,21,14,8,85,6,11,9,11,14,10,8,71,25,49,26,34,48,38,20,237,3,0,0,0,0,3,0,5,60,118,81,80,130,95,52,619,1023,1097,657,430,616,384,188,4403
POA4069,391,609,375,243,405,236,143,2412,235,300,162,107,139,58,33,1037,227,286,134,88,116,79,37,967,710,982,655,420,588,364,177,3897,6,3,4,0,0,0,0,22,1570,2185,1334,862,1245,746,384,8330,13,45,48,27,50,30,30,253,16,36,25,15,29,14,9,148,11,16,18,15,27,15,9,112,26,105,105,69,105,47,34,493,0,3,4,4,3,0,0,12,66,202,196,135,213,115,86,1012,1634,2389,1530,996,1463,858,475,9343
POA4070,177,228,139,94,171,100,44,951,87,106,61,22,34,14,6,326,79,84,41,25,31,19,4,281,308,394,240,135,193,90,33,1392,0,7,0,0,0,0,0,7,660,819,477,278,430,217,86,2961,6,23,23,18,15,12,3,97,8,20,6,7,16,9,0,62,3,15,10,3,5,9,8,50,25,67,47,30,35,24,15,253,5,0,0,0,3,0,0,4,51,114,87,62,77,53,26,469,705,934,563,334,510,267,111,3433
POA4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4073,155,179,95,86,106,90,49,764,49,46,38,31,22,11,9,206,64,51,28,19,26,12,9,206,265,304,194,92,137,75,26,1090,7,5,0,0,0,0,0,10,534,588,354,230,290,183,96,2274,8,16,15,7,17,7,7,78,3,8,4,0,3,3,0,29,3,18,0,6,3,0,0,34,14,29,23,15,12,12,3,106,0,0,0,0,0,0,0,0,28,71,38,33,47,21,10,249,564,653,399,262,335,201,106,2522
POA4074,355,418,269,175,279,160,101,1757,142,162,80,49,69,33,23,566,151,171,72,51,53,29,9,536,654,643,319,191,268,148,75,2291,3,3,8,3,0,0,0,13,1308,1391,739,465,671,372,211,5166,21,25,22,25,34,42,20,196,13,35,23,16,17,6,5,108,9,12,17,15,13,9,9,88,69,112,59,41,67,30,14,392,3,5,3,0,6,0,0,21,119,186,128,101,135,81,45,801,1423,1586,868,566,805,456,256,5959
POA4075,340,335,180,111,159,87,52,1253,145,185,92,71,59,25,20,598,188,164,65,48,55,27,9,553,729,731,420,253,327,185,77,2728,3,0,0,0,0,0,0,7,1407,1409,752,488,603,321,160,5142,25,24,37,21,34,19,17,175,8,30,24,13,21,8,7,113,3,22,16,5,11,5,7,69,48,104,86,61,75,34,10,419,3,4,0,0,4,0,0,13,91,180,163,102,138,76,45,790,1502,1597,916,587,740,390,202,5931
POA4076,128,125,81,41,63,43,23,518,17,14,10,3,3,0,0,48,33,19,6,3,3,0,0,64,95,66,30,13,22,3,5,236,0,0,0,0,0,0,0,6,279,229,126,61,91,50,32,871,12,15,15,10,9,11,8,81,0,10,7,3,0,0,0,21,3,11,0,0,0,0,0,18,27,19,14,9,10,7,0,88,0,0,0,0,0,0,0,3,43,52,37,23,26,17,7,212,322,281,166,85,124,70,38,1086
POA4077,1198,1054,529,398,507,262,160,4112,88,74,31,24,23,0,0,246,152,96,26,31,23,13,3,337,275,237,101,94,85,25,15,822,19,22,4,5,12,0,0,54,1729,1477,694,546,646,296,178,5572,239,277,206,156,214,131,71,1290,34,45,23,17,14,3,0,139,31,42,20,11,14,3,0,116,174,204,114,76,88,17,7,687,35,36,23,15,9,6,0,124,525,601,379,274,342,157,86,2366,2250,2080,1080,820,987,460,258,7937
POA4078,631,663,384,249,354,191,105,2579,148,120,73,46,53,20,10,463,145,133,81,45,48,20,13,478,556,558,314,206,266,87,31,2013,12,14,3,3,3,0,0,31,1488,1483,856,543,724,326,151,5571,63,117,81,58,84,45,27,471,42,42,27,17,27,7,5,161,29,31,29,11,16,6,5,125,121,195,109,85,127,38,15,682,5,17,13,3,4,3,3,52,259,400,260,169,262,97,48,1497,1748,1884,1109,718,990,418,201,7070
POA4101,239,186,208,125,167,76,19,1012,57,53,40,32,26,17,8,238,86,79,74,45,38,16,5,337,170,221,180,107,126,70,48,918,3,0,4,0,0,0,0,8,545,531,506,308,358,177,82,2505,22,34,67,38,79,27,15,288,15,12,21,13,23,4,7,91,7,18,16,13,22,4,4,76,26,42,40,29,42,25,13,211,3,0,0,0,0,0,0,10,70,102,147,99,165,65,33,671,619,626,648,407,523,242,117,3182
POA4102,76,56,41,28,27,12,7,252,29,34,22,16,19,7,3,118,28,9,11,11,3,4,0,65,115,100,63,28,43,33,11,392,0,0,0,0,0,0,0,3,247,194,135,80,88,63,25,834,7,4,13,10,6,9,9,58,4,5,4,3,3,0,0,25,7,8,7,3,8,0,0,29,3,17,10,10,11,0,8,62,0,0,0,0,0,0,0,0,26,36,35,30,27,12,13,181,272,235,173,114,120,71,38,1013
POA4103,171,103,52,44,57,38,14,476,87,51,26,17,20,16,6,224,55,65,22,17,17,12,9,188,291,252,117,69,96,50,22,902,3,3,0,0,0,0,0,5,606,468,214,147,197,110,58,1794,22,11,15,7,13,16,8,99,13,13,5,6,6,5,0,53,4,5,3,6,8,4,3,33,23,36,31,14,17,19,16,162,3,4,0,0,0,0,0,8,64,80,61,31,53,40,27,357,668,547,276,177,248,153,88,2147
POA4104,64,52,29,20,20,18,6,207,27,31,17,12,27,3,3,112,31,17,10,7,14,10,9,99,145,117,87,64,105,44,26,580,3,0,0,0,0,0,0,4,269,215,138,95,170,75,47,1006,9,10,6,3,9,8,3,44,0,8,4,0,4,0,0,15,0,7,0,7,10,3,3,19,8,15,17,14,15,9,4,81,0,0,0,0,0,0,0,0,14,33,29,28,37,18,7,160,285,253,169,119,203,84,58,1169
POA4105,190,135,70,30,50,31,19,512,100,71,35,18,20,16,3,261,68,61,30,22,16,9,3,213,409,353,155,104,150,82,46,1300,7,0,0,0,0,0,0,7,775,622,290,170,233,138,63,2302,23,24,19,16,19,15,7,120,10,19,11,3,5,6,3,56,6,9,10,8,5,3,0,40,25,35,26,24,29,18,8,167,3,0,0,0,0,0,0,7,68,96,61,50,60,39,23,392,840,719,350,217,292,180,88,2691
POA4106,32,18,15,12,14,5,0,90,5,9,0,0,0,0,0,19,8,6,0,0,3,0,0,20,41,26,4,3,8,3,0,83,0,0,0,0,0,0,0,0,86,54,15,16,22,13,3,214,4,7,3,3,8,0,0,27,5,0,0,0,0,0,0,7,0,3,4,0,3,0,0,12,13,5,3,5,4,3,0,34,3,0,0,0,0,0,0,3,24,20,18,12,14,4,0,85,107,70,35,26,34,18,3,296
POA4107,73,69,34,17,20,10,8,227,52,55,27,3,5,0,0,142,40,30,13,11,17,0,0,119,201,182,94,53,46,24,10,615,0,0,3,3,0,0,0,3,363,336,169,90,96,38,14,1107,8,12,11,3,3,4,3,49,4,9,5,0,4,0,0,19,4,4,3,3,0,0,0,14,20,31,19,11,14,3,12,114,0,5,0,0,0,0,0,7,40,61,38,25,28,12,9,214,402,396,205,110,125,49,31,1317
POA4108,161,115,45,30,48,33,11,445,17,18,12,11,13,3,6,76,29,21,5,3,10,4,0,74,87,54,30,23,27,5,3,235,3,0,3,0,3,0,0,8,291,214,91,67,97,48,25,839,19,22,20,8,16,13,6,105,3,5,5,7,5,3,0,25,5,6,5,5,5,3,0,31,17,15,9,11,12,4,3,75,3,5,3,0,0,0,0,8,43,55,38,33,43,24,15,243,338,266,132,98,143,69,35,1082
POA4109,1112,1008,499,308,465,318,202,3914,92,86,50,32,26,20,4,313,153,129,55,32,46,31,7,458,253,311,181,99,162,85,26,1133,11,9,3,0,0,0,0,23,1617,1546,781,476,703,463,247,5840,118,147,97,77,122,115,61,750,17,25,12,15,12,8,5,95,26,42,11,15,18,11,9,125,56,81,49,44,57,21,9,310,11,5,0,0,0,3,0,23,229,292,178,148,212,160,83,1301,1851,1841,960,626,915,615,330,7142
