POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA4821,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,5,5,0,0,0,0,0,8,67,53,17,13,15,0,0,170,0,0,0,0,0,0,0,0,72,60,18,14,19,0,0,182,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,14,7,7,6,0,0,42,0,0,0,0,0,0,0,3,11,13,6,7,7,0,0,54,86,72,31,18,26,0,0,237
POA4822,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,41,37,14,3,0,0,0,89,3,0,0,0,0,0,0,3,48,40,15,3,0,0,0,103,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,6,0,6,6,3,0,0,0,21,0,0,0,0,0,0,0,3,6,10,9,4,0,0,0,33,51,50,25,5,3,0,0,135
POA4823,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,41,42,16,3,3,0,0,101,0,0,0,0,0,0,0,0,47,42,14,3,3,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,7,6,4,0,0,0,0,12,50,45,16,4,6,0,0,123
POA4824,12,12,3,3,0,0,0,29,3,0,0,0,3,0,0,6,11,8,0,0,0,0,0,26,130,100,51,35,27,0,0,347,0,0,3,0,0,0,0,4,155,121,56,44,32,0,0,410,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,17,19,16,0,0,89,0,0,0,0,0,0,0,3,22,23,25,19,16,0,0,97,180,147,74,57,50,0,0,505
POA4825,171,175,103,59,60,3,0,578,85,50,35,16,16,0,0,203,94,53,31,15,29,0,0,227,876,726,378,208,218,14,4,2420,13,3,6,4,0,0,0,30,1240,1006,558,299,330,17,5,3456,14,10,12,10,14,0,0,64,14,13,3,10,10,0,0,53,11,13,14,7,3,0,0,44,226,269,165,100,92,3,0,856,12,12,4,0,0,0,0,34,279,322,191,128,127,3,0,1044,1516,1325,751,430,453,23,4,4504
POA4828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,3,0,0,0,22,0,3,4,0,0,0,0,7,3,15,3,3,0,0,0,24,13,16,9,3,0,0,0,42
POA4829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,8,9,0,0,0,0,38,0,0,0,0,0,0,0,0,15,11,4,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3,0,0,0,0,17,0,0,0,0,0,0,0,0,7,10,3,0,0,0,0,17,24,21,9,0,0,0,0,54
POA4830,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,124,149,76,34,14,0,0,400,0,0,0,0,0,0,0,0,128,150,77,34,14,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,52,27,17,4,0,0,157,0,0,0,0,0,0,0,0,55,52,27,17,4,0,0,157,184,205,109,55,23,0,0,566
POA4849,6,11,3,0,0,0,0,18,0,3,0,0,0,0,0,3,9,0,0,0,0,0,0,8,22,26,15,3,8,0,0,73,0,0,0,0,0,0,0,0,32,38,15,5,13,0,3,108,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,7,15,10,11,3,0,0,37,0,0,0,0,0,0,0,0,9,18,7,11,5,0,0,44,39,50,25,13,18,0,3,155
POA4850,3,13,5,4,3,5,3,41,9,12,10,7,9,0,0,40,10,21,10,8,8,0,0,60,331,380,246,148,237,11,5,1366,0,3,3,0,0,0,0,9,363,425,277,177,265,17,10,1519,0,0,0,0,0,0,0,4,0,0,4,6,4,0,0,11,0,0,5,6,5,0,0,12,61,81,52,45,40,3,0,288,3,0,3,3,0,0,0,9,70,83,61,57,46,3,0,328,432,510,339,235,310,14,10,1847
POA4852,17,23,12,9,11,0,0,73,18,12,4,4,6,0,0,45,19,10,6,9,9,0,0,44,94,97,61,35,41,0,0,322,0,0,0,0,0,0,0,0,148,130,81,52,65,0,0,485,3,4,3,0,3,0,0,11,0,3,3,3,0,0,0,11,3,10,4,7,3,0,0,26,24,48,20,21,6,3,0,117,0,0,0,0,0,0,0,0,31,68,27,22,15,3,0,162,178,199,108,79,87,3,0,649
POA4854,21,21,13,0,10,0,0,67,14,13,3,6,4,0,0,43,25,17,21,7,14,0,0,82,178,201,120,79,93,0,0,674,3,0,0,0,0,0,0,6,241,258,160,94,122,0,0,872,3,4,7,7,0,0,0,20,7,0,4,0,0,0,0,7,3,7,3,6,4,0,0,15,27,35,40,22,28,0,0,152,3,3,3,0,0,0,0,12,38,55,52,27,33,0,0,209,280,310,211,127,151,0,5,1082
POA4855,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,5,3,0,0,0,0,0,6,30,34,16,13,13,0,0,104,0,0,0,0,0,0,0,0,33,38,24,14,11,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,5,3,0,5,0,0,20,0,0,0,0,0,0,0,0,5,6,3,0,5,0,0,20,36,50,23,14,17,0,0,142
POA4856,3,3,4,3,0,0,0,16,0,0,0,3,0,0,0,3,3,0,3,0,0,0,0,10,34,23,7,3,9,0,0,72,0,0,0,0,0,0,0,0,39,29,15,8,9,0,0,99,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,10,5,3,3,7,0,0,28,0,0,0,0,0,0,0,0,10,8,6,8,9,0,0,40,43,34,25,17,16,0,0,140
POA4858,4,4,3,0,3,0,0,17,0,0,0,0,0,0,0,3,7,4,3,0,3,0,0,15,61,66,31,24,40,0,0,225,3,3,0,3,4,0,0,7,75,82,39,30,46,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,13,6,4,0,0,58,0,0,0,0,0,0,0,3,10,23,8,6,4,0,0,60,89,104,48,37,56,0,0,336
POA4859,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,7,0,0,0,0,0,0,0,5,9,10,3,6,10,0,0,40,0,0,0,0,0,0,0,0,10,20,4,8,10,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,0,0,0,0,22,0,0,0,0,0,0,0,0,3,8,7,0,0,0,0,21,18,26,12,8,11,0,0,73
POA4860,82,67,26,27,28,4,0,230,21,23,10,5,9,0,0,69,32,45,18,10,11,3,0,123,289,362,201,137,160,6,7,1156,3,6,4,4,0,0,0,13,428,497,261,173,211,18,7,1588,4,8,3,0,5,0,0,21,9,11,9,0,4,0,0,30,3,8,4,8,9,0,0,33,122,176,102,80,65,6,0,547,5,5,8,0,0,0,0,18,143,203,124,87,78,9,0,644,565,702,384,261,288,22,7,2235
POA4861,3,10,3,0,4,0,0,17,4,3,3,0,6,4,0,17,3,9,3,0,0,0,0,13,38,40,36,18,21,0,0,157,0,0,0,0,0,0,0,0,48,60,42,23,33,3,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,15,7,11,3,0,73,0,0,0,0,0,0,0,0,17,18,18,7,16,4,0,73,64,75,59,26,42,4,3,278
POA4865,15,26,14,9,13,3,3,95,20,18,19,8,13,3,3,80,34,37,28,20,14,0,0,138,358,339,227,118,152,20,12,1223,7,0,0,0,0,0,0,14,434,424,295,155,188,34,12,1546,4,0,0,0,7,4,0,13,5,14,14,0,5,0,0,33,3,8,8,3,7,0,0,32,109,153,84,48,64,9,3,465,3,8,7,5,0,0,0,15,123,180,107,57,77,15,3,555,552,603,398,211,267,45,17,2099
POA4868,231,221,115,90,119,26,10,811,90,86,45,25,50,6,0,299,128,121,67,34,43,5,4,400,682,606,377,223,273,36,17,2225,8,8,6,9,4,0,0,34,1143,1041,607,382,487,79,33,3771,23,39,24,16,28,7,5,153,17,25,19,11,14,0,0,87,29,42,32,12,19,3,3,138,240,323,208,128,139,15,6,1068,12,5,3,6,3,0,0,36,315,446,289,185,208,29,21,1484,1461,1485,895,561,693,106,51,5254
POA4869,149,156,109,57,87,21,14,583,76,92,50,28,28,0,0,280,129,133,65,24,45,11,0,409,795,807,403,266,318,51,16,2654,7,16,9,4,6,0,0,33,1154,1198,646,376,471,80,30,3964,37,37,24,18,24,0,0,137,29,35,21,7,18,5,0,123,10,28,11,3,11,3,0,69,279,421,231,143,150,14,0,1231,13,12,9,6,5,0,0,47,368,538,298,181,203,23,3,1611,1518,1741,946,558,674,109,30,5572
POA4870,772,621,387,254,348,63,32,2475,237,301,172,108,124,9,3,946,362,397,226,141,174,17,7,1326,1475,1670,934,587,736,79,43,5530,36,22,13,8,3,0,0,78,2885,3008,1728,1094,1381,173,93,10359,69,130,102,78,116,28,11,532,59,92,52,60,58,6,3,331,75,143,84,56,91,9,0,459,534,740,434,285,333,45,22,2390,40,51,17,19,19,0,0,143,787,1156,682,493,615,87,40,3861,3667,4164,2413,1585,1996,260,127,14218
POA4871,7,14,3,4,15,0,0,49,4,19,10,7,7,0,0,53,25,25,12,11,15,0,0,93,365,469,272,174,155,13,0,1456,6,6,3,0,0,0,0,15,411,534,309,195,193,14,3,1664,0,0,0,0,3,0,0,3,0,9,3,0,0,0,0,15,4,4,0,0,3,0,0,12,161,194,143,77,70,5,0,647,0,0,0,3,0,0,0,5,169,209,147,78,74,3,0,688,584,740,455,279,269,16,3,2346
POA4872,0,8,3,0,4,0,0,15,6,5,5,3,0,0,0,20,13,11,8,4,3,0,0,45,118,144,87,41,62,4,0,456,0,0,0,0,0,0,0,4,137,161,105,54,68,3,3,539,0,0,0,0,0,0,0,0,0,7,3,0,3,0,0,9,0,0,3,0,0,0,0,3,25,34,29,23,13,0,0,123,0,3,0,0,0,0,0,6,29,37,40,24,18,0,0,151,163,202,141,82,86,6,3,682
POA4873,16,27,12,9,14,0,0,75,16,16,7,5,14,0,0,58,19,40,11,10,15,0,0,99,184,196,121,74,90,9,0,672,0,4,0,0,0,0,0,3,238,279,160,90,129,8,0,900,4,3,5,3,3,0,0,19,0,4,3,3,4,0,0,17,0,5,3,0,3,0,0,16,56,77,64,33,29,3,0,256,7,10,3,0,0,0,0,21,72,90,79,41,44,3,0,326,306,369,235,129,175,10,0,1230
POA4874,7,16,11,11,10,0,0,50,19,14,0,0,3,0,0,35,17,20,11,4,3,0,0,56,345,320,172,96,75,3,0,1019,3,3,0,0,3,0,0,9,393,371,202,118,88,4,0,1175,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,10,0,3,0,0,0,0,0,8,56,61,35,19,17,0,0,182,0,5,0,0,0,0,0,6,56,75,43,23,19,0,0,207,443,443,237,142,105,4,0,1382
POA4875,7,7,7,3,0,0,0,35,19,19,7,3,4,0,0,53,27,30,6,7,3,0,0,71,442,518,249,96,74,3,9,1395,5,12,0,3,4,0,0,22,505,594,278,110,79,3,7,1573,0,6,3,0,0,0,0,12,17,6,3,0,0,0,0,31,7,6,0,0,0,0,0,18,230,241,120,44,37,3,0,678,13,13,12,4,0,0,0,38,271,277,132,51,38,4,0,780,773,872,405,162,124,12,9,2349
POA4876,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,8,12,3,3,0,0,0,0,16,237,230,103,42,42,3,0,666,0,0,0,0,0,0,0,0,249,237,111,46,49,3,0,695,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,110,114,52,32,33,0,0,342,5,0,0,0,0,0,0,5,116,114,53,38,33,0,0,353,362,349,166,87,78,7,0,1046
POA4877,17,20,13,5,6,0,0,71,14,16,11,7,6,0,0,56,26,21,11,3,4,0,0,54,97,103,50,32,26,3,0,309,0,0,0,0,0,0,0,4,154,164,87,47,38,4,0,492,3,8,3,7,5,0,0,20,3,11,0,0,3,0,0,17,3,3,3,0,3,0,0,12,18,33,19,5,10,0,0,82,0,0,0,3,0,0,0,6,28,56,23,15,20,0,0,143,179,217,113,62,56,3,3,629
POA4878,92,111,58,39,47,11,0,358,62,60,34,18,23,0,0,197,85,80,38,17,32,0,0,248,296,319,195,123,144,23,3,1103,3,3,4,3,3,0,0,13,534,570,334,198,242,35,7,1924,13,10,15,12,15,0,3,74,16,27,14,10,9,3,0,72,11,20,12,4,10,3,0,63,98,139,72,63,52,14,3,436,4,3,0,0,3,3,0,17,146,201,106,87,87,21,10,657,679,767,439,286,335,58,14,2582
POA4879,170,190,116,67,82,20,11,667,90,107,65,41,51,11,0,366,157,114,80,39,52,3,3,449,522,535,276,168,227,26,16,1771,0,3,0,0,0,0,0,16,946,949,534,321,415,64,31,3265,19,27,38,23,25,3,9,140,16,42,20,12,24,0,3,115,20,47,25,11,19,0,3,123,111,149,101,71,91,11,11,544,4,9,3,4,3,0,0,20,177,275,180,122,164,24,17,948,1119,1221,712,438,584,88,52,4209
POA4880,37,55,21,16,19,7,3,169,35,28,17,7,14,0,0,99,43,23,13,12,17,0,0,103,387,439,283,183,238,16,6,1545,4,7,4,4,3,3,0,28,502,553,342,224,290,31,12,1945,4,8,3,0,5,0,0,21,13,17,11,3,3,0,0,42,3,10,5,4,5,0,0,29,108,161,91,72,63,4,7,496,8,14,4,4,0,0,0,23,134,200,109,81,86,6,7,619,638,752,447,309,371,35,18,2562
POA4881,11,15,13,8,8,0,0,61,13,22,7,3,6,0,0,51,25,18,13,9,6,0,0,75,102,171,83,62,58,3,4,479,0,0,0,0,3,0,0,6,149,218,121,82,86,11,3,676,4,3,0,0,0,0,0,15,5,4,3,3,3,0,0,22,0,0,7,0,3,0,0,8,37,57,39,24,17,0,0,172,0,0,0,0,3,0,0,6,50,66,50,25,27,0,0,222,195,289,173,112,111,8,3,893
POA4882,3,3,3,4,3,0,0,15,6,6,8,4,0,0,0,28,17,12,5,0,3,0,0,36,102,123,80,40,43,6,0,396,0,0,0,0,0,0,0,0,126,145,92,46,55,6,0,478,0,0,0,0,0,0,0,7,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,14,28,21,7,11,3,0,85,0,0,0,0,0,0,0,4,17,33,20,15,9,3,0,99,141,174,117,62,67,9,0,576
POA4883,24,13,7,4,11,0,0,53,15,10,9,3,8,0,0,47,21,28,21,8,14,0,0,94,271,307,168,118,121,8,5,997,3,0,0,0,0,0,0,13,338,363,205,141,151,10,7,1208,0,4,3,11,3,0,0,23,6,5,4,8,12,0,0,31,11,8,3,3,7,0,0,33,96,122,76,40,63,0,3,399,3,6,3,5,0,0,0,13,118,148,89,65,74,4,7,504,459,511,290,201,226,14,12,1710
POA4884,3,11,0,5,3,0,0,20,10,10,5,3,3,0,0,27,3,3,5,6,8,0,0,27,68,65,38,32,31,3,0,228,3,0,0,0,0,0,0,3,81,83,54,45,38,3,0,302,0,3,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,4,21,22,12,3,9,0,0,68,0,0,0,0,0,0,0,0,29,25,11,3,9,0,0,86,109,108,67,49,47,4,0,390
POA4885,0,3,10,8,9,0,0,29,5,5,6,0,4,0,0,25,12,10,8,5,3,0,0,40,117,150,76,62,67,0,3,471,0,0,0,3,0,0,0,4,136,172,98,71,84,0,3,565,0,0,0,0,0,0,0,0,0,0,3,6,5,0,0,16,0,0,3,3,4,0,0,10,24,48,36,19,18,4,0,151,4,3,3,0,0,0,0,15,31,55,43,25,29,9,0,194,169,223,138,96,116,9,3,756
POA4886,0,5,0,0,0,0,0,4,0,7,3,0,3,0,0,8,3,3,0,0,0,0,0,10,20,32,15,10,14,0,0,89,0,0,0,0,0,0,0,0,27,38,23,13,11,0,0,117,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,7,5,7,0,0,39,0,0,0,0,0,0,0,0,18,14,10,5,12,0,0,51,44,50,32,18,26,0,0,166
