POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA4610,..,1477,1477,1979,161,2143,743,39,782,647,6,653,354,0,356,175,0,175,3891,1678,5577
POA4611,..,11,11,9,0,11,3,0,3,8,0,8,6,0,6,0,0,0,25,16,37
POA4612,..,36,36,40,0,42,9,0,9,4,0,4,7,0,7,3,0,3,64,39,102
POA4613,..,116,116,140,6,151,34,0,35,20,0,20,16,0,16,14,0,14,222,130,349
POA4614,..,161,161,173,20,201,50,0,50,27,0,27,19,0,19,16,0,16,295,184,476
POA4615,..,781,781,1049,105,1156,308,5,313,241,0,241,141,0,141,88,0,88,1833,887,2722
POA4620,..,45,45,54,3,66,22,0,22,15,0,15,10,0,10,3,0,3,98,52,151
POA4621,..,236,236,272,12,288,82,0,86,65,0,61,28,0,28,16,4,23,460,258,717
POA4625,..,304,304,361,23,380,137,0,141,100,0,105,50,3,51,30,0,30,681,329,1012
POA4626,..,234,234,280,19,299,92,16,110,78,9,89,44,3,48,24,4,27,525,288,819
POA4627,..,86,86,106,13,117,34,0,34,26,0,26,26,0,26,5,0,5,201,104,303
POA4630,..,286,286,356,15,366,94,0,94,88,0,88,56,0,56,14,0,14,611,305,909
POA4650,..,3616,3616,4782,388,5163,1636,41,1682,1367,10,1380,625,0,621,362,0,362,8775,4064,12837
POA4655,..,5971,5971,9096,728,9822,2901,85,2984,2427,10,2438,1113,3,1116,615,0,613,16153,6798,22947
POA4659,..,528,528,931,72,996,198,3,203,131,0,131,61,0,61,32,0,32,1350,602,1953
POA4660,..,673,673,1268,79,1344,309,7,315,230,0,230,112,0,112,78,0,78,2003,761,2764
POA4662,..,66,66,90,6,95,37,0,34,39,0,39,16,0,16,13,0,13,193,76,262
POA4670,..,7990,7990,11032,854,11888,4050,125,4176,3586,40,3627,1617,12,1627,821,12,829,21104,9029,30132
POA4671,..,653,653,876,70,945,273,4,283,227,0,227,112,0,112,64,0,64,1561,732,2287
POA4673,..,60,60,108,4,110,34,0,34,27,0,27,12,0,12,10,0,10,184,66,247
POA4674,..,165,165,239,30,265,73,0,79,35,0,35,19,0,19,17,0,17,376,194,578
POA4676,..,20,20,25,0,30,8,0,8,7,0,7,4,0,4,0,0,0,42,24,64
POA4677,..,369,369,505,40,544,165,3,170,159,0,159,59,0,59,30,0,30,914,410,1329
POA4678,..,84,84,154,4,161,48,0,48,34,0,34,11,0,11,5,0,5,254,91,346
POA4680,..,4065,4065,5873,473,6341,3004,83,3082,3149,18,3165,1312,3,1310,575,0,582,13912,4642,18548
POA4694,..,14,14,27,0,23,9,0,9,7,0,7,5,0,5,3,0,3,47,19,64
POA4695,..,99,99,156,6,157,51,0,53,49,0,49,27,0,27,17,0,17,297,105,394
POA4697,..,18,18,15,0,19,9,0,9,15,0,15,0,0,0,0,0,0,42,14,52
POA4699,..,29,29,58,8,64,16,0,16,24,0,24,8,0,8,10,0,10,120,39,155
POA4700,..,2062,2062,1891,232,2124,839,39,879,774,11,784,311,0,312,126,0,126,3947,2343,6289
POA4701,..,3956,3956,4799,390,5188,2367,91,2463,2317,33,2348,940,12,947,512,10,517,10923,4493,15416
POA4702,..,2043,2043,3229,200,3429,1486,20,1512,1385,0,1390,701,0,701,411,0,411,7212,2265,9476
POA4703,..,2049,2049,2897,206,3100,1148,23,1165,1087,4,1094,509,0,508,213,0,213,5850,2280,8129
POA4704,..,18,18,20,0,20,9,0,9,7,0,7,0,0,0,0,0,0,35,18,53
POA4705,..,30,30,52,5,58,15,0,15,13,0,13,11,0,11,3,0,3,93,34,121
POA4706,..,22,22,6,0,8,0,0,0,0,0,0,3,0,3,0,0,0,15,24,36
POA4707,..,43,43,46,3,48,8,0,8,12,0,12,4,0,4,0,0,0,68,47,113
POA4709,..,34,34,73,4,73,37,0,35,78,0,74,37,0,37,23,0,23,247,41,283
POA4710,..,491,491,639,49,687,257,6,260,197,0,204,102,0,103,50,0,50,1245,555,1798
POA4711,..,61,61,179,0,181,86,0,90,116,0,116,58,0,58,41,0,41,481,68,544
POA4712,..,47,47,31,3,28,15,0,15,6,0,6,4,0,4,5,0,5,58,51,109
POA4713,..,56,56,41,4,46,42,0,42,37,0,37,25,0,25,45,0,45,188,63,245
POA4714,..,455,455,405,50,450,142,3,148,86,0,86,41,0,41,37,0,37,710,510,1219
POA4715,..,539,539,759,62,814,332,16,351,434,8,439,158,3,157,103,4,107,1781,632,2415
POA4716,..,82,82,109,3,115,46,3,51,40,0,40,26,0,26,11,0,11,239,90,322
POA4717,..,352,352,382,48,430,231,5,236,245,0,245,127,0,127,57,0,57,1048,406,1454
POA4718,..,200,200,259,19,277,106,0,107,104,0,104,63,0,63,32,0,32,566,214,782
POA4719,..,136,136,127,8,131,44,0,44,43,0,43,19,0,19,9,0,9,247,142,388
POA4720,..,951,951,1292,113,1403,691,25,718,853,5,856,393,0,392,185,0,189,3402,1095,4500
POA4721,..,301,301,391,16,408,174,8,174,181,0,181,93,0,93,47,0,47,878,324,1209
POA4722,..,141,141,188,6,194,83,0,83,87,0,91,50,0,50,20,0,20,430,146,574
POA4723,..,97,97,162,7,166,58,0,58,70,0,70,43,0,43,19,0,19,355,104,458
POA4724,..,62,62,72,6,79,33,0,33,32,0,32,10,0,10,10,0,10,150,72,215
POA4725,..,194,194,202,7,216,57,0,60,70,0,70,34,0,34,7,0,7,381,202,584
POA4726,..,47,47,49,0,52,24,0,24,27,0,27,10,0,10,5,0,5,113,49,160
POA4727,..,25,25,35,0,36,10,0,10,10,0,10,3,0,3,0,0,0,65,24,96
POA4728,..,24,24,28,0,28,8,0,8,8,0,8,11,0,11,0,0,0,49,24,75
POA4730,..,389,389,387,37,422,162,5,166,115,0,115,75,0,75,40,0,40,777,439,1212
POA4731,..,29,29,33,0,35,5,0,5,6,0,6,3,0,3,0,0,0,56,29,80
POA4732,..,18,18,18,0,18,11,0,11,3,0,3,0,0,0,0,0,0,34,18,54
POA4733,..,16,16,24,0,24,6,0,6,5,0,6,8,0,8,0,0,0,51,21,70
POA4735,..,170,170,132,8,140,42,0,39,32,0,32,12,0,12,7,0,7,231,176,409
POA4736,..,25,25,11,0,15,3,0,3,4,0,4,4,0,4,0,0,0,26,25,49
POA4737,..,601,601,1046,66,1113,420,3,425,365,0,370,187,0,187,106,0,106,2126,674,2795
POA4738,..,101,101,144,13,149,58,0,58,54,0,54,28,0,28,17,0,17,292,114,405
POA4739,..,53,53,40,0,43,26,0,26,13,0,13,8,0,8,7,0,7,84,57,147
POA4740,..,7202,7202,9442,792,10237,4420,142,4557,4174,35,4207,1865,5,1868,731,3,736,20633,8177,28809
POA4741,..,535,535,868,43,911,350,9,355,336,0,336,164,0,164,75,0,75,1799,583,2382
POA4742,..,91,91,106,4,112,40,3,44,35,0,35,18,0,18,12,0,12,204,99,301
POA4743,..,37,37,40,8,46,26,0,24,45,0,45,16,0,16,6,0,6,135,47,175
POA4744,..,530,530,677,71,745,394,14,410,530,0,534,275,0,275,87,0,87,1969,618,2590
POA4745,..,204,204,220,19,241,108,4,115,135,0,135,80,0,80,34,0,34,583,228,812
POA4746,..,85,85,136,8,145,103,0,103,107,0,107,57,0,57,26,0,26,427,100,519
POA4750,..,349,349,593,55,647,349,0,357,361,0,364,164,0,164,54,0,54,1526,411,1930
POA4751,..,239,239,569,31,603,253,5,263,265,0,267,131,0,131,32,0,32,1259,280,1534
POA4753,..,173,173,394,18,405,261,0,263,308,0,308,119,0,119,53,0,53,1135,183,1319
POA4754,..,144,144,246,13,261,106,3,108,131,0,137,61,0,61,23,0,23,567,158,733
POA4756,..,75,75,91,3,97,24,0,24,18,0,18,17,0,17,5,0,5,165,78,243
POA4757,..,27,27,54,5,58,17,0,17,10,0,10,3,0,3,3,0,3,94,33,122
POA4798,..,67,67,100,4,101,28,0,28,28,0,28,12,0,12,12,0,12,177,76,252
POA4799,..,117,117,134,8,141,45,0,45,50,0,50,19,0,19,11,0,11,263,121,389
POA4800,..,800,800,1142,83,1221,487,10,495,468,3,473,251,0,251,69,0,69,2413,893,3303
POA4801,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4802,..,844,844,1123,179,1295,467,51,518,418,21,440,143,0,146,54,0,54,2210,1092,3300
POA4803,..,70,70,38,10,46,8,0,7,7,0,12,9,0,9,0,0,0,63,81,149
POA4804,..,217,217,221,5,229,79,0,75,78,0,78,32,0,32,11,0,11,422,229,646
POA4805,..,1133,1133,1314,111,1426,503,21,523,436,12,446,202,11,222,128,10,134,2580,1299,3884
POA4806,..,374,374,556,36,588,189,3,194,174,0,172,91,0,91,39,0,39,1045,411,1459
POA4807,..,1253,1253,1429,81,1509,590,11,598,547,7,552,228,0,235,92,4,98,2886,1355,4236
POA4808,..,107,107,168,9,171,54,0,54,63,0,63,28,0,28,9,0,9,314,115,428
POA4809,..,117,117,138,14,144,45,0,47,47,0,47,22,0,22,7,0,7,253,134,388
POA4810,..,3460,3460,2761,544,3303,980,108,1085,772,19,793,245,3,246,105,0,107,4856,4135,8987
POA4811,..,1017,1017,1363,176,1542,715,50,767,673,8,684,294,0,294,121,0,121,3165,1251,4419
POA4812,..,2816,2816,2251,305,2558,968,39,1008,832,10,837,347,3,346,156,0,156,4544,3167,7713
POA4814,..,3148,3148,4625,594,5222,2509,216,2728,2318,110,2423,1050,41,1097,523,19,548,11029,4128,15158
POA4815,..,1324,1324,2256,190,2447,1193,30,1221,1112,14,1127,516,0,516,379,0,379,5445,1557,7001
POA4816,..,752,752,1122,68,1193,369,15,383,347,0,349,176,0,176,245,0,245,2265,831,3097
POA4817,..,1754,1754,3147,238,3390,1873,59,1925,1857,16,1875,830,4,837,389,0,389,8093,2072,10164
POA4818,..,1323,1323,3045,277,3320,1764,41,1810,1696,12,1705,763,0,765,352,0,354,7608,1663,9274
POA4819,..,410,410,387,45,435,91,3,98,50,0,50,27,0,27,11,0,11,563,462,1024
POA4820,..,1050,1050,1239,96,1334,485,16,495,476,5,484,217,0,221,145,0,145,2563,1170,3732
POA4821,..,162,162,185,11,188,57,0,56,48,0,48,34,0,34,10,0,10,337,170,504
POA4822,..,89,89,103,5,108,33,0,33,39,0,39,19,0,19,5,0,5,195,97,295
POA4823,..,106,106,75,7,86,32,0,32,31,0,31,25,0,25,12,0,12,173,114,288
POA4824,..,269,269,240,32,272,136,4,140,80,3,84,56,0,56,40,0,40,556,308,858
POA4825,..,1508,1508,1759,213,1973,976,43,1025,897,13,911,472,3,471,299,0,299,4400,1790,6192
POA4828,..,27,27,9,3,16,4,0,4,7,0,7,4,0,4,5,0,3,28,36,64
POA4829,..,62,62,43,3,51,21,0,21,11,0,11,3,0,6,9,0,9,92,65,159
POA4830,..,60,60,47,10,58,39,0,36,48,0,48,43,0,43,104,0,104,282,69,356
POA4849,..,226,226,219,22,241,60,0,59,40,0,40,8,0,8,10,0,10,338,250,584
POA4850,..,1274,1274,1666,65,1736,533,5,541,463,0,469,200,0,200,69,0,73,2937,1350,4284
POA4852,..,397,397,552,64,614,170,8,179,133,0,134,50,0,52,19,0,19,929,473,1401
POA4854,..,508,508,676,51,725,265,16,281,245,3,250,130,5,132,67,0,66,1376,580,1955
POA4855,..,83,83,123,7,125,30,0,30,31,0,31,10,0,10,3,0,3,203,91,291
POA4856,..,57,57,120,4,127,24,0,23,35,0,35,17,0,17,12,0,12,199,71,267
POA4858,..,120,120,202,12,211,84,0,82,73,0,73,40,0,40,19,0,19,417,130,542
POA4859,..,58,58,66,3,67,36,0,36,19,0,19,6,0,6,0,0,0,124,68,192
POA4860,..,1201,1201,1361,108,1471,544,22,569,466,3,474,215,0,211,161,0,161,2743,1344,4087
POA4861,..,209,209,197,12,217,63,0,63,65,0,65,23,0,23,17,0,17,370,227,594
POA4865,..,533,533,860,67,925,444,10,452,485,0,485,195,0,198,133,0,133,2117,611,2727
POA4868,..,1690,1690,2460,248,2708,1291,39,1327,1113,16,1122,518,0,518,288,4,288,5671,1986,7660
POA4869,..,1078,1078,1692,154,1843,1021,30,1046,1089,3,1098,560,0,560,376,0,376,4730,1262,5994
POA4870,..,7871,7871,7342,1103,8447,3731,243,3971,3198,88,3287,1296,15,1313,723,18,743,16281,9348,25627
POA4871,..,950,950,1148,61,1215,417,16,435,413,6,418,191,0,191,292,0,292,2463,1034,3497
POA4872,..,400,400,560,28,590,170,3,174,176,0,177,69,0,69,43,0,43,1021,427,1450
POA4873,..,713,713,797,88,885,303,3,306,323,6,323,114,0,114,52,3,50,1590,807,2398
POA4874,..,295,295,371,38,407,233,4,241,290,0,290,130,0,130,131,0,131,1158,335,1492
POA4875,..,417,417,325,60,386,253,6,261,253,8,259,194,0,194,360,10,367,1391,494,1882
POA4876,..,140,140,123,8,125,78,0,86,93,0,93,82,0,82,162,0,162,537,149,688
POA4877,..,491,491,680,120,802,206,23,226,178,4,181,51,0,52,22,0,22,1125,645,1772
POA4878,..,1464,1464,1671,269,1945,757,48,800,597,14,609,234,8,242,104,0,104,3369,1796,5159
POA4879,..,1514,1514,2698,233,2930,1153,42,1200,1038,16,1052,371,0,376,128,0,131,5398,1806,7204
POA4880,..,1175,1175,1497,103,1603,563,15,578,562,5,570,304,0,303,166,5,171,3092,1313,4402
POA4881,..,386,386,611,77,685,194,11,201,222,0,224,65,0,65,66,0,66,1164,469,1630
POA4882,..,224,224,399,20,418,145,4,145,131,3,135,64,0,69,22,0,22,760,255,1014
POA4883,..,1039,1039,1156,72,1229,378,7,384,366,4,372,168,0,171,104,0,104,2170,1125,3293
POA4884,..,183,183,281,22,303,89,0,87,90,0,87,37,0,37,22,0,22,513,211,728
POA4885,..,364,364,579,23,602,183,0,184,168,0,168,70,0,70,46,0,46,1044,391,1436
POA4886,..,94,94,132,16,146,46,0,47,35,0,35,14,0,14,9,0,9,229,113,340
POA4887,..,245,245,294,19,311,75,3,75,58,0,58,34,0,34,29,0,29,489,274,765
POA4888,..,324,324,398,37,436,116,3,120,91,0,91,48,0,48,54,0,54,716,360,1072
POA4890,..,95,95,101,3,106,49,3,54,45,0,51,29,0,31,47,0,47,273,107,379
POA4891,..,91,91,102,6,105,16,0,19,14,0,14,7,0,7,0,0,0,139,100,237
POA4892,..,269,269,279,23,300,170,14,183,181,0,181,117,0,117,276,0,282,1027,308,1336
POA4895,..,451,451,414,58,472,185,3,189,152,0,152,98,0,98,76,0,76,930,514,1450
