POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA4216,..,4458,4458,5877,537,6409,2062,99,2162,1607,22,1633,527,8,536,213,3,215,10287,5126,15415
POA4217,..,5164,5164,5273,955,6231,1870,271,2143,1446,107,1557,524,41,559,179,34,211,9296,6569,15868
POA4218,..,3622,3622,4107,785,4894,1691,205,1900,1398,68,1469,481,22,505,178,11,184,7860,4712,12572
POA4220,..,3257,3257,3968,639,4608,1732,166,1898,1572,35,1607,531,3,532,199,7,205,7995,4108,12102
POA4221,..,2785,2785,3212,380,3595,1506,55,1563,1468,20,1495,552,3,556,246,0,246,6989,3245,10232
POA4222,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4223,..,1135,1135,1622,156,1784,796,35,825,808,7,817,329,0,329,152,0,151,3713,1327,5040
POA4224,..,722,722,785,115,904,367,21,389,311,5,319,122,3,121,32,0,38,1619,869,2488
POA4225,..,1393,1393,1106,239,1344,302,42,346,152,8,161,71,5,67,23,3,28,1651,1693,3340
POA4226,..,2147,2147,3671,366,4039,2055,106,2166,1936,37,1975,678,12,693,267,0,266,8608,2676,11281
POA4227,..,1455,1455,2124,338,2463,1399,107,1509,1362,23,1381,499,4,505,212,0,212,5601,1928,7525
POA4228,..,164,164,435,40,473,272,8,280,350,3,353,159,3,158,110,0,110,1326,212,1537
POA4229,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4230,..,194,194,318,45,365,102,3,108,53,0,54,20,0,20,3,0,3,496,242,737
POA4270,..,159,159,388,30,421,210,3,213,242,0,242,97,0,97,74,0,74,1012,191,1202
POA4271,..,269,269,430,30,460,143,0,147,136,0,141,49,0,49,26,0,26,784,302,1093
POA4272,..,383,383,693,38,730,206,3,212,219,0,222,114,0,114,36,0,36,1272,425,1698
POA4275,..,179,179,382,25,402,204,5,206,178,0,176,86,0,86,50,0,50,900,211,1106
POA4280,..,545,545,1352,92,1442,908,17,926,1064,0,1064,517,0,523,430,0,431,4269,658,4921
POA4285,..,1353,1353,2167,148,2310,1071,10,1077,1091,4,1095,513,0,514,350,0,350,5195,1516,6711
POA4287,..,69,69,95,4,101,36,3,33,26,0,26,16,0,16,12,0,12,184,72,257
POA4300,..,2505,2505,4577,487,5068,3393,85,3482,3527,28,3553,1563,4,1568,1058,3,1064,14116,3119,17240
POA4301,..,1383,1383,2117,258,2371,1533,40,1574,1450,7,1457,855,0,858,780,0,780,6736,1691,8419
POA4303,..,315,315,344,49,399,196,6,206,156,0,153,72,0,71,91,0,91,856,378,1234
POA4304,..,1862,1862,1865,252,2111,1021,43,1066,790,10,805,353,0,353,220,3,220,4251,2178,6422
POA4305,..,5516,5516,6571,613,7180,3650,105,3753,3268,27,3297,1443,3,1444,897,0,899,15816,6263,22076
POA4306,..,1806,1806,3732,226,3958,1967,26,1996,2250,5,2261,1007,0,1007,510,0,510,9478,2069,11546
POA4307,..,81,81,188,11,200,79,0,85,91,0,91,50,0,50,25,0,25,424,94,516
POA4309,..,238,238,413,20,431,144,0,143,124,0,124,81,0,81,48,0,48,806,260,1072
POA4310,..,552,552,838,39,878,272,0,275,283,3,284,115,0,115,64,3,64,1577,595,2173
POA4311,..,769,769,1159,116,1280,552,9,563,469,0,471,250,0,250,193,0,193,2633,897,3530
POA4312,..,303,303,446,39,491,100,0,101,88,0,88,48,0,48,33,0,33,720,342,1071
POA4313,..,256,256,364,23,387,93,0,94,81,0,81,42,0,42,33,0,33,614,280,902
POA4340,..,404,404,655,51,709,278,9,286,252,0,252,132,0,132,83,0,83,1399,463,1861
POA4341,..,1038,1038,1698,158,1860,754,18,775,690,8,697,365,3,363,256,0,256,3766,1224,4991
POA4342,..,205,205,322,25,342,110,16,121,95,6,108,72,6,75,47,0,47,644,259,898
POA4343,..,850,850,1209,128,1334,499,43,543,463,46,510,272,29,300,164,31,195,2608,1124,3726
POA4344,..,191,191,314,16,328,147,4,149,118,0,118,73,0,73,39,0,39,684,210,896
POA4345,..,0,0,3,6,12,0,0,3,0,0,3,0,0,0,0,0,0,7,14,17
POA4346,..,65,65,107,16,125,48,0,45,54,0,55,25,0,25,3,0,3,239,77,319
POA4347,..,90,90,157,14,177,53,0,52,43,0,43,29,0,29,26,0,26,311,109,412
POA4350,..,11725,11725,12930,1197,14127,5421,262,5682,4816,76,4895,2283,17,2297,1190,9,1196,26636,13296,39931
POA4352,..,1209,1209,3319,136,3459,1454,21,1476,1691,5,1696,866,0,862,478,0,478,7806,1374,9173
POA4353,..,27,27,39,0,36,12,0,12,14,0,14,12,0,12,0,0,0,80,27,108
POA4354,..,104,104,160,9,161,61,0,61,53,0,53,33,0,33,18,0,18,321,112,431
POA4355,..,305,305,406,23,429,119,0,119,112,0,112,51,0,51,30,0,30,718,332,1052
POA4356,..,367,367,627,32,662,235,3,236,250,0,250,126,0,126,79,0,79,1321,397,1716
POA4357,..,252,252,330,24,357,92,0,95,110,4,119,47,0,51,30,0,29,615,283,894
POA4358,..,126,126,279,9,288,117,3,120,122,0,122,61,0,61,28,0,28,611,136,746
POA4359,..,80,80,160,7,175,55,0,53,54,0,54,35,0,35,23,0,23,328,87,416
POA4360,..,50,50,80,4,83,31,0,31,32,0,32,14,0,14,5,0,5,167,57,218
POA4361,..,260,260,383,20,401,134,3,139,109,0,116,55,0,55,32,0,32,715,287,1005
POA4362,..,248,248,361,14,371,113,0,116,95,0,95,47,0,47,38,0,38,656,266,926
POA4363,..,42,42,72,6,77,37,0,37,25,0,25,10,0,10,12,0,12,158,44,203
POA4364,..,10,10,30,4,31,7,0,7,15,0,15,11,0,11,0,0,0,59,12,70
POA4365,..,59,59,71,4,75,21,0,21,19,0,17,12,0,11,6,0,6,124,60,188
POA4370,..,1941,1941,2464,145,2611,892,19,904,838,3,842,426,0,427,251,0,251,4866,2112,6984
POA4371,..,78,78,113,3,117,24,0,24,35,0,35,20,0,20,5,0,5,199,80,275
POA4372,..,15,15,22,0,25,13,0,13,4,0,4,3,0,3,4,0,4,42,11,60
POA4373,..,117,117,145,5,150,48,0,48,36,0,36,22,0,22,14,0,14,263,120,387
POA4374,..,37,37,65,4,65,22,0,21,4,0,5,6,0,6,3,0,3,102,46,149
POA4375,..,21,21,33,5,34,13,0,13,4,0,4,6,0,6,0,0,0,59,30,86
POA4376,..,47,47,37,3,43,21,0,21,8,0,8,6,0,6,3,0,3,78,55,135
POA4377,..,56,56,86,7,93,33,0,33,18,0,18,11,0,11,9,0,9,151,61,210
POA4378,..,28,28,85,4,90,24,0,24,27,0,27,7,0,7,3,0,3,149,37,186
POA4380,..,924,924,1141,62,1199,391,7,393,321,3,330,142,3,147,80,0,80,2069,1001,3075
POA4381,..,60,60,86,3,84,27,3,29,31,0,31,13,0,13,11,0,11,164,67,228
POA4382,..,38,38,85,3,90,20,0,20,22,0,22,7,0,7,10,0,10,144,38,183
POA4383,..,91,91,88,8,98,28,0,27,23,0,23,10,0,10,3,0,3,154,100,257
POA4384,..,8,8,5,0,9,3,0,3,3,0,3,3,0,3,0,0,0,13,8,20
POA4385,..,162,162,201,11,211,49,0,49,35,0,35,28,0,28,13,0,13,322,174,494
POA4387,..,158,158,190,14,200,61,3,63,44,0,48,20,0,20,10,0,10,330,174,496
POA4388,..,34,34,49,3,55,17,0,17,20,0,20,11,0,11,4,0,4,103,42,147
POA4390,..,597,597,787,59,843,347,11,355,324,6,328,175,0,177,67,0,67,1698,667,2363
POA4400,..,123,123,231,17,249,92,0,98,94,0,94,56,0,56,36,0,36,511,143,651
POA4401,..,484,484,639,52,690,270,5,270,264,7,267,143,0,143,98,0,98,1417,544,1953
POA4402,..,41,41,49,3,51,8,0,11,11,0,11,3,0,3,4,0,4,82,43,119
POA4403,..,68,68,88,12,94,37,3,33,36,0,36,19,0,19,13,0,13,194,79,275
POA4404,..,35,35,57,4,55,28,0,28,23,0,23,20,0,20,8,0,11,139,42,176
POA4405,..,1136,1136,1584,135,1720,739,23,756,703,5,709,375,0,374,208,0,208,3615,1300,4915
POA4406,..,125,125,187,3,190,60,0,60,55,0,55,50,0,50,19,0,19,373,126,496
POA4407,..,51,51,77,3,78,34,0,35,14,0,14,14,0,14,6,0,6,143,53,194
POA4408,..,74,74,77,9,77,29,0,29,25,0,25,19,0,19,11,0,11,156,79,237
POA4410,..,151,151,153,14,167,53,0,52,42,0,42,16,0,16,12,0,12,278,167,444
POA4411,..,31,31,26,0,28,12,0,12,18,0,18,12,0,12,3,0,3,69,34,97
POA4412,..,21,21,20,0,20,5,0,5,11,0,11,6,0,6,0,0,0,49,21,67
POA4413,..,645,645,887,75,962,354,3,358,394,0,392,206,3,205,95,0,95,1930,726,2654
POA4415,..,209,209,258,17,272,75,9,85,76,0,76,38,0,38,19,0,19,469,235,706
POA4416,..,33,33,56,7,54,18,0,18,29,0,29,9,0,9,3,0,3,109,37,151
POA4417,..,78,78,91,0,93,39,0,42,21,0,21,13,0,13,11,0,11,177,77,254
POA4418,..,12,12,15,0,15,3,0,5,4,0,4,3,0,3,0,0,0,26,10,42
POA4419,..,84,84,119,4,125,38,0,38,43,0,43,12,0,12,3,0,3,207,84,292
POA4420,..,105,105,153,6,161,49,0,49,60,0,60,24,0,24,16,0,16,306,110,422
POA4421,..,285,285,286,42,321,91,7,98,59,0,59,40,0,40,21,0,21,499,326,827
POA4422,..,45,45,58,4,60,21,0,21,20,0,20,15,0,15,8,0,8,121,48,169
POA4423,..,19,19,13,0,13,7,0,7,11,0,11,10,0,10,3,0,3,42,19,62
POA4424,..,24,24,28,0,28,6,0,6,15,0,15,5,0,5,3,0,3,57,24,79
POA4425,..,13,13,38,0,42,5,0,5,8,0,8,4,0,4,3,0,3,64,16,76
POA4426,..,19,19,15,0,18,9,0,9,12,0,12,4,0,4,0,0,0,40,18,56
POA4427,..,39,39,36,0,44,9,0,9,13,0,13,11,0,11,4,0,4,71,38,112
POA4428,..,52,52,92,3,99,27,0,27,34,0,34,18,0,18,7,0,7,181,55,238
POA4454,..,86,86,86,4,92,31,3,32,25,0,25,12,0,12,3,0,3,162,88,246
POA4455,..,792,792,883,79,965,406,18,427,436,5,438,213,0,213,81,0,81,2019,891,2910
POA4461,..,7,7,10,0,10,3,0,3,3,0,3,0,0,0,0,0,0,19,7,26
POA4462,..,16,16,16,3,18,6,0,6,4,0,4,0,0,0,3,0,3,25,19,44
POA4465,..,130,130,145,10,152,54,0,54,73,0,73,31,0,31,9,0,9,310,140,451
POA4467,..,28,28,25,3,29,8,0,8,15,0,15,5,0,5,3,0,3,48,28,78
POA4468,..,35,35,37,3,39,11,0,11,10,0,10,7,0,7,0,0,0,72,39,110
POA4470,..,385,385,438,27,469,171,6,177,161,0,161,66,0,66,48,0,48,892,419,1316
POA4472,..,199,199,202,3,210,63,0,65,53,0,53,34,0,34,17,0,17,367,206,575
POA4474,..,11,11,11,0,9,4,0,3,3,0,3,0,0,0,0,0,0,24,11,32
