POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA4738,307,0,0,13,0,315,71,0,0,4,0,76,9,0,0,0,0,7,389,0,0,20,0,405
POA4739,98,0,0,3,0,105,36,0,0,0,0,34,7,0,0,3,0,7,136,0,0,7,0,147
POA4740,19915,2156,1083,178,72,23402,3061,942,444,93,25,4569,531,125,69,66,53,836,23506,3221,1599,327,153,28809
POA4741,1760,10,6,35,20,1828,414,6,3,19,4,447,87,4,0,17,3,108,2260,16,8,71,28,2382
POA4742,218,0,8,8,0,234,41,0,3,5,0,51,20,0,3,0,3,21,273,0,8,16,3,301
POA4743,139,6,8,0,0,161,5,3,3,0,0,15,3,0,0,0,0,4,150,4,16,0,3,175
POA4744,1917,245,138,24,0,2333,147,22,22,3,0,198,43,7,8,3,3,56,2106,280,172,31,4,2590
POA4745,644,21,29,0,0,698,77,0,6,0,0,87,18,0,3,0,0,23,739,22,43,4,5,812
POA4746,420,39,7,3,11,474,23,7,0,0,0,31,9,0,0,0,0,14,461,39,7,3,15,519
POA4750,1552,68,38,14,25,1700,150,24,14,0,9,189,31,3,0,0,0,43,1737,93,49,20,33,1930
POA4751,1247,13,23,0,4,1296,183,9,7,0,0,199,30,0,8,0,0,39,1462,25,35,4,4,1534
POA4753,1159,3,7,0,0,1169,132,0,9,0,0,133,13,0,0,0,0,15,1306,3,12,0,0,1319
POA4754,512,7,7,3,0,529,147,0,11,3,0,167,25,0,0,11,3,38,686,8,17,15,10,733
POA4756,174,0,0,3,0,180,49,0,0,0,0,51,10,0,0,0,0,10,229,0,0,5,0,243
