POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA4130,2307,121,20,61,6,2512,109,15,4,25,4,152,51,0,0,14,0,69,2466,139,26,96,8,2733
POA4131,2200,314,164,0,20,2693,278,92,48,0,0,424,63,20,10,0,6,99,2536,426,220,0,33,3217
POA4132,5434,466,20,27,12,5962,830,144,42,13,12,1036,186,35,7,0,3,238,6451,650,67,39,30,7236
POA4133,4171,431,107,74,18,4795,563,156,107,51,4,880,136,27,12,5,3,185,4872,609,229,129,26,5863
POA4151,2684,468,2656,3,15,5829,159,65,351,3,4,586,55,15,77,0,0,144,2900,550,3081,5,23,6552
POA4152,10768,2612,674,10,36,14095,1098,258,176,0,5,1535,208,55,24,0,3,297,12074,2927,871,10,43,15930
POA4153,1208,129,0,0,0,1345,76,12,0,3,0,90,23,3,0,0,0,25,1301,148,0,3,0,1455
POA4154,2787,345,0,16,3,3148,80,18,0,3,0,105,43,0,0,0,0,43,2907,371,0,19,3,3299
POA4155,365,0,0,5,0,370,23,0,0,0,0,29,14,0,0,0,0,15,399,0,0,5,0,409
POA4156,845,31,0,3,8,884,37,0,0,0,0,32,9,0,0,0,0,12,891,31,0,3,8,931
POA4157,4942,865,39,39,14,5896,450,252,42,28,0,774,97,37,6,3,3,152,5483,1155,88,76,22,6820
POA4158,786,420,16,78,0,1297,86,59,6,54,0,207,11,7,0,7,0,25,883,485,18,145,0,1530
POA4159,3892,339,108,48,3,4393,280,111,43,17,0,449,73,18,5,0,3,98,4243,462,160,69,4,4940
POA4160,5069,395,218,5,53,5735,310,80,103,0,8,502,82,13,11,0,7,114,5464,486,329,5,65,6347
POA4161,4723,173,26,0,7,4931,456,90,12,0,0,557,94,11,3,0,0,109,5278,274,39,0,8,5602
POA4163,3295,908,684,3,10,4900,318,301,248,3,3,873,80,48,31,0,32,183,3696,1255,965,7,44,5963
POA4164,4071,161,59,0,23,4305,234,45,63,0,3,348,73,9,6,0,4,91,4370,213,125,3,31,4744
POA4165,10187,413,401,0,14,11010,855,143,176,0,5,1178,213,22,14,0,3,255,11257,579,591,0,18,12447
POA4169,1340,186,3534,16,16,5094,99,23,446,0,3,572,59,18,119,0,3,203,1497,226,4102,17,18,5861
POA4170,5032,1465,1495,67,30,8081,453,114,200,40,0,820,124,39,37,12,3,213,5608,1618,1738,117,37,9112
POA4171,2994,707,1530,0,9,5238,165,33,184,0,0,384,50,14,37,0,0,98,3210,751,1745,0,14,5721
POA4172,1091,184,25,6,0,1308,104,9,0,0,0,120,30,7,0,3,0,37,1229,203,26,6,3,1472
POA4173,2234,410,53,0,6,2695,216,43,13,0,0,276,41,11,3,0,0,52,2487,464,64,0,6,3020
POA4174,641,69,0,0,0,722,83,11,0,0,0,100,7,3,0,0,0,12,742,85,0,0,3,835
POA4178,6108,1065,430,7,20,7628,823,255,271,4,3,1347,148,237,31,0,8,424,7081,1557,730,7,28,9403
POA4179,4994,729,188,93,10,6019,527,227,51,14,0,826,91,34,6,7,4,140,5611,995,250,103,19,6977
POA4183,542,14,30,29,10,622,140,0,17,23,0,179,28,0,0,3,0,31,704,13,47,61,10,832
POA4184,2415,3,4,3,14,2444,661,0,0,9,3,671,109,0,0,3,0,116,3187,3,3,15,16,3227
POA4205,1347,118,9,0,3,1484,382,41,24,0,4,452,57,7,7,0,0,71,1783,167,45,0,9,2001
POA4207,13429,1669,481,40,35,15653,1869,585,255,22,3,2737,413,88,30,5,8,548,15717,2344,765,70,42,18940
POA4208,5147,289,43,15,16,5513,389,32,6,3,0,434,108,5,0,3,0,115,5646,324,53,14,18,6059
POA4209,10688,2523,95,37,40,13382,646,368,12,28,9,1068,215,53,4,3,5,285,11555,2948,111,67,50,14736
POA4210,4663,916,17,5,7,5607,274,179,0,3,0,455,94,24,0,0,0,121,5026,1121,15,8,11,6183
POA4211,13319,3707,674,242,19,17965,1127,716,237,185,3,2270,320,137,39,30,8,535,14767,4566,944,459,33,20771
POA4212,6646,1271,699,98,20,8742,406,195,89,25,0,711,158,41,28,7,4,237,7216,1507,820,125,24,9695
POA4213,7527,671,45,17,22,8288,470,130,13,22,0,631,166,18,10,4,125,316,8164,817,71,38,148,9234
POA4214,9091,1563,345,7,15,11015,715,348,80,0,10,1152,236,77,29,0,45,379,10039,1983,452,4,65,12545
POA4215,4294,5214,6407,50,104,16074,676,1098,1505,19,18,3310,168,331,354,3,42,898,5137,6638,8264,75,168,20282
POA4216,6048,3444,3023,173,34,12723,932,645,579,103,27,2280,187,98,103,16,4,408,7164,4184,3709,292,65,15415
POA4217,3997,1655,7575,62,103,13385,303,176,1510,4,11,2000,104,41,306,6,16,479,4395,1868,9393,73,136,15868
POA4218,4974,1700,3848,53,23,10607,495,364,701,31,7,1597,146,73,143,3,10,373,5616,2132,4692,90,45,12572
POA4220,5497,2228,2307,18,36,10085,674,449,540,7,3,1682,152,80,103,3,3,341,6321,2761,2953,29,40,12102
POA4221,5282,1490,1613,35,23,8448,653,319,517,15,4,1509,129,52,83,3,10,278,6071,1866,2214,51,36,10232
POA4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4223,3065,721,445,4,11,4249,325,247,84,0,3,656,76,43,22,0,0,136,3465,1000,548,4,20,5040
POA4224,1023,527,509,7,10,2076,137,94,109,0,0,346,34,17,12,0,0,68,1195,648,630,9,11,2488
POA4225,457,177,1791,44,15,2485,79,44,574,32,5,724,18,8,91,10,4,129,557,232,2449,83,25,3340
POA4226,6441,2949,569,4,20,9978,474,312,240,0,0,1030,141,79,51,0,0,271,7055,3343,858,7,21,11281
POA4227,3578,2346,798,4,4,6736,247,280,91,0,0,625,82,66,22,0,0,169,3911,2696,919,4,4,7525
POA4228,1364,40,3,4,3,1414,84,15,0,0,0,93,26,0,0,0,0,26,1470,52,3,4,3,1537
POA4229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4230,18,298,327,0,0,645,3,26,56,0,0,85,0,3,3,0,0,9,18,330,384,0,0,737
POA4270,1076,4,0,0,3,1083,89,0,0,0,0,89,26,0,0,0,0,26,1190,4,0,0,5,1202
POA4271,950,9,6,23,0,983,88,0,3,0,0,91,14,0,0,0,0,12,1049,14,15,23,0,1093
POA4272,1427,34,3,15,10,1494,150,15,0,3,0,169,33,0,0,5,0,36,1607,51,8,23,10,1698
POA4275,925,6,0,3,3,934,137,4,0,8,3,147,18,0,0,0,0,23,1080,4,3,11,10,1106
POA4280,4334,23,0,10,4,4371,432,13,0,0,3,443,100,0,0,0,3,106,4869,30,0,9,13,4921
POA4285,5038,241,59,37,18,5400,906,140,60,28,9,1140,152,17,9,3,0,178,6094,403,123,62,24,6711
POA4287,170,0,0,0,0,177,67,0,0,0,0,66,7,0,0,3,0,12,247,0,0,6,0,257
POA4300,13980,1201,26,41,24,15278,1303,221,14,31,4,1569,322,54,0,8,8,389,15602,1476,42,76,39,17240
POA4301,6636,555,41,4,10,7245,780,146,6,3,7,941,197,27,3,0,3,229,7617,732,55,7,17,8419
POA4303,882,26,9,0,0,921,229,28,4,0,0,262,51,3,0,0,0,54,1164,56,13,0,0,1234
POA4304,4322,478,148,17,11,4977,921,183,157,4,4,1273,128,25,20,0,4,176,5371,691,327,19,13,6422
POA4305,16097,1308,286,47,42,17784,2781,789,135,36,8,3748,418,100,23,3,8,543,19296,2195,447,86,60,22076
POA4306,9830,74,52,71,25,10052,1147,13,16,59,10,1250,206,0,4,27,5,244,11182,91,69,160,38,11546
POA4307,419,5,0,0,4,432,81,0,0,0,0,81,7,0,0,0,0,7,505,3,0,7,4,516
POA4309,800,0,3,21,0,824,222,0,0,4,0,228,21,0,0,0,0,22,1040,0,3,28,4,1072
POA4310,1555,18,18,32,4,1630,436,12,24,9,0,488,50,0,3,0,0,54,2041,32,52,38,9,2173
POA4311,2640,7,8,33,14,2707,680,5,10,21,3,721,101,0,3,3,0,107,3413,9,23,57,21,3530
POA4312,761,4,6,3,28,795,214,0,5,4,6,230,29,0,0,3,11,40,1000,3,9,12,41,1071
POA4313,608,17,0,3,3,627,227,14,0,0,0,244,22,0,0,0,0,23,856,33,4,3,5,902
POA4340,1410,25,4,3,0,1444,328,43,0,4,0,382,31,7,0,0,0,36,1771,75,4,7,5,1861
POA4341,3789,34,17,8,8,3857,847,43,26,10,7,930,154,5,12,40,0,204,4785,87,54,61,14,4991
POA4342,665,3,0,4,6,674,152,6,0,0,0,157,28,0,0,35,0,66,844,10,0,39,8,898
POA4343,2368,132,92,135,31,2767,641,62,58,51,11,829,96,12,4,9,8,137,3109,207,160,196,53,3726
POA4344,651,3,7,19,7,680,142,4,7,29,0,186,23,0,3,3,0,32,818,8,14,51,7,896
POA4345,14,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,3,17,0,0,0,0,17
POA4346,249,0,0,5,3,262,45,3,0,0,0,54,3,0,0,0,0,3,299,3,0,6,3,319
POA4347,317,0,0,3,0,320,74,0,0,0,0,74,21,0,0,0,0,21,409,0,0,3,0,412
POA4350,26060,4130,1575,121,137,32019,4231,1773,778,50,33,6869,627,227,89,7,99,1045,30920,6126,2443,174,266,39931
POA4352,7869,157,9,22,51,8114,824,57,0,3,10,898,146,6,0,0,10,163,8843,223,12,27,69,9173
POA4353,77,0,0,0,0,81,27,0,0,0,0,25,3,0,0,0,0,3,108,0,0,0,3,108
POA4354,321,0,0,3,4,329,88,0,0,0,0,92,16,0,0,0,0,13,423,3,0,5,5,431
POA4355,725,10,4,6,3,752,247,13,7,5,0,264,20,3,0,3,4,32,994,23,10,11,11,1052
POA4356,1263,17,8,10,3,1302,317,9,21,7,4,358,52,0,3,0,0,54,1629,33,27,19,12,1716
POA4357,611,0,13,10,5,634,228,0,10,4,3,244,18,0,0,0,0,21,853,0,23,13,8,894
POA4358,606,14,3,0,0,630,94,0,0,0,0,94,21,0,0,0,0,19,715,19,4,0,4,746
POA4359,351,5,0,0,0,357,46,4,0,0,0,51,9,0,0,0,0,12,405,5,0,0,0,416
POA4360,181,0,0,3,0,181,36,0,0,0,0,36,4,0,0,0,0,4,221,0,0,3,0,218
POA4361,712,21,9,4,3,740,197,8,0,16,0,222,33,0,0,0,0,37,943,31,10,15,4,1005
POA4362,658,6,8,5,0,677,188,0,12,0,0,203,37,0,3,0,0,39,884,9,21,10,0,926
POA4363,166,0,0,0,0,170,28,0,0,0,0,28,7,0,0,0,0,7,199,0,0,0,0,203
POA4364,58,0,0,3,0,64,11,0,0,0,0,11,0,0,0,0,0,0,73,0,0,3,0,70
POA4365,133,0,0,0,5,136,46,0,0,3,0,48,4,0,0,0,0,4,179,0,0,3,5,188
POA4370,4776,321,61,40,35,5231,1229,237,53,27,4,1555,154,31,8,3,5,195,6161,585,123,70,46,6984
POA4371,196,0,0,4,3,203,59,0,0,3,0,67,12,0,0,0,0,12,270,0,0,3,3,275
POA4372,46,0,0,0,0,46,12,0,0,0,0,12,0,0,0,0,0,0,60,0,0,0,0,60
POA4373,244,0,4,5,11,261,101,0,3,0,5,111,8,0,0,0,0,15,357,0,10,8,14,387
POA4374,108,0,0,0,0,105,35,0,0,0,0,37,3,0,0,0,0,3,145,3,0,0,0,149
POA4375,70,0,0,0,0,66,20,0,0,0,0,20,0,0,0,0,0,0,84,0,0,0,0,86
POA4376,88,0,0,0,0,92,24,0,0,6,0,38,3,0,0,0,0,5,121,0,0,7,0,135
POA4377,159,0,0,0,0,165,37,0,0,0,0,37,5,0,0,0,0,5,203,0,0,0,0,210
POA4378,151,0,3,3,0,154,25,0,0,0,0,27,7,0,0,0,0,7,179,0,3,3,0,186
POA4380,2042,60,93,23,7,2232,635,37,75,15,3,759,57,5,9,3,0,78,2734,100,178,44,16,3075
POA4381,158,3,0,3,0,166,45,0,0,5,0,53,6,0,0,0,0,6,207,8,0,12,0,228
POA4382,139,0,0,3,4,145,24,0,0,4,0,29,3,0,0,0,0,3,171,0,0,6,4,183
POA4383,173,0,0,3,0,175,69,0,0,0,0,69,7,0,0,0,0,12,248,0,0,7,0,257
POA4384,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,20
POA4385,303,0,0,12,0,324,135,6,3,8,0,154,16,0,0,0,0,18,456,13,4,19,0,494
POA4387,298,4,5,4,18,332,136,0,3,3,11,149,12,0,0,0,0,15,443,9,7,6,34,496
POA4388,84,0,0,0,3,87,51,0,0,4,0,58,3,0,0,0,0,3,137,0,0,3,3,147
POA4390,1611,33,129,12,8,1797,371,19,84,7,4,486,54,4,14,7,4,81,2035,62,230,24,17,2363
POA4400,560,0,0,3,0,563,77,0,0,0,0,77,12,0,0,0,0,12,649,0,0,3,0,651
POA4401,1375,0,57,8,3,1454,401,0,29,9,0,443,51,0,8,5,0,67,1836,0,99,22,3,1953
POA4402,80,0,0,3,0,85,37,0,0,0,0,33,3,0,0,0,0,3,115,0,0,5,0,119
POA4403,197,0,0,7,5,203,54,0,0,3,0,63,3,0,0,0,3,5,257,0,0,11,11,275
POA4404,145,0,0,3,0,149,27,0,0,0,0,27,5,0,0,0,0,5,172,0,0,3,0,176
POA4405,3607,101,67,23,19,3814,827,93,48,8,0,972,106,11,7,3,0,125,4538,206,115,33,19,4915
POA4406,342,15,3,7,4,368,94,4,0,5,0,107,10,3,0,3,0,19,456,29,3,14,4,496
POA4407,133,0,0,8,0,137,39,0,0,3,4,49,9,0,0,0,0,9,185,0,0,7,6,194
POA4408,158,0,7,0,0,166,63,0,3,0,0,66,5,0,0,0,0,3,225,0,9,0,3,237
POA4410,270,5,3,4,0,277,138,0,5,6,4,152,6,0,3,0,0,13,414,3,14,7,4,444
POA4411,66,0,0,0,0,69,25,0,0,0,0,25,3,0,0,0,0,3,99,0,0,0,0,97
POA4412,60,0,0,0,0,60,13,0,0,0,0,13,0,0,0,0,0,0,67,0,0,0,0,67
POA4413,1806,104,127,7,3,2042,429,38,43,4,4,515,54,19,11,6,0,89,2296,156,176,14,12,2654
POA4415,425,36,13,17,5,503,140,25,13,3,4,183,18,3,0,7,0,27,580,69,24,20,5,706
POA4416,105,0,0,0,4,115,28,0,0,0,0,28,4,0,0,0,0,3,144,0,0,0,7,151
POA4417,165,0,0,0,3,168,74,5,0,0,0,76,3,0,0,3,0,8,237,6,0,4,3,254
POA4418,32,0,0,0,0,32,5,0,0,0,0,5,0,0,0,0,0,0,42,0,0,0,0,42
POA4419,208,0,4,0,0,214,56,0,7,0,0,67,10,0,3,0,0,12,273,0,19,0,0,292
POA4420,297,0,0,0,8,309,100,0,0,0,0,98,13,0,0,0,0,15,405,4,0,3,8,422
POA4421,502,0,0,3,8,510,271,4,0,8,10,297,18,0,0,0,3,23,788,4,0,14,22,827
POA4422,117,0,0,3,0,124,42,0,0,0,0,42,0,0,0,0,0,5,162,0,0,6,0,169
POA4423,55,0,0,0,0,53,5,0,0,0,0,8,0,0,0,0,0,0,58,0,0,0,0,62
POA4424,64,0,0,0,0,64,16,0,0,0,0,16,0,0,0,0,0,0,79,0,0,0,0,79
POA4425,57,0,0,0,0,63,13,0,0,0,0,12,0,0,0,0,0,0,73,0,0,0,0,76
POA4426,33,0,0,0,0,30,24,0,0,0,0,22,0,0,0,0,0,0,50,3,0,4,0,56
POA4427,71,0,0,4,0,76,37,0,0,0,0,33,3,0,0,0,0,3,107,0,0,4,0,112
POA4428,167,3,0,0,4,177,50,0,0,0,0,54,9,0,0,0,0,7,223,3,0,3,4,238
POA4454,179,0,3,3,3,188,46,0,3,0,0,52,12,0,0,0,0,12,233,0,7,3,3,246
POA4455,2095,63,32,13,14,2220,519,53,14,4,0,592,84,8,3,4,4,99,2693,118,48,22,21,2910
POA4461,15,0,0,0,0,22,3,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,26
POA4462,30,0,0,0,0,34,10,0,0,0,0,10,0,0,0,0,0,0,43,0,0,0,0,44
POA4465,296,0,0,5,3,310,116,4,0,6,0,126,15,0,0,0,0,14,425,11,0,12,3,451
POA4467,49,0,0,0,0,50,20,0,0,0,0,19,3,0,0,0,0,3,73,0,0,3,0,78
POA4468,76,0,0,0,0,78,25,0,0,0,0,25,3,0,0,0,0,8,108,0,0,3,0,110
POA4470,878,11,20,20,10,938,284,23,12,6,3,330,44,0,3,0,0,48,1204,41,34,23,9,1316
POA4472,369,4,6,11,3,398,128,17,0,5,0,154,18,5,0,0,0,19,512,26,7,15,4,575
POA4474,19,0,0,0,0,23,11,0,0,0,0,11,0,0,0,0,0,0,33,0,0,0,0,32
POA4475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4477,112,0,0,0,0,112,47,3,0,0,0,52,16,0,0,0,0,16,168,3,0,3,0,181
POA4478,125,0,0,3,0,133,49,0,0,0,0,46,11,0,0,0,0,8,185,0,0,3,3,186
POA4479,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
POA4480,186,0,8,5,0,202,57,0,7,0,0,66,4,0,9,0,0,20,252,0,25,8,0,285
POA4481,25,0,0,0,0,22,19,0,0,0,0,19,0,0,0,0,0,0,40,0,0,0,0,44
POA4482,26,0,0,5,0,33,7,0,0,0,0,6,5,0,0,0,0,8,34,0,0,5,3,44
POA4486,158,0,7,0,3,169,62,0,5,3,0,69,13,0,0,3,0,17,235,0,10,8,8,252
POA4487,717,3,8,16,10,754,256,0,15,3,0,277,34,0,0,10,0,47,1012,3,22,24,16,1078
POA4488,70,0,5,5,0,79,25,0,0,0,0,22,3,0,0,0,0,5,94,0,5,10,0,106
POA4489,22,0,0,0,0,22,5,0,0,0,0,5,3,0,0,0,0,3,28,0,0,0,0,30
POA4490,298,3,0,10,6,322,189,14,0,4,4,216,24,0,0,0,0,26,519,15,4,12,10,561
POA4491,29,0,0,0,0,36,6,0,0,0,0,6,0,0,0,0,0,0,39,0,0,0,0,39
POA4492,76,0,0,0,4,81,25,0,0,0,0,29,3,0,0,0,0,8,110,0,0,3,6,115
POA4493,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,3,7
POA4494,41,0,0,0,0,46,15,0,0,0,0,15,0,0,0,0,0,0,52,0,0,0,0,57
POA4496,66,0,0,0,0,68,27,0,0,0,0,28,3,0,0,0,0,3,92,0,0,0,5,100
POA4497,88,0,0,0,0,89,16,0,0,0,0,20,4,0,0,3,0,7,108,0,0,3,3,110
POA4498,58,0,0,0,0,61,9,0,0,0,0,9,0,0,0,0,0,0,72,0,0,3,0,75
POA4500,11172,1243,239,9,7,12676,816,279,89,0,0,1181,181,32,13,0,0,227,12164,1557,344,11,7,14081
POA4501,1310,355,63,0,0,1734,181,122,35,0,0,334,32,15,4,0,0,49,1518,494,99,0,0,2122
POA4502,2448,163,81,0,0,2689,188,32,43,0,0,257,45,3,3,0,0,52,2678,196,126,0,0,2999
POA4503,10603,2462,49,108,36,13262,892,624,15,86,9,1620,203,83,0,19,4,314,11694,3173,67,216,51,15195
POA4504,5014,150,0,3,3,5164,278,10,0,0,0,294,86,5,0,0,0,94,5380,161,0,3,4,5554
POA4505,5530,398,6,4,7,5941,789,84,0,4,4,889,129,17,0,0,0,143,6453,500,6,6,12,6973
POA4506,5531,516,31,3,9,6092,638,151,13,0,3,812,141,19,3,0,7,162,6311,678,44,6,17,7065
POA4507,4727,997,339,139,18,6216,865,460,173,127,0,1619,163,53,21,15,3,258,5755,1509,533,285,20,8097
POA4508,4772,433,149,42,28,5421,891,116,81,46,3,1132,161,21,14,5,0,201,5822,568,244,95,30,6761
POA4509,7524,1067,160,0,7,8764,294,215,93,0,0,600,109,27,12,0,0,148,7927,1307,266,0,15,9512
POA4510,11440,1546,336,76,41,13439,1758,566,413,51,12,2807,309,100,64,3,6,484,13511,2212,815,129,63,16731
POA4511,2523,214,29,88,3,2854,312,36,5,61,0,415,62,9,0,8,0,79,2897,262,31,154,3,3347
POA4512,919,0,0,0,3,919,82,0,0,0,0,88,19,0,0,0,6,28,1023,0,0,3,13,1032
POA4514,1736,7,5,33,7,1783,305,0,0,13,3,326,34,0,3,3,0,43,2081,7,12,44,12,2150
POA4515,1057,18,0,11,9,1098,286,5,4,4,0,302,47,5,0,0,0,52,1389,31,8,20,10,1455
POA4516,1031,3,0,6,0,1041,71,0,0,0,0,75,25,0,0,4,0,29,1129,4,0,15,4,1146
POA4517,201,10,0,3,0,216,48,0,0,0,0,48,12,0,0,0,0,15,261,10,0,3,0,274
POA4518,1494,0,4,3,4,1504,176,0,0,8,0,186,48,0,0,0,0,53,1722,0,4,12,3,1737
POA4519,2199,181,24,34,10,2446,325,68,12,11,0,417,53,6,0,3,3,60,2576,255,36,45,12,2923
POA4520,3767,22,0,8,18,3814,164,5,0,0,0,168,53,0,0,0,3,55,3983,28,3,13,22,4039
POA4521,1344,0,5,11,8,1366,132,0,0,0,3,139,35,0,0,0,0,32,1508,0,9,15,9,1540
POA4550,1197,33,19,42,3,1294,145,9,7,27,0,192,18,4,3,0,0,30,1360,50,29,66,7,1511
POA4551,13262,2114,2338,218,49,17975,1476,717,600,174,66,3029,241,104,100,19,16,479,14976,2929,3034,417,136,21487
POA4552,2774,68,23,35,17,2920,381,23,7,12,3,425,65,0,0,0,3,71,3216,94,27,51,27,3414
POA4553,1686,17,3,12,12,1732,125,9,4,0,0,139,24,0,0,0,0,27,1836,28,6,11,14,1895
POA4554,544,0,0,0,3,548,42,0,0,0,0,42,7,0,0,0,0,7,604,0,0,0,3,604
POA4555,1953,59,9,25,11,2058,166,27,10,18,3,233,31,6,0,3,3,41,2153,91,16,53,19,2329
POA4556,10740,1905,827,50,43,13565,659,701,164,30,11,1564,239,118,36,3,10,401,11639,2723,1020,83,60,15533
POA4557,3990,442,1591,39,20,6083,241,57,309,6,5,628,71,27,85,4,0,193,4303,522,1988,51,31,6901
POA4558,2805,1522,2088,133,35,6583,371,386,453,73,15,1298,85,71,117,12,11,297,3255,1982,2659,226,63,8177
POA4559,1648,45,13,102,3,1808,183,12,3,54,3,248,42,0,0,10,0,49,1875,52,12,158,8,2107
POA4560,8443,909,354,115,52,9868,1032,233,238,82,15,1599,207,35,29,10,8,284,9678,1173,620,207,71,11750
POA4561,1972,43,39,34,23,2110,184,20,20,29,4,254,48,0,3,5,3,61,2199,60,63,65,29,2421
POA4562,2401,16,3,5,18,2445,183,0,0,0,4,187,58,0,0,3,3,63,2645,15,3,11,27,2698
POA4563,2514,27,73,20,9,2634,348,6,25,16,0,397,77,3,0,0,5,82,2937,35,97,36,13,3116
POA4564,2279,741,567,14,5,3608,196,130,119,10,0,464,39,21,16,0,5,84,2518,893,703,27,7,4150
POA4565,4000,398,143,41,17,4593,526,179,77,11,13,810,126,30,16,8,10,188,4653,608,230,49,43,5587
POA4566,1892,711,287,12,27,2931,133,167,81,0,3,387,44,32,20,3,4,92,2071,907,385,13,32,3408
POA4567,2734,538,540,0,37,3853,205,57,81,0,3,344,41,23,18,0,6,85,2987,620,635,0,37,4281
POA4568,1094,8,3,15,8,1127,130,0,0,12,3,152,16,0,0,0,0,16,1241,9,6,29,14,1302
POA4569,507,0,0,3,0,507,80,0,0,0,0,80,12,0,0,0,0,12,598,0,0,3,0,600
POA4570,11459,340,144,162,48,12148,2663,196,147,81,30,3122,383,31,15,19,11,455,14503,567,302,268,90,15729
POA4571,238,0,0,3,0,244,50,0,0,0,0,49,3,0,0,0,0,3,289,0,0,3,0,296
POA4572,535,114,668,18,10,1339,39,10,131,3,0,178,11,0,29,3,0,43,581,126,823,29,13,1566
POA4573,6446,1173,616,28,48,8306,467,222,128,6,6,822,135,35,19,4,11,204,7048,1427,757,36,58,9333
POA4574,383,0,0,7,5,403,99,0,8,0,0,105,3,0,0,0,0,10,487,0,12,10,5,512
POA4575,5783,945,1006,30,5,7775,560,362,152,5,0,1085,115,39,31,0,0,185,6456,1343,1191,38,14,9040
POA4580,1410,82,18,83,3,1590,347,60,3,48,3,469,54,9,5,7,0,74,1809,150,24,144,3,2133
POA4581,282,35,48,34,0,409,69,33,18,12,0,128,8,4,4,0,3,21,360,72,67,47,3,551
POA4600,249,0,5,9,0,259,97,0,4,10,3,116,8,0,0,0,0,12,349,4,12,17,0,383
POA4601,297,0,6,5,0,306,102,0,6,8,0,118,13,0,3,0,0,15,415,0,20,12,0,440
POA4605,971,10,27,9,0,1018,495,11,26,5,3,537,32,0,4,0,0,42,1503,16,55,20,3,1597
POA4606,622,15,5,10,3,662,213,26,8,9,0,258,31,0,3,0,0,32,865,45,19,16,4,951
POA4608,241,0,0,15,3,257,73,0,0,0,0,77,10,0,0,0,0,10,323,0,0,15,3,339
POA4610,3968,133,158,40,17,4317,899,67,104,26,3,1097,129,14,13,6,0,158,4997,211,281,71,16,5577
POA4611,28,0,0,0,0,28,13,0,0,0,0,13,3,0,0,0,0,3,37,0,0,0,0,37
POA4612,57,0,0,0,4,64,35,0,0,0,0,35,5,0,0,0,0,5,94,0,0,0,4,102
POA4613,232,0,0,3,3,243,83,0,0,6,0,88,14,0,0,3,0,19,329,0,3,13,3,349
POA4614,320,3,8,5,0,331,118,0,10,5,0,129,12,0,0,0,0,15,446,3,12,16,0,476
POA4615,1854,26,27,26,7,1946,610,23,29,21,5,685,86,0,0,3,0,89,2545,53,53,53,12,2722
POA4620,100,0,0,0,0,100,51,0,0,0,0,54,0,0,0,0,0,0,150,0,0,0,0,151
POA4621,456,0,3,11,0,465,210,3,0,13,0,223,23,3,0,0,0,29,686,7,3,23,3,717
POA4625,649,8,11,28,9,705,237,8,11,12,0,273,33,0,0,0,0,39,918,15,20,46,10,1012
POA4626,473,0,12,30,8,525,190,0,13,29,0,236,31,0,10,14,3,60,697,0,36,77,4,819
POA4627,173,0,5,14,3,192,70,0,16,7,4,99,9,0,3,0,0,9,249,0,22,25,3,303
POA4630,587,0,3,5,5,603,272,0,0,4,3,278,29,0,0,0,0,30,886,0,4,10,8,909
POA4650,8941,294,193,118,72,9627,2221,339,149,78,13,2803,314,43,28,16,11,414,11482,679,367,212,91,12837
