POA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
POA4816,28,4,0,3,0,0,37,12,0,0,0,0,0,14,9,3,3,3,3,0,14,5,8,3,0,0,0,15,17,8,5,0,3,0,28,21,11,7,5,3,0,53,33,17,3,0,3,0,57,31,20,10,3,0,0,63,26,24,7,4,7,0,69,19,16,16,9,6,0,63,19,16,7,0,3,0,42,34,33,9,3,0,0,81,14,16,0,3,0,0,35,10,9,0,0,0,0,27,17,20,9,0,3,0,49,29,32,10,3,0,0,69,4,5,3,0,0,0,16,3,8,0,0,0,0,14,17,7,13,0,3,3,48,337,269,116,35,28,9,789
POA4817,42,23,20,4,7,0,100,11,7,13,0,5,0,30,18,17,11,3,4,0,61,22,12,15,3,12,0,58,49,33,12,9,7,0,112,51,36,28,8,13,3,145,55,69,41,17,22,0,203,90,132,54,19,16,7,320,96,152,49,36,22,3,354,121,194,69,45,26,7,458,74,180,47,31,10,0,342,115,193,80,20,27,4,434,49,102,26,10,3,0,190,38,65,13,7,3,0,127,66,128,44,8,3,0,255,71,104,55,5,3,3,239,13,18,14,0,0,0,50,6,19,4,0,0,0,32,35,45,29,7,3,3,122,1030,1523,630,223,205,31,3637
POA4818,23,17,6,3,3,0,57,5,9,3,0,0,0,18,17,8,9,3,0,0,35,24,7,6,3,3,0,44,36,19,11,8,5,3,85,46,32,17,10,8,0,112,60,43,16,16,6,0,156,102,101,36,16,11,5,271,100,131,45,22,17,3,322,145,177,42,27,17,0,406,129,202,33,20,11,0,397,194,276,55,28,12,3,573,77,147,25,11,3,0,262,52,93,15,8,9,0,172,115,195,41,11,7,0,380,91,136,34,6,9,0,279,24,41,8,4,0,0,76,11,20,9,3,0,0,49,43,49,19,5,7,3,124,1300,1711,433,212,139,19,3818
POA4819,0,3,0,0,0,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,5,4,0,0,0,0,8,11,0,0,0,0,0,15,5,0,3,0,0,0,14,6,8,0,0,0,0,18,5,3,0,0,0,0,9,10,4,3,0,0,0,13,3,3,0,0,0,0,7,11,3,3,3,0,0,23,0,4,3,0,0,0,8,3,3,0,0,0,0,6,9,6,0,0,0,0,10,3,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,4,0,0,0,0,11,84,49,18,12,10,0,173
POA4820,24,11,3,3,3,0,41,0,7,0,0,0,0,6,12,3,0,0,3,0,20,13,10,10,0,0,0,30,17,20,9,10,0,0,55,23,25,11,6,8,0,75,26,37,10,7,7,0,94,43,36,24,9,0,0,122,23,43,12,8,3,0,90,26,47,15,4,3,0,92,17,23,9,0,0,0,46,19,35,5,3,0,0,67,9,17,4,3,0,0,29,0,14,0,0,0,0,16,10,18,7,5,0,0,38,8,23,8,0,0,0,40,0,5,3,0,0,0,9,0,10,0,0,0,0,15,20,18,14,0,3,0,53,297,399,147,67,41,6,953
POA4821,11,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,6,3,4,0,0,0,0,13,3,4,0,0,0,0,8,3,10,0,0,0,0,9,3,0,0,0,0,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,32,36,9,7,4,0,80
POA4822,8,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,3,0,3,0,0,12,0,4,0,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,3,0,0,0,10,27,19,3,4,3,0,55
POA4823,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,10,18,4,0,3,0,39
POA4824,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,5,4,0,0,3,0,10,5,0,0,0,0,0,8,4,5,3,0,0,0,14,5,4,3,0,0,0,11,4,0,3,0,0,0,12,0,5,0,0,0,0,11,6,6,0,0,0,0,15,0,6,0,0,0,0,3,3,5,0,0,0,0,4,3,3,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,45,54,9,8,8,0,121
POA4825,18,13,13,4,0,0,44,3,0,0,0,0,0,3,7,5,0,0,0,0,17,9,9,8,3,0,0,20,8,5,3,4,8,0,33,26,28,6,3,9,0,77,32,33,10,6,3,3,93,30,32,15,7,3,0,91,27,74,16,11,10,0,146,47,95,13,12,13,0,184,49,75,18,11,4,0,160,75,155,22,9,7,0,273,26,60,13,4,3,4,111,12,40,6,0,0,0,63,42,70,16,4,9,0,143,38,53,18,6,4,0,120,8,23,7,0,5,0,40,11,11,0,3,0,0,29,21,26,3,3,10,0,68,496,827,185,90,90,13,1704
