POA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
POA4828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA4829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,7
POA4830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4849,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,6,6,0,0,0,0,0,4,5,0,3,0,0,0,7,0,3,0,0,0,0,3,3,0,0,0,0,0,10,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,31,18,11,0,4,4,68
POA4850,27,16,7,0,5,0,49,8,3,0,0,0,0,7,10,9,6,0,0,0,29,12,13,5,0,4,0,28,31,24,16,4,4,0,74,21,22,9,6,7,0,64,29,32,10,8,6,0,81,41,31,21,8,5,0,100,17,30,13,4,3,0,68,13,38,13,3,0,0,69,8,21,5,0,0,0,34,15,35,11,3,3,0,64,8,14,0,0,0,0,19,0,8,0,0,0,0,10,6,13,5,0,0,0,28,15,12,3,0,0,0,23,3,7,0,0,0,0,11,4,0,0,0,0,0,12,28,14,6,0,3,0,49,281,340,138,36,35,4,831
POA4852,0,0,3,0,0,0,8,0,3,3,0,0,0,5,6,0,0,0,0,0,6,0,0,0,0,0,0,4,9,3,0,0,3,0,13,13,5,3,0,0,0,21,16,11,4,0,0,0,30,16,15,4,0,0,0,31,17,4,3,4,0,0,31,7,14,4,0,0,0,30,11,13,4,0,0,0,25,15,18,6,4,0,0,36,3,9,0,0,0,0,8,3,3,0,0,0,0,10,7,3,0,0,0,0,10,6,3,3,0,0,0,12,3,0,0,0,0,0,3,0,0,0,0,0,0,3,6,0,0,4,0,0,14,137,107,32,20,4,0,298
POA4854,6,11,3,0,0,0,16,4,0,0,0,0,0,9,12,0,3,0,0,0,17,7,3,3,0,3,0,19,11,8,0,4,6,0,28,14,13,7,3,4,0,43,13,18,5,3,9,0,42,21,25,11,3,7,0,69,17,21,3,4,0,0,45,14,32,3,3,0,0,50,5,12,3,0,0,0,15,15,18,0,0,0,0,35,6,3,3,0,0,0,12,3,3,3,0,0,0,13,7,6,3,0,0,0,17,6,11,8,3,0,0,22,0,0,4,0,0,0,3,0,0,0,0,0,0,3,10,10,8,4,0,0,30,170,188,63,27,25,0,483
POA4855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,3,0,0,3,0,12,0,8,0,0,0,0,10,7,3,0,0,0,0,5,0,0,0,0,3,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,31,3,0,5,0,61
POA4856,3,0,0,0,0,0,4,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,8,0,4,0,0,0,0,11,3,3,0,0,0,0,6,0,3,4,0,0,0,8,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,22,7,5,3,0,68
POA4858,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,9,3,3,3,0,3,0,14,3,6,0,3,0,0,13,4,5,3,0,0,0,12,5,3,3,0,0,0,16,3,14,0,0,0,0,17,3,5,3,0,0,0,10,3,7,3,0,0,0,17,3,3,0,0,0,0,6,3,0,0,0,0,0,4,0,7,0,0,0,0,8,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,48,69,28,5,3,0,154
POA4859,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,11,4,0,3,0,0,0,6,0,0,0,0,0,0,5,4,0,0,3,0,0,11,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,24,11,15,9,0,0,52
POA4860,16,7,7,0,3,0,28,3,6,0,0,0,0,6,8,5,4,3,0,0,26,11,7,0,0,0,0,18,18,13,7,0,4,0,47,22,21,14,12,7,0,70,28,43,12,4,7,3,95,37,46,11,3,4,0,105,21,38,15,3,3,0,79,10,46,9,4,3,0,81,9,22,8,0,6,0,42,22,19,11,7,0,0,52,6,8,0,0,0,0,17,5,4,4,0,0,0,16,10,16,3,3,3,0,28,11,7,6,0,0,0,23,3,6,3,0,0,0,15,0,3,3,0,0,0,4,21,11,3,3,4,0,42,264,326,123,39,47,4,799
POA4861,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,9,3,0,0,0,0,0,6,3,3,0,0,0,0,8,3,4,0,0,0,0,14,6,9,0,0,0,0,16,5,10,3,0,0,0,20,3,7,0,0,0,0,9,0,3,0,3,0,0,5,0,4,4,0,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,34,45,16,3,11,0,109
POA4865,8,8,4,0,0,0,27,4,0,0,0,0,0,3,10,3,0,0,0,0,19,3,0,0,0,0,0,7,18,4,12,7,3,0,47,20,15,8,4,9,0,49,12,17,14,12,9,0,64,26,46,13,9,12,0,96,29,49,16,14,4,0,110,50,53,11,12,7,0,132,18,53,10,11,4,3,91,33,52,17,3,3,0,109,12,29,5,0,0,0,51,5,10,3,0,0,0,24,20,39,9,5,3,0,68,15,28,9,3,0,0,57,9,12,3,0,0,0,25,7,0,3,0,0,0,12,17,10,5,7,4,0,42,305,439,145,80,48,6,1024
POA4868,27,21,11,0,4,0,67,12,0,0,0,4,0,12,15,14,5,3,13,0,52,12,11,6,3,0,0,30,35,26,13,12,11,3,96,42,39,20,11,21,0,136,55,54,25,10,7,0,156,68,88,38,16,19,0,235,66,119,35,20,19,0,265,85,142,36,29,15,0,300,58,116,18,8,7,0,211,87,113,35,14,8,0,263,20,52,8,3,0,0,85,12,22,3,0,3,0,45,31,72,15,3,0,0,120,38,38,19,5,3,0,103,16,14,3,0,0,0,33,6,9,0,3,0,0,22,28,22,19,9,3,0,85,717,973,315,149,144,14,2319
POA4869,7,6,3,0,8,0,32,4,3,4,0,0,0,13,14,7,5,0,4,0,25,6,13,4,0,3,0,23,25,15,7,7,9,0,66,27,29,15,8,11,0,89,53,44,19,18,14,4,152,69,104,28,20,12,3,231,95,134,29,36,10,5,310,76,158,35,29,10,0,311,70,139,25,12,6,0,252,66,121,34,11,15,3,250,27,53,8,11,0,3,99,8,22,7,0,3,0,46,37,62,13,3,0,0,114,23,36,11,3,3,0,70,3,5,5,0,0,0,14,8,5,4,0,0,0,16,29,23,8,4,5,0,69,648,981,273,167,100,22,2190
POA4870,82,41,17,7,13,0,170,24,14,7,4,10,0,53,40,35,19,5,3,0,92,39,28,12,7,4,0,97,84,62,39,15,24,3,231,110,115,42,29,29,4,337,158,150,54,46,38,9,451,195,215,54,39,32,6,548,152,204,47,46,34,3,477,186,298,75,51,38,8,659,125,236,60,34,13,5,475,238,369,90,42,37,0,774,71,128,33,14,6,4,255,39,97,27,10,4,0,177,125,233,52,27,14,7,443,126,225,67,20,17,0,451,42,61,23,4,3,0,132,33,35,23,7,3,0,102,58,89,31,10,22,7,211,1934,2637,756,428,344,53,6143
POA4871,20,13,3,0,0,0,36,0,8,0,0,0,0,5,9,3,0,0,0,0,17,6,4,0,0,0,0,11,18,16,4,3,6,0,44,15,13,12,3,3,0,43,22,28,10,3,8,0,75,28,35,9,8,3,0,80,14,29,5,3,3,0,56,8,42,11,0,0,0,58,14,10,0,0,0,0,29,25,22,3,3,3,0,52,3,7,3,0,0,0,13,3,3,0,0,0,0,12,13,12,3,0,0,0,33,7,12,10,0,0,0,28,4,3,3,0,0,0,7,3,8,0,0,0,0,7,14,8,0,0,0,0,33,230,278,81,24,29,3,647
POA4872,6,3,3,3,3,0,17,0,3,0,0,0,0,3,3,3,0,0,0,0,7,0,0,3,0,0,0,8,8,3,0,0,0,0,14,9,0,0,0,0,0,15,12,9,3,3,0,0,29,8,7,0,3,0,0,17,4,8,5,0,0,0,28,8,6,7,0,0,0,21,3,11,3,0,0,0,12,10,12,3,0,0,0,27,0,0,0,0,0,0,8,6,0,0,0,0,0,9,3,10,0,0,0,0,10,5,10,0,0,0,0,14,4,3,3,0,0,0,13,4,4,0,0,0,0,6,10,11,3,0,0,0,25,103,109,35,16,11,0,278
POA4873,7,0,3,0,0,0,7,3,0,3,0,0,0,6,8,0,3,3,0,0,14,9,0,0,0,3,0,20,6,6,4,0,0,0,18,18,9,0,3,5,0,38,19,11,12,0,4,0,46,24,33,11,10,5,0,76,17,28,14,0,3,0,65,17,42,6,3,3,0,71,19,25,3,3,0,0,44,29,23,13,3,0,0,67,5,8,0,0,0,0,10,6,12,0,0,0,0,18,11,14,0,0,0,0,26,10,12,7,3,0,0,34,3,6,0,0,0,0,8,6,3,0,0,0,0,4,10,13,3,0,0,0,29,217,241,81,29,32,0,595
POA4874,5,0,0,0,0,0,12,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,3,0,0,0,7,10,7,0,0,0,0,14,0,8,0,3,0,0,8,6,10,6,0,0,0,19,4,4,3,0,0,0,15,14,21,3,0,0,0,31,10,14,0,0,0,0,26,3,18,4,0,0,0,29,11,18,10,0,0,0,43,11,31,4,3,0,0,46,7,9,0,0,0,0,13,0,4,0,0,0,0,9,6,9,7,0,0,0,20,87,150,40,12,13,0,303
POA4875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15,3,4,0,0,29
POA4876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA4877,15,0,0,0,0,0,17,6,0,0,0,0,0,7,3,0,0,0,0,0,3,4,3,0,0,0,0,12,9,0,0,0,0,0,13,14,6,0,4,0,0,22,5,6,4,0,3,0,20,14,3,3,0,0,0,24,9,15,7,6,0,0,34,15,13,4,0,0,0,31,10,13,3,4,0,0,23,22,20,6,5,0,0,49,11,10,3,0,0,0,23,13,3,0,3,0,0,14,11,9,0,0,3,0,25,16,9,3,3,0,0,31,10,4,0,0,0,0,10,7,3,0,0,0,0,7,12,8,3,3,0,0,24,188,118,28,27,12,0,381
POA4878,25,9,4,0,0,0,40,5,0,3,0,0,0,11,7,3,0,3,0,0,22,7,7,3,3,0,0,31,21,12,8,8,6,0,49,21,21,8,14,4,3,66,28,30,16,13,7,0,98,44,49,15,23,15,0,150,48,51,19,12,8,0,143,56,79,18,10,9,0,168,38,62,7,8,8,0,126,70,97,29,14,11,0,218,23,39,9,6,0,0,80,11,13,3,0,0,0,28,37,39,16,0,0,0,95,27,32,7,3,0,0,68,14,10,4,0,0,0,33,5,3,0,0,0,0,15,17,16,7,0,3,0,49,507,576,182,122,84,12,1473
POA4879,36,10,5,4,8,4,70,9,8,0,3,0,0,26,15,8,8,3,3,0,33,17,11,11,0,0,0,39,39,30,16,7,0,0,95,31,25,12,3,10,0,77,40,28,10,11,11,0,98,73,54,16,11,11,0,168,57,68,16,9,11,0,159,82,91,21,14,13,0,227,68,69,18,8,5,0,173,108,119,27,17,9,0,284,41,54,11,7,3,0,112,27,41,8,3,0,0,76,63,80,26,7,7,0,177,64,96,25,9,0,0,199,25,29,11,0,0,0,69,15,17,0,0,3,0,36,25,21,12,3,3,0,71,831,849,264,119,113,13,2187
POA4880,12,0,5,3,3,0,28,0,3,3,0,0,0,9,12,3,4,0,3,0,23,3,6,0,4,4,0,16,16,11,10,3,4,0,49,28,28,3,3,4,0,66,22,47,15,8,9,0,98,32,61,15,11,3,3,119,26,47,9,6,3,0,91,25,45,13,9,0,0,95,13,32,4,0,0,0,55,45,45,14,3,3,0,114,7,16,3,3,0,0,32,7,10,3,0,0,0,21,11,25,5,0,0,0,43,19,20,11,0,3,0,53,4,7,3,0,0,0,15,3,5,0,0,0,0,11,16,15,13,0,0,0,45,302,435,139,60,52,3,989
POA4881,13,0,0,4,0,0,15,3,0,0,0,0,0,3,11,0,0,3,0,0,17,7,0,0,3,0,0,9,11,3,0,0,3,0,17,15,14,3,3,0,0,35,8,8,3,5,0,0,26,13,15,5,0,4,0,40,21,17,8,3,3,0,51,19,22,11,4,3,0,59,20,13,3,3,0,0,31,14,26,4,3,0,0,48,11,16,3,0,0,0,29,8,7,0,0,0,0,11,11,17,3,0,0,0,35,18,11,4,0,0,0,35,4,3,0,0,0,0,13,4,0,0,0,0,0,4,16,7,0,0,0,0,22,222,187,53,40,17,3,513
POA4882,3,0,0,0,0,0,3,0,0,0,0,0,0,5,3,3,0,0,0,0,6,0,0,3,0,0,0,5,5,0,3,0,0,0,14,7,4,3,0,0,0,19,10,7,0,0,0,0,21,13,13,3,0,0,0,28,8,15,0,3,3,0,26,15,11,3,0,0,0,26,3,19,0,0,0,0,28,4,18,3,0,0,0,26,3,3,7,0,0,0,16,0,7,0,0,0,0,8,10,7,0,0,0,0,18,3,6,0,0,0,0,20,3,0,0,0,0,0,8,3,0,3,0,0,0,10,7,4,0,0,0,0,15,104,128,38,13,6,0,294
POA4883,17,9,3,0,0,0,27,0,0,0,0,0,0,3,4,6,0,0,3,0,15,0,4,3,0,4,0,16,11,10,5,3,0,0,30,10,13,10,3,6,0,35,27,22,8,4,5,0,65,19,23,9,3,13,0,66,12,38,4,6,0,0,62,20,36,7,8,0,0,67,9,16,7,0,0,0,30,18,40,5,4,3,0,69,9,17,3,0,0,0,28,6,7,3,0,0,0,11,5,19,3,0,0,0,32,3,13,0,0,0,0,23,4,6,3,0,0,0,9,0,3,0,0,0,0,3,20,8,3,0,0,3,31,198,276,81,38,33,7,633
POA4884,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,9,3,0,0,0,0,0,9,6,0,0,0,0,0,7,8,3,0,0,0,0,9,7,0,0,0,3,0,12,3,4,4,0,0,0,17,0,4,0,0,0,0,11,6,7,3,0,0,0,17,3,3,0,0,0,0,9,0,7,0,0,0,0,10,0,4,0,0,0,0,7,0,0,0,0,0,0,4,0,6,0,0,0,0,9,3,10,0,0,0,0,16,6,3,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,8,50,68,16,8,16,0,161
POA4885,10,3,3,0,3,0,18,3,0,0,0,0,0,3,11,0,4,0,3,0,14,9,3,0,0,3,0,16,4,3,0,3,0,0,18,12,8,0,3,0,0,20,13,15,4,3,0,0,36,19,18,3,9,0,0,49,14,10,3,0,3,0,27,11,12,6,6,0,0,29,6,7,5,3,0,0,30,9,8,4,0,0,0,31,3,14,0,0,0,0,17,5,4,3,0,0,0,6,5,3,3,0,0,0,13,7,6,0,0,0,0,13,0,3,0,0,0,0,5,0,0,0,0,0,0,3,3,7,0,0,0,0,7,144,137,42,34,15,3,371
POA4886,6,3,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,3,0,0,0,0,4,0,0,0,0,0,0,3,3,3,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,6,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,5,6,0,0,0,7,23,24,14,0,0,0,72
POA4887,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,12,3,0,3,0,0,0,11,11,0,6,0,0,0,17,11,12,0,3,6,0,29,9,4,3,0,4,0,16,11,8,4,3,3,0,29,3,0,3,0,0,0,10,8,3,0,4,0,0,19,0,6,0,0,0,0,6,3,3,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,4,5,0,0,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,75,43,22,16,18,0,166
POA4888,9,3,0,0,0,0,14,0,0,0,0,0,0,3,3,4,3,7,0,0,14,3,0,0,3,0,0,10,3,8,3,0,3,0,14,6,4,6,0,3,0,23,12,11,0,4,0,0,27,6,9,0,3,0,0,25,12,11,4,0,0,0,29,6,5,3,0,0,0,19,3,9,0,0,0,0,14,6,3,5,0,0,0,12,3,0,0,0,0,0,5,0,0,0,0,0,0,4,6,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,3,0,0,4,0,10,84,73,29,20,17,4,229
POA4890,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,7,3,0,0,0,0,0,7,0,0,0,0,0,0,3,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,15,7,0,8,3,0,32
POA4891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,5,0,0,0,0,0,7,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,5,0,0,0,25
POA4892,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,3,0,0,0,0,20
POA4895,3,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,6,4,4,0,3,0,0,12,8,5,3,0,6,0,17,12,7,3,0,0,0,18,9,8,6,3,0,0,23,8,8,0,0,0,0,21,6,15,3,0,0,0,22,3,7,0,0,0,0,8,4,3,3,0,0,0,13,0,0,0,0,0,0,0,4,3,0,0,0,0,8,3,0,0,0,0,0,3,0,5,0,0,0,0,8,0,3,0,0,0,0,7,0,0,0,0,0,0,3,6,8,3,0,0,0,13,77,78,21,14,12,0,200
