POA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA4208,36,24,60,15,9,27,15,26,39,21,43,65,86,116,204,98,81,178,286,52,333,205,83,285,362,91,453,414,53,464,398,76,473,406,29,440,861,56,915,609,18,626,359,9,366,194,13,200,318,5,324,491,32,526,57,36,90,5224,833,6059
POA4209,95,50,142,26,21,43,61,59,122,70,66,140,195,189,382,359,124,480,618,183,802,673,219,897,1002,265,1272,1155,188,1349,1114,150,1260,1088,115,1199,1935,157,2100,1208,48,1253,693,19,712,436,33,469,694,12,708,1135,85,1216,147,56,203,12695,2033,14736
POA4210,29,17,44,12,7,25,19,37,55,32,58,93,87,151,237,118,85,203,269,83,354,235,108,335,381,112,495,394,94,491,391,71,464,397,42,443,766,48,819,572,17,592,318,11,326,203,19,218,366,10,377,483,31,513,62,40,104,5137,1049,6183
POA4211,121,124,240,59,55,114,84,243,331,82,361,444,362,842,1204,425,449,871,1142,426,1569,928,445,1377,1347,457,1809,1398,284,1679,1196,220,1423,1228,154,1377,2311,206,2514,1463,42,1497,848,23,870,505,69,574,813,17,838,1465,139,1599,200,240,439,15979,4790,20771
POA4212,92,69,162,38,19,56,40,70,112,38,133,171,140,342,482,159,176,336,461,146,606,392,190,578,577,176,756,559,119,683,457,97,551,516,69,581,957,126,1081,687,17,710,500,7,511,408,79,490,838,12,849,757,55,811,92,85,177,7712,1983,9695
POA4213,74,38,109,28,19,53,39,68,108,43,111,156,151,261,411,161,155,313,434,114,549,408,146,548,566,156,728,625,97,722,509,71,581,549,57,607,1035,70,1105,766,16,780,421,6,429,315,16,331,646,5,657,750,45,794,98,159,257,7620,1614,9234
POA4214,92,119,210,30,38,72,61,140,199,55,180,238,209,478,684,257,277,534,675,247,923,613,267,873,789,266,1054,862,183,1041,646,160,807,656,96,745,1232,138,1369,898,41,940,539,21,557,317,33,350,630,18,645,870,148,1016,121,164,276,9548,3002,12545
POA4215,185,332,520,73,104,182,112,446,558,117,774,888,448,1415,1859,504,846,1347,1057,750,1807,942,856,1797,1190,866,2060,1065,556,1626,792,362,1152,701,292,990,1273,389,1659,711,78,784,390,31,429,228,126,357,430,30,454,940,312,1256,165,390,562,11313,8970,20282
POA4216,119,136,247,53,67,122,68,207,272,63,368,436,298,1015,1308,316,628,945,989,427,1420,772,439,1207,975,447,1420,898,269,1166,584,196,782,652,156,806,1227,212,1438,720,33,753,446,14,463,305,114,425,740,22,768,883,112,987,185,262,445,10287,5126,15415
POA4217,159,230,386,56,84,147,88,259,346,66,374,440,253,787,1034,267,560,823,604,595,1196,588,637,1223,828,647,1468,765,467,1231,546,384,927,622,275,893,1061,371,1426,657,81,738,449,35,488,328,259,596,983,37,1022,864,254,1122,110,245,353,9296,6569,15868
POA4218,81,101,181,30,39,72,42,147,190,48,259,302,175,570,741,208,396,598,525,370,896,476,487,960,639,491,1134,662,334,1005,492,281,770,533,222,752,942,281,1226,637,89,727,453,39,492,336,148,482,777,52,825,685,229,912,130,171,301,7860,4712,12572
POA4220,63,75,135,29,45,76,44,166,206,34,275,311,210,693,901,194,347,544,619,298,921,459,361,816,655,339,994,647,267,916,481,236,711,525,153,675,999,234,1228,788,76,870,495,46,537,286,87,372,598,35,632,755,178,927,116,201,316,7995,4108,12102
POA4221,38,69,108,36,41,75,34,143,181,38,258,297,162,635,798,196,357,551,501,280,779,462,311,770,578,277,853,586,169,755,504,141,642,500,97,600,916,104,1026,627,34,660,394,15,412,235,45,283,382,14,394,722,104,830,91,142,235,6989,3245,10232
