POA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA4356,6,7,18,10,9,20,7,17,27,10,28,41,36,80,119,32,54,86,132,40,169,91,35,125,103,39,144,135,22,158,86,14,98,102,12,116,155,14,167,97,4,101,48,0,48,31,8,39,67,0,67,135,6,136,21,18,40,1321,397,1716
POA4357,4,5,12,6,3,8,0,25,24,7,22,32,34,63,97,21,24,45,58,21,80,51,22,78,58,19,73,61,21,85,43,8,52,48,0,49,51,11,61,39,4,44,19,0,19,11,7,14,20,3,21,63,8,71,12,11,25,615,283,894
POA4358,11,4,15,3,5,5,3,7,15,0,9,9,9,27,36,17,11,28,53,17,67,38,20,59,51,17,73,53,6,64,28,0,32,48,3,45,89,3,90,62,0,62,19,0,25,13,3,18,24,0,24,61,0,63,15,5,22,611,136,746
POA4359,0,3,9,0,0,0,3,5,10,0,6,12,13,15,22,8,13,19,28,3,29,17,13,34,35,4,40,36,13,42,20,0,27,16,0,18,44,3,43,29,0,30,7,0,7,10,0,10,22,0,22,36,0,36,7,4,8,328,87,416
POA4360,3,0,4,0,0,0,0,6,4,0,3,3,4,14,16,3,3,7,14,5,24,10,9,17,17,4,19,18,0,20,16,6,21,8,0,12,13,0,18,10,0,14,5,0,5,3,0,3,10,0,10,22,0,22,7,0,8,167,57,218
POA4361,8,3,14,7,8,9,7,20,25,3,29,36,35,86,121,17,34,49,94,14,110,57,40,94,71,12,78,83,8,88,35,5,44,55,4,56,63,0,66,39,0,39,17,0,22,8,3,13,26,3,32,69,3,76,17,17,36,715,287,1005
POA4362,6,8,16,6,6,8,10,21,26,4,33,38,28,70,100,30,35,59,81,18,98,59,17,76,74,17,94,56,12,65,36,3,42,37,3,36,65,4,73,38,0,37,17,0,17,3,0,4,17,0,17,66,3,70,12,21,36,656,266,926
POA4363,0,0,4,0,0,0,0,0,0,0,3,3,4,10,13,5,5,8,11,9,19,12,10,16,11,3,16,17,4,14,14,0,15,10,3,13,24,0,24,8,0,8,4,0,4,8,0,6,7,0,7,24,0,24,0,0,0,158,44,203
POA4364,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,4,3,0,3,10,3,7,8,0,5,7,0,7,3,3,3,6,0,5,9,0,9,0,0,0,3,0,3,4,0,4,5,0,5,0,0,0,59,12,70
POA4365,0,3,3,3,0,8,0,3,3,0,12,10,9,13,19,5,6,12,26,5,29,13,9,21,14,7,18,12,0,14,12,0,10,7,3,9,10,0,10,6,0,6,5,0,5,0,0,0,0,0,0,15,0,20,0,4,4,124,60,188
POA4370,46,46,87,27,46,75,39,142,181,47,201,245,175,504,678,190,226,415,639,171,807,376,205,584,515,140,660,512,88,606,329,66,391,344,36,381,515,41,556,256,6,264,135,0,137,70,32,98,105,0,105,448,32,481,100,135,234,4866,2112,6984
POA4371,0,3,5,3,3,5,4,5,14,3,10,17,12,15,21,8,3,9,22,14,38,16,8,27,18,8,25,24,0,22,18,0,18,6,0,6,14,0,13,12,0,12,4,0,4,3,0,3,0,0,0,27,0,27,0,9,10,199,80,275
POA4372,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,5,4,0,4,3,0,5,10,3,12,4,0,4,3,0,3,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,42,11,60
POA4373,5,5,9,0,6,6,8,12,22,0,9,7,8,26,36,14,17,26,44,12,53,27,6,37,30,9,36,22,0,22,18,0,23,16,0,20,24,3,26,4,0,4,3,0,3,0,3,6,3,0,3,29,0,36,3,7,12,263,120,387
POA4374,3,4,7,0,0,0,0,0,0,0,3,3,3,11,16,8,10,14,10,3,16,10,3,16,16,3,16,6,0,8,9,0,6,6,0,6,8,3,12,3,0,5,4,0,4,0,0,0,0,0,0,13,0,13,3,0,7,102,46,149
POA4375,0,0,3,0,0,3,0,0,0,0,4,4,3,7,12,3,3,5,10,3,9,7,0,10,3,0,6,3,3,8,4,0,3,3,0,3,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,4,0,3,59,30,86
POA4376,0,0,3,0,0,3,0,0,0,0,6,6,3,19,25,3,3,4,10,0,9,6,5,14,17,7,19,6,0,8,11,0,11,3,0,8,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,3,16,4,3,3,78,55,135
POA4377,0,3,4,3,0,3,3,3,10,0,8,5,10,19,24,12,4,17,13,4,25,9,3,13,21,0,19,14,3,21,9,0,12,19,0,20,12,3,13,4,0,4,3,0,3,5,0,5,0,0,0,15,0,15,0,5,11,151,61,210
POA4378,0,0,0,0,0,0,0,0,3,0,3,4,15,8,24,7,8,15,18,7,18,14,4,18,19,0,19,14,0,14,4,0,10,15,0,15,11,0,11,10,0,10,3,0,3,3,0,3,3,0,3,12,0,12,3,3,6,149,37,186
POA4380,12,19,28,15,18,29,20,55,80,12,103,112,89,288,373,93,127,213,278,103,383,209,73,284,239,53,294,238,27,268,130,17,142,139,20,155,186,12,204,88,4,93,36,3,39,25,3,27,41,3,43,182,13,188,45,56,102,2069,1001,3075
POA4381,5,0,8,0,3,3,3,3,6,0,7,6,9,24,30,7,4,12,28,11,34,11,0,18,25,3,26,13,0,17,13,0,13,8,3,13,10,0,13,4,0,4,5,0,5,0,0,0,0,0,0,16,0,16,3,0,4,164,67,228
POA4382,4,4,7,0,0,0,6,0,4,0,0,0,8,3,12,6,6,10,21,8,26,14,10,18,22,0,24,21,4,21,8,0,10,5,0,5,7,0,7,8,0,8,4,0,4,0,3,4,3,0,3,8,0,8,0,0,3,144,38,183
POA4383,0,6,6,0,0,3,3,13,18,3,13,18,11,22,34,8,4,18,39,12,55,10,9,14,20,9,26,20,3,19,9,0,6,4,0,3,9,0,11,3,0,3,0,0,0,0,0,0,0,0,0,11,0,11,4,3,10,154,100,257
POA4384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,4,0,4,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,13,8,20
POA4385,7,6,15,5,0,5,5,13,15,3,19,21,25,60,82,9,13,29,54,7,63,26,13,36,35,13,48,33,6,40,17,3,22,21,0,25,15,0,22,10,0,10,3,0,3,3,3,9,10,0,10,28,0,28,11,18,26,322,174,494
POA4387,4,3,12,3,3,4,6,5,9,3,15,18,19,37,51,20,13,25,36,15,51,28,17,47,32,26,58,36,5,42,25,6,30,18,3,24,35,3,33,19,0,20,11,0,11,0,0,4,5,0,5,24,4,28,11,9,21,330,174,496
POA4388,7,0,7,0,0,3,0,3,5,3,3,3,8,19,21,3,0,3,14,0,14,5,3,5,20,0,25,3,4,11,4,0,4,6,0,6,5,3,5,3,0,3,0,0,0,0,0,5,0,0,0,13,0,13,0,3,4,103,42,147
POA4390,5,5,13,8,4,12,8,30,41,10,52,62,38,123,157,47,50,100,117,52,173,99,65,171,147,65,215,140,48,194,122,25,146,142,24,167,252,36,295,147,9,150,71,3,80,49,8,54,80,0,83,166,8,172,33,57,92,1698,667,2363
POA4400,4,0,4,3,0,3,0,4,8,4,8,11,18,28,42,10,13,27,54,8,64,32,15,49,35,23,59,51,12,62,40,7,49,44,3,46,64,10,71,36,0,43,24,0,24,7,0,8,10,0,10,66,3,63,0,3,11,511,143,651
POA4401,7,12,22,9,9,19,19,22,35,12,38,50,43,101,142,43,46,87,155,48,201,101,78,183,137,64,202,131,36,166,112,11,124,92,21,114,169,11,181,77,3,84,54,3,56,26,7,33,36,0,36,155,11,163,28,27,58,1417,544,1953
POA4402,7,0,7,0,0,3,0,0,3,0,6,6,0,11,13,3,0,6,18,0,15,11,0,11,16,0,16,9,0,5,0,0,4,0,0,5,0,4,4,0,0,0,0,0,0,0,0,3,3,0,3,11,0,11,3,9,7,82,43,119
POA4403,3,0,7,3,0,3,0,3,4,0,0,3,5,20,18,6,7,9,15,18,33,8,9,23,14,8,25,17,0,22,14,4,17,12,0,16,21,0,21,7,0,8,9,0,9,9,0,9,13,0,13,20,0,20,5,8,14,194,79,275
POA4404,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,7,0,7,6,0,10,9,6,15,14,12,20,10,3,17,11,3,12,11,0,11,16,0,16,14,0,15,9,0,9,4,3,4,4,0,4,17,0,20,4,3,9,139,42,176
POA4405,17,22,40,23,22,41,13,58,73,42,108,155,108,253,358,129,114,245,276,129,403,239,127,367,321,116,437,306,74,379,237,49,282,259,41,298,485,66,547,305,6,315,156,7,162,100,24,126,154,3,160,399,20,414,52,57,110,3615,1300,4915
POA4406,5,5,12,3,0,6,5,10,9,6,3,10,14,24,39,9,14,16,21,15,40,35,16,47,46,22,65,36,3,42,14,5,19,30,5,30,33,0,36,8,0,8,17,0,17,10,0,9,16,0,14,47,0,47,8,10,18,373,126,496
POA4407,3,0,3,0,0,0,0,0,0,0,10,6,4,11,16,3,5,9,9,7,19,4,3,9,20,3,28,11,0,11,7,0,6,13,3,16,12,4,19,11,0,13,5,0,5,3,0,3,7,0,7,16,0,16,3,5,12,143,53,194
POA4408,6,3,6,0,0,0,0,8,10,0,6,6,4,21,23,3,4,8,19,5,23,13,10,20,12,5,15,17,4,24,11,3,17,9,0,8,18,3,23,14,0,12,3,0,3,0,3,3,6,0,6,13,0,13,5,3,9,156,79,237
POA4410,3,0,5,3,3,6,3,14,13,3,9,15,11,49,60,10,15,29,34,15,54,14,16,35,30,13,43,27,4,30,15,3,16,18,5,20,22,0,27,17,0,22,3,0,3,0,5,7,10,0,10,32,4,35,5,11,21,278,167,444
POA4411,0,3,0,0,0,3,0,3,3,0,0,0,0,3,9,0,0,4,5,0,10,3,0,3,0,3,3,9,7,12,5,3,10,8,0,8,16,3,16,3,0,3,0,0,0,0,0,0,10,0,10,3,0,6,0,3,4,69,34,97
POA4412,0,0,0,0,0,0,0,0,0,0,3,3,4,0,7,0,3,10,0,3,6,5,0,6,0,3,3,3,0,4,3,0,3,0,0,3,6,0,6,4,0,4,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,49,21,67
POA4413,19,18,38,10,14,18,12,34,43,7,74,80,65,138,204,55,62,115,160,54,215,108,65,180,148,64,208,136,46,179,122,28,144,126,25,154,268,45,310,159,4,160,90,4,94,61,13,74,119,3,121,232,17,249,30,29,65,1930,726,2654
POA4415,7,8,19,3,4,7,3,5,6,10,22,28,22,43,66,21,18,39,37,23,62,35,22,59,34,22,60,47,14,65,24,5,35,21,8,30,52,14,63,37,0,38,20,0,20,10,3,14,24,0,24,45,9,53,12,20,30,469,235,706
POA4416,0,0,7,0,0,0,0,0,0,0,0,0,3,3,9,3,0,3,7,0,4,7,7,10,11,5,18,16,6,22,3,3,11,14,0,14,16,5,17,10,0,10,3,0,7,3,0,3,10,0,12,13,0,13,0,3,4,109,37,151
POA4417,6,3,7,0,0,0,0,0,0,0,14,18,3,12,12,3,12,15,22,3,31,15,8,17,11,4,23,9,4,19,16,0,16,9,0,9,15,0,15,12,0,12,3,0,5,3,0,3,8,0,8,13,0,13,4,9,13,177,77,254
POA4418,0,0,0,0,0,0,0,3,4,0,3,3,0,0,0,0,0,0,3,0,5,0,0,0,3,0,3,3,0,5,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,42
POA4419,5,3,7,0,3,3,5,4,11,0,3,3,0,8,15,7,8,8,7,7,12,9,14,19,16,10,27,24,0,21,10,4,15,17,0,20,29,13,37,15,0,14,5,0,5,3,3,7,19,0,15,32,0,32,3,8,12,207,84,292
POA4420,7,3,5,0,3,7,0,11,8,3,15,17,9,19,29,3,18,15,30,13,35,14,8,17,25,12,39,19,3,28,17,5,26,15,3,17,36,0,38,19,0,26,13,0,13,13,5,13,15,0,15,57,0,64,9,7,15,306,110,422
POA4421,8,5,15,3,8,7,15,28,45,4,43,51,30,77,107,26,28,58,79,26,102,54,16,75,57,21,80,42,12,59,27,0,31,17,8,22,28,9,35,19,3,20,12,3,14,10,3,12,12,0,18,44,6,50,15,17,34,499,326,827
POA4422,4,3,7,0,0,4,0,4,5,0,0,0,7,11,15,3,8,8,12,0,12,6,8,13,10,7,17,12,0,14,16,0,16,3,0,7,11,0,13,4,0,4,5,0,5,4,0,4,6,0,6,14,0,14,3,4,11,121,48,169
POA4423,0,0,0,0,0,0,0,0,0,0,3,3,3,4,8,0,0,3,3,3,8,3,0,3,12,4,15,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,3,10,0,10,0,0,0,42,19,62
POA4424,0,0,4,0,0,0,0,0,0,0,0,0,3,6,11,0,0,6,5,3,9,4,0,3,4,0,4,7,0,7,7,0,7,3,0,10,3,0,3,9,0,9,0,0,0,3,0,4,0,0,0,11,0,11,0,5,3,57,24,79
POA4425,6,0,3,0,0,0,0,0,0,0,0,0,3,5,8,5,0,5,6,0,6,3,3,7,6,0,6,7,0,7,0,0,0,5,0,3,11,0,7,3,0,3,0,0,0,3,0,3,0,0,0,6,0,6,0,0,0,64,16,76
POA4426,0,3,3,0,0,0,0,0,0,0,4,4,0,0,3,0,3,3,3,0,7,4,0,5,3,0,3,3,0,3,0,0,3,0,0,3,3,3,6,3,0,3,0,0,0,0,0,0,0,0,0,3,0,8,3,3,3,40,18,56
POA4427,0,0,0,0,0,3,3,3,7,0,3,3,3,11,15,0,0,0,3,0,4,4,3,8,9,3,17,4,5,4,4,6,6,3,0,3,11,0,8,0,0,0,4,0,4,0,0,0,3,0,3,12,0,12,3,6,6,71,38,112
POA4428,8,0,9,3,0,3,0,7,6,4,10,8,3,11,16,3,3,10,17,4,18,18,3,20,14,9,20,13,3,15,12,0,12,3,0,9,17,5,17,19,0,19,12,0,12,6,0,5,15,0,15,17,0,19,6,3,7,181,55,238
POA4454,0,3,3,3,3,7,0,3,4,0,5,10,7,11,17,5,5,12,5,11,19,6,10,18,10,4,19,25,4,25,14,4,18,13,0,17,20,4,23,5,0,5,5,0,5,4,3,8,10,0,6,20,0,20,3,3,12,162,88,246
POA4455,17,16,30,9,12,19,13,47,61,11,61,75,43,101,141,38,65,109,115,59,176,84,89,175,129,98,231,152,68,218,144,60,207,147,40,185,286,63,349,187,14,198,134,3,144,69,20,86,126,8,131,275,20,294,39,48,89,2019,891,2910
POA4461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,7,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,26
POA4462,4,0,3,0,0,0,0,4,4,0,0,0,0,3,3,0,0,3,3,0,3,4,0,9,5,3,8,8,0,8,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,25,19,44
POA4465,8,3,13,3,0,3,0,18,19,5,22,26,7,26,32,13,12,24,21,6,32,23,19,40,29,8,39,25,8,31,15,6,19,14,3,22,31,0,37,15,0,17,9,0,9,6,0,6,13,0,15,57,0,57,6,12,15,310,140,451
POA4467,0,0,0,0,0,3,0,3,3,0,3,3,0,5,10,3,3,7,6,4,5,0,3,4,3,0,10,9,0,5,0,0,0,3,0,3,4,0,4,3,0,3,0,0,0,0,0,0,3,0,3,8,0,8,3,0,5,48,28,78
POA4468,0,0,3,0,0,0,0,6,6,0,4,4,5,10,15,4,3,5,10,0,8,4,3,13,6,4,7,9,0,9,3,0,3,3,0,7,9,0,9,3,0,3,3,0,3,0,0,0,4,0,4,7,0,7,3,4,9,72,39,110
POA4470,6,13,22,7,4,7,9,28,32,6,55,59,28,93,124,25,32,61,70,29,96,64,34,102,66,31,94,69,21,90,43,15,60,65,9,77,124,14,135,74,0,79,46,0,41,25,3,23,37,0,38,96,7,101,40,28,72,892,419,1316
POA4472,10,3,13,0,6,7,6,13,23,0,18,20,15,58,71,6,20,32,39,15,53,29,11,44,35,19,54,37,9,46,17,3,23,29,4,28,27,0,30,24,0,21,15,0,15,4,3,11,11,0,11,46,0,45,15,14,30,367,206,575
POA4474,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,3,3,3,0,4,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,0,4,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,24,11,32
POA4475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4477,7,3,10,3,0,3,0,3,3,3,7,6,9,22,31,0,8,8,7,7,15,8,0,5,18,6,18,10,0,11,3,0,7,3,0,3,11,0,11,7,0,7,6,0,6,0,0,0,5,0,5,13,0,13,3,8,13,109,70,181
POA4478,3,3,6,0,0,0,0,4,5,0,8,8,11,12,25,3,0,5,8,8,19,7,3,13,22,9,29,16,0,16,5,0,3,7,0,7,12,0,12,11,0,11,4,0,4,0,0,0,8,0,8,16,0,14,5,3,15,132,57,186
POA4479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,5
POA4480,3,3,4,3,5,7,0,13,13,4,8,12,4,17,17,3,6,9,18,10,28,10,13,22,13,10,22,23,7,28,5,3,9,17,4,17,21,4,28,15,0,13,6,0,6,8,0,12,3,0,3,25,3,31,0,11,9,175,108,285
POA4481,0,0,3,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,4,0,4,0,0,0,0,5,3,0,0,0,0,3,3,3,0,5,3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,25,18,44
POA4482,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,3,3,0,5,3,0,3,0,0,0,0,0,0,10,0,10,0,0,4,26,14,44
POA4486,7,0,9,3,0,3,4,6,11,3,9,9,4,17,18,8,10,10,15,9,25,6,6,12,26,5,26,13,9,20,13,3,16,6,3,9,17,8,19,9,0,9,3,0,7,5,3,9,4,0,4,22,0,22,11,7,18,165,90,252
POA4487,7,6,17,4,3,5,8,9,22,19,21,37,28,62,87,26,30,60,41,30,75,52,32,82,65,35,95,67,19,87,54,12,71,65,11,78,98,12,111,56,3,59,33,3,34,17,7,19,29,3,33,84,0,84,17,13,27,769,312,1078
POA4488,3,0,4,0,0,0,0,3,7,0,3,3,0,3,9,5,9,14,6,3,11,8,3,6,3,3,6,6,3,7,3,0,5,8,4,7,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,70,30,106
POA4489,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,20,11,30
POA4490,7,7,20,3,0,4,5,21,24,4,27,33,15,55,68,18,15,30,38,21,60,22,21,45,29,11,40,37,6,44,13,7,18,25,0,27,32,5,33,17,0,17,8,0,8,11,3,15,7,0,7,39,3,46,7,16,22,336,221,561
POA4491,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,3,3,5,0,5,0,0,0,5,0,7,4,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,28,15,39
POA4492,3,0,7,0,0,0,0,0,0,0,0,0,0,6,6,3,0,3,7,3,12,3,3,7,5,7,11,9,8,17,5,0,4,6,4,14,5,4,7,8,0,8,6,0,6,0,0,0,6,0,6,6,0,6,3,3,6,77,41,115
POA4493,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7
POA4494,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,7,3,6,9,5,3,5,4,0,4,0,3,3,3,0,3,0,3,3,3,0,3,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,32,24,57
POA4496,0,0,3,0,0,0,0,3,3,0,3,3,0,0,3,0,3,3,3,0,3,5,3,9,7,3,11,3,3,5,4,0,3,9,0,6,6,0,7,5,0,5,4,0,4,0,0,0,0,0,0,13,0,13,0,3,5,63,36,100
POA4497,0,0,3,0,0,4,0,0,0,0,4,4,4,7,5,0,0,3,8,4,6,10,0,12,3,0,9,3,3,12,4,0,5,3,0,6,8,0,12,7,0,7,0,0,0,3,0,3,3,0,3,10,0,10,4,0,4,82,29,110
POA4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,3,0,3,9,0,11,3,0,7,0,0,3,3,0,3,10,0,10,7,0,7,3,0,3,4,0,4,3,0,3,6,0,6,4,3,3,57,15,75
POA4500,63,42,103,36,18,54,56,96,151,38,179,213,202,403,603,241,241,481,634,215,849,592,276,859,867,311,1175,912,209,1115,885,159,1044,884,98,982,1828,144,1969,1172,27,1201,747,11,759,464,28,491,708,9,716,1013,73,1081,125,82,206,11457,2621,14081
POA4501,9,15,22,9,10,14,11,35,41,13,51,61,39,130,169,48,57,106,117,68,182,124,77,202,161,77,236,129,45,177,119,27,148,125,17,136,188,17,207,119,5,122,56,0,59,32,6,38,48,0,46,104,7,111,19,26,44,1456,671,2122
POA4502,15,20,36,3,8,13,15,33,47,15,46,61,46,82,131,60,46,102,110,38,146,147,70,220,185,72,255,216,51,266,179,36,210,167,18,189,403,28,435,270,3,274,151,0,151,70,3,79,114,0,114,205,19,223,25,23,50,2406,593,2999
POA4503,59,79,130,40,36,76,49,137,190,64,213,280,236,514,755,321,335,663,829,278,1110,717,388,1110,983,401,1385,1075,280,1361,967,224,1190,953,129,1078,1783,177,1965,1095,45,1142,580,23,597,321,26,351,490,5,498,945,88,1035,121,169,292,11632,3564,15195
POA4504,29,14,47,15,10,24,23,13,38,22,49,77,58,71,125,106,47,156,220,57,276,230,48,278,344,79,423,390,38,431,359,50,411,426,29,455,771,41,806,573,8,578,354,3,352,202,8,210,318,3,324,480,16,492,30,25,53,4937,618,5554
POA4505,38,30,66,31,21,51,21,62,83,30,121,147,115,341,451,136,228,367,499,93,590,312,126,438,430,123,552,425,79,507,384,51,437,378,35,413,790,37,825,484,10,488,305,4,306,179,8,189,321,4,329,514,32,546,97,78,179,5498,1477,6973
POA4506,40,31,72,17,9,30,38,48,86,40,107,141,136,248,388,193,130,326,477,126,609,447,147,592,582,169,745,586,86,672,441,65,504,434,48,483,744,45,791,394,15,409,239,3,247,98,13,107,201,3,201,486,45,528,77,47,130,5673,1391,7065
POA4507,44,56,100,45,30,76,41,134,176,39,306,346,223,777,1003,206,441,648,887,225,1113,537,203,740,582,185,768,489,78,570,289,69,365,265,60,318,400,46,445,225,7,234,156,0,156,81,37,116,178,8,182,398,27,427,111,201,306,5210,2886,8097
POA4508,31,46,77,27,17,39,33,103,137,40,163,206,154,363,520,206,198,405,544,172,710,413,205,620,543,147,692,468,88,558,362,71,431,350,30,380,546,41,595,317,7,329,153,3,152,84,12,95,102,4,105,471,31,498,100,105,202,4939,1819,6761
POA4509,64,21,94,17,11,34,30,36,65,39,76,120,115,183,298,182,115,297,347,125,473,352,131,487,530,174,708,623,137,765,602,117,720,623,79,698,1279,109,1385,877,22,900,560,16,580,357,36,401,588,4,596,743,46,787,75,53,130,8015,1497,9512
POA4510,80,99,179,51,49,102,99,276,377,117,451,571,467,983,1452,538,536,1070,1266,369,1638,997,455,1452,1236,429,1670,1217,256,1479,921,134,1057,847,102,944,1336,110,1449,710,23,737,424,10,435,217,51,273,316,12,327,977,102,1077,196,252,451,12022,4714,16731
POA4511,20,24,42,11,6,19,11,30,45,6,61,76,98,199,294,100,97,193,379,57,431,242,72,321,253,66,316,231,35,264,163,31,193,160,17,179,250,25,281,142,3,149,94,0,94,47,5,54,73,0,70,231,11,244,53,40,87,2566,780,3347
POA4512,9,6,10,10,6,12,4,8,9,0,10,15,24,18,45,21,11,30,49,10,57,39,22,60,64,14,78,58,13,73,42,4,49,54,4,59,115,14,127,91,5,94,69,0,69,33,3,36,61,0,58,100,3,106,30,5,32,873,163,1032
POA4514,19,18,35,11,8,18,20,29,45,12,38,52,54,97,154,48,51,103,139,38,177,108,33,140,161,40,199,155,22,177,122,15,139,123,14,135,221,13,234,119,0,118,79,0,79,47,3,52,57,0,57,174,13,191,30,23,50,1686,469,2150
POA4515,8,11,16,3,4,12,9,28,35,9,35,44,45,96,144,27,30,57,114,32,146,90,35,127,108,24,126,72,23,95,74,13,86,84,12,93,129,11,139,72,3,76,34,3,40,18,6,25,38,7,45,100,5,104,20,20,45,1053,403,1455
POA4516,11,0,17,3,3,9,6,11,17,3,5,5,20,20,36,22,12,33,58,15,68,44,17,64,63,8,73,72,13,93,65,7,74,87,6,94,141,5,146,102,0,101,61,0,64,53,0,52,74,3,75,109,5,111,17,10,23,1004,140,1146
POA4517,0,3,3,0,0,0,0,3,6,0,8,11,8,18,24,3,15,14,22,6,35,11,5,17,18,0,18,20,3,21,13,9,15,12,3,14,20,3,26,17,0,17,11,0,11,4,0,4,3,0,3,21,3,19,3,3,7,192,79,274
POA4518,9,5,8,5,3,8,8,17,29,3,26,28,34,61,100,39,19,62,138,22,160,95,33,127,141,27,167,140,21,159,96,22,120,95,7,99,201,14,213,102,0,102,62,0,62,49,4,49,62,0,62,138,15,154,22,9,33,1433,306,1737
POA4519,16,21,38,5,9,10,11,36,47,18,59,74,57,152,212,74,52,130,190,55,238,197,49,249,227,58,292,223,28,254,161,29,189,160,15,173,282,24,306,178,0,178,76,0,80,52,0,55,78,3,79,244,20,262,30,34,66,2285,642,2923
