POA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA4422,5,35,60,33,27,166,4,169
POA4423,0,12,26,18,12,63,3,62
POA4424,0,26,23,18,12,78,7,79
POA4425,0,19,20,22,18,77,3,76
POA4426,0,15,12,19,5,55,3,56
POA4427,7,38,27,24,14,104,8,112
POA4428,5,61,82,44,41,232,3,238
POA4454,5,78,71,40,39,235,8,246
POA4455,133,867,1080,417,272,2773,137,2910
POA4461,0,6,5,6,7,20,0,26
POA4462,3,11,11,11,3,44,3,44
POA4465,27,125,156,73,61,437,19,451
POA4467,0,11,29,11,20,74,7,78
POA4468,5,28,33,14,19,100,7,110
POA4470,88,455,447,174,79,1236,73,1316
POA4472,43,212,154,83,59,541,31,575
POA4474,0,4,13,4,9,32,0,32
POA4475,0,0,0,0,0,0,0,0
POA4477,20,51,50,28,27,169,13,181
POA4478,8,59,39,34,34,173,11,186
POA4479,0,0,0,0,0,3,0,5
POA4480,15,91,96,31,30,259,27,285
POA4481,3,8,15,4,6,44,0,44
POA4482,10,9,18,6,3,43,0,44
POA4486,12,70,79,46,35,234,21,252
POA4487,50,286,391,191,107,1025,49,1078
POA4488,4,16,35,18,20,99,3,106
POA4489,0,5,7,3,11,26,3,30
POA4490,58,184,155,68,55,522,39,561
POA4491,0,11,15,8,11,39,0,39
POA4492,6,37,31,11,20,111,5,115
POA4493,0,0,3,3,0,7,0,7
POA4494,0,13,23,13,4,52,0,57
POA4496,5,22,28,14,15,84,12,100
POA4497,0,17,38,20,28,109,4,110
POA4498,0,18,27,16,9,73,3,75
POA4500,483,3949,5925,2223,1212,13795,284,14081
POA4501,184,822,710,236,110,2066,59,2122
POA4502,114,916,1268,465,164,2934,67,2999
POA4503,564,5078,6295,1906,986,14828,372,15195
POA4504,60,1177,2633,1004,562,5445,110,5554
POA4505,277,1949,2356,1233,972,6794,183,6973
POA4506,292,2155,2682,1018,713,6868,197,7065
POA4507,632,3686,2468,657,290,7735,363,8097
POA4508,422,2527,2290,805,431,6473,281,6761
POA4509,245,2962,4525,1142,461,9336,178,9512
POA4510,1214,5933,5652,2052,1219,16070,660,16731
POA4511,84,1236,1274,414,243,3253,100,3347
POA4512,8,157,417,237,186,1005,26,1032
POA4514,57,515,846,374,300,2088,67,2150
POA4515,48,464,516,211,137,1377,72,1455
POA4516,3,176,413,269,248,1110,36,1146
POA4517,8,90,98,39,23,260,18,274
POA4518,40,416,741,289,194,1679,59,1737
POA4519,90,838,1115,484,304,2838,85,2923
POA4520,24,583,1805,884,675,3973,67,4039
POA4521,22,301,663,319,199,1501,39,1540
POA4550,49,419,576,260,161,1467,47,1511
POA4551,1126,8256,8163,2317,994,20862,624,21487
POA4552,84,1249,1325,424,229,3312,100,3414
POA4553,21,402,769,378,272,1844,49,1895
POA4554,8,139,242,111,87,589,13,604
POA4555,43,628,964,382,272,2294,37,2329
POA4556,712,5265,6112,2047,941,15080,449,15533
POA4557,292,2402,2759,854,359,6674,228,6901
POA4558,627,3704,2552,642,280,7801,379,8177
POA4559,73,551,821,368,244,2055,53,2107
POA4560,596,3958,4456,1523,851,11385,365,11750
POA4561,54,542,1016,394,337,2345,83,2421
POA4562,19,564,1241,501,301,2629,69,2698
POA4563,83,902,1262,507,257,3015,98,3116
POA4564,116,1603,1700,469,177,4060,96,4150
POA4565,272,2007,1999,710,357,5353,237,5587
POA4566,204,1439,1224,308,117,3290,121,3408
POA4567,177,1598,1766,454,158,4154,125,4281
POA4568,24,353,538,235,101,1253,42,1302
POA4569,14,175,251,95,45,572,25,600
POA4570,754,5346,5666,2105,1256,15126,604,15729
POA4571,5,102,118,43,22,288,6,296
POA4572,89,662,556,157,57,1511,53,1566
POA4573,245,3268,4134,1029,402,9072,254,9333
POA4574,16,174,190,69,45,492,20,512
POA4575,407,3307,3522,1089,476,8794,249,9040
POA4580,105,985,702,189,58,2037,100,2133
POA4581,33,213,203,60,22,532,20,551
POA4600,18,122,138,52,32,359,28,383
POA4601,17,144,152,55,52,420,17,440
POA4605,216,570,450,190,104,1540,60,1597
POA4606,48,358,314,134,61,915,40,951
POA4608,4,105,131,58,33,326,9,339
POA4610,296,1877,1999,727,443,5343,232,5577
POA4611,0,7,19,0,9,33,3,37
POA4612,3,31,28,15,14,96,5,102
POA4613,10,117,118,48,32,327,24,349
POA4614,20,210,151,39,26,452,31,476
POA4615,121,1010,902,328,213,2578,142,2722
POA4620,3,41,66,29,17,153,3,151
POA4621,35,241,239,97,57,666,54,717
POA4625,49,307,378,139,87,966,47,1012
POA4626,53,231,264,137,82,762,55,819
POA4627,23,99,83,37,50,288,14,303
POA4630,48,288,293,151,92,869,41,909
POA4650,966,4766,4222,1541,759,12250,585,12837
POA4655,1389,9530,7723,2345,1024,22015,934,22947
POA4659,65,762,703,228,105,1859,92,1953
POA4660,93,967,1040,350,194,2640,119,2764
POA4662,0,87,103,31,21,253,13,262
POA4670,1950,11310,10645,3366,1609,28880,1255,30132
POA4671,63,777,860,311,160,2174,115,2287
POA4673,3,92,85,38,26,238,7,247
POA4674,11,210,211,81,41,547,23,578
POA4676,0,22,29,8,3,66,0,64
POA4677,38,466,527,169,67,1267,60,1329
