POA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA4567,21,5,8,0,36,10,0,0,0,12,5,0,9,0,11,6,4,9,0,27,59,11,28,0,96,34,14,36,0,85,136,22,46,0,207,103,39,71,3,221,126,64,67,3,264,133,64,47,3,246,91,80,33,3,205,102,61,21,0,188,167,138,31,3,344,92,88,4,0,188,74,80,0,0,150,48,49,3,0,96,143,141,3,3,288,124,172,46,0,347,27,6,10,0,40,1502,1038,477,29,3046
POA4568,6,0,0,0,6,9,0,0,0,9,3,0,3,0,10,7,0,9,0,14,28,5,7,0,38,20,0,25,0,38,75,15,17,3,102,62,19,20,0,96,52,30,23,3,104,42,31,10,0,91,39,40,4,4,92,28,32,4,0,64,35,48,5,0,96,13,42,0,0,51,6,30,0,0,38,7,3,0,0,10,16,14,0,0,32,33,65,17,0,115,6,4,0,0,14,477,386,146,12,1020
POA4569,0,0,0,0,0,4,0,0,0,7,3,0,0,0,6,0,0,5,0,5,11,0,12,0,24,7,3,14,0,22,34,9,6,0,45,15,14,7,0,41,22,19,10,0,55,19,25,6,0,54,13,12,7,0,36,14,15,0,0,29,15,23,7,0,43,7,6,0,0,14,0,5,0,0,11,0,9,0,0,9,3,3,0,0,5,19,20,10,0,49,4,0,3,0,4,201,170,85,3,457
POA4570,65,20,29,0,111,59,14,9,3,81,44,14,69,3,124,32,8,104,0,148,298,41,183,7,534,204,78,321,5,614,1061,185,284,17,1545,547,260,262,20,1083,563,393,273,20,1243,466,469,124,10,1067,254,344,89,10,696,254,371,56,7,687,389,497,50,6,938,173,358,14,3,545,116,165,13,0,294,35,94,6,0,141,78,151,9,0,243,322,544,154,3,1024,132,54,45,3,243,5084,4048,2100,116,11352
POA4571,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,6,0,3,0,13,7,0,5,0,10,18,0,3,0,18,7,8,4,0,16,13,10,5,0,26,15,8,3,0,17,7,6,0,0,6,4,3,0,0,11,10,8,0,0,17,9,7,0,0,10,3,3,0,0,7,0,5,0,0,3,0,0,3,0,8,9,15,0,0,27,3,0,0,0,6,108,68,29,0,209
POA4572,3,0,0,0,4,7,0,0,3,7,3,0,3,0,9,0,3,5,0,4,12,0,13,0,25,16,0,13,0,33,36,7,14,0,59,34,10,12,0,61,38,9,19,0,62,51,18,15,8,91,27,19,7,0,57,25,17,0,0,42,68,39,5,0,113,48,32,3,0,83,27,26,3,0,49,18,16,0,0,37,34,45,6,0,84,35,40,11,0,90,5,0,3,0,13,474,286,142,20,933
POA4573,37,11,12,3,65,20,3,5,0,29,19,3,21,5,44,11,7,42,0,61,92,16,61,4,176,75,25,121,0,220,340,58,132,5,536,223,116,144,7,494,297,211,132,9,655,297,281,102,3,684,165,283,51,3,501,204,235,50,5,494,335,481,59,3,876,166,342,16,0,527,90,216,5,0,313,84,129,14,0,224,126,240,8,0,369,215,428,85,0,733,31,16,21,0,76,2836,3096,1090,65,7088
POA4574,7,0,3,0,8,0,0,0,0,0,0,0,7,0,6,3,0,0,0,3,6,0,3,0,12,5,4,8,0,19,26,3,12,0,42,19,10,6,0,37,28,6,6,0,42,15,10,0,0,27,16,8,3,0,25,7,11,3,0,21,10,16,0,0,30,10,7,0,0,22,3,0,0,0,4,3,3,0,0,6,5,9,0,0,12,9,16,5,0,30,0,0,0,0,3,185,112,59,3,349
POA4575,31,9,12,0,51,19,9,8,0,33,11,5,17,0,27,10,3,33,0,46,118,11,58,0,180,77,16,112,4,210,395,36,119,3,551,254,79,116,10,450,300,127,148,14,592,286,191,85,4,569,155,195,71,4,425,186,176,51,7,416,300,367,67,12,744,211,282,17,4,518,114,223,7,0,340,72,143,12,0,218,163,316,13,0,491,198,339,102,3,643,55,28,17,0,103,2943,2545,1054,72,6610
POA4580,18,0,3,0,24,3,0,0,0,7,11,0,3,0,13,11,0,17,0,23,79,3,21,0,100,46,9,42,0,93,309,20,35,0,362,96,27,21,3,149,95,29,15,0,140,90,26,11,0,125,21,12,3,0,42,21,18,3,0,38,21,36,3,0,57,9,13,0,0,25,12,3,0,0,13,8,5,0,0,9,0,6,0,0,11,51,46,17,0,116,30,3,8,0,41,931,253,203,10,1395
