POA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA4614,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,17,0,0,0,20,3,0,7,0,19,56,8,9,3,75,14,8,7,0,31,17,8,3,0,24,13,3,0,0,24,6,6,0,0,10,9,9,0,0,20,3,3,0,0,6,3,7,0,0,10,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,12,14,4,0,29,3,3,0,0,4,165,78,42,6,294
POA4615,8,6,0,0,12,7,5,3,0,15,5,0,10,0,20,3,0,17,0,16,100,6,27,4,137,32,7,45,3,98,251,44,41,3,336,104,40,46,7,201,85,66,34,3,195,88,63,16,0,167,39,44,10,0,93,46,38,6,0,91,56,57,3,0,114,18,47,0,0,69,13,21,3,0,43,3,6,3,0,15,11,26,0,0,37,63,85,18,0,164,35,14,12,0,54,956,576,306,24,1869
POA4620,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,5,0,0,0,8,11,4,4,0,17,4,0,0,0,13,11,3,3,0,16,0,0,0,0,4,3,0,0,0,3,3,0,0,0,7,3,0,0,0,3,0,4,0,0,4,0,4,0,0,3,0,0,0,0,0,0,3,0,0,3,8,11,0,0,13,0,0,0,0,0,62,34,7,0,103
POA4621,6,0,0,0,6,0,3,0,0,8,0,0,0,0,3,4,0,3,0,8,18,7,8,0,32,13,4,10,3,25,75,11,16,0,96,28,10,14,3,51,17,12,4,0,36,9,19,3,0,25,8,5,3,0,17,14,13,4,0,25,20,26,0,0,40,0,9,0,0,9,0,3,0,0,5,3,0,0,0,5,4,3,0,0,8,23,25,4,0,44,11,3,3,0,20,249,148,66,7,475
POA4625,6,4,0,0,12,8,0,0,0,9,3,0,0,0,7,0,0,5,0,10,23,7,13,0,37,11,11,9,0,27,56,8,15,0,81,37,16,5,0,59,24,21,6,4,54,38,28,6,3,67,15,26,4,0,48,20,22,0,0,46,25,35,7,0,66,13,21,0,0,40,10,12,0,0,21,3,0,0,0,5,7,5,0,0,13,19,29,10,0,65,13,8,4,0,26,334,255,98,5,686
POA4626,10,5,0,0,15,8,0,0,0,8,0,3,3,0,6,0,0,5,0,10,17,0,7,0,22,5,3,8,0,15,35,10,7,0,49,17,23,10,0,51,30,27,9,0,64,29,19,0,0,55,12,15,4,0,38,15,12,0,0,33,24,27,0,0,50,15,8,3,0,33,4,0,0,0,4,3,3,0,0,9,6,10,0,0,15,12,33,6,0,57,12,3,3,3,18,259,206,64,4,533
POA4627,6,4,0,0,10,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0,3,3,9,4,0,5,0,14,15,4,7,0,30,4,4,0,0,13,9,5,0,0,17,10,5,0,0,15,8,8,0,0,11,6,7,3,0,13,11,3,0,0,8,0,3,0,0,5,0,3,0,0,3,3,3,0,0,6,3,3,0,0,4,5,12,4,0,23,4,3,0,0,4,95,70,24,10,203
POA4630,10,4,0,0,12,9,0,0,0,9,5,4,3,0,9,0,3,3,0,8,24,11,10,0,38,11,3,6,0,24,50,10,8,0,70,35,12,11,0,55,37,21,0,0,56,24,25,3,0,50,11,21,0,0,36,19,15,3,0,39,24,28,0,0,54,15,9,0,0,20,7,13,3,0,20,4,0,0,0,10,15,7,0,0,18,24,34,8,0,66,11,5,4,3,18,325,214,68,6,610
POA4650,57,9,20,0,90,36,10,14,3,60,41,10,48,3,101,17,6,84,0,104,272,31,170,12,494,172,46,227,3,442,944,138,236,18,1332,444,212,228,20,907,465,321,179,25,993,385,304,114,9,816,191,249,53,8,502,211,253,35,6,505,306,396,39,8,743,161,216,10,0,389,68,145,5,0,214,36,78,8,0,121,75,95,8,0,177,248,343,126,10,722,133,40,34,6,216,4262,2904,1648,130,8937
POA4655,108,16,28,3,163,77,13,22,0,112,79,30,87,3,198,45,13,139,0,195,555,60,218,9,843,297,92,408,11,803,2015,207,437,21,2686,833,332,399,27,1597,1015,520,331,32,1903,756,533,209,28,1521,346,427,113,8,888,369,383,86,5,844,520,725,79,4,1339,239,437,20,3,702,99,250,8,0,367,82,136,16,0,240,160,231,13,0,406,502,648,207,6,1360,221,48,67,13,357,8330,5104,2900,178,16514
POA4659,20,8,4,0,26,10,3,0,0,13,4,4,8,0,19,8,3,7,0,15,75,9,8,3,97,30,3,29,0,65,252,22,26,3,303,86,20,25,0,136,95,30,16,0,136,69,37,12,3,118,32,15,6,0,60,34,29,0,0,64,38,32,5,0,75,20,14,0,0,35,3,4,0,0,6,3,3,0,0,5,8,6,0,0,12,70,55,13,4,138,24,7,4,0,34,892,298,168,15,1370
POA4660,20,3,3,0,25,20,0,5,0,27,15,3,19,0,32,11,3,14,0,31,98,3,16,0,121,55,17,35,0,108,325,34,28,4,391,114,36,33,5,185,115,64,22,3,204,94,58,9,0,163,39,45,11,0,97,40,43,4,0,85,72,53,4,0,132,26,36,3,0,63,18,23,3,0,46,8,13,0,0,21,21,21,0,0,44,78,98,25,0,203,42,7,5,0,50,1205,561,257,21,2041
POA4662,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,4,4,0,7,0,12,3,3,3,0,10,18,5,8,0,38,9,3,4,0,22,14,5,0,0,21,3,5,4,0,16,0,8,0,0,6,3,3,0,0,7,4,7,3,0,21,0,7,0,0,13,0,0,0,0,0,0,3,0,0,3,0,7,0,0,3,3,11,3,0,15,9,0,0,0,6,80,69,45,3,200
POA4670,109,23,62,3,200,98,14,20,0,133,76,27,114,6,216,30,19,175,0,226,598,82,285,13,984,362,113,522,7,1011,2063,246,552,40,2902,985,399,524,61,1966,1027,662,446,42,2180,883,760,279,26,1952,524,692,168,14,1402,503,617,105,14,1242,854,1065,128,18,2068,409,668,43,0,1121,197,414,15,9,638,110,245,21,0,376,215,359,20,4,594,649,928,266,12,1858,255,83,98,13,451,9951,7410,3849,300,21509
POA4671,13,0,0,0,16,7,6,7,0,18,11,3,17,0,31,0,3,10,0,12,92,13,30,3,135,45,10,30,0,83,202,40,35,3,284,66,32,30,5,140,85,61,20,3,166,58,41,14,3,116,28,31,10,0,66,33,35,9,0,74,42,54,3,0,108,20,26,3,0,44,8,17,0,0,32,13,7,0,0,20,12,12,0,0,17,62,85,25,0,180,24,15,11,0,44,822,497,250,19,1595
POA4673,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,12,0,0,0,16,3,0,4,0,10,21,3,3,0,30,3,9,3,0,16,13,10,3,0,25,11,4,3,0,13,0,4,0,0,6,9,4,0,0,16,11,9,0,0,11,3,8,0,0,5,0,0,0,0,3,0,0,0,0,3,0,4,0,0,4,5,8,3,0,17,4,0,0,0,6,98,67,25,0,185
POA4674,4,7,0,0,11,3,0,0,0,5,0,0,8,0,9,3,0,3,0,10,25,0,11,0,34,15,8,4,0,33,59,10,6,0,79,19,9,6,0,38,18,14,4,0,33,17,4,3,0,27,6,4,4,0,17,5,11,0,0,12,13,6,0,0,23,3,3,0,0,10,0,0,0,0,0,0,0,0,0,3,3,4,0,0,11,19,12,3,0,35,8,0,3,0,9,229,96,59,8,389
POA4676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,11,6,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,6,0,0,0,0,0,23,10,8,0,45
POA4677,8,7,3,0,23,9,3,3,0,17,3,4,3,0,8,3,0,6,0,10,30,0,12,0,47,15,6,10,0,37,77,17,15,0,111,46,20,13,0,77,48,29,7,0,85,33,35,4,0,78,14,26,3,0,49,23,26,0,0,47,46,33,3,0,84,23,23,3,0,50,9,15,0,0,22,9,8,0,0,16,20,18,0,0,44,41,55,13,0,111,8,11,0,0,20,475,337,114,0,929
POA4678,3,0,0,0,3,3,0,0,0,3,3,0,0,0,4,0,0,3,0,4,6,0,3,0,12,8,0,0,0,12,30,0,5,0,37,16,0,4,0,16,10,11,3,0,25,15,4,0,0,18,0,3,0,0,11,5,10,0,0,14,10,19,0,0,23,10,9,0,0,14,6,3,0,0,7,5,3,0,0,4,3,4,0,0,12,19,19,3,0,42,3,3,0,0,4,154,81,24,3,262
POA4680,66,26,56,7,155,54,11,33,0,98,36,18,67,3,120,31,9,87,0,120,178,53,160,8,398,111,56,258,11,442,460,100,242,18,816,305,145,216,18,684,369,253,160,14,802,377,361,131,7,877,255,372,98,6,732,287,417,65,3,774,708,1140,104,9,1963,485,822,53,12,1369,347,513,20,8,879,250,479,29,0,759,405,892,25,4,1337,472,953,145,19,1587,92,55,50,3,202,5286,6673,2002,161,14115
POA4694,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,3,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,3,4,0,0,0,6,0,3,0,0,3,0,3,0,0,4,0,0,0,0,0,0,3,0,0,3,3,3,3,0,3,0,0,0,0,0,23,15,11,3,49
POA4695,3,0,0,0,3,0,0,0,0,3,0,0,0,0,5,3,0,0,0,8,8,0,4,0,8,3,0,6,0,13,28,7,9,5,38,6,0,5,0,8,9,8,0,0,13,9,3,0,0,12,3,9,0,0,16,9,8,3,0,21,20,12,0,0,40,5,16,0,0,21,3,3,0,0,9,10,5,0,0,11,11,4,0,0,11,17,23,3,0,44,3,5,0,0,5,147,113,35,5,298
POA4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,3,0,7,0,0,8,3,0,0,0,4,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,23,12,3,0,42
POA4699,3,0,0,0,6,3,0,0,0,3,3,0,0,0,4,0,0,0,0,0,3,0,0,0,8,4,0,0,0,4,12,0,0,0,7,8,3,0,0,13,3,4,0,0,6,7,0,0,0,6,0,4,0,0,3,7,0,0,0,7,3,6,0,0,11,3,5,0,0,9,3,6,0,0,5,0,0,0,0,0,0,4,0,0,3,3,14,0,0,15,0,0,0,0,0,60,51,13,0,121
POA4700,13,6,12,0,34,8,0,8,5,23,3,4,18,3,28,9,4,40,0,50,54,9,75,3,142,36,19,99,0,153,209,48,94,17,365,89,57,105,16,267,132,78,84,6,299,138,100,63,15,314,93,113,51,7,270,81,119,44,8,255,155,207,42,6,416,112,178,24,0,312,58,122,3,3,187,44,84,8,0,130,89,148,10,3,257,149,215,65,5,435,28,7,30,0,71,1505,1519,878,107,4016
POA4701,38,5,20,0,73,25,4,17,3,50,35,14,60,6,113,17,4,83,0,108,183,24,163,6,379,96,47,260,5,414,605,91,260,25,982,329,177,252,30,787,360,280,223,14,877,373,303,165,20,861,225,358,140,16,739,270,374,98,11,751,504,818,110,15,1445,281,556,34,11,883,146,349,6,8,517,77,205,18,3,299,172,328,13,3,521,327,670,164,13,1168,85,38,43,3,166,4163,4648,2130,192,11136
POA4702,52,13,16,0,80,33,5,12,0,47,29,10,40,3,77,12,11,50,0,69,122,25,98,4,247,78,41,136,4,262,355,71,154,8,591,188,138,137,9,474,258,224,111,11,601,266,244,79,3,597,186,236,56,7,486,212,250,47,0,505,340,470,46,3,868,190,359,20,4,565,108,214,13,6,339,64,91,7,0,163,121,206,9,0,332,281,547,82,3,914,99,47,26,3,175,2999,3189,1126,68,7387
POA4703,38,8,12,0,63,27,5,11,0,36,21,7,18,0,51,18,3,41,0,56,122,16,58,3,202,75,21,98,3,194,383,42,98,10,529,202,54,91,4,356,258,113,107,5,488,199,159,68,6,437,114,154,38,6,319,152,181,28,3,370,279,315,46,6,647,171,256,24,6,459,118,160,4,0,278,65,128,4,0,201,117,211,7,0,336,280,511,69,3,857,58,16,21,0,95,2692,2361,848,60,5967
POA4704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,10,3,0,0,9,0,0,0,0,0,20,10,10,0,40
POA4705,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,0,0,0,4,3,3,0,0,7,4,3,3,0,9,0,9,0,0,11,0,3,0,0,3,3,6,0,0,12,3,0,0,0,5,3,3,0,0,5,0,0,0,0,0,3,3,0,0,9,5,3,0,0,12,0,0,0,0,0,48,36,9,0,89
POA4706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,0,0,14
POA4707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,0,0,0,7,4,0,0,0,4,3,0,0,0,5,3,0,0,0,3,0,0,0,0,4,0,0,0,0,3,3,3,0,0,9,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,16,3,0,0,0,3,39,20,11,0,63
POA4709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,7,0,0,7,0,0,0,0,3,0,12,0,0,11,14,21,0,0,36,9,12,0,0,22,6,7,0,0,12,5,36,3,0,43,27,55,0,0,75,3,15,0,0,17,0,0,0,0,0,67,165,7,0,245
POA4710,8,3,0,0,6,4,0,0,0,3,0,3,9,0,12,3,0,10,0,15,28,3,18,0,52,19,5,39,0,70,99,9,34,4,138,49,23,38,4,117,52,29,21,0,102,43,38,7,0,99,22,33,5,0,60,34,31,0,0,69,66,51,14,3,133,34,39,0,0,72,18,28,0,0,47,5,17,5,0,26,20,36,0,0,58,48,82,13,0,147,14,10,5,0,30,572,442,236,14,1256
POA4711,7,0,0,0,8,3,0,0,0,3,3,0,3,0,5,0,0,0,0,0,6,0,0,0,8,3,0,5,0,13,20,0,0,0,28,11,3,3,0,20,17,4,6,0,25,13,14,6,0,38,13,14,6,0,31,15,16,3,0,26,23,52,0,0,78,14,29,0,0,46,14,35,0,0,47,5,24,0,0,24,0,21,0,0,21,20,46,6,0,80,0,6,0,0,4,192,261,44,3,508
POA4712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,9,0,0,10,3,3,0,0,7,0,0,0,0,0,4,0,0,0,4,3,4,0,0,9,4,0,0,0,4,3,3,0,0,4,0,0,0,0,0,0,0,0,0,3,3,4,0,0,9,0,0,0,0,3,31,23,13,0,67
POA4713,0,0,0,0,0,0,0,3,0,3,0,0,20,0,20,0,0,11,0,11,8,7,13,3,28,0,6,10,0,18,3,4,11,8,27,0,6,5,0,23,0,10,4,0,12,0,3,9,0,20,0,0,6,0,7,0,0,0,0,4,0,3,4,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,5,0,19,0,5,4,0,8,21,57,110,17,206
POA4714,3,4,4,0,10,5,3,3,0,8,4,0,7,0,16,3,0,9,0,16,26,4,26,3,52,6,0,22,3,30,88,14,26,5,133,23,19,22,3,61,38,24,12,3,73,35,15,12,4,63,10,22,4,0,37,16,19,9,0,37,19,17,0,0,36,11,18,0,0,27,4,3,0,0,8,0,0,0,0,3,3,6,0,0,12,29,29,27,0,85,4,0,6,0,10,329,188,182,18,716
POA4715,6,0,0,0,12,8,3,0,0,14,7,0,6,0,15,5,0,13,0,18,22,3,14,0,39,11,4,27,0,45,53,4,17,0,76,51,24,21,3,91,41,27,21,3,97,47,51,17,4,117,41,57,18,0,113,44,71,14,3,127,95,168,13,3,280,67,111,5,0,185,47,81,0,0,132,26,47,0,0,77,62,96,0,3,166,49,97,15,0,167,13,17,10,0,41,693,870,219,21,1800
POA4716,0,3,0,0,3,3,0,0,0,3,0,0,3,0,3,0,0,0,0,0,8,0,0,0,8,0,3,0,0,5,16,3,0,0,16,4,0,0,0,6,9,12,3,0,25,13,7,0,0,22,3,10,0,0,11,6,12,0,0,17,9,18,3,0,22,12,13,0,0,25,10,10,0,0,21,6,5,0,0,12,4,11,0,0,16,10,22,0,0,27,3,4,0,0,10,108,114,12,0,238
POA4717,3,0,3,0,5,0,0,0,0,3,0,0,7,0,7,0,3,6,0,15,0,0,10,0,15,3,3,9,0,15,7,10,16,0,33,5,13,4,0,18,8,12,9,0,27,18,24,8,3,54,21,24,4,0,44,19,47,7,0,77,59,107,14,5,184,41,56,8,0,108,25,61,0,0,92,30,57,0,0,87,47,102,0,0,154,27,75,13,0,113,4,3,0,0,5,331,588,128,15,1053
POA4718,4,0,3,0,4,0,0,0,0,3,5,0,4,0,9,0,0,3,0,8,8,0,9,0,15,3,0,6,0,9,18,6,4,0,38,9,10,12,0,27,15,18,7,4,36,16,16,3,0,35,11,16,7,0,27,17,22,3,0,41,33,37,3,0,74,18,35,5,0,54,22,15,0,0,35,14,17,0,0,33,25,21,0,0,50,20,39,0,0,56,5,3,3,0,15,235,261,63,10,571
POA4719,6,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,7,0,0,3,0,7,17,8,4,0,24,12,6,0,0,18,10,10,3,0,23,12,12,0,0,26,5,12,0,0,18,3,7,0,0,12,18,6,0,3,25,9,7,0,0,14,3,3,0,0,13,0,0,0,0,3,3,5,0,0,10,5,21,0,0,25,5,0,0,0,7,118,110,20,6,244
POA4720,10,4,10,0,27,8,0,6,0,15,3,3,6,0,10,3,0,19,0,19,15,10,22,0,46,12,10,41,0,68,56,18,38,3,109,49,23,40,4,115,74,56,50,5,193,88,108,34,4,233,70,113,26,0,203,95,138,24,7,266,175,325,19,3,518,124,241,13,8,377,82,126,3,3,216,46,108,8,0,163,100,238,4,0,338,123,314,45,0,482,27,14,7,0,54,1156,1845,423,40,3460
POA4721,6,7,0,0,19,5,0,0,0,9,0,0,0,0,3,0,3,0,0,6,18,5,4,0,25,7,0,6,0,12,29,5,8,0,47,12,7,11,0,31,36,36,13,0,80,34,23,4,4,68,20,18,9,0,46,27,27,0,0,52,36,73,13,0,122,24,57,3,0,79,17,22,0,0,44,15,27,0,0,46,18,45,0,0,71,35,63,0,0,104,14,5,5,0,24,370,428,83,6,892
POA4722,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,8,3,3,0,14,3,3,0,0,9,8,7,0,0,18,6,3,3,4,11,16,12,0,0,35,24,20,0,0,44,10,17,0,0,32,15,18,5,0,41,19,35,7,0,51,10,23,0,0,30,7,14,0,0,25,3,16,0,0,20,18,23,3,0,41,17,27,4,0,48,7,6,0,0,8,179,216,34,10,438
POA4723,4,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,3,0,0,7,0,9,7,3,3,0,19,13,4,3,0,18,14,15,4,0,36,14,9,3,0,28,9,7,0,0,20,9,11,0,0,23,25,36,0,0,63,17,18,0,4,34,3,10,0,0,13,3,3,0,0,13,8,19,0,0,28,15,31,0,0,42,4,0,0,0,4,158,166,32,8,363
POA4724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,9,4,8,0,0,9,6,4,3,0,15,3,6,0,0,11,3,4,0,0,4,5,4,0,0,10,12,9,0,0,15,4,3,0,0,10,3,4,0,0,7,0,3,0,0,4,7,3,0,0,12,4,20,0,0,24,0,0,0,0,3,63,73,11,3,150
POA4725,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,3,0,17,3,3,3,0,6,33,0,9,3,38,9,0,3,0,17,18,9,0,0,33,8,15,9,0,29,8,9,8,0,22,17,9,0,0,34,21,21,0,0,37,15,22,0,0,34,7,10,0,0,20,3,11,3,0,15,14,4,0,0,13,18,26,4,0,48,9,0,4,0,13,196,136,48,3,381
POA4726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,9,0,0,0,0,3,6,0,3,0,9,0,5,0,0,10,8,3,3,0,12,5,8,0,0,10,3,3,0,0,8,4,4,0,0,8,4,3,0,0,7,0,4,0,0,7,0,4,0,0,4,0,0,0,0,0,3,0,0,0,4,4,10,3,0,20,4,0,0,0,3,40,57,21,0,114
POA4727,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,6,0,0,0,8,0,0,0,0,0,0,0,0,0,4,3,4,3,0,7,3,0,0,0,3,4,0,0,0,4,5,8,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,4,3,3,0,0,3,4,0,0,0,4,35,23,8,0,66
POA4728,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,0,0,0,0,4,5,0,0,0,6,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3,3,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,3,3,0,10,0,0,0,0,0,26,21,5,0,55
POA4730,6,0,0,0,14,3,0,0,0,6,0,0,3,0,4,0,0,10,0,11,14,4,4,0,22,10,0,9,0,26,33,4,9,0,49,21,7,15,3,43,24,16,12,0,55,31,24,6,0,66,21,32,8,0,62,19,25,0,3,45,49,36,8,4,96,26,36,6,0,63,16,23,0,0,36,3,13,0,0,16,8,24,0,0,33,44,62,7,3,116,4,12,6,0,21,346,310,115,17,785
POA4731,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,0,0,8,3,0,0,0,7,6,0,0,0,7,3,3,0,0,3,0,0,0,0,0,0,0,0,0,5,6,0,0,0,6,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,30,17,7,0,56
POA4732,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,17,9,3,0,29
POA4733,5,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,5,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,11,3,0,0,0,3,28,23,0,0,48
POA4735,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,3,3,0,13,0,0,5,0,3,10,3,4,0,18,5,3,3,0,16,11,3,0,0,16,20,4,3,0,28,4,6,0,0,12,11,4,0,0,15,18,11,0,0,28,5,5,0,0,13,0,0,0,0,3,5,3,0,0,5,5,6,0,0,5,16,14,9,0,36,3,0,3,0,6,112,79,37,3,231
POA4736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,14,12,3,0,24
