POA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
POA4061,0,0,5,4,24,49,91,94,16,16,9,3,15,3,8,332,0,0,3,4,3,9,3,0,0,0,0,0,0,0,0,25,0,0,0,0,4,0,5,11,0,0,0,0,0,0,0,27,0,0,0,18,6,0,3,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,54,107,181,126,142,241,218,53,66,16,33,17,19,29,1306,0,0,0,11,15,5,15,11,13,16,8,0,3,0,3,103,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,14,11,7,0,0,0,0,0,0,0,37,0,12,12,68,64,72,89,99,19,17,13,16,15,4,17,533,12,130,196,409,427,527,769,708,152,165,90,86,84,54,105,3916
POA4064,0,0,4,5,6,10,34,16,0,0,3,0,0,0,0,76,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,7,4,0,0,0,0,0,0,3,27,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,28,80,52,81,113,69,27,15,18,18,20,14,6,555,0,0,3,3,0,14,15,20,3,10,6,8,10,13,3,105,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,16,0,0,0,0,7,0,8,3,0,0,0,0,0,0,0,13,3,10,12,28,30,38,62,78,13,26,24,28,60,36,18,473,3,64,103,198,221,285,396,359,92,96,124,126,164,135,80,2460
POA4065,0,0,0,7,13,12,46,18,3,4,4,8,3,0,0,112,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,54,84,57,88,83,80,19,19,13,12,14,3,5,555,0,0,0,3,10,9,28,15,3,0,0,3,8,3,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,7,3,0,0,0,0,0,0,0,21,0,11,16,20,26,33,39,34,14,11,7,8,8,3,8,240,5,60,95,170,184,246,345,222,62,67,31,70,42,27,37,1662
POA4066,0,0,3,12,18,18,52,45,13,0,3,7,4,3,0,173,0,0,0,0,3,12,4,10,0,0,5,0,4,3,3,47,0,0,3,3,0,7,15,16,0,3,6,4,7,3,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,3,28,49,85,61,108,112,97,17,11,25,20,19,20,27,687,0,0,0,9,5,24,31,16,4,12,15,12,14,10,0,162,0,0,0,0,6,6,3,14,4,3,0,4,4,5,3,54,0,0,0,0,6,0,16,7,0,0,0,0,0,4,0,39,0,17,14,29,42,95,144,143,44,70,77,95,93,54,26,940,9,73,109,215,289,510,724,776,212,252,337,439,540,383,170,5020
POA4067,0,0,0,4,10,17,32,15,3,4,0,6,0,0,0,96,0,0,0,7,5,11,7,12,9,9,3,3,6,8,0,82,0,0,0,0,0,8,4,4,0,3,5,3,15,7,7,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,0,22,26,36,33,43,66,22,11,11,9,5,13,12,6,321,0,0,3,13,9,10,22,16,0,10,13,9,23,26,5,146,0,0,0,5,3,0,9,24,23,30,22,31,39,40,3,234,0,0,0,0,0,3,7,4,0,0,0,0,0,0,0,17,0,13,6,19,28,64,73,86,14,52,83,112,154,117,24,834,4,55,60,136,172,272,452,501,148,306,397,680,1110,965,167,5421
POA4068,0,0,3,9,38,40,107,41,20,16,13,11,16,9,3,326,0,0,4,11,5,10,16,17,4,10,11,15,13,11,0,128,0,0,3,4,0,8,3,20,0,4,10,3,6,5,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,37,80,147,95,115,175,136,24,46,22,34,24,17,21,988,0,3,11,18,10,32,39,22,13,18,21,26,19,7,9,264,0,0,0,3,30,13,15,19,0,5,15,14,14,11,3,142,0,0,0,3,13,9,20,13,4,0,0,0,0,0,0,57,6,15,27,69,71,138,223,261,69,80,127,145,167,137,43,1573,17,121,182,408,520,776,1275,1280,387,467,563,658,779,557,230,8222
POA4069,0,0,10,20,60,123,451,335,32,46,24,19,29,15,17,1180,0,0,10,12,25,65,49,40,3,14,10,0,0,3,3,232,0,0,0,3,8,3,14,15,0,0,4,0,4,0,0,58,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,5,5,4,0,0,0,0,0,0,0,16,14,98,239,385,298,284,556,388,86,58,49,45,40,20,76,2635,0,0,10,30,34,38,110,56,26,12,11,25,21,17,12,391,0,0,0,10,30,10,10,3,0,0,3,3,3,5,4,81,0,0,0,3,20,26,82,37,6,3,3,0,0,0,0,189,6,38,65,134,155,236,316,205,40,69,52,35,29,21,36,1444,34,270,486,928,1068,1484,2469,1776,341,340,306,266,231,186,243,10435
POA4070,0,0,3,4,23,12,223,156,19,28,10,22,6,4,9,516,0,0,3,0,3,23,22,14,3,4,0,0,0,0,0,69,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,66,156,114,95,235,291,50,41,24,19,15,5,22,1149,0,0,3,8,8,6,21,12,0,0,3,3,0,0,0,76,0,0,0,3,12,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,6,8,44,24,0,6,0,7,0,3,0,101,0,7,17,49,32,67,106,109,12,14,6,11,9,7,8,441,3,71,114,304,344,396,916,925,140,130,89,87,49,33,69,3673
POA4072,0,0,0,0,0,0,18,12,0,0,0,3,3,5,0,39,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,0,3,4,3,0,11,3,70,0,0,0,0,0,0,8,3,0,0,0,0,3,10,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,7,4,4,3,5,7,21,4,69,0,0,0,0,4,0,118,77,9,18,25,38,86,188,21,587
POA4073,0,0,0,3,17,7,92,62,3,10,0,0,0,0,9,211,0,0,0,11,0,49,24,32,0,4,3,3,0,0,3,129,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,54,100,80,74,71,52,15,16,13,11,3,0,34,539,0,0,0,6,0,6,9,4,0,3,3,0,0,0,0,33,0,0,0,0,113,38,17,6,0,0,3,0,6,0,9,188,0,0,0,3,0,5,23,13,0,0,0,0,0,0,0,54,0,7,11,40,54,77,86,54,13,0,13,13,9,16,31,423,6,65,116,223,401,596,689,476,78,69,78,49,37,35,141,3048
