POA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
POA4270,47,179,150,1207,28,1611,0,0,0,7,0,8,17,0,7,12,0,34,0,0,0,0,0,3,43,12,11,19,0,93,496,149,131,866,21,1666,11,4,0,0,0,16,14,0,0,8,0,25,47,22,17,144,3,240,9,4,3,7,0,20,6,0,0,5,0,16,4,0,0,0,0,4,86,21,17,268,10,397,16,7,3,35,0,63,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,5,0,9,8,0,0,3,0,15,13,0,0,0,0,15,52,5,19,4,3,81,6,3,0,3,0,13,7,0,0,3,0,17,103,23,35,240,5,404,3,0,4,0,0,6,16,0,0,0,0,16,7,0,3,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,4,14,0,49,99,19,22,36,3,177,6,3,0,21,355,387,878,275,266,2122,405,3950
POA4271,38,138,105,661,16,954,0,0,0,7,0,11,6,0,0,13,0,27,4,0,0,0,0,4,37,10,4,25,0,81,460,136,78,620,16,1309,0,0,5,0,0,9,11,0,3,13,3,31,61,9,5,106,3,192,4,4,0,0,0,15,12,0,4,0,0,13,24,0,0,0,0,26,77,25,15,257,8,378,20,3,0,31,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,10,10,0,0,0,0,15,43,15,3,3,7,66,24,3,0,4,0,33,7,6,0,0,0,16,121,29,12,212,3,386,3,0,0,0,0,3,16,0,0,0,0,16,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,4,0,20,140,35,26,41,3,238,12,0,0,25,190,227,876,244,153,1386,231,2888
POA4272,33,198,176,1066,26,1494,0,0,0,0,0,0,27,0,6,4,0,39,5,0,0,0,0,11,84,9,3,7,0,107,715,180,139,1018,38,2096,6,0,4,0,0,8,20,4,3,11,0,40,99,18,22,153,9,300,12,3,0,3,0,22,4,0,0,0,0,5,20,3,0,3,0,24,118,39,40,395,14,600,25,9,6,37,5,78,6,0,0,0,0,8,0,0,0,0,0,3,3,3,0,0,0,7,0,0,0,0,0,5,23,3,9,0,0,30,60,10,15,3,4,87,20,5,0,3,0,29,11,0,0,8,0,17,173,60,45,348,12,644,3,0,0,0,0,3,14,5,0,0,0,20,5,0,0,3,0,10,7,0,0,0,0,7,0,3,0,0,0,4,0,0,0,0,0,0,24,4,0,14,0,39,188,32,53,37,0,317,15,3,3,29,372,418,1329,364,305,2164,447,4612
POA4275,17,113,106,1110,24,1379,0,0,0,3,0,3,9,0,6,7,0,22,12,0,0,4,0,13,33,8,3,12,0,60,386,125,106,761,43,1421,14,0,0,0,0,19,11,3,0,11,0,25,47,20,3,132,4,208,0,3,0,3,0,3,8,0,0,0,0,6,6,0,0,0,0,4,69,27,36,297,10,438,18,9,7,24,0,59,7,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,3,0,11,12,0,0,0,0,17,36,14,6,5,3,63,10,3,0,3,0,17,0,0,0,5,0,10,100,41,44,236,11,431,0,0,0,0,0,0,5,0,0,0,0,9,7,0,0,9,0,13,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,15,0,3,4,3,25,86,14,21,33,0,158,4,8,3,31,270,317,711,233,209,1940,340,3434
POA4280,118,723,622,5395,76,6932,3,3,0,54,0,57,110,3,6,46,0,171,24,8,0,7,0,35,152,50,34,88,3,327,1770,698,564,4365,71,7470,65,0,20,9,0,96,41,7,7,39,0,93,176,93,54,696,16,1028,18,13,8,50,0,82,36,10,3,10,0,51,49,10,4,5,0,66,320,133,105,1382,17,1954,61,51,20,177,3,314,13,0,0,0,0,13,5,3,0,0,0,13,3,0,4,3,0,8,20,7,11,26,0,61,142,34,31,12,4,217,207,59,56,28,0,354,33,13,8,35,0,91,23,4,8,12,0,40,431,163,133,1118,23,1867,5,3,3,4,0,19,50,12,13,11,0,88,30,10,3,12,0,54,12,0,0,0,0,11,3,0,0,0,0,3,43,0,9,3,0,51,27,5,8,33,0,74,579,131,100,191,7,1007,37,17,6,131,819,1010,3551,1335,1069,9911,1001,16862
POA4285,119,770,559,7195,172,8814,0,0,0,103,0,101,41,5,13,42,0,97,16,5,3,3,3,27,153,51,37,115,10,367,1690,656,505,5393,138,8387,68,8,14,3,0,95,47,9,4,39,0,99,184,87,77,1100,24,1466,14,16,3,51,4,83,22,3,0,9,0,34,40,5,0,3,0,46,324,120,96,1830,43,2411,69,37,18,165,7,296,3,0,0,0,0,3,9,0,0,4,0,13,4,0,0,0,0,3,17,5,8,18,0,51,72,23,9,6,0,108,215,87,60,23,0,385,34,16,3,32,4,89,20,4,3,10,0,36,453,182,113,1330,33,2119,14,0,0,0,0,19,37,4,0,5,0,54,31,15,3,13,3,65,4,5,0,0,0,14,4,0,0,3,0,10,3,0,0,0,0,8,47,10,12,47,3,121,474,103,81,191,8,863,30,22,17,217,1416,1698,3237,1338,955,12967,1748,20247
POA4287,3,17,9,266,6,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,39,11,14,214,8,289,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,63,0,71,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,94,3,112,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,12,3,5,59,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,3,0,4,0,23,0,0,0,11,179,189,69,22,16,521,191,824
POA4300,578,2204,1683,12010,176,16653,0,25,9,251,14,294,1081,26,54,98,7,1260,96,18,4,28,0,153,527,166,93,251,12,1043,5869,1960,1453,9973,239,19505,1012,25,132,11,6,1195,156,24,18,71,3,272,869,242,176,1849,29,3167,76,30,11,114,0,233,117,26,16,37,0,193,1796,18,22,17,12,1863,1177,446,342,3198,57,5223,277,124,53,485,14,952,114,0,4,0,0,117,34,14,3,18,0,67,23,11,0,5,0,44,58,27,21,65,3,173,1367,113,74,24,29,1605,752,189,126,39,8,1108,239,28,25,98,0,397,93,13,11,41,0,153,1430,417,355,2712,45,4956,99,20,14,8,0,136,321,18,21,12,6,377,404,41,31,58,11,540,188,11,4,6,0,205,33,11,0,0,0,45,1259,50,37,20,12,1388,158,38,19,142,0,353,7565,550,429,549,145,9235,296,42,34,230,3163,3762,22233,3960,3053,22631,3788,55669
POA4301,402,1052,858,6323,97,8731,4,16,0,124,4,152,507,20,24,48,0,598,39,6,8,6,0,57,210,39,20,114,3,387,2562,887,734,5232,124,9535,327,12,39,9,7,395,63,12,11,38,5,119,478,117,81,980,28,1687,40,21,4,35,0,98,34,3,3,25,0,70,529,26,10,18,0,585,439,226,117,1521,28,2337,93,33,28,219,3,375,33,0,3,0,3,43,4,8,0,7,0,19,9,0,0,8,0,19,35,15,14,44,0,105,843,85,34,19,21,996,419,112,71,40,7,642,78,26,4,53,3,174,32,4,0,21,0,58,558,191,178,1344,22,2291,35,5,0,3,0,48,50,3,10,0,0,65,152,34,14,51,3,250,24,0,3,3,0,28,8,0,0,0,0,11,336,28,4,6,5,384,47,15,7,48,0,117,5418,317,184,292,69,6273,270,16,18,181,1604,2087,11250,1919,1443,11698,1928,28240
POA4303,45,121,86,1107,47,1405,0,0,0,44,0,42,43,3,0,13,3,62,0,0,0,0,0,0,36,7,12,14,0,60,240,101,73,824,40,1285,37,0,5,0,3,47,13,0,3,5,0,18,51,24,11,166,3,249,0,0,0,5,0,7,5,0,0,0,0,9,23,3,4,3,0,33,40,16,10,221,7,299,3,3,0,40,3,46,9,0,0,0,0,9,7,0,0,3,0,12,0,0,0,0,0,0,4,0,0,3,0,6,54,3,6,8,0,68,30,3,5,4,0,48,17,0,0,9,0,24,3,4,0,4,0,13,54,30,24,201,0,312,0,0,0,0,0,0,6,0,0,0,0,6,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,34,3,4,0,0,40,4,3,0,6,0,14,476,26,19,33,10,562,21,0,0,54,412,486,1060,209,161,2012,506,3946
