POA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
POA4000,61,338,260,1782,18,2462,3,3,0,10,0,17,2121,16,37,21,21,2213,12,7,0,5,0,22,74,25,6,38,0,149,1175,338,223,1857,30,3625,213,3,18,3,0,232,159,7,10,30,3,206,210,46,20,361,3,638,44,18,3,39,0,98,30,3,0,4,0,39,692,3,5,8,0,710,338,128,63,1037,19,1590,419,53,29,162,0,659,1010,0,3,0,9,1023,20,0,0,19,0,36,4,0,0,3,0,8,15,3,0,13,0,32,42,7,0,3,0,56,67,14,14,7,0,108,69,10,10,9,0,96,92,3,4,14,0,106,282,93,59,706,6,1152,25,0,0,3,0,32,57,7,3,0,0,64,239,0,5,3,0,249,38,3,4,3,0,43,28,7,0,0,0,35,103,0,3,3,0,106,38,8,3,39,0,87,2929,84,79,110,17,3214,86,5,3,26,1609,1736,9423,716,510,4195,1719,16552
POA4005,82,528,442,2873,39,3963,0,3,3,17,0,28,536,28,28,57,7,658,29,6,5,9,0,52,131,47,24,89,0,291,1512,622,421,3629,44,6224,100,0,29,0,0,134,131,32,22,61,0,245,235,63,38,624,5,973,61,32,11,91,0,191,32,9,4,10,0,54,195,6,10,11,0,220,538,217,149,2108,19,3036,472,102,56,356,15,1008,41,0,0,0,0,43,14,5,6,45,0,73,9,0,0,0,0,11,18,12,3,21,0,54,72,4,9,0,0,81,121,24,26,7,0,178,93,21,21,35,0,175,63,8,3,16,0,93,465,168,127,1364,11,2134,28,3,0,3,0,40,83,8,8,5,0,103,126,6,6,19,0,160,30,4,5,5,0,37,19,3,0,0,0,24,51,0,3,3,0,58,55,17,20,70,0,163,1367,133,148,267,13,1927,36,8,5,52,2462,2567,5372,1226,923,7770,2587,17876
POA4006,82,385,345,1943,32,2784,0,6,3,25,0,32,897,27,20,31,8,984,31,5,9,13,0,65,83,35,23,55,10,208,1088,449,316,2308,46,4201,153,3,44,0,0,200,106,11,11,27,3,163,162,56,38,427,5,687,31,17,8,45,0,106,22,3,6,6,0,40,524,8,8,3,0,550,403,149,111,1169,11,1841,281,62,23,228,11,604,254,0,10,3,0,267,23,6,3,16,0,46,3,0,0,0,0,3,8,7,5,19,0,45,83,4,12,3,0,98,118,25,22,7,0,159,75,11,11,37,0,133,40,3,3,10,0,60,317,125,78,808,11,1338,37,0,0,0,0,42,38,11,3,3,0,53,119,3,3,21,0,144,40,0,7,0,0,49,11,0,0,0,0,11,111,3,4,0,0,119,49,9,10,50,0,111,1853,109,113,167,13,2257,42,3,3,34,2053,2141,5872,873,715,4907,2161,14530
POA4007,70,442,356,2611,30,3516,0,0,0,6,0,11,438,26,30,33,3,525,19,4,0,13,0,39,71,40,27,39,0,175,1031,400,323,2925,35,4718,80,6,20,0,0,108,51,8,4,34,3,101,122,41,30,424,6,628,56,52,16,62,0,191,16,0,0,0,0,20,287,7,7,5,0,306,317,157,110,1554,26,2160,208,92,30,213,5,552,73,0,3,0,0,84,27,0,4,38,0,62,12,0,0,0,0,16,16,12,3,10,0,40,46,3,3,0,0,55,103,21,16,0,0,138,37,6,15,22,0,83,37,3,4,11,0,49,280,136,80,1021,24,1540,18,0,3,0,0,21,40,3,3,0,0,48,50,3,3,11,0,66,36,4,5,0,3,49,0,0,0,0,0,0,39,0,3,0,0,45,39,6,6,56,0,105,895,89,117,163,10,1270,28,0,0,46,1094,1174,3685,913,699,6271,1205,12769
POA4008,0,7,5,89,0,108,0,0,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,19,12,4,72,3,111,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,18,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,22,0,38,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,20,0,37,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,11,0,0,0,0,111,116,55,21,11,164,114,368
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,10,98,64,495,8,681,0,0,0,8,0,8,57,4,6,4,0,67,3,0,0,0,0,4,18,3,9,11,0,37,171,84,66,494,11,829,38,0,14,0,0,48,9,0,0,7,0,14,24,3,8,91,0,123,6,0,0,7,0,19,0,3,0,0,0,5,51,0,0,0,0,50,47,29,19,280,6,377,44,11,0,58,0,110,16,0,0,0,0,19,3,4,0,7,0,9,0,0,0,0,0,0,3,0,0,3,0,8,11,3,0,0,0,17,15,5,3,0,0,24,10,0,3,4,0,20,16,0,0,0,0,22,43,20,17,175,0,261,3,0,0,0,0,8,6,0,0,0,0,8,12,0,0,0,0,15,3,0,0,0,0,4,4,0,0,0,0,4,14,0,4,0,0,12,9,4,0,6,0,13,173,30,19,46,3,261,3,3,0,13,185,201,645,176,129,1139,207,2296
POA4011,100,618,423,3411,66,4614,0,8,3,25,3,40,298,24,17,53,0,390,16,3,0,11,0,32,79,51,25,74,3,232,1084,562,413,3536,62,5656,98,0,24,3,3,127,76,11,17,49,0,158,146,62,44,590,3,850,55,17,15,74,0,163,27,6,4,16,0,49,543,17,3,7,4,573,342,230,130,1937,33,2671,199,87,36,307,8,646,93,0,8,0,0,106,4,8,0,49,0,64,9,3,0,0,0,9,6,10,6,17,0,32,49,11,3,3,0,57,139,38,24,4,6,212,54,8,11,28,0,103,40,0,4,12,0,57,337,156,109,1233,20,1850,18,0,0,3,0,23,65,4,0,0,0,79,43,8,10,19,3,83,39,4,3,0,0,48,5,0,0,5,0,11,28,7,0,0,0,36,36,18,8,84,0,142,1084,122,113,205,8,1534,34,4,0,50,901,990,4139,1207,842,7927,1070,15180
POA4012,155,850,656,5041,65,6771,3,10,3,65,0,81,459,13,27,52,9,569,13,3,0,8,0,25,101,58,21,100,3,288,1625,806,545,4876,82,7932,326,9,59,0,0,399,87,13,12,66,0,174,225,87,63,929,7,1308,48,19,5,60,0,129,45,8,3,13,0,66,925,13,8,3,4,956,486,244,169,2627,34,3550,331,132,62,411,6,936,127,0,3,3,0,138,10,5,0,18,0,41,11,0,3,3,3,14,20,18,7,30,3,77,135,23,16,0,0,180,198,50,53,14,0,309,90,21,9,57,14,193,33,3,4,13,0,62,450,202,167,1573,29,2431,20,5,0,10,3,39,52,5,0,0,3,67,92,7,3,18,3,120,70,8,3,6,0,84,4,0,0,0,0,7,65,0,4,3,0,77,47,14,4,70,0,137,1744,193,186,285,13,2429,69,6,12,91,1089,1274,6525,1649,1231,11123,1304,21828
POA4013,43,171,138,1126,21,1499,0,3,0,20,0,27,56,8,4,5,0,78,4,3,0,0,0,6,20,11,3,21,0,49,319,154,126,1148,24,1771,48,0,7,0,0,61,7,0,0,10,0,15,45,17,9,182,0,261,4,7,3,11,0,25,9,0,0,3,0,17,177,0,8,4,0,187,99,61,37,518,3,713,34,18,3,66,3,123,12,0,0,0,0,12,3,0,0,0,0,5,0,0,0,0,0,0,3,3,0,9,0,10,32,0,3,0,0,37,32,14,13,3,0,63,21,0,3,17,0,37,6,3,0,6,0,19,89,45,29,366,4,538,3,0,0,0,0,3,5,3,0,0,0,12,20,0,3,3,0,26,21,0,0,0,0,21,0,0,0,0,0,4,23,3,0,0,0,29,14,4,5,21,0,43,375,28,33,64,5,515,16,0,0,25,235,288,1268,317,263,2442,283,4568
POA4014,80,497,392,3127,46,4139,0,5,0,29,0,35,222,9,20,39,0,283,11,5,3,3,0,23,73,30,26,41,0,172,819,446,304,2831,60,4466,246,3,21,4,0,283,29,13,4,23,0,72,96,64,35,561,5,762,15,6,7,21,0,49,9,3,0,7,0,19,358,9,3,7,0,374,219,151,72,1392,18,1855,68,41,12,163,7,284,38,0,4,0,0,41,4,3,0,9,0,13,0,0,0,3,0,7,12,11,7,17,0,38,96,16,10,3,0,132,97,45,34,10,0,179,29,13,10,23,0,83,20,4,0,6,0,37,231,117,80,895,14,1337,5,0,0,0,0,5,34,8,3,3,0,54,54,4,3,9,0,75,48,6,0,0,0,55,3,0,0,0,0,3,67,3,3,3,3,81,25,13,4,37,0,83,720,93,99,152,11,1074,29,7,9,71,664,781,2994,933,672,6521,788,11913
POA4017,215,1578,1195,10267,221,13480,3,9,0,109,0,121,383,30,52,91,3,561,39,16,3,9,0,71,246,94,66,135,7,545,3349,1353,1063,8953,259,14975,604,15,89,11,10,725,96,27,22,87,0,234,374,174,113,1708,44,2416,62,40,18,75,0,196,65,8,9,15,0,100,754,11,14,18,9,804,792,351,278,3971,75,5469,268,126,62,528,13,999,55,0,5,3,0,65,19,9,0,29,0,57,8,3,0,0,0,14,26,12,5,44,0,84,280,26,23,17,3,359,333,113,102,32,8,591,129,21,29,76,3,256,54,10,5,21,6,88,838,348,276,2729,54,4250,18,3,4,0,0,27,126,28,12,6,3,177,107,7,13,35,4,165,69,3,12,3,0,80,13,7,0,0,0,17,58,3,4,3,0,68,109,23,18,114,0,264,1856,257,271,441,30,2853,102,26,20,241,1659,2046,9075,2733,2152,20678,2236,36869
POA4018,148,381,304,2286,42,3166,8,0,0,27,0,31,512,4,11,30,3,558,13,7,4,6,0,38,64,29,5,37,0,136,974,348,221,2051,42,3644,612,7,35,0,0,653,22,4,6,19,0,56,122,30,37,369,6,562,27,3,11,25,0,62,26,5,0,8,0,34,1234,14,7,8,7,1265,221,82,54,798,12,1166,141,47,33,168,0,387,50,0,3,0,0,51,21,3,0,6,0,32,3,0,0,0,0,3,18,0,3,14,0,40,135,12,3,3,3,165,124,19,23,18,0,181,45,7,3,25,0,73,46,0,0,7,0,55,267,88,59,546,13,970,11,0,0,0,0,9,62,3,6,0,3,74,82,0,3,3,0,87,83,0,0,0,0,88,24,3,0,0,0,26,44,0,3,3,0,50,28,3,3,31,0,70,1516,104,106,111,27,1862,66,3,9,42,509,622,5610,703,551,4644,643,12153
POA4019,161,782,592,5624,113,7271,0,7,3,79,4,90,157,11,14,59,3,246,24,5,0,5,0,37,171,49,31,74,3,330,2249,792,522,5047,150,8762,153,3,38,9,4,211,85,16,4,48,3,158,219,110,42,910,15,1301,37,8,3,45,0,98,35,22,9,24,0,82,93,3,7,6,0,113,491,206,126,2069,43,2931,137,51,19,231,6,449,3,0,0,0,0,5,13,4,0,8,0,18,3,0,0,0,0,6,32,10,6,23,0,80,271,32,18,13,3,337,256,49,69,25,11,410,53,15,4,34,3,113,58,3,0,22,0,87,616,184,128,1476,26,2433,23,3,0,3,0,34,41,19,3,3,0,71,69,3,10,31,0,114,14,0,7,8,0,29,13,4,3,0,0,23,17,0,11,0,0,25,68,14,13,64,0,161,817,156,109,290,17,1386,57,15,9,132,952,1164,4908,1504,1064,11367,1267,20106
POA4020,168,893,655,5349,115,7176,0,4,4,49,0,51,159,23,17,51,3,258,49,5,0,11,0,70,235,52,37,68,0,394,2941,787,648,5244,155,9779,164,4,43,3,0,211,78,17,14,36,4,158,277,83,60,821,22,1269,50,13,9,39,0,112,59,8,0,9,0,72,87,3,3,13,3,115,656,220,145,2171,37,3222,197,67,24,250,5,546,15,0,0,0,0,15,19,3,3,13,0,38,3,0,0,4,0,6,36,12,0,21,0,77,245,26,11,19,0,299,267,74,46,20,3,410,87,12,3,34,5,145,72,3,7,18,0,99,680,194,155,1480,26,2536,35,0,4,7,0,45,110,10,17,0,0,146,80,9,3,37,0,124,14,0,0,4,0,18,0,0,0,0,0,3,30,0,5,0,0,36,141,14,11,65,0,231,974,162,92,264,13,1509,45,16,14,100,1512,1685,6199,1585,1188,11246,1820,22043
POA4021,54,367,288,2860,50,3621,0,12,3,39,0,58,96,8,4,19,0,135,11,0,3,0,0,22,89,31,11,42,0,172,1094,365,269,2413,77,4215,125,3,10,0,0,140,40,8,5,20,4,83,106,55,24,439,12,635,13,3,6,18,0,41,18,3,3,3,0,29,78,3,8,4,0,92,180,97,46,843,7,1171,32,22,3,115,3,176,6,0,0,0,0,9,13,3,3,3,0,18,0,0,0,0,0,0,8,12,0,11,0,32,232,33,22,8,3,293,124,37,21,8,0,193,30,5,5,11,0,44,26,0,0,10,0,35,257,78,65,574,12,994,10,0,4,0,0,8,31,7,0,3,0,37,24,6,4,5,0,36,23,0,0,3,0,26,0,0,0,0,0,0,11,0,3,0,0,18,27,8,10,27,0,62,471,81,68,108,7,727,24,8,6,74,574,693,2507,712,518,5345,711,9790
POA4022,57,269,193,2042,62,2623,0,0,0,17,0,16,44,7,3,20,0,77,13,0,0,0,0,10,60,16,14,45,0,133,769,243,180,1762,68,3030,66,0,19,3,0,84,25,4,0,13,0,44,63,20,9,299,3,392,5,0,0,17,3,29,15,0,3,8,0,22,87,3,3,3,0,96,142,45,31,552,5,788,34,11,8,57,0,120,11,0,0,0,0,11,4,0,0,0,0,9,0,0,0,0,0,0,8,3,3,7,0,21,104,11,4,7,0,124,63,20,18,10,4,123,15,8,0,11,0,35,18,0,0,3,0,21,190,75,35,399,9,709,3,0,0,0,0,3,36,0,0,0,0,37,15,3,3,11,0,30,15,8,0,0,0,17,0,0,0,0,0,0,21,0,0,0,0,20,17,6,3,26,0,54,370,71,29,109,15,592,32,12,9,62,465,584,1836,494,331,3879,626,7165
POA4025,0,8,6,63,0,80,0,0,0,3,0,3,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,30,7,9,62,3,113,6,0,0,0,0,6,0,0,0,0,0,0,5,0,0,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,6,0,0,23,0,30,3,0,0,4,0,9,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,19,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,4,0,21,0,0,0,3,85,90,116,19,16,129,86,368
POA4029,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,60,4,3,0,7,64,81
POA4030,89,630,522,3600,52,4902,3,9,0,35,0,49,445,23,43,46,11,565,18,11,3,9,0,38,76,55,15,66,3,218,1154,592,451,3783,65,6034,166,0,29,4,0,205,58,16,14,44,0,125,134,80,63,638,10,922,27,18,9,57,0,115,24,0,4,15,0,48,527,15,8,5,5,564,377,207,141,2065,15,2801,332,102,39,311,7,792,76,0,5,3,0,85,3,4,4,15,0,27,10,0,0,4,0,16,20,11,0,30,0,58,75,14,5,3,0,99,156,39,38,13,0,249,79,27,12,35,0,151,29,10,0,18,0,62,347,181,131,1362,14,2028,13,0,0,3,0,24,49,4,11,7,0,64,84,5,3,26,0,115,56,4,3,0,0,64,12,0,3,0,0,8,31,0,5,0,0,38,47,10,11,70,3,148,1468,136,114,239,14,1972,58,3,4,63,928,1058,4865,1288,980,8325,1072,16530
POA4031,84,595,381,3321,45,4428,0,3,0,23,0,23,236,24,20,46,6,338,12,3,3,8,0,25,58,38,18,56,3,173,854,520,355,3407,50,5185,152,7,24,0,3,194,37,8,9,29,0,89,123,55,51,594,6,831,28,21,5,50,0,108,14,3,7,4,0,29,338,10,10,4,4,376,253,202,93,1826,16,2391,336,102,44,351,8,839,66,0,4,0,0,71,10,0,0,15,0,30,3,0,0,0,0,6,12,3,3,29,0,49,60,9,3,7,0,80,111,31,27,9,3,182,46,13,9,31,0,99,24,3,8,6,0,36,267,141,80,1171,10,1663,8,0,0,3,0,15,37,11,4,3,0,52,48,6,4,18,0,75,47,5,3,0,0,55,6,0,0,0,0,7,19,0,3,3,0,22,28,7,11,63,0,112,847,111,99,196,14,1268,32,8,5,60,678,789,3348,1129,750,7551,821,13588
POA4032,145,518,414,3394,79,4547,0,3,0,55,0,57,625,20,15,50,3,716,20,7,3,6,0,36,72,17,15,44,3,150,910,476,348,3259,68,5063,427,8,32,0,3,477,52,18,3,40,0,106,101,57,30,610,3,801,35,13,10,38,3,104,16,3,0,3,0,20,872,11,10,6,3,898,199,152,95,1635,29,2113,338,79,53,275,7,745,196,0,3,3,0,201,7,0,3,8,0,14,10,0,0,0,0,10,16,8,3,26,0,51,106,6,3,7,0,129,98,44,22,14,0,186,45,8,4,28,0,79,23,0,0,12,0,43,262,154,88,1027,20,1541,24,0,0,0,3,26,36,4,7,5,0,49,90,3,3,16,0,109,36,0,0,5,0,46,15,5,0,0,0,23,63,3,3,4,3,76,26,15,8,40,3,88,1455,120,123,190,17,1905,62,4,7,90,1071,1230,5380,1023,758,7352,1263,15777
POA4034,383,1609,1220,10245,223,13681,0,7,4,120,0,135,1404,49,67,130,15,1672,79,13,15,24,0,123,242,99,54,133,0,531,3211,1475,1065,9842,223,15804,918,22,97,6,7,1053,145,19,19,91,3,279,422,153,123,1844,16,2555,137,58,17,109,4,323,75,14,7,16,0,118,2095,44,29,26,14,2211,817,380,297,4507,68,6070,800,200,87,790,29,1908,160,0,7,7,0,171,35,12,3,34,0,86,25,4,0,3,0,32,48,11,7,45,0,104,495,46,33,20,5,596,403,113,102,18,4,643,151,17,14,76,3,274,51,4,13,23,3,89,889,381,317,2919,51,4550,25,9,0,5,0,37,160,22,15,3,5,203,166,16,15,34,3,227,194,12,6,9,0,217,8,7,0,0,0,12,128,3,15,5,0,151,97,46,18,132,3,292,3932,374,351,544,65,5265,163,25,21,196,1920,2330,14684,3067,2326,21874,2502,44463
POA4035,145,1005,689,6747,75,8655,0,3,3,40,0,45,564,33,25,73,0,693,33,4,7,16,0,62,230,73,26,96,0,415,2097,929,617,5840,83,9568,190,6,26,3,0,226,79,6,4,47,0,141,261,88,74,1019,8,1447,78,21,9,75,0,181,48,17,3,3,0,67,669,10,23,7,6,712,543,264,162,2454,30,3462,468,166,52,492,9,1188,18,0,4,0,0,26,19,6,3,11,0,39,5,0,0,3,0,10,35,15,6,40,0,94,52,18,3,0,0,79,198,68,62,30,0,352,105,33,16,74,0,230,45,4,5,16,0,68,534,261,179,1872,21,2863,16,0,0,0,0,14,233,22,21,5,3,291,64,11,8,23,0,106,49,3,3,0,0,57,8,0,0,0,0,8,64,8,5,3,0,81,92,12,8,75,6,192,1132,168,156,286,10,1754,38,11,14,100,744,904,6538,1912,1271,13560,933,24209
POA4036,47,282,238,1954,27,2549,0,5,3,15,0,28,71,14,8,20,0,117,9,0,0,0,0,10,34,19,14,38,0,107,503,262,197,1626,15,2608,133,4,11,3,0,157,14,4,3,5,0,21,53,33,20,316,7,418,13,5,0,11,0,29,0,3,0,0,0,9,164,3,0,3,0,173,85,57,32,565,10,760,56,26,6,83,0,181,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,7,3,0,0,0,14,70,11,3,4,0,85,49,12,21,6,0,91,18,5,3,14,0,31,18,4,0,4,0,26,135,50,37,503,3,728,0,0,0,0,0,3,28,9,5,0,0,42,15,3,3,7,0,27,39,0,0,0,0,42,0,0,0,0,0,0,10,0,0,0,0,7,16,9,7,18,0,38,387,38,60,70,3,556,29,8,6,42,218,304,1609,502,391,3726,277,6502
POA4037,52,379,296,2494,27,3250,0,0,0,4,0,4,56,4,22,31,0,110,13,0,0,3,0,12,74,28,15,41,3,159,820,350,250,1929,25,3380,32,4,4,6,0,40,19,3,4,26,0,59,90,36,32,342,6,504,14,3,0,19,0,36,23,4,0,7,0,34,97,3,9,9,0,111,174,76,55,746,8,1058,85,36,16,131,0,266,8,0,3,0,0,8,7,3,0,4,0,13,4,0,0,3,0,9,11,4,5,12,0,38,21,10,3,3,0,37,95,22,27,6,0,151,45,8,8,22,0,83,19,0,3,6,0,29,202,87,64,561,4,915,7,0,0,4,0,11,120,8,6,3,0,131,14,3,3,9,0,27,9,0,3,0,0,10,0,4,0,0,0,3,3,0,0,0,0,3,60,12,5,24,0,102,284,67,52,97,0,504,11,4,3,41,199,261,1882,662,499,4667,257,7973
POA4051,153,1178,932,7291,107,9666,4,3,6,54,0,74,559,33,41,94,8,741,33,22,5,17,0,73,169,88,54,138,0,448,1923,1126,850,7069,100,11067,178,5,56,7,3,248,118,26,30,60,3,240,235,128,81,1141,17,1598,58,30,16,127,0,230,43,13,6,29,0,88,378,10,11,13,0,418,577,413,260,3693,36,4978,385,146,55,500,15,1099,62,0,3,0,0,66,15,10,0,21,0,45,6,3,0,0,0,9,20,17,0,46,0,86,65,23,8,3,0,110,200,66,69,25,0,356,139,31,9,68,0,255,53,10,8,34,0,105,534,324,241,2432,27,3563,20,7,0,9,0,36,131,21,22,6,0,178,92,7,8,23,0,137,72,0,5,3,0,77,19,6,0,0,0,22,84,0,0,3,0,90,64,43,12,113,0,246,1475,218,232,396,12,2336,46,15,5,157,1328,1544,6188,2260,1734,15776,1578,27531
