POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA4493,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,0,..,7,11
POA4494,52,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,140,32,..,86,140
POA4496,92,226,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,100,227,15,..,112,227
POA4497,108,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,3,9,3,11,110,273,38,..,147,273
POA4498,72,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,75,193,37,..,112,193
POA4500,12164,36694,765,1348,794,1935,1557,3287,323,548,17,42,0,0,0,0,344,597,5,15,0,0,3,5,0,3,11,24,7,20,14081,40620,878,..,14962,40620
POA4501,1518,4141,337,515,160,394,494,908,99,189,0,0,0,0,0,0,99,189,0,0,0,0,0,0,3,3,0,6,0,6,2122,5249,155,..,2281,5249
POA4502,2678,7636,67,121,124,277,196,405,126,188,0,0,0,0,0,0,126,188,0,3,0,0,0,0,0,0,0,3,0,3,2999,8235,212,..,3217,8235
POA4503,11694,34077,1450,2634,1720,3947,3173,6577,61,118,0,0,0,0,0,0,67,125,138,167,76,97,3,5,0,4,216,272,51,114,15195,41162,1173,..,16370,41162
POA4504,5380,17313,115,294,42,121,161,414,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,4,0,7,3,10,4,9,5554,17752,292,..,5849,17752
POA4505,6453,18389,201,387,301,631,500,1015,6,8,0,0,0,0,0,0,6,8,5,6,0,3,0,0,0,0,6,10,12,24,6973,19452,441,..,7420,19452
POA4506,6311,19165,507,1024,174,385,678,1415,35,68,7,14,3,3,0,0,44,83,5,5,0,0,0,10,0,0,6,18,17,35,7065,20712,432,..,7492,20712
POA4507,5755,13198,733,1106,777,1228,1509,2338,218,339,201,343,108,181,0,0,533,868,251,348,22,37,0,3,10,9,285,396,20,46,8097,16840,1354,..,9450,16840
POA4508,5822,16358,82,164,485,1146,568,1313,175,307,4,3,57,89,0,0,244,401,78,103,18,14,0,0,0,3,95,125,30,64,6761,18265,479,..,7237,18265
POA4509,7927,25157,379,664,928,2297,1307,2967,23,56,147,187,96,160,0,0,266,403,0,0,0,0,0,0,0,0,0,0,15,39,9512,28559,777,..,10292,28559
POA4510,13511,38891,1625,3248,586,1150,2212,4403,708,928,58,72,49,72,0,0,815,1079,65,89,64,83,3,8,7,10,129,198,63,139,16731,44708,1459,..,18188,44708
POA4511,2897,7645,179,346,83,140,262,487,6,10,5,7,4,3,14,26,31,52,17,31,133,179,0,0,0,5,154,213,3,10,3347,8412,287,..,3637,8412
POA4512,1023,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,4,13,16,1032,3098,74,..,1103,3098
POA4514,2081,5616,7,13,0,0,7,13,5,6,0,0,0,0,3,9,12,13,29,46,12,32,9,10,0,16,44,104,12,39,2150,5784,125,..,2283,5784
POA4515,1389,3604,24,73,6,19,31,88,3,3,0,0,0,4,0,3,8,7,17,20,0,16,0,3,0,3,20,43,10,24,1455,3768,189,..,1645,3768
POA4516,1129,3678,4,11,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,43,15,50,4,17,1146,3752,54,..,1199,3752
POA4517,261,664,8,27,0,6,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,0,0,274,707,14,..,289,707
