POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA4674,544,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,21,30,5,12,4,3,0,5,28,45,3,4,578,1292,211,..,791,1292
POA4676,65,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,64,135,24,..,92,135
POA4677,1178,2828,3,3,4,5,4,10,36,56,27,40,0,0,0,0,56,100,27,50,8,11,8,30,4,17,50,109,32,53,1329,3097,652,..,1975,3097
POA4678,332,770,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,3,0,14,3,3,5,10,10,24,0,0,346,794,185,..,526,794
POA4680,15993,44437,423,741,554,1111,980,1844,915,1458,130,199,231,380,0,0,1281,2035,212,336,22,37,18,33,6,24,259,436,32,69,18548,48823,3947,..,22492,48823
POA4694,64,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,64,170,11,..,77,170
POA4695,387,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,5,4,0,0,5,12,4,5,394,1004,50,..,445,1004
POA4697,56,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,52,149,11,..,61,149
POA4699,151,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,155,412,31,..,187,412
POA4700,5183,12752,270,403,192,292,466,698,400,634,36,61,80,138,0,0,524,825,8,4,20,36,0,3,9,24,35,62,86,173,6289,14511,1149,..,7442,14511
POA4701,13342,35551,1096,1857,311,496,1406,2350,588,1020,0,0,3,0,6,18,600,1048,33,53,4,9,3,9,5,21,43,94,35,70,15416,39100,1915,..,17333,39100
POA4702,8874,24112,79,128,22,39,103,170,56,71,0,0,0,0,3,8,59,81,185,322,39,65,84,141,24,72,330,597,104,252,9476,25210,1904,..,11383,25210
POA4703,6705,17648,292,452,114,193,404,649,541,802,61,97,68,124,0,3,673,1024,136,231,86,129,19,35,4,5,247,399,97,147,8129,19864,1475,..,9605,19864
POA4704,51,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,4,0,0,53,113,9,..,58,113
POA4705,110,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,3,0,4,0,0,6,17,3,9,121,310,45,..,167,310
POA4706,32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,71,18,..,58,71
POA4707,106,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,4,13,0,3,113,219,74,..,188,219
POA4709,271,908,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,0,3,0,0,0,0,0,3,3,3,0,0,283,922,176,..,458,922
POA4710,1587,4019,81,110,0,3,82,108,60,83,4,7,0,0,0,0,59,92,26,37,0,0,4,4,0,3,29,52,40,47,1798,4319,459,..,2258,4319
POA4711,539,1655,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,13,544,1670,33,..,583,1670
POA4712,94,228,0,0,0,0,0,0,8,11,0,0,0,0,0,0,8,11,0,3,0,0,0,0,3,4,4,4,7,15,109,250,42,..,148,250
POA4713,209,814,32,75,0,0,32,75,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,245,900,21,..,269,900
POA4714,1143,2503,5,12,0,0,5,12,24,29,0,0,0,0,0,0,24,29,25,35,0,0,14,19,3,10,45,67,3,14,1219,2623,231,..,1448,2623
POA4715,2196,6089,21,41,7,15,27,58,145,248,0,0,0,0,0,0,142,249,28,38,4,8,0,0,3,3,34,54,7,15,2415,6455,348,..,2763,6455
POA4716,310,818,0,0,0,0,0,0,7,12,0,0,0,0,0,0,7,12,8,4,0,0,0,0,0,0,8,4,0,3,322,840,51,..,374,840
POA4717,1343,3765,0,0,10,13,10,13,84,127,0,0,0,0,0,3,82,126,4,3,0,3,0,0,4,6,13,16,3,8,1454,3932,728,..,2181,3932
POA4718,729,1906,7,14,9,26,22,42,13,30,0,0,0,0,0,0,13,30,3,8,3,5,0,0,0,0,6,15,12,16,782,2011,371,..,1150,2011
POA4719,353,818,8,5,0,0,8,5,4,3,0,0,0,0,0,0,4,3,11,19,3,11,0,0,4,9,19,38,3,9,388,875,132,..,517,875
POA4720,3722,10962,242,428,62,124,304,550,371,637,3,0,0,0,0,0,371,642,22,46,8,13,11,34,6,9,45,96,46,106,4500,12359,1016,..,5519,12359
POA4721,1074,2867,6,14,0,9,11,25,66,116,0,0,0,0,0,0,68,119,27,48,6,16,6,7,0,6,38,79,18,48,1209,3131,333,..,1535,3131
POA4722,381,1040,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,7,13,0,0,3,3,0,0,9,17,183,431,574,1500,81,..,654,1500
POA4723,408,1132,0,0,0,4,0,4,31,46,0,0,0,0,0,0,31,46,6,11,0,0,0,0,0,4,10,19,4,9,458,1208,144,..,601,1208
POA4724,205,494,0,0,0,0,0,0,5,4,0,0,0,0,0,0,5,4,0,0,0,0,0,0,3,3,4,6,10,16,215,516,20,..,237,516
POA4725,533,1219,0,0,0,0,0,0,13,21,0,0,0,0,0,0,14,19,21,37,0,3,0,0,0,0,21,44,13,26,584,1314,91,..,669,1314
POA4726,155,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,6,3,3,160,378,77,..,245,378
POA4727,83,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,5,4,0,8,96,219,60,..,156,219
POA4728,74,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,3,10,0,3,75,189,10,..,92,189
POA4730,1068,2543,36,50,4,13,41,58,56,87,0,0,0,0,0,0,56,87,23,56,6,8,5,4,5,3,39,72,11,21,1212,2779,335,..,1548,2779
POA4731,76,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,10,15,0,0,80,169,44,..,120,169
POA4732,50,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,110,21,..,75,110
POA4733,57,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,3,10,21,0,8,70,178,25,..,95,178
POA4735,345,746,4,11,0,0,4,11,22,24,0,0,0,0,0,0,22,24,29,49,0,3,0,0,3,12,29,59,7,8,409,852,108,..,516,852
POA4736,41,87,0,0,0,0,0,0,7,8,0,0,0,0,0,0,7,8,3,6,0,0,0,0,0,0,3,4,0,0,49,99,24,..,77,99
POA4737,2576,6746,38,70,3,6,49,84,126,201,0,0,0,0,0,3,126,206,39,53,0,0,3,7,0,3,42,61,5,13,2795,7112,487,..,3289,7112
POA4738,389,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0,0,3,17,0,0,20,36,0,3,405,1027,110,..,510,1027
POA4739,136,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,7,17,0,0,147,307,52,..,193,307
POA4740,23506,62286,2193,3739,1032,1903,3221,5648,1253,2094,46,76,295,526,0,3,1599,2698,221,349,63,103,33,63,12,37,327,559,153,262,28809,71451,4364,..,33176,71451
POA4741,2260,5795,16,41,0,0,16,41,8,18,0,0,0,0,0,0,8,18,40,79,7,14,20,37,8,22,71,150,28,62,2382,6061,530,..,2913,6061
POA4742,273,692,0,0,0,0,0,0,8,17,0,0,0,0,0,0,8,17,9,20,0,3,0,0,0,0,16,26,3,8,301,737,183,..,490,737
POA4743,150,484,4,10,0,0,4,10,9,9,0,0,0,0,7,7,16,12,0,0,0,0,0,0,0,0,0,0,3,8,175,514,364,..,540,514
POA4744,2106,6445,92,175,185,321,280,501,145,290,14,21,6,11,0,0,172,323,14,24,12,17,0,0,3,7,31,51,4,3,2590,7325,1069,..,3659,7325
POA4745,739,2113,9,9,15,21,22,28,43,59,0,0,0,0,0,0,43,59,0,3,0,0,0,0,0,3,4,4,5,11,812,2215,574,..,1385,2215
POA4746,461,1418,34,53,6,25,39,75,7,7,0,0,0,0,0,0,7,7,0,0,0,0,0,0,3,0,3,0,15,29,519,1532,395,..,917,1532
POA4750,1737,4895,58,102,34,49,93,151,50,92,0,0,0,0,0,4,49,93,20,31,0,0,0,6,0,0,20,32,33,62,1930,5239,305,..,2239,5239
POA4751,1462,3972,28,39,0,6,25,50,35,61,0,0,0,0,0,0,35,61,3,3,0,0,3,12,0,0,4,9,4,16,1534,4106,156,..,1692,4106
POA4753,1306,3827,3,4,0,0,3,4,12,18,0,0,0,0,0,0,12,18,0,0,0,0,0,8,0,0,0,8,0,3,1319,3862,113,..,1436,3862
POA4754,686,1900,8,10,0,0,8,10,17,27,0,0,0,0,0,0,17,27,11,17,0,0,0,0,4,10,15,27,10,18,733,1980,109,..,833,1980
POA4756,229,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,3,5,15,0,0,243,570,60,..,307,570
POA4757,117,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,9,4,8,122,293,71,..,197,293
POA4798,240,596,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,9,29,0,0,252,624,67,..,318,624
POA4799,325,804,0,4,3,6,7,14,7,6,0,0,0,0,0,0,4,6,13,22,7,7,25,49,0,0,49,80,0,3,389,913,79,..,466,913
POA4800,2970,7752,87,161,28,38,114,198,127,196,3,4,0,0,0,0,135,205,22,77,3,5,8,16,5,11,41,108,48,80,3303,8344,638,..,3944,8344
POA4801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
POA4802,2036,5512,130,288,405,824,538,1112,376,710,143,242,27,45,3,3,549,1000,54,95,27,52,4,18,12,17,94,178,88,232,3300,8036,713,..,4015,8036
POA4803,21,56,3,5,0,0,3,5,85,151,0,0,15,24,0,0,100,175,0,0,6,4,0,0,0,0,6,4,21,39,149,276,45,..,195,276
POA4804,619,1385,10,11,0,4,12,20,3,4,0,0,0,0,0,0,3,4,5,15,0,3,0,0,0,0,7,16,11,16,646,1442,325,..,971,1442
POA4805,3261,8308,191,304,59,125,250,431,196,386,14,29,0,0,5,3,216,417,106,180,11,20,5,0,13,20,129,217,29,77,3884,9449,600,..,4485,9449
POA4806,1358,3369,7,20,0,4,14,21,41,69,0,0,0,0,0,0,41,69,33,50,0,6,3,3,3,11,43,69,6,12,1459,3540,228,..,1684,3540
POA4807,3617,9185,24,39,11,10,33,55,472,703,0,0,0,0,0,0,472,709,45,84,5,7,9,14,13,34,77,142,39,54,4236,10137,615,..,4855,10137
POA4808,420,1006,0,0,0,0,0,0,7,10,0,0,0,0,0,0,7,10,4,8,0,0,0,0,0,0,4,8,0,4,428,1027,54,..,487,1027
POA4809,368,877,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,19,0,0,3,12,0,0,12,35,3,6,388,928,201,..,592,928
POA4810,4155,10173,717,1092,1024,1718,1744,2810,742,1233,767,1276,1425,2578,3,3,2935,5090,31,62,65,106,0,0,12,17,110,185,58,103,8987,18358,1761,..,10754,18358
POA4811,3717,10112,219,373,48,73,269,450,140,217,214,362,4,9,0,0,368,590,46,74,0,3,10,14,0,0,59,98,15,26,4419,11278,531,..,4952,11278
POA4812,4763,12257,1214,1860,892,1576,2106,3433,667,1073,114,207,3,3,0,0,781,1276,31,46,4,13,3,5,9,13,44,81,26,46,7713,17101,1271,..,8983,17101
POA4814,13294,37406,960,1546,422,869,1381,2412,196,299,222,380,16,36,3,6,433,716,3,17,9,23,3,6,8,42,27,86,21,38,15158,40660,1550,..,16709,40660
POA4815,6624,18696,189,305,65,128,259,430,89,210,5,6,0,0,0,0,99,225,3,6,3,6,0,3,0,3,3,13,12,26,7001,19390,779,..,7782,19390
POA4816,2768,7859,78,157,22,49,100,212,37,95,0,0,0,0,0,0,42,96,102,165,6,14,33,87,3,9,145,274,52,141,3097,8579,757,..,3859,8579
POA4817,9251,26711,562,1004,197,390,758,1391,47,90,21,38,6,12,8,8,87,146,40,68,5,3,3,12,3,4,49,90,22,50,10164,28387,862,..,11030,28387
POA4818,8818,25179,188,352,38,88,227,432,15,42,0,0,0,6,0,0,15,43,152,252,14,22,4,8,3,5,168,288,42,100,9274,26048,931,..,10206,26048
POA4819,812,1721,16,27,17,40,34,67,100,146,18,31,6,15,0,0,131,196,0,0,10,15,0,0,3,4,14,20,37,52,1024,2048,469,..,1492,2048
POA4820,3498,8703,12,19,0,3,10,15,137,206,0,0,0,0,3,4,144,214,45,79,3,10,0,0,22,39,69,128,8,21,3732,9080,607,..,4339,9080
POA4821,328,749,150,362,0,0,150,362,4,6,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,3,0,3,16,39,504,1159,165,..,672,1159
POA4822,271,684,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,6,0,7,4,19,10,24,295,732,92,..,394,732
POA4823,252,646,9,9,0,0,10,9,3,3,0,0,0,0,0,0,3,3,6,13,0,0,0,3,3,9,9,25,15,26,288,713,141,..,432,713
POA4824,674,1813,14,30,0,0,14,30,85,129,0,0,0,0,0,0,85,129,55,95,4,9,0,0,0,0,62,106,25,60,858,2132,275,..,1135,2132
POA4825,4778,14106,788,1451,123,226,913,1677,342,656,4,10,0,0,0,0,352,663,55,116,0,4,0,4,16,56,75,182,73,160,6192,16785,1290,..,7479,16785
POA4828,42,130,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,14,28,0,0,0,0,0,0,14,28,5,13,64,174,7,..,70,174
POA4829,139,312,5,7,0,0,5,7,0,4,0,0,0,0,0,0,0,4,3,8,0,0,0,0,3,4,5,15,6,20,159,358,28,..,189,358
POA4830,265,1420,10,20,19,38,28,58,36,139,0,0,0,3,0,0,42,142,10,51,0,0,3,5,3,3,18,70,3,8,356,1696,43,..,396,1696
POA4849,428,926,20,38,4,3,28,41,65,110,13,22,0,0,0,0,84,131,30,39,7,15,3,0,7,9,46,71,3,10,584,1177,201,..,782,1177
POA4850,3923,9250,41,64,5,3,47,71,212,278,0,0,0,0,0,0,215,285,58,104,0,3,12,20,9,25,82,151,23,47,4284,9801,861,..,5150,9801
POA4852,1143,2709,60,103,0,0,60,103,143,278,4,7,4,6,0,0,145,293,32,78,3,4,4,12,0,3,38,89,12,35,1401,3222,422,..,1823,3222
POA4854,1767,4631,30,46,0,0,30,46,87,181,0,0,0,0,0,0,87,181,22,35,20,30,5,8,6,12,55,83,13,30,1955,4975,275,..,2227,4975
POA4855,280,643,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,9,9,0,0,0,0,3,4,12,20,7,17,291,680,38,..,329,680
POA4856,259,624,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,6,4,0,0,0,0,8,17,0,0,267,645,50,..,310,645
POA4858,509,1301,8,8,0,5,6,16,8,22,0,0,0,0,0,0,8,22,15,32,0,0,0,0,0,5,23,35,3,9,542,1375,47,..,595,1375
POA4859,186,418,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,192,419,19,..,212,419
POA4860,3409,8721,56,108,41,71,100,176,366,689,4,11,20,43,0,0,389,744,29,41,8,6,3,13,110,193,148,256,37,74,4087,9973,450,..,4538,9973
POA4861,538,1230,13,25,0,0,13,25,22,40,0,0,0,0,0,0,22,40,6,7,0,0,7,6,4,8,12,26,5,3,594,1322,115,..,703,1322
POA4865,2555,7197,80,166,10,10,87,180,57,106,0,4,0,0,0,0,60,113,10,21,0,0,0,0,3,7,12,31,9,24,2727,7534,171,..,2900,7534
POA4868,6176,17294,424,821,212,438,638,1253,469,908,179,388,90,201,0,0,736,1494,84,133,0,0,0,0,10,18,92,155,12,34,7660,20231,740,..,8399,20231
POA4869,5524,16862,34,60,54,103,90,164,316,562,0,0,0,0,0,0,316,562,29,46,11,15,0,3,9,33,55,93,20,54,5994,17734,521,..,6513,17734
POA4870,15142,42503,1666,3046,1437,2759,3106,5809,4013,7184,2073,4001,808,1566,5,17,6905,12766,53,100,123,179,6,16,61,139,245,425,234,401,25627,61907,2968,..,28603,61907
POA4871,3075,8669,64,284,6,17,66,296,54,144,0,0,0,0,0,0,54,144,134,221,27,61,78,214,14,32,249,533,48,144,3497,9780,635,..,4131,9780
POA4872,1296,3225,3,4,8,10,6,15,21,33,0,0,0,0,0,0,21,33,62,101,22,29,15,25,9,23,111,175,16,25,1450,3478,371,..,1822,3478
POA4873,2038,5033,71,107,10,15,82,123,124,207,7,14,14,25,0,0,147,249,45,78,3,0,7,6,17,38,70,127,63,155,2398,5692,430,..,2826,5692
POA4874,997,3484,199,494,195,435,397,928,47,62,0,0,0,0,0,0,47,62,15,26,3,3,30,59,3,12,52,101,0,9,1492,4582,276,..,1769,4582
POA4875,1649,6526,82,230,39,104,120,340,94,266,10,28,0,0,0,0,107,294,0,0,5,14,0,0,8,20,17,34,0,0,1882,7203,210,..,2094,7203
POA4876,566,2413,50,124,4,11,47,137,17,43,3,3,0,0,0,0,21,47,5,6,5,6,26,60,4,14,46,94,4,10,688,2694,70,..,755,2694
POA4877,956,2431,161,326,238,484,396,811,260,457,63,130,17,31,0,0,334,620,30,47,35,63,3,9,3,14,70,125,10,20,1772,4009,470,..,2245,4009
POA4878,3726,9772,328,579,491,825,825,1403,210,302,265,495,54,87,3,3,530,883,28,63,22,31,3,5,0,3,53,102,27,52,5159,12211,579,..,5737,12211
POA4879,5467,14756,278,535,292,509,575,1039,257,442,654,1291,111,205,3,3,1025,1935,8,23,23,43,3,8,0,0,36,76,101,176,7204,17986,1233,..,8434,17986
POA4880,3954,10450,91,180,6,9,98,194,166,282,3,5,49,69,0,3,220,365,74,114,3,3,26,45,11,35,117,194,22,45,4402,11251,460,..,4866,11251
POA4881,1547,3895,10,20,0,0,11,16,21,33,0,0,0,3,0,0,24,36,19,28,9,9,8,8,0,0,34,50,13,29,1630,4035,290,..,1915,4035
POA4882,962,2457,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,32,44,0,0,0,0,7,19,39,62,3,23,1014,2548,92,..,1107,2548
POA4883,2725,6872,151,221,24,38,174,260,344,527,0,0,0,0,0,3,343,527,26,38,7,11,0,3,7,13,39,66,13,28,3293,7750,420,..,3714,7750
POA4884,694,1667,3,6,0,0,3,6,13,26,0,0,0,0,0,0,13,26,5,13,3,3,0,3,0,0,11,19,3,7,728,1724,208,..,936,1724
POA4885,1362,3338,51,67,5,7,58,75,0,0,0,0,0,0,0,0,0,0,5,10,0,3,0,0,0,0,7,13,3,21,1436,3448,247,..,1680,3448
POA4886,330,788,0,4,0,0,0,4,4,3,0,0,0,0,0,0,4,3,7,5,0,0,0,0,0,0,7,5,0,4,340,802,68,..,408,802
POA4887,721,1643,0,0,6,0,6,3,10,20,0,0,0,0,0,0,10,20,7,9,0,0,6,10,3,4,18,28,7,22,765,1702,132,..,896,1702
POA4888,1008,2410,5,16,0,0,5,16,26,47,0,0,0,0,0,0,26,47,20,24,0,0,4,15,5,14,33,49,6,10,1072,2530,209,..,1282,2530
POA4890,342,1065,0,8,0,0,0,8,8,10,0,0,0,0,0,0,8,10,16,30,3,0,4,17,0,0,24,44,10,23,379,1144,32,..,414,1144
POA4891,145,312,0,0,0,0,0,0,15,32,0,0,0,0,0,0,15,32,48,89,3,3,6,4,0,3,59,105,18,26,237,481,82,..,316,481
POA4892,1111,4541,53,129,53,134,103,264,65,142,0,0,0,0,0,0,64,140,12,55,10,17,18,43,3,12,50,129,0,0,1336,5072,298,..,1633,5072
POA4895,1222,3328,18,47,0,0,18,47,101,152,0,0,0,0,0,0,101,152,54,93,18,23,8,7,11,21,82,149,28,43,1450,3725,223,..,1669,3725
