POA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA4428,109,0,0,0,0,115,64,0,0,0,4,67,4,0,0,0,0,4,0,3,0,0,0,5,26,0,0,0,0,21,0,0,0,0,0,0,8,0,0,0,0,12,3,0,0,0,0,8,40,3,0,0,0,51,0,0,0,0,0,0,8,0,0,0,0,8,223,3,0,3,4,238
POA4454,95,0,0,0,0,100,52,0,0,0,0,50,0,0,0,0,0,0,0,0,3,0,0,9,35,0,0,0,0,35,0,0,0,0,0,0,23,0,0,3,3,28,7,0,0,0,0,7,70,0,3,3,3,79,5,0,0,0,0,5,15,0,0,0,0,15,233,0,7,3,3,246
POA4455,774,4,0,12,5,791,862,4,3,3,4,873,512,65,25,0,0,600,78,17,4,0,0,102,199,9,3,3,5,217,10,15,0,0,0,27,144,3,10,3,4,158,23,3,0,0,0,23,962,112,39,9,7,1124,19,0,0,0,0,23,85,3,0,4,4,102,2693,118,48,22,21,2910
POA4461,5,0,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,26
POA4462,22,0,0,0,0,22,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,3,4,0,0,0,0,4,43,0,0,0,0,44
POA4465,198,0,0,5,0,205,112,0,0,0,4,118,16,0,0,0,0,16,13,4,0,0,0,19,42,0,0,0,0,42,0,0,0,0,0,0,19,3,0,0,0,22,8,0,0,0,0,8,103,5,0,0,0,111,3,0,0,0,0,3,9,0,0,0,0,15,425,11,0,12,3,451
POA4467,29,0,0,3,0,30,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,17,0,0,0,0,19,11,0,0,0,0,11,3,0,0,0,0,3,73,0,0,3,0,78
POA4468,48,0,0,0,0,51,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,12,4,0,0,0,0,4,27,0,0,0,0,27,3,0,0,0,0,3,4,0,0,0,0,6,108,0,0,3,0,110
POA4470,411,0,0,12,11,438,380,0,0,3,0,383,147,3,13,0,0,164,41,10,11,0,0,60,102,3,3,4,0,109,3,10,0,0,0,11,61,5,9,0,0,73,12,0,0,0,0,15,359,37,31,3,0,429,12,0,0,0,0,19,37,3,3,0,0,47,1204,41,34,23,9,1316
POA4472,235,0,0,10,0,246,121,0,0,0,0,124,38,0,0,0,0,38,19,3,3,0,0,24,40,0,0,0,0,39,3,17,0,0,0,24,27,0,3,3,0,32,16,0,0,0,0,16,143,22,6,3,0,174,4,0,0,0,0,4,11,5,0,0,0,25,512,26,7,15,4,575
