POA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA4517,101,0,0,0,0,98,111,9,0,0,0,121,11,0,0,0,0,11,10,0,0,0,0,10,14,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,0,0,0,36,4,0,0,0,37,0,0,0,0,0,0,9,0,0,0,0,11,261,10,0,3,0,274
POA4518,622,0,0,5,0,631,755,0,0,4,0,759,156,0,3,0,0,164,3,0,0,0,0,3,103,0,0,0,0,101,0,0,0,0,0,0,16,0,0,3,0,18,14,0,0,0,0,14,296,0,5,3,0,298,3,0,0,0,0,3,48,0,0,0,0,48,1722,0,4,12,3,1737
POA4519,826,38,5,36,0,903,1085,25,4,0,3,1119,317,144,9,0,3,470,37,16,15,0,0,71,208,19,0,4,4,229,5,0,0,0,0,3,30,0,0,3,0,30,13,5,0,0,0,17,610,179,20,3,4,819,11,10,0,0,0,21,48,7,0,3,0,62,2576,255,36,45,12,2923
POA4520,1504,3,0,4,8,1522,2085,3,0,6,12,2106,162,0,0,0,0,166,0,0,0,0,0,0,142,0,0,0,3,145,3,0,0,0,0,3,4,0,0,0,0,4,9,0,0,0,0,12,321,0,0,0,4,328,11,20,0,0,0,37,49,0,0,0,3,53,3983,28,3,13,22,4039
POA4521,496,0,3,11,3,509,789,0,4,0,0,796,81,0,0,3,0,83,0,0,0,0,0,0,81,0,3,0,4,80,0,0,0,0,0,0,4,0,0,0,0,9,11,0,0,0,0,11,182,0,5,3,4,189,16,0,0,0,0,15,35,0,0,0,0,30,1508,0,9,15,9,1540
POA4550,440,0,3,43,3,493,599,3,0,3,0,612,150,25,6,0,0,184,8,6,12,0,0,26,105,4,6,4,0,123,3,0,0,0,0,3,7,0,0,11,0,21,12,4,0,0,0,16,288,38,19,17,0,369,4,0,0,0,0,4,26,3,6,0,0,40,1360,50,29,66,7,1511
POA4551,5445,1063,906,276,59,7757,5554,381,379,14,22,6344,2568,759,1038,9,10,4378,180,159,215,0,0,555,772,213,297,8,14,1309,25,29,42,0,0,95,62,42,26,82,3,211,46,13,14,0,0,78,3642,1214,1635,98,32,6628,71,168,16,3,6,261,259,100,93,22,20,493,14976,2929,3034,417,136,21487
POA4552,1656,29,10,13,8,1718,891,13,9,7,6,930,276,29,0,3,0,307,8,5,0,0,0,16,220,3,9,13,3,250,3,4,0,0,0,8,26,0,0,3,3,32,30,0,0,4,0,37,568,42,9,27,5,652,36,3,0,3,0,45,58,3,0,0,3,65,3216,94,27,51,27,3414
POA4553,553,8,0,3,4,566,956,0,0,4,0,963,149,0,0,0,0,154,0,0,0,0,0,0,118,0,5,0,3,128,0,0,0,0,0,0,6,0,0,0,0,7,8,0,0,0,0,8,278,0,4,4,3,298,16,19,0,0,0,34,33,0,0,0,0,33,1836,28,6,11,14,1895
POA4554,199,0,0,0,3,205,294,0,0,0,0,294,32,0,0,0,0,35,0,0,0,0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,96,0,0,0,0,98,0,0,0,0,0,0,12,0,0,0,0,12,604,0,0,0,3,604
POA4555,754,18,9,25,0,805,995,9,0,0,6,1010,200,12,0,0,0,213,18,5,0,0,0,18,128,3,3,0,5,147,3,3,0,0,0,8,12,0,0,22,3,36,11,0,0,0,0,11,365,26,3,20,13,428,8,35,5,0,0,48,31,3,0,3,3,40,2153,91,16,53,19,2329
POA4556,3759,968,220,50,12,5007,5029,227,92,0,17,5375,1678,443,456,0,8,2582,53,72,66,0,0,182,553,118,97,3,10,785,19,44,12,0,0,73,40,37,13,16,3,114,43,10,0,0,0,62,2390,713,642,26,26,3794,226,657,31,0,0,915,232,151,33,8,10,436,11639,2723,1020,83,60,15533
POA4557,1224,122,299,34,10,1691,1749,107,296,7,6,2163,957,182,906,0,7,2054,27,36,178,0,0,239,229,47,196,0,5,470,0,4,4,0,0,5,10,3,19,5,0,33,15,3,11,0,0,24,1239,271,1309,6,10,2832,6,0,3,0,0,18,90,30,81,4,0,199,4303,522,1988,51,31,6901
POA4558,1156,471,597,150,16,2394,1058,368,347,7,0,1792,544,648,1055,6,18,2265,50,158,171,0,3,385,247,176,311,11,5,745,6,15,10,0,0,34,18,16,29,28,0,93,18,13,21,0,0,53,881,1027,1599,50,31,3578,64,40,7,0,4,113,97,74,111,18,12,304,3255,1982,2659,226,63,8177
POA4559,688,14,0,85,7,787,856,4,3,0,0,864,138,28,0,8,0,170,5,7,0,0,0,6,117,4,5,13,0,140,3,0,0,0,0,3,11,3,3,43,0,62,9,0,0,3,0,11,283,39,9,66,0,396,8,0,0,3,0,10,38,0,0,9,0,47,1875,52,12,158,8,2107
POA4560,3448,373,43,60,18,3952,4048,138,41,16,14,4270,1098,316,264,3,9,1688,117,110,95,0,0,321,572,53,77,8,9,721,19,19,46,0,0,84,40,12,7,97,3,164,41,4,12,3,0,54,1886,514,495,113,22,3029,71,117,13,0,3,206,224,36,27,11,8,307,9678,1173,620,207,71,11750
POA4561,753,10,3,15,6,789,1063,21,3,3,9,1090,173,24,29,0,3,229,5,11,24,0,0,39,139,0,3,0,0,147,0,0,0,0,0,4,10,0,0,35,0,45,4,0,0,6,0,12,335,32,50,40,5,470,12,0,0,0,0,9,40,0,3,7,3,56,2199,60,63,65,29,2421
POA4562,1000,5,0,3,9,1023,1187,3,4,0,4,1203,207,0,0,0,3,213,0,0,0,0,0,0,146,0,0,3,8,159,0,0,0,0,0,0,12,0,0,0,0,12,13,0,0,0,0,18,386,6,3,3,12,404,17,0,0,0,0,17,52,0,0,0,3,57,2645,15,3,11,27,2698
POA4563,1264,9,18,15,5,1316,1110,6,18,4,6,1139,249,9,26,0,0,285,31,3,11,0,0,47,161,3,11,3,0,181,3,0,0,0,0,3,15,0,0,9,0,23,18,0,0,3,0,21,471,13,60,12,3,558,17,0,0,0,0,15,75,3,0,0,3,83,2937,35,97,36,13,3116
POA4564,865,182,158,22,0,1227,1021,185,114,3,0,1324,391,339,290,0,0,1019,3,6,3,0,0,15,163,104,93,0,0,365,0,0,5,0,0,4,14,18,11,3,0,41,8,4,5,0,0,15,577,471,406,4,3,1457,21,47,3,0,0,73,37,14,16,0,5,80,2518,893,703,27,7,4150
POA4565,1798,256,42,23,10,2122,1639,56,18,11,7,1722,646,87,66,0,5,799,90,3,74,0,0,166,280,53,17,3,7,368,3,3,0,0,0,9,21,3,4,9,7,47,27,9,0,0,3,42,1064,155,166,19,21,1421,26,106,5,0,0,134,129,28,11,3,10,181,4653,608,230,49,43,5587
POA4566,943,376,121,8,3,1453,593,130,54,0,12,791,301,193,120,4,6,619,19,6,11,0,0,36,103,77,55,0,3,239,3,3,0,0,0,3,10,10,3,0,0,24,8,5,0,0,0,20,445,289,186,4,11,935,48,78,13,0,0,136,42,30,17,3,4,97,2071,907,385,13,32,3408
POA4567,1266,140,157,0,7,1577,1012,134,113,0,12,1273,421,219,244,0,5,889,20,21,28,0,0,74,173,70,66,0,7,314,3,0,0,0,0,7,15,4,3,0,4,19,7,3,6,0,0,16,636,317,347,0,17,1319,15,3,4,0,0,19,59,27,10,0,4,99,2987,620,635,0,37,4281
POA4568,488,3,0,17,3,512,529,0,0,4,0,541,100,0,0,3,0,99,0,0,0,0,0,0,89,3,4,0,3,96,0,0,0,0,0,0,5,0,0,4,0,7,3,0,0,0,0,5,192,3,8,7,3,217,9,0,0,0,0,13,15,0,0,0,0,19,1241,9,6,29,14,1302
POA4569,203,0,0,0,0,203,274,0,0,0,0,276,52,0,0,0,0,52,3,0,0,0,0,3,42,0,0,0,0,43,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,102,0,0,0,0,106,0,0,0,0,0,0,15,0,0,0,0,15,598,0,0,3,0,600
POA4570,5642,41,20,147,29,5875,5087,24,8,43,16,5183,1795,231,101,11,9,2151,125,109,32,0,3,267,1161,69,56,21,15,1321,18,30,30,0,0,80,124,16,19,24,8,191,91,3,4,4,0,108,3314,467,238,61,35,4114,82,3,19,0,0,106,374,33,17,21,10,450,14503,567,302,268,90,15729
POA4571,134,0,0,3,0,136,106,0,0,0,0,109,20,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,25,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,50,0,0,0,0,51,0,0,0,0,0,0,3,0,0,0,0,3,289,0,0,3,0,296
POA4572,225,27,176,15,0,440,221,33,130,0,3,383,75,36,332,0,3,453,0,3,17,0,0,18,35,18,103,0,0,153,3,0,0,0,0,0,0,6,13,3,0,29,4,0,3,0,0,4,119,60,474,3,6,664,3,0,23,3,0,23,18,3,27,3,0,48,581,126,823,29,13,1566
POA4573,2171,375,148,19,9,2719,2821,238,108,0,12,3176,1413,521,329,4,27,2285,67,57,33,0,0,163,375,144,96,0,10,615,5,8,0,0,0,15,26,7,13,3,0,50,32,12,4,3,0,53,1910,754,478,12,36,3188,28,28,3,0,0,59,124,42,19,4,8,190,7048,1427,757,36,58,9333
POA4574,210,0,0,12,0,218,154,0,0,3,0,155,45,0,0,0,0,47,3,0,0,0,0,4,47,0,0,0,0,42,0,0,3,0,0,3,10,0,0,0,0,13,7,0,0,0,0,9,109,0,9,0,5,123,8,0,0,0,0,5,6,0,0,0,0,10,487,0,12,10,5,512
POA4575,2205,644,252,33,0,3135,2278,166,100,0,3,2555,1302,260,534,3,0,2106,87,52,44,0,3,187,390,112,167,0,0,668,0,15,4,0,0,19,19,9,15,3,0,44,27,9,14,0,0,53,1836,455,772,4,5,3075,24,40,32,0,0,92,114,37,23,3,0,178,6456,1343,1191,38,14,9040
POA4580,902,32,8,89,3,1037,387,3,0,11,0,402,317,56,10,17,3,405,15,9,0,0,0,26,106,23,0,6,0,132,0,0,0,0,0,0,4,0,3,10,0,22,8,4,0,0,0,13,451,98,14,32,3,601,5,10,0,0,0,18,60,5,3,6,0,71,1809,150,24,144,3,2133
POA4581,184,9,12,23,0,233,66,6,7,7,0,88,64,36,30,3,0,130,0,0,0,0,0,0,19,12,11,3,0,40,0,0,0,0,0,0,17,0,3,10,0,27,4,0,3,3,0,11,98,54,48,17,0,211,3,0,0,0,0,5,5,0,0,0,3,13,360,72,67,47,3,551
POA4600,168,0,0,10,0,174,108,0,0,3,0,112,11,0,0,0,0,13,0,0,3,0,0,8,33,0,3,4,0,40,0,0,0,0,0,0,7,0,3,0,0,13,3,0,0,0,0,3,61,4,11,3,0,79,4,0,0,0,0,4,16,0,0,0,0,22,349,4,12,17,0,383
POA4601,183,0,3,10,0,194,108,0,0,0,0,108,36,0,3,0,0,36,0,0,9,0,0,4,44,0,4,0,0,49,0,0,0,0,0,0,18,0,0,0,0,18,8,0,0,0,0,8,105,0,13,0,0,120,3,0,0,0,0,3,8,0,3,0,0,14,415,0,20,12,0,440
POA4605,506,0,0,5,0,516,343,0,4,3,0,349,188,4,10,0,0,203,259,9,14,0,3,289,90,0,3,0,0,95,27,0,8,0,0,34,30,0,8,3,0,37,22,0,3,0,0,23,616,16,46,3,3,687,9,0,0,3,0,7,35,0,3,0,0,43,1503,16,55,20,3,1597
POA4606,376,3,0,6,0,399,254,4,0,3,3,263,111,21,8,0,0,142,14,0,0,0,0,22,49,0,3,0,0,57,3,14,0,0,0,13,15,0,0,0,0,15,5,3,0,0,0,10,200,34,16,5,0,260,3,0,0,0,0,3,23,3,0,0,0,28,865,45,19,16,4,951
POA4608,149,0,0,4,0,154,95,0,0,3,0,100,41,0,0,0,0,41,0,0,0,0,0,0,24,0,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,8,70,0,0,3,0,71,4,0,0,0,0,4,8,0,0,0,0,7,323,0,0,15,3,339
POA4610,1891,19,22,37,3,1971,1545,16,6,8,6,1586,867,130,161,0,3,1159,51,27,35,0,0,116,339,8,15,9,0,373,18,3,12,0,0,29,58,4,10,3,0,80,47,0,3,3,3,53,1380,168,236,17,11,1811,46,0,0,0,0,46,130,10,11,6,0,165,4997,211,281,71,16,5577
POA4611,12,0,0,0,0,12,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,37,0,0,0,0,37
POA4612,44,0,0,0,0,46,30,0,0,0,0,30,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,3,16,0,0,0,0,0,0,3,0,0,0,0,3,94,0,0,0,4,102
POA4613,180,0,0,12,0,189,69,0,0,0,0,71,18,0,0,0,0,13,0,0,0,0,0,0,33,0,0,3,0,36,0,0,0,0,0,3,15,0,0,0,0,19,6,0,0,0,3,8,68,0,3,3,0,74,0,0,0,0,0,0,11,0,0,3,0,15,329,0,3,13,3,349
POA4614,210,0,0,9,0,219,112,0,0,0,0,113,40,0,5,0,0,52,3,0,5,0,0,6,46,0,0,3,0,48,0,0,0,0,0,0,7,3,0,0,0,10,4,0,0,0,0,4,108,3,9,4,0,128,0,0,0,0,0,0,20,0,0,0,0,20,446,3,12,16,0,476
POA4615,1105,0,0,22,4,1130,786,3,0,4,3,793,302,21,29,0,3,358,19,19,3,0,0,38,185,4,0,0,3,193,0,0,11,0,0,11,23,3,4,20,0,47,19,0,4,0,0,23,552,43,56,21,4,679,25,0,0,0,0,24,82,4,0,8,0,95,2545,53,53,53,12,2722
POA4620,93,0,0,0,0,93,45,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,151
POA4621,359,0,0,18,0,378,171,0,0,0,0,174,30,0,0,0,0,30,7,9,0,0,0,12,51,0,3,0,0,54,0,0,0,0,0,0,17,0,0,0,0,18,9,0,0,0,0,12,114,7,3,3,0,129,10,0,0,0,0,10,22,3,0,0,0,28,686,7,3,23,3,717
POA4625,361,0,0,24,3,391,254,0,0,8,0,262,98,5,8,0,0,112,18,6,9,0,0,35,92,0,3,4,3,97,3,0,0,0,0,3,48,0,0,11,0,59,17,0,0,0,0,21,268,15,18,15,3,320,10,0,0,0,0,5,29,0,0,0,0,36,918,15,20,46,10,1012
POA4626,302,0,0,11,0,313,174,0,3,3,0,183,65,0,12,0,0,79,8,0,0,0,0,8,74,0,5,0,3,79,4,0,7,0,0,10,38,0,3,32,0,80,3,0,0,4,0,6,196,0,27,42,3,262,5,0,0,0,0,6,21,0,14,18,3,52,697,0,36,77,4,819
POA4627,107,0,0,13,3,126,56,0,0,3,0,63,9,0,3,0,0,14,13,0,3,0,0,22,22,0,0,3,0,28,3,0,8,0,0,11,21,0,4,3,0,24,7,0,0,0,0,10,72,0,20,7,0,98,0,0,0,0,0,3,13,0,0,4,0,13,249,0,22,25,3,303
POA4630,412,0,0,9,0,426,210,0,0,0,0,217,59,0,0,0,0,54,17,0,0,0,0,12,94,0,0,0,0,97,3,0,0,0,0,3,33,0,0,0,0,34,20,0,0,0,0,20,223,0,0,0,0,226,16,0,0,0,0,16,32,0,0,0,0,30,886,0,4,10,8,909
POA4650,4898,99,35,115,23,5164,3587,24,12,5,42,3663,1346,180,150,8,0,1686,175,175,74,0,0,424,895,56,56,3,12,1025,17,52,10,0,0,79,101,15,10,54,0,183,74,10,3,5,0,97,2616,486,301,72,20,3491,63,29,4,0,0,97,327,47,24,18,9,421,11482,679,367,212,91,12837
POA4655,8119,473,187,288,41,9112,5472,185,49,36,28,5768,3160,921,334,8,29,4447,219,352,19,0,0,590,1132,217,68,15,19,1453,35,48,15,0,0,101,112,38,20,116,11,298,71,22,8,0,6,109,4731,1595,466,143,63,6998,191,108,75,6,6,379,453,90,50,32,67,695,18969,2455,819,498,206,22947
POA4659,896,6,0,90,4,1003,444,0,4,9,0,460,187,13,15,3,0,209,5,10,0,0,0,15,112,0,3,5,0,120,0,13,0,0,0,11,10,0,0,14,0,23,21,0,0,3,0,22,340,30,16,18,0,410,8,0,0,0,0,13,65,3,0,8,0,77,1747,46,20,135,8,1953
POA4660,1288,13,0,49,8,1349,705,0,0,3,3,715,250,14,9,3,4,282,3,9,0,0,0,5,160,7,9,7,0,175,0,14,0,0,0,14,52,5,0,9,0,63,28,4,0,0,0,35,489,48,13,17,3,572,21,3,0,0,0,33,76,10,7,4,0,92,2581,67,21,77,16,2764
POA4662,104,0,0,4,3,114,71,0,0,6,0,79,27,0,0,0,0,27,0,0,0,0,0,0,20,0,0,0,0,23,0,0,3,0,0,3,3,0,0,0,0,3,5,0,0,0,0,5,54,0,3,5,0,63,0,0,0,0,0,0,12,0,0,0,0,9,243,0,4,16,4,262
POA4670,9724,569,243,310,21,10872,8360,123,133,11,21,8647,3757,666,731,12,14,5187,423,373,192,0,3,992,1913,177,224,23,14,2354,41,50,74,0,0,156,215,43,43,100,12,411,133,21,24,9,3,188,6487,1326,1288,137,53,9288,250,114,32,4,4,400,663,129,68,36,27,925,25481,2260,1759,497,130,30132
POA4671,938,0,4,42,3,991,715,0,3,26,4,745,138,0,8,0,0,154,7,0,14,0,0,14,185,0,0,7,0,200,0,0,3,0,0,5,40,0,5,3,0,49,22,0,0,3,0,30,398,3,36,11,5,449,8,0,0,0,0,12,76,0,4,10,0,87,2138,3,44,91,18,2287
POA4673,111,0,0,14,0,122,82,0,0,0,0,81,3,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,37,0,0,0,0,34,3,0,0,0,0,3,3,0,0,4,0,6,230,0,0,22,0,247
POA4674,283,0,0,16,0,299,162,0,0,6,0,164,7,0,0,0,0,7,0,0,0,0,0,0,46,0,0,0,0,46,0,0,0,0,0,0,12,0,0,0,0,16,4,0,0,0,0,6,73,0,0,0,0,81,6,0,0,0,0,6,22,0,0,0,0,24,544,0,0,28,3,578
POA4676,29,0,0,0,0,29,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,64
POA4677,440,0,13,31,9,480,454,0,8,14,7,479,126,3,18,0,8,160,3,0,13,0,0,18,85,0,4,0,3,95,0,0,0,0,0,0,17,0,7,3,0,28,13,0,0,3,3,17,251,3,37,9,14,315,8,0,0,0,0,9,38,0,0,3,3,41,1178,4,56,50,32,1329
POA4678,150,0,0,0,0,154,128,0,0,4,0,129,12,0,3,0,0,18,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,44,0,3,0,0,45,3,0,0,0,0,3,13,0,0,0,0,12,332,0,3,10,0,346
POA4680,3728,45,75,165,4,4027,6948,96,83,13,12,7153,3356,586,751,3,8,4707,402,113,169,5,0,683,878,45,58,5,4,991,50,43,19,0,0,112,222,23,34,44,8,334,67,8,12,0,0,88,4987,818,1052,51,16,6920,53,0,17,4,0,79,279,22,56,18,3,377,15993,980,1281,259,32,18548
POA4694,11,0,0,0,0,16,21,0,0,0,0,21,21,0,0,0,0,20,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,32,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,3,64
POA4695,147,0,0,3,0,153,149,0,0,0,0,148,11,0,0,0,0,11,0,0,0,0,0,0,43,0,0,0,0,43,0,0,0,0,0,0,8,0,0,0,0,8,10,0,0,0,0,12,73,0,0,0,4,77,3,0,0,0,0,3,11,0,0,0,0,11,387,0,0,5,4,394
POA4697,17,0,0,0,0,18,20,0,0,0,0,20,5,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,52
POA4699,60,0,0,0,0,65,62,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,27,0,0,0,0,27,3,0,0,0,0,3,6,0,0,0,0,6,151,0,0,3,0,155
POA4700,1655,74,58,18,8,1820,1862,39,47,4,4,1953,825,125,209,3,6,1168,90,97,91,0,8,277,480,38,60,3,6,592,17,17,19,0,0,56,54,7,10,3,7,80,37,4,7,0,3,52,1502,288,390,11,33,2220,27,31,3,0,6,63,145,31,26,4,32,238,5183,466,524,35,86,6289
POA4701,4273,126,44,24,9,4478,5292,78,33,5,7,5413,1726,627,304,3,3,2661,476,192,46,0,0,716,1008,131,84,0,3,1220,35,104,29,0,0,166,98,23,15,3,0,137,63,13,8,0,0,90,3398,1087,486,9,12,4993,47,49,6,0,0,107,334,63,28,7,7,427,13342,1406,600,43,35,15416
POA4702,2764,17,6,183,51,3010,3173,11,0,32,17,3237,1470,37,21,7,4,1542,89,0,9,3,0,105,634,6,3,8,6,660,21,10,7,0,0,37,220,10,9,36,10,282,123,7,4,13,3,141,2554,75,50,68,28,2769,131,6,0,24,5,167,252,4,3,27,8,292,8874,103,59,330,104,9476
POA4703,2289,81,129,147,5,2652,2637,42,60,18,12,2768,987,162,232,0,8,1383,53,41,66,0,0,167,462,28,58,9,5,565,10,31,24,0,3,74,43,3,5,38,8,96,29,7,3,7,0,45,1581,270,396,51,21,2325,47,4,57,3,4,114,156,7,35,27,52,270,6705,404,673,247,97,8129
POA4704,16,0,0,0,0,18,24,0,0,0,0,27,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,3,0,53
POA4705,45,0,0,3,0,49,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,4,0,0,0,0,4,16,0,0,0,0,23,5,0,0,0,0,5,46,0,0,0,0,46,4,0,0,0,0,4,3,0,0,3,0,9,110,0,0,6,3,121
POA4706,16,0,0,0,0,16,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,0,36
POA4707,46,0,0,6,0,52,24,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,16,6,0,0,0,0,6,24,0,0,0,0,24,5,0,0,0,0,3,3,0,0,0,0,3,106,0,0,4,0,113
POA4709,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,248,0,5,0,0,249,6,0,0,0,0,6,261,0,5,0,0,268,0,0,0,0,0,3,6,0,0,0,0,6,271,0,5,3,0,283
POA4710,540,16,3,21,3,579,465,3,11,3,0,480,400,11,31,0,0,441,8,9,0,0,0,15,101,7,9,0,0,124,5,12,3,0,0,18,12,4,3,3,0,17,8,0,3,0,0,10,538,44,52,3,0,636,12,11,0,0,0,22,36,6,0,0,37,83,1587,82,59,29,40,1798
POA4711,193,0,0,0,0,198,308,0,0,0,3,314,9,0,0,0,0,13,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,30,0,0,0,0,0,0,3,0,0,0,0,3,539,0,0,3,3,544
POA4712,39,0,0,3,0,43,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,12,0,0,4,0,0,4,25,0,0,0,0,30,4,0,0,0,0,4,39,0,3,0,3,44,0,0,0,0,0,0,0,0,3,0,0,10,94,0,8,4,7,109
POA4713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,27,3,0,0,210,0,0,0,0,0,0,3,0,0,0,0,9,11,0,0,0,0,18,3,0,0,0,0,3,204,27,0,0,0,236,0,0,0,0,0,0,6,0,0,0,0,11,209,32,0,0,0,245
POA4714,537,3,0,17,0,558,290,3,0,5,0,296,129,0,11,0,0,138,6,0,3,0,0,10,102,0,0,0,0,110,10,0,3,0,0,17,18,0,0,8,0,29,6,0,0,0,0,6,272,3,21,12,0,312,7,0,0,3,0,7,42,0,0,0,0,43,1143,5,24,45,3,1219
POA4715,673,5,7,15,0,694,785,0,3,0,0,788,277,18,58,0,3,353,113,0,19,0,0,131,178,3,8,0,0,190,5,0,0,0,0,7,77,3,34,15,0,133,22,0,0,0,0,21,669,21,125,16,3,837,14,0,0,0,0,13,61,0,12,5,0,81,2196,27,142,34,7,2415
