POA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA4000,0,0,23,22,4,9,0,0,0,56,0,8,22,121,25,22,3,0,0,206,0,0,0,17,6,0,3,0,0,37,0,0,5,21,7,12,10,3,0,63,3,0,37,46,6,17,4,0,0,115,0,0,26,63,13,5,4,0,0,111,0,0,0,4,0,3,0,0,0,14,0,0,0,16,6,6,0,0,0,34,6,8,109,212,33,14,19,5,0,398,0,0,40,72,9,3,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,18,3,3,23,52,10,20,15,3,0,127,0,0,15,42,7,7,0,0,0,67,0,0,4,3,3,3,3,0,0,25,0,0,6,16,3,3,3,0,0,33,15,32,494,1259,81,48,18,10,0,1955,41,40,322,783,221,160,82,28,7,1689,397,503,3879,7739,1623,1351,718,264,72,16552
POA4005,0,0,0,30,22,3,0,0,0,54,3,3,3,56,3,3,3,0,0,78,0,0,0,20,8,3,5,0,3,37,0,5,5,38,13,21,18,9,0,103,3,3,5,26,3,4,4,0,0,50,6,0,13,119,14,13,11,0,3,181,0,0,0,4,0,0,4,0,0,8,0,0,0,16,6,3,0,0,0,24,3,0,10,45,3,4,0,0,0,62,0,7,8,40,5,5,0,0,0,68,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,6,3,10,13,89,22,15,3,3,0,157,0,0,3,17,14,23,16,5,3,68,0,0,3,12,0,3,0,0,0,29,0,0,3,11,7,0,0,0,0,18,6,28,47,404,65,52,29,31,9,663,70,70,200,1032,310,270,226,149,186,2522,647,817,1787,8098,2268,1945,1316,620,385,17876
POA4006,0,0,6,15,10,0,3,0,0,33,3,3,15,100,15,6,4,0,0,149,0,0,0,28,0,3,3,3,0,37,0,0,7,39,6,12,9,0,0,71,3,0,23,35,3,0,3,0,0,67,0,0,17,64,8,0,0,0,0,90,0,0,0,9,4,4,0,0,0,12,0,0,4,25,3,3,0,0,0,40,0,3,21,102,0,4,0,0,0,133,0,0,18,92,3,3,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,12,0,4,21,72,14,10,3,0,0,133,0,9,3,48,5,16,4,0,3,91,0,0,7,12,3,3,0,0,0,24,0,0,3,19,3,3,0,0,0,23,13,27,149,697,35,19,16,6,3,966,52,38,347,1109,229,175,119,43,14,2128,392,359,2719,7781,1284,1021,633,239,111,14530
POA4007,0,3,7,20,18,4,0,3,0,55,0,3,3,45,17,10,0,0,0,76,0,0,0,4,0,3,0,0,0,7,0,3,8,20,18,12,6,3,0,67,0,0,3,4,4,3,0,0,0,28,0,0,8,48,12,10,3,0,0,88,0,0,0,0,0,0,0,0,0,4,0,0,0,10,3,3,3,0,0,26,0,3,10,31,6,3,3,0,0,54,0,0,3,31,9,0,0,0,0,39,0,3,0,3,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,3,10,14,25,13,15,11,0,0,99,0,0,0,12,12,3,0,0,0,31,0,0,0,9,7,3,3,0,0,12,0,0,0,10,3,0,3,0,0,23,6,20,31,220,51,46,24,6,3,402,39,49,123,417,201,149,89,49,54,1170,533,1117,1701,4150,1951,1553,1045,507,213,12769
POA4008,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,13,0,0,0,11,6,10,4,0,0,31,15,12,42,129,70,50,34,8,7,368
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,5,0,0,0,0,0,4,0,3,7,16,3,5,0,0,0,35,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,7,0,0,0,11,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,18,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,56,6,4,0,0,0,80,8,4,29,104,9,6,8,4,5,183,104,138,330,1046,245,193,109,76,61,2296
POA4011,0,8,19,42,18,9,0,0,0,104,0,11,9,52,17,13,3,3,0,99,0,0,0,9,0,3,6,0,0,22,3,5,6,18,17,11,9,3,0,81,5,13,0,12,3,3,3,0,0,31,0,7,17,54,18,12,9,4,0,127,0,0,0,0,0,0,3,0,0,5,0,3,0,24,8,3,3,3,0,49,0,0,16,27,0,6,0,0,0,49,0,4,11,29,4,5,0,0,0,55,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,4,11,12,20,14,7,3,4,0,70,0,0,0,17,0,0,0,0,0,22,0,0,3,8,3,0,3,0,0,15,0,0,0,12,4,8,0,0,0,21,8,21,41,181,57,35,13,7,10,368,45,96,95,317,156,134,86,37,29,1003,817,1712,1940,4880,2207,1685,1135,539,269,15180
POA4012,0,7,20,38,24,17,6,0,0,111,3,24,24,121,46,31,10,4,0,262,0,0,0,20,5,10,4,0,8,43,0,0,11,35,16,14,10,4,0,79,0,3,10,22,7,4,0,0,0,39,0,0,15,46,18,8,4,3,0,99,0,0,0,0,0,4,0,0,0,5,0,13,12,52,7,5,4,0,0,99,0,3,7,38,3,0,0,0,0,54,3,9,8,40,5,0,0,0,0,66,0,0,3,4,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,3,6,10,45,9,3,3,0,0,79,0,6,5,17,11,5,0,3,3,56,0,0,3,7,0,3,7,0,0,26,0,0,3,22,4,3,3,0,0,35,11,22,49,288,60,33,24,12,8,513,45,69,153,458,162,125,74,74,93,1249,1404,2222,2659,8269,2752,2163,1226,685,459,21828
POA4013,0,0,0,9,3,3,0,0,0,18,0,3,3,32,10,8,3,0,0,53,0,0,0,0,0,3,3,0,0,7,0,0,3,6,3,3,4,0,0,19,0,0,0,6,0,0,0,0,0,8,0,0,4,13,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,0,0,0,0,18,3,0,0,3,0,0,0,0,0,6,0,3,0,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,10,0,0,0,5,0,0,3,0,0,17,0,0,0,3,3,0,0,0,0,7,0,0,0,3,3,0,0,0,0,5,7,3,11,46,19,9,9,3,0,104,17,21,29,104,48,24,19,6,3,275,307,450,579,1720,610,459,281,113,46,4568
